,source_1_rowkeys,source_2_rowkeys,source_1_rec_ids,source_2_rec_ids,is_match
0,2,38,122,122,1
1,2,101,122,122,1
2,6,77,22,22,1
3,6,88,22,22,1
4,6,110,22,22,1
5,14,83,203,203,1
6,19,18,85,85,1
7,44,79,125,125,1
8,64,70,133,133,1
9,73,70,133,133,1
10,83,12,11,11,1
11,83,28,11,11,1
12,94,7,21,21,1
13,94,26,21,21,1
14,94,33,21,21,1
15,94,36,21,21,1
16,94,53,21,21,1
17,94,57,21,21,1
18,94,81,21,21,1
19,102,69,17,17,1
20,103,16,29,29,1
21,111,12,11,11,1
22,111,28,11,11,1
23,121,12,11,11,1
24,121,28,11,11,1
25,123,7,21,21,1
26,123,26,21,21,1
27,123,33,21,21,1
28,123,36,21,21,1
29,123,53,21,21,1
30,123,57,21,21,1
31,123,81,21,21,1
32,126,12,11,11,1
33,126,28,11,11,1
34,147,12,11,11,1
35,147,28,11,11,1
36,153,52,132,132,1
37,153,63,132,132,1
38,153,75,132,132,1
39,153,85,132,132,1
40,159,102,111,111,1
41,166,11,80,80,1
42,166,58,80,80,1
43,166,82,80,80,1
44,166,97,80,80,1
45,166,106,80,80,1
46,166,115,80,80,1
47,166,118,80,80,1
48,173,12,11,11,1
49,173,28,11,11,1
50,182,77,22,22,1
51,182,88,22,22,1
52,182,110,22,22,1
53,188,7,21,21,1
54,188,26,21,21,1
55,188,33,21,21,1
56,188,36,21,21,1
57,188,53,21,21,1
58,188,57,21,21,1
59,188,81,21,21,1
60,189,67,92,92,1
61,200,79,125,125,1
62,204,1,105,105,1
63,204,13,105,105,1
64,204,14,105,105,1
65,204,15,105,105,1
66,204,30,105,105,1
67,204,61,105,105,1
68,204,73,105,105,1
69,204,107,105,105,1
70,204,108,105,105,1
71,204,109,105,105,1
72,211,20,199,199,1
73,211,74,199,199,1
74,211,89,199,199,1
75,211,116,199,199,1
76,224,1,105,105,1
77,224,13,105,105,1
78,224,14,105,105,1
79,224,15,105,105,1
80,224,30,105,105,1
81,224,61,105,105,1
82,224,73,105,105,1
83,224,107,105,105,1
84,224,108,105,105,1
85,224,109,105,105,1
86,229,10,14,14,1
87,229,87,14,14,1
88,229,91,14,14,1
89,237,38,122,122,1
90,237,101,122,122,1
91,238,11,80,80,1
92,238,58,80,80,1
93,238,82,80,80,1
94,238,97,80,80,1
95,238,106,80,80,1
96,238,115,80,80,1
97,238,118,80,80,1
98,242,10,14,14,1
99,242,87,14,14,1
100,242,91,14,14,1
101,280,69,17,17,1
102,282,69,17,17,1
103,285,9,72,72,1
104,285,62,72,72,1
105,285,78,72,72,1
106,290,12,11,11,1
107,290,28,11,11,1
108,296,24,83,83,1
109,296,92,83,83,1
110,302,16,29,29,1
111,310,41,88,88,1
112,327,9,72,72,1
113,327,62,72,72,1
114,327,78,72,72,1
115,350,10,14,14,1
116,350,87,14,14,1
117,350,91,14,14,1
