row_key,key,source,famer_keys,famer_brand_list,famer_model_list,famer_model_no_list,famer_keys,famer_product_name,famer_weight,famer_digital_zoom,famer_optical_zoom,famer_height,famer_width,famer_sensor,model_no_list,famer_mpn_list,famer_ean_list
1,5f3ba61e3fd5b671b220024a,buy.net,oly3,olympus,tg3,3,oly3,olympusstylustoughtg3,0.54,4.0,4.0,2.6,4.4,CMOS,/,/,/
2,5f3ba61e3fd5b671b220025e,buy.net,nik600,nikon,p600,600,nik600,nikoncoolpixp600,1.24,4.0,60.0,3.4,5.0,CMOS,/,/,/
3,5f3ba61e3fd5b671b220027a,buy.net,col2,coleman,2v7wpo,2,col2,coleman2v7wpo,0.40,8.0,,2.5,3.8,CMOS,/,/,/
4,5f3ba61e3fd5b671b2200281,buy.net,lei6,leica,dlux6,6,lei6,leicadlux6,0.65,4.0,3.8,2.6,4.4,CMOS,/,/,/
5,5f3ba61e3fd5b671b2200297,buy.net,son100-2,sony,dscrx100m,100-2,son100-2,sonydscrx100m,0.47,14.0,3.6,2.3,4.0,Exmor CMOS,/,/,/
6,5f3ba61e3fd5b671b220029d,buy.net,nik3600,nikon,s3600,3600,nik3600,nikoncoolpixs3600,0.28,4.0,8.0,2.3,3.9,CCD,/,/,/
7,5f3ba61e3fd5b671b220029e,buy.net,nik1,nikon,aw1,1,nik1,nikonaw1,,,,,,,/,/,/
8,5f3ba61e3fd5b671b22002a7,buy.net,pan40,panasonic,dmczs40,40,pan40,panasoniclumixdmczs40,0.03,4.0,30.0,2.53,4.35,CMOS,/,/,/
9,5f3ba61e3fd5b671b22002a9,buy.net,pol326,polaroid,is326,326,pol326,polaroidis326,,4.0,3.0,,,CMOS,/,/,/
10,5f3ba61e3fd5b671b22002ab,buy.net,nik4,nikon,d4s,4,nik4,nikond4s,2.60,,,6.2,6.3,CMOS,/,/,/
11,5f3ba61e3fd5b671b22002e1,buy.net,viv46,vivitar,vivicam46,46,viv46,vivitarvivicam46,,4.0,,7.25,9.75,CMOS,/,/,/
12,5f3ba61e3fd5b671b22002e8,buy.net,sam2000,samsung,nx2000,2000,sam2000,samsungnx2000,0.50,,2.5142,2.5,4.7,CMOS,/,/,/
13,5f3ba61e3fd5b671b22002fa,buy.net,nik120,nikon,aw120,120,nik120,nikoncoolpixaw120,0.47,4.0,5.0,2.6,4.4,CMOS,/,/,/
14,5f3ba61e3fd5b671b2200305,buy.net,son400,sony,dschx400,400,son400,sonycybershotdschx400,0.09,50.0,50.0,3.75,5.13,CMOS,/,/,/
15,5f3ba61e3fd5b671b220030a,buy.net,sam820,samsung,sl820,820,sam820,samsungsl820,0.31,5.0,5.0,2.3,3.7,CCD,/,/,/
16,5f3ba61e3fd5b671b220030d,buy.net,can,canon,eos,,can,canoneosrebel,0.99,,,3.8,5.0,CMOS,/,/,/
17,5f3ba61e3fd5b671b220030e,buy.net,nik5200,nikon,s5200,5200,nik5200,nikoncoolpixs5200,0.32,4.0,6.0,2.3,3.9,CMOS,/,/,/
18,5f3ba61e3fd5b671b220030f,buy.net,sam120,samsung,gc120,120,sam120,samsunggalaxygc120,0.67,,21.0,2.8,5.1,CMOS,/,/,/
19,5f3ba61e3fd5b671b2200316,buy.net,can5,canon,t5i,5,can5,canoneosrebelt5i,0.07,,3.1,3.9,5.2,CMOS,/,/,/
