,key,row_key,source,famer_model_list,famer_model_no_list,famer_mpn_list,famer_ean_list,famer_product_name,famer_digital_zoom,famer_optical_zoom,famer_width,famer_height,famer_weight,famer_sensor,famer_brand_list
336,5f3ba61f3fd5b671b2201118,1,www.canon-europe.com,a510,510,/,/,canonpowershota510,3.2,4,0.0,0.0,,/,canon
337,5f3ba61f3fd5b671b220111f,2,www.canon-europe.com,ixus1100,1100,/,/,canonixus1100,4,12,9.9,5.89,206,/,canon
338,5f3ba61f3fd5b671b2201121,3,www.canon-europe.com,ixus700,700,/,/,canondigitalixus700,4.0,3,8.95,5.7,170,/,canon
339,5f3ba61f3fd5b671b2201158,4,www.canon-europe.com,ixus85,85,/,/,canondigitalixus85,4,3,0.0,0.0,,/,canon
340,5f3ba61f3fd5b671b2201163,5,www.canon-europe.com,a95,95,/,/,canonpowershota95,4.1,3,10.11,6.459999999999999,235,/,canon
341,5f3ba61f3fd5b671b2201167,6,www.canon-europe.com,ixus75,75,/,/,canondigitalixus75,4,3,0.0,0.0,,/,canon
342,5f3ba61f3fd5b671b2201196,7,www.canon-europe.com,sx50,50,/,/,canonpowershotsx50,4,50,12.25,8.73,595,/,canon
343,5f3ba61f3fd5b671b220119f,8,www.canon-europe.com,ixus850,850,/,/,canondigitalixus850,4,3.8,8.95,5.8,150,/,canon
344,5f3ba61f3fd5b671b22011a2,9,www.canon-europe.com,ixus200,200,/,/,canondigitalixus200,4,5,9.99,5.34,152,/,canon
2101,5f3ba61f3fd5b671b2201112,10,www.canon-europe.com,ixus105,105,/,/,canonixus105,4,4,9.05,5.58,140,/,canon
2102,5f3ba61f3fd5b671b220112f,11,www.canon-europe.com,ixus135,135,/,/,canonixus135,4,8,9.290000000000001,5.24,134,/,canon
2103,5f3ba61f3fd5b671b2201137,12,www.canon-europe.com,a495,495,/,/,canonpowershota495,4,3.3,9.35,6.17,175,/,canon
2104,5f3ba61f3fd5b671b220113a,13,www.canon-europe.com,a640,640,/,/,canonpowershota640,4,4,0.0,0.0,,/,canon
2105,5f3ba61f3fd5b671b220113d,14,www.canon-europe.com,sx1,1,/,/,canonpowershotsx1,4,20,0.0,0.0,,/,canon
2106,5f3ba61f3fd5b671b220113f,15,www.canon-europe.com,a2400,2400,/,/,canonpowershota2400,4,5,9.440000000000001,5.42,126,/,canon
2107,5f3ba61f3fd5b671b2201143,16,www.canon-europe.com,ixus240,240,/,/,canonixus240,4,5,9.35,5.68,145,/,canon
2108,5f3ba61f3fd5b671b2201149,17,www.canon-europe.com,ixus132,132,/,/,canonixus132,4,8,9.290000000000001,5.24,133,/,canon
2109,5f3ba61f3fd5b671b2201162,18,www.canon-europe.com,sx40,40,/,/,canonpowershotsx40,4,35,12.290000000000001,9.24,600,/,canon
2110,5f3ba61f3fd5b671b22011a1,19,www.canon-europe.com,g1,1-2,/,/,canonpowershotg1,4,5,11.629999999999999,7.4,558,/,canon
2111,5f3ba61f3fd5b671b22011a4,20,www.canon-europe.com,g5,5,/,/,canonpowershotg5,4.1,4,0.0,0.0,,/,canon
