,key,row_key,source,famer_model_list,famer_model_no_list,famer_mpn_list,famer_ean_list,famer_product_name,famer_digital_zoom,famer_optical_zoom,famer_width,famer_height,famer_weight,famer_weight,famer_sensor,famer_brand_list
69,5f3ba61e3fd5b671b22003ba,1,www.henrys.com,1080p,1080,/,/,olympusstylus11080p,2,10.7,0.0,0.0,,,CMOS,olympus
70,5f3ba61e3fd5b671b22003c3,2,www.henrys.com,dmcts25w,25,/,/,panasonicdmcts25w,4,4.0,0.0,0.0,,,MOS,panasonic
71,5f3ba61e3fd5b671b22003c6,3,www.henrys.com,dp3,3,/,/,sigmadp3,,,0.0,0.0,,,CMOS,sigma
72,5f3ba61e3fd5b671b22003cd,4,www.henrys.com,l27,27,/,/,nikoncoolpixl27,4,5.0,0.0,0.0,,,CCD,nikon
73,5f3ba61e3fd5b671b22003e3,5,www.henrys.com,g1x,1-2,/,/,canonpowershotg1x,4,5.0,11.629999999999999,7.4,,516,CMOS,canon
74,5f3ba61e3fd5b671b22003f7,6,www.henrys.com,vlux4,4,/,/,leicavlux4,4,24.0,0.0,0.0,,,CMOS,leica
75,5f3ba61e3fd5b671b2200408,7,www.henrys.com,dscrx100m3,100,/,/,sonydscrx100m3,11,2.9,10.16,5.8100000000000005,,263,CMOS,sony
76,5f3ba61e3fd5b671b220040b,8,www.henrys.com,xf1,1,/,/,fujifilmxf1,2,4.0,0.0,0.0,,225,CMOS,fujifilm
77,5f3ba61e3fd5b671b2200415,9,www.henrys.com,wg4,4,/,/,ricohwg4,7.2,4.0,12.5,6.45,,216,CMOS,ricoh
78,5f3ba61e3fd5b671b2200429,10,www.henrys.com,dscrx10,10,/,/,sonydscrx10,66,8.3,0.0,0.0,,,CMOS,sony
79,5f3ba61e3fd5b671b220043b,11,www.henrys.com,150is,150,/,/,canonpowershotelph150is,4,10.0,9.53,5.68,,125,CCD,canon
80,5f3ba61e3fd5b671b2200443,12,www.henrys.com,340hs,340,/,/,canonpowershotelph340hs,4,12.0,9.97,5.76,,130,CMOS,canon
81,5f3ba61e3fd5b671b220044c,13,www.henrys.com,d30,30,/,/,canonpowershotd30,4,5.0,10.940000000000001,6.8,,194,CMOS,canon
1822,5f3ba61e3fd5b671b22003a6,14,www.henrys.com,dmcfz200,200,/,/,panasonicdmcfz200,,24.0,0.0,0.0,,,MOS,panasonic
