,key,row_key,source,famer_model_list,famer_model_no_list,famer_mpn_list,famer_ean_list,famer_product_name,famer_digital_zoom,famer_optical_zoom,famer_width,famer_height,famer_weight,famer_sensor,famer_sensor,famer_brand_list
1665,5f3ba6213fd5b671b22051cc,1,www.pcconnection.com,d7100,7100,/,/,nikond7100,,,5.3,4.2,675.85208,CMOS,CMOS,nikon
1666,5f3ba6213fd5b671b22051de,2,www.pcconnection.com,sx600,600,/,/,canonpowershotsx600,4 ,18 ,4.1,2.4,164.4271,BSI-CMOS,BSI-CMOS,canon
1667,5f3ba6213fd5b671b22051ef,3,www.pcconnection.com,j3,3,/,/,nikonj3,,,,,,CMOS,CMOS,nikon
1668,5f3ba6213fd5b671b22051f6,4,www.pcconnection.com,tg850,850,/,/,olympusstylustoughtg850,,,,,,BSI-CMOS,BSI-CMOS,olympus
1669,5f3ba6213fd5b671b22051fb,5,www.pcconnection.com,dschx300,300,/,/,sonydschx300,,,,,,Exmor R CMOS,Exmor R CMOS,sony
1670,5f3ba6213fd5b671b22051fd,6,www.pcconnection.com,d3300,3300,/,/,nikond3300,,,,,,CMOS,CMOS,nikon
1671,5f3ba6213fd5b671b220521e,7,www.pcconnection.com,j3,3,/,/,nikonj3,,,,,,CMOS,CMOS,nikon
1672,5f3ba6213fd5b671b220522f,8,www.pcconnection.com,d3200,3200,/,/,nikond3200,,,,,,CMOS,CMOS,nikon
1673,5f3ba6213fd5b671b2205249,9,www.pcconnection.com,epl5,5,/,/,olympuspenepl5,,,,,,Live MOS,Live MOS,olympus
1674,5f3ba6213fd5b671b220525a,10,www.pcconnection.com,dmcts25a,25,/,/,panasonicdmcts25a,,,,,,CCD,CCD,panasonic
1675,5f3ba6213fd5b671b2205275,11,www.pcconnection.com,a7,7,/,/,sonya7,,,,,,Exmor CMOS,Exmor CMOS,sony
1676,5f3ba6213fd5b671b220527f,12,www.pcconnection.com,dscwx350,350,/,/,sonycybershotdscwx350,,,,,,Exmor R CMOS,Exmor R CMOS,sony
1677,5f3ba6213fd5b671b220528a,13,www.pcconnection.com,wrr10,10,/,/,nikonwrr10,,,,,,,,nikon
1678,5f3ba6213fd5b671b220528b,14,www.pcconnection.com,wrt10,10,/,/,nikonwrt10,,,,,,,,nikon
1679,5f3ba6213fd5b671b2205296,15,www.pcconnection.com,j3,3,/,/,nikonj3,,,,,,CMOS,CMOS,nikon
3462,5f3ba6213fd5b671b22051ca,16,www.pcconnection.com,mirrorless,,/,/,olympusmirrorlessmicro,,,,,,Live MOS,Live MOS,olympus
3463,5f3ba6213fd5b671b22051d8,17,www.pcconnection.com,d610,610,/,/,nikond610,,,5.6,4.4,771.1064,CMOS,CMOS,nikon
3464,5f3ba6213fd5b671b2205202,18,www.pcconnection.com,dmcts25k,25,/,/,panasonicdmcts25k,,,,,,CCD,CCD,panasonic
3465,5f3ba6213fd5b671b220520e,19,www.pcconnection.com,ep5,5,/,/,olympusep5,,,,,,Live MOS,Live MOS,olympus
3466,5f3ba6213fd5b671b2205215,20,www.pcconnection.com,jx660,660,/,/,fujifilmfinepixjx660,,,,,,CCD,CCD,fujifilm
