row_key,source,famer_model_list,famer_model_no_list,famer_mpn_list,famer_ean_list,famer_product_name,famer_digital_zoom,famer_optical_zoom,famer_width,famer_height,famer_weight,famer_sensor,famer_brand_list
1,www.shopbot.com.au,s4000,4000,/,/,fujifilmfinepixs4000,/,30,11.8,8.1,300,/,fujifilm
2,www.shopbot.com.au,eos,,/,/,canoneosm,/,,,,,/,canon
3,www.shopbot.com.au,dscrx100,100,/,/,sonycybershotdscrx100,/,,,,,/,sony
4,www.shopbot.com.au,d5200,5200,/,/,nikond5200,/,,,,,/,nikon
5,www.shopbot.com.au,dsctx20,20,/,/,sonycybershotdsctx20,/,4,9.6,5.6,133,/,sony
6,www.shopbot.com.au,xg1,1,/,/,pentaxxg1,/,,,,,/,pentax
7,www.shopbot.com.au,60da,60,/,/,canoneos60da,/,,14.5,10.6,755,/,canon
8,www.shopbot.com.au,typ701,701,/,/,leicattyp701,/,,,,,/,leica
9,www.shopbot.com.au,d3200,3200,/,/,nikond3200,/,,12.5,9.6,505,/,nikon
10,www.shopbot.com.au,d7100,7100,/,/,nikond7100,/,,,,,/,nikon
11,www.shopbot.com.au,dmcgm1,1,/,/,panasoniclumixdmcgm1,/,,,,,/,panasonic
12,www.shopbot.com.au,nex6,6,/,/,sonyalphanex6,/,,,,,/,sony
13,www.shopbot.com.au,sh50,50,/,/,olympussh50,/,,,,,/,olympus
14,www.shopbot.com.au,p7800,7800,/,/,nikoncoolpixp7800,/,,,,,/,nikon
15,www.shopbot.com.au,1200d,1200,/,/,canoneos1200d,/,,,,,/,canon
16,www.shopbot.com.au,dmctz10,10,/,/,panasoniclumixdmctz10,/,12,10.3,6.0,218,/,panasonic
17,www.shopbot.com.au,dscw610,610,/,/,sonycybershotdscw610,/,4,9.3,5.2,113,/,sony
18,www.shopbot.com.au,ks1,1,/,/,pentaxks1,/,,,,,/,pentax
19,www.shopbot.com.au,dschx60v,60,/,/,sonycybershotdschx60v,/,,,,,/,sony
20,www.shopbot.com.au,es95,95,/,/,samsunges95,/,,,,,/,samsung
21,www.shopbot.com.au,700d,700,/,/,canoneos700d,/,,,,,/,canon
22,www.shopbot.com.au,dscwx50,50,/,/,sonycybershotdscwx50,/,5,9.2,5.2,117,/,sony
23,www.shopbot.com.au,s32,32,/,/,nikoncoolpixs32,/,,,,,/,nikon
24,www.shopbot.com.au,700d,700,/,/,canoneos700d,/,,,,,/,canon
25,www.shopbot.com.au,f300exr,300,/,/,fujifilmfinepixf300exr,/,,,,,/,fujifilm
26,www.shopbot.com.au,xe1,1,/,/,fujifilmxe1,/,,,,,/,fujifilm
27,www.shopbot.com.au,j4,4,/,/,nikon1j4,/,,,,,/,nikon
28,www.shopbot.com.au,60d,60,/,/,canoneos60d,/,,,,,/,canon
29,www.shopbot.com.au,dmcgx7,7,/,/,panasoniclumixdmcgx7,/,,,,,/,panasonic
30,www.shopbot.com.au,d3200,3200,/,/,nikond3200,/,,,,,/,nikon
31,www.shopbot.com.au,g15,15,/,/,canonpowershotg15,/,,,,,/,canon
32,www.shopbot.com.au,dscwx300,300,/,/,sonycybershotdscwx300,/,,,,,/,sony
33,www.shopbot.com.au,sz14,14,/,/,olympussz14,/,,,,,/,olympus
34,www.shopbot.com.au,dmcg10,10,/,/,panasoniclumixdmcg10,/,,,,,/,panasonic
35,www.shopbot.com.au,6d,6,/,/,canoneos6d,/,,,,,/,canon
36,www.shopbot.com.au,dmcsz5,5,/,/,panasoniclumixdmcsz5,/,,,,,/,panasonic
37,www.shopbot.com.au,vr350,350,/,/,olympusvr350,/,,,,,/,olympus
38,www.shopbot.com.au,ks1,1,/,/,pentaxks1,/,,,,,/,pentax
39,www.shopbot.com.au,dscw690,690,/,/,sonycybershotdscw690,/,10,9.4,5.6,142,/,sony
40,www.shopbot.com.au,d3100,3100,/,/,nikond3100,/,,12.4,9.6,505,/,nikon
41,www.shopbot.com.au,xt1,1,/,/,fujifilmxt1,/,,,,,/,fujifilm
42,www.shopbot.com.au,sx520,520,/,/,canonpowershotsx520,/,,,,,/,canon
43,www.shopbot.com.au,5d,5-3,/,/,canoneos5d,/,,15.2,11.6,950,/,canon
44,www.shopbot.com.au,dsch90,90,/,/,sonycybershotdsch90,/,16,10.5,6.0,222,/,sony
45,www.shopbot.com.au,dv150f,150,/,/,samsungdv150f,/,,,,,/,samsung
46,www.shopbot.com.au,k30,30,/,/,pentaxk30,/,,,,,/,pentax
47,www.shopbot.com.au,500d,500,/,/,canoneos500d,/,,,,,/,canon
48,www.shopbot.com.au,typ701,701,/,/,leicattyp701,/,,,,,/,leica
49,www.shopbot.com.au,epl3,3,/,/,olympuspenepl3,/,,,,,/,olympus
50,www.shopbot.com.au,g16,16,/,/,canonpowershotg16,/,,,,,/,canon
51,www.shopbot.com.au,dmc3d1,3,/,/,panasoniclumixdmc3d1,/,,,,,/,panasonic
52,www.shopbot.com.au,j1,1,/,/,nikon1j1,/,,10.6,6.1,234,/,nikon
53,www.shopbot.com.au,nex5r,5,/,/,sonyalphanex5r,/,,,,,/,sony
54,www.shopbot.com.au,ixus500,500,/,/,canonixus500,/,12,8.7,5.4,155,/,canon
55,www.shopbot.com.au,slta57,57,/,/,sonyslta57,/,,13.2,9.8,618,/,sony
56,www.shopbot.com.au,70d,70,/,/,canoneos70d,/,,,,,/,canon
57,www.shopbot.com.au,1100d,1100,/,/,canoneos1100d,/,,13.0,10.0,495,/,canon
58,www.shopbot.com.au,700d,700,/,/,canoneos700d,/,,,,,/,canon
59,www.shopbot.com.au,1200d,1200,/,/,canoneos1200d,/,,,,,/,canon
60,www.shopbot.com.au,dscw810,810,/,/,sonycybershotdscw810,/,,,,,/,sony
61,www.shopbot.com.au,dschx200v,200,/,/,sonycybershotdschx200v,/,30,12.2,8.7,583,/,sony
62,www.shopbot.com.au,xp150,150,/,/,fujifilmfinepixxp150,/,5,10.3,7.1,205,/,fujifilm
63,www.shopbot.com.au,70d,70,/,/,canoneos70d,/,,,,,/,canon
64,www.shopbot.com.au,s3500,3500,/,/,nikoncoolpixs3500,/,,,,,/,nikon
65,www.shopbot.com.au,em10,10,/,/,olympusomdem10,/,,,,,/,olympus
66,www.shopbot.com.au,sx50,50,/,/,canonpowershotsx50,/,,,,,/,canon
67,www.shopbot.com.au,g1,1-2,/,/,canonpowershotg1,/,,,,,/,canon
68,www.shopbot.com.au,dmcft1,1,/,/,panasoniclumixdmcft1,/,,,,,/,panasonic
69,www.shopbot.com.au,d5200,5200,/,/,nikond5200,/,,,,,/,nikon
70,www.shopbot.com.au,q,,/,/,pentaxq,/,,,,,/,pentax
71,www.shopbot.com.au,dsch7,7,/,/,sonydsch7,/,,,,,/,sony
72,www.shopbot.com.au,s2950,2950,/,/,fujifilmfinepixs2950,/,,,,,/,fujifilm
73,www.shopbot.com.au,p340,340,/,/,nikoncoolpixp340,/,,,,,/,nikon
74,www.shopbot.com.au,p520,520,/,/,nikoncoolpixp520,/,,,,,/,nikon
75,www.shopbot.com.au,dmcgf5,5,/,/,panasoniclumixdmcgf5,/,,,,,/,panasonic
