key,row_key,source,famer_model_list,famer_model_no_list,famer_mpn_list,famer_ean_list,famer_product_name,famer_digital_zoom,famer_optical_zoom,famer_width,famer_height,famer_weight,famer_sensor,famer_brand_list
5f3ba6213fd5b671b22052a3,1,www.shopbot.com.au,s4000,4000,/,/,fujifilmfinepixs4000,/,30,11.8,8.1,300,/,fujifilm
5f3ba6213fd5b671b22052bd,2,www.shopbot.com.au,eos,,/,/,canoneosm,/,,0.0,0.0,,/,canon
5f3ba6213fd5b671b22052cb,3,www.shopbot.com.au,dscrx100,100,/,/,sonycybershotdscrx100,/,,0.0,0.0,,/,sony
5f3ba6213fd5b671b22052dd,4,www.shopbot.com.au,d5200,5200,/,/,nikond5200,/,,0.0,0.0,,/,nikon
5f3ba6213fd5b671b22052e5,5,www.shopbot.com.au,dsctx20,20,/,/,sonycybershotdsctx20,/,4,9.6,5.6,133,/,sony
5f3ba6213fd5b671b22052f7,6,www.shopbot.com.au,xg1,1,/,/,pentaxxg1,/,,0.0,0.0,,/,pentax
5f3ba6213fd5b671b22052fd,7,www.shopbot.com.au,60da,60,/,/,canoneos60da,/,,14.5,10.6,755,/,canon
5f3ba6213fd5b671b2205303,8,www.shopbot.com.au,typ701,701,/,/,leicattyp701,/,,0.0,0.0,,/,leica
5f3ba6213fd5b671b2205311,9,www.shopbot.com.au,d3200,3200,/,/,nikond3200,/,,12.5,9.6,505,/,nikon
5f3ba6213fd5b671b2205313,10,www.shopbot.com.au,d7100,7100,/,/,nikond7100,/,,0.0,0.0,,/,nikon
5f3ba6213fd5b671b220531b,11,www.shopbot.com.au,dmcgm1,1,/,/,panasoniclumixdmcgm1,/,,0.0,0.0,,/,panasonic
5f3ba6213fd5b671b220531e,12,www.shopbot.com.au,nex6,6,/,/,sonyalphanex6,/,,0.0,0.0,,/,sony
5f3ba6213fd5b671b2205323,13,www.shopbot.com.au,sh50,50,/,/,olympussh50,/,,0.0,0.0,,/,olympus
5f3ba6213fd5b671b220532a,14,www.shopbot.com.au,p7800,7800,/,/,nikoncoolpixp7800,/,,0.0,0.0,,/,nikon
5f3ba6213fd5b671b220532b,15,www.shopbot.com.au,1200d,1200,/,/,canoneos1200d,/,,0.0,0.0,,/,canon
5f3ba6213fd5b671b220532d,16,www.shopbot.com.au,dmctz10,10,/,/,panasoniclumixdmctz10,/,12,10.3,6.0,218,/,panasonic
5f3ba6213fd5b671b2205338,17,www.shopbot.com.au,dscw610,610,/,/,sonycybershotdscw610,/,4,9.3,5.2,113,/,sony
5f3ba6213fd5b671b220533e,18,www.shopbot.com.au,ks1,1,/,/,pentaxks1,/,,0.0,0.0,,/,pentax
5f3ba6213fd5b671b220533f,19,www.shopbot.com.au,dschx60v,60,/,/,sonycybershotdschx60v,/,,0.0,0.0,,/,sony
5f3ba6213fd5b671b2205342,20,www.shopbot.com.au,es95,95,/,/,samsunges95,/,,0.0,0.0,,/,samsung
5f3ba6213fd5b671b220534a,21,www.shopbot.com.au,700d,700,/,/,canoneos700d,/,,0.0,0.0,,/,canon
5f3ba6213fd5b671b220534c,22,www.shopbot.com.au,dscwx50,50,/,/,sonycybershotdscwx50,/,5,9.2,5.2,117,/,sony
