,source_1_rowkeys,source_2_rowkeys,source_1_rec_ids,source_2_rec_ids,is_match
0,1,9,41,41,1
1,1,2678,41,41,1
2,1,3850,41,41,1
3,1,7536,41,41,1
4,1,10424,41,41,1
5,1,10654,41,41,1
6,3,2314,63,63,1
7,3,5098,63,63,1
8,3,7620,63,63,1
9,3,7952,63,63,1
10,3,8193,63,63,1
11,3,9260,63,63,1
12,3,11297,63,63,1
13,3,11485,63,63,1
14,3,11764,63,63,1
15,5,357,105,105,1
16,5,2281,105,105,1
17,5,2504,105,105,1
18,5,2996,105,105,1
19,5,4637,105,105,1
20,5,5877,105,105,1
21,5,6187,105,105,1
22,5,6456,105,105,1
23,5,7062,105,105,1
24,5,8017,105,105,1
25,5,8166,105,105,1
26,5,9372,105,105,1
27,5,10026,105,105,1
28,5,10051,105,105,1
29,5,10147,105,105,1
30,5,10148,105,105,1
31,5,10625,105,105,1
32,5,11854,105,105,1
33,5,12245,105,105,1
34,5,12827,105,105,1
35,5,13507,105,105,1
36,5,13870,105,105,1
37,5,13996,105,105,1
38,6,11,22,22,1
39,6,2068,22,22,1
40,6,2802,22,22,1
41,6,4879,22,22,1
42,6,5119,22,22,1
43,6,6528,22,22,1
44,6,6950,22,22,1
45,6,7137,22,22,1
46,6,7783,22,22,1
47,6,8284,22,22,1
48,6,9557,22,22,1
49,6,10016,22,22,1
50,6,12640,22,22,1
51,6,12701,22,22,1
52,6,13798,22,22,1
53,7,28,666,666,1
54,7,3547,666,666,1
55,8,14,84,84,1
56,8,605,84,84,1
57,8,688,84,84,1
58,8,1216,84,84,1
59,8,1385,84,84,1
60,8,2398,84,84,1
61,8,2491,84,84,1
62,8,2595,84,84,1
63,8,2625,84,84,1
64,8,2803,84,84,1
65,8,3006,84,84,1
66,8,3035,84,84,1
67,8,3177,84,84,1
68,8,3264,84,84,1
69,8,3298,84,84,1
70,8,4175,84,84,1
71,8,4885,84,84,1
72,8,5019,84,84,1
73,8,5100,84,84,1
74,8,5485,84,84,1
75,8,5616,84,84,1
76,8,5622,84,84,1
77,8,6066,84,84,1
78,8,6112,84,84,1
79,8,6248,84,84,1
80,8,6516,84,84,1
81,8,6648,84,84,1
82,8,6865,84,84,1
83,8,6898,84,84,1
84,8,7211,84,84,1
85,8,7455,84,84,1
86,8,7636,84,84,1
87,8,7648,84,84,1
88,8,8397,84,84,1
89,8,8455,84,84,1
90,8,8591,84,84,1
91,8,8757,84,84,1
92,8,9236,84,84,1
93,8,9352,84,84,1
94,8,9356,84,84,1
95,8,9547,84,84,1
96,8,9565,84,84,1
97,8,9585,84,84,1
98,8,10136,84,84,1
99,8,10193,84,84,1
100,8,10400,84,84,1
101,8,10459,84,84,1
102,8,10809,84,84,1
103,8,11350,84,84,1
104,8,11446,84,84,1
105,8,11848,84,84,1
106,8,11889,84,84,1
107,8,12125,84,84,1
108,8,12236,84,84,1
109,8,12257,84,84,1
110,8,12402,84,84,1
111,8,13214,84,84,1
112,8,13286,84,84,1
113,8,13346,84,84,1
114,8,13457,84,84,1
115,9,1959,662,662,1
116,9,2010,662,662,1
117,9,2307,662,662,1
118,9,9000,662,662,1
119,9,9888,662,662,1
120,9,11536,662,662,1
121,10,108,11,11,1
122,10,405,11,11,1
123,10,1010,11,11,1
124,10,2200,11,11,1
125,10,3144,11,11,1
126,10,3178,11,11,1
127,10,3237,11,11,1
128,10,3529,11,11,1
129,10,3859,11,11,1
130,10,4032,11,11,1
131,10,4476,11,11,1
132,10,5381,11,11,1
133,10,5426,11,11,1
134,10,5486,11,11,1
135,10,5936,11,11,1
136,10,5960,11,11,1
137,10,6144,11,11,1
138,10,6402,11,11,1
139,10,6762,11,11,1
140,10,6947,11,11,1
141,10,7050,11,11,1
142,10,7769,11,11,1
143,10,8417,11,11,1
144,10,8832,11,11,1
145,10,8895,11,11,1
146,10,9602,11,11,1
147,10,9620,11,11,1
148,10,9700,11,11,1
149,10,9725,11,11,1
150,10,9794,11,11,1
151,10,9815,11,11,1
152,10,9880,11,11,1
153,10,9886,11,11,1
154,10,10162,11,11,1
155,10,10168,11,11,1
156,10,10343,11,11,1
157,10,10614,11,11,1
158,10,11538,11,11,1
159,10,11556,11,11,1
160,10,11928,11,11,1
161,10,11987,11,11,1
162,10,12217,11,11,1
163,10,12310,11,11,1
164,10,12405,11,11,1
165,10,12588,11,11,1
166,10,12597,11,11,1
167,10,12648,11,11,1
168,10,12706,11,11,1
169,10,12807,11,11,1
170,10,13150,11,11,1
171,11,88,85,85,1
172,11,278,85,85,1
173,11,592,85,85,1
174,11,634,85,85,1
175,11,700,85,85,1
176,11,1187,85,85,1
177,11,1495,85,85,1
178,11,1534,85,85,1
179,11,1817,85,85,1
180,11,1947,85,85,1
181,11,2017,85,85,1
182,11,2081,85,85,1
183,11,2135,85,85,1
184,11,2137,85,85,1
185,11,2245,85,85,1
186,11,2341,85,85,1
187,11,2418,85,85,1
188,11,2985,85,85,1
189,11,3160,85,85,1
190,11,3176,85,85,1
191,11,3434,85,85,1
192,11,3571,85,85,1
193,11,3636,85,85,1
194,11,3941,85,85,1
195,11,3982,85,85,1
196,11,4041,85,85,1
197,11,4330,85,85,1
198,11,4379,85,85,1
199,11,4928,85,85,1
200,11,5105,85,85,1
201,11,5237,85,85,1
202,11,5277,85,85,1
203,11,5324,85,85,1
204,11,5329,85,85,1
205,11,5369,85,85,1
206,11,5439,85,85,1
207,11,5695,85,85,1
208,11,5731,85,85,1
209,11,6006,85,85,1
210,11,6223,85,85,1
211,11,6297,85,85,1
212,11,6780,85,85,1
213,11,7227,85,85,1
214,11,7362,85,85,1
215,11,7489,85,85,1
216,11,7603,85,85,1
217,11,7742,85,85,1
218,11,7961,85,85,1
219,11,8544,85,85,1
220,11,8574,85,85,1
221,11,8688,85,85,1
222,11,9104,85,85,1
223,11,9262,85,85,1
224,11,9388,85,85,1
225,11,9494,85,85,1
226,11,9724,85,85,1
227,11,9792,85,85,1
228,11,9861,85,85,1
229,11,9892,85,85,1
230,11,9971,85,85,1
231,11,10017,85,85,1
