,source_1_rowkeys,source_2_rowkeys,source_1_rec_ids,source_2_rec_ids,is_match
0,1,149,41,41,1
1,5,220,105,105,1
2,5,291,105,105,1
3,8,2,84,84,1
4,8,283,84,84,1
5,10,282,11,11,1
6,10,500,11,11,1
7,10,702,11,11,1
8,11,170,85,85,1
9,11,290,85,85,1
10,11,399,85,85,1
11,11,520,85,85,1
12,11,521,85,85,1
13,11,535,85,85,1
14,13,356,67,67,1
15,14,40,149,149,1
16,14,222,149,149,1
17,14,531,149,149,1
18,15,84,228,228,1
19,15,309,228,228,1
20,15,330,228,228,1
21,15,383,228,228,1
22,15,630,228,228,1
23,15,795,228,228,1
24,16,783,174,174,1
25,17,441,93,93,1
26,17,726,93,93,1
27,18,601,284,284,1
28,19,170,85,85,1
29,19,290,85,85,1
30,19,399,85,85,1
31,19,520,85,85,1
32,19,521,85,85,1
33,19,535,85,85,1
34,21,591,204,204,1
35,24,157,14,14,1
36,24,876,14,14,1
37,27,170,85,85,1
38,27,290,85,85,1
39,27,399,85,85,1
40,27,520,85,85,1
41,27,521,85,85,1
42,27,535,85,85,1
43,28,282,11,11,1
44,28,500,11,11,1
45,28,702,11,11,1
46,29,38,187,187,1
47,30,2,84,84,1
48,30,283,84,84,1
49,31,157,14,14,1
50,31,876,14,14,1
51,32,218,136,136,1
52,32,233,136,136,1
53,33,441,93,93,1
54,33,726,93,93,1
55,34,322,122,122,1
56,34,599,122,122,1
57,35,282,11,11,1
58,35,500,11,11,1
59,35,702,11,11,1
60,36,224,80,80,1
61,36,277,80,80,1
62,38,157,14,14,1
63,38,876,14,14,1
64,45,356,67,67,1
65,47,783,174,174,1
66,48,381,165,165,1
67,48,446,165,165,1
68,48,572,165,165,1
69,48,586,165,165,1
70,50,224,80,80,1
71,50,277,80,80,1
72,51,170,85,85,1
73,51,290,85,85,1
74,51,399,85,85,1
75,51,520,85,85,1
76,51,521,85,85,1
77,51,535,85,85,1
78,52,157,14,14,1
79,52,876,14,14,1
80,53,575,143,143,1
81,54,322,122,122,1
82,54,599,122,122,1
83,56,282,11,11,1
84,56,500,11,11,1
85,56,702,11,11,1
86,60,356,67,67,1
87,61,84,228,228,1
88,61,309,228,228,1
89,61,330,228,228,1
90,61,383,228,228,1
91,61,630,228,228,1
92,61,795,228,228,1
93,62,215,124,124,1
94,62,573,124,124,1
95,64,441,93,93,1
96,64,726,93,93,1
97,70,22,98,98,1
98,70,527,98,98,1
99,70,830,98,98,1
100,81,157,14,14,1
101,81,876,14,14,1
102,82,92,663,663,1
103,82,836,663,663,1
104,83,215,124,124,1
105,83,573,124,124,1
106,84,220,105,105,1
107,84,291,105,105,1
108,85,170,85,85,1
109,85,290,85,85,1
110,85,399,85,85,1
111,85,520,85,85,1
112,85,521,85,85,1
113,85,535,85,85,1
114,87,749,97,97,1
115,88,381,165,165,1
116,88,446,165,165,1
117,88,572,165,165,1
118,88,586,165,165,1
119,91,618,249,249,1
120,93,224,80,80,1
121,93,277,80,80,1
122,95,441,93,93,1
123,95,726,93,93,1
124,96,265,189,189,1
125,96,688,189,189,1
126,97,22,98,98,1
127,97,527,98,98,1
128,97,830,98,98,1
129,98,22,98,98,1
130,98,527,98,98,1
131,98,830,98,98,1
132,99,157,14,14,1
133,99,876,14,14,1
134,100,224,80,80,1
135,100,277,80,80,1
136,101,22,98,98,1
137,101,527,98,98,1
138,101,830,98,98,1
139,102,157,14,14,1
140,102,876,14,14,1
141,104,587,654,654,1
142,105,242,657,657,1
143,107,441,93,93,1
144,107,726,93,93,1
145,108,282,11,11,1
146,108,500,11,11,1
147,108,702,11,11,1
148,109,427,669,669,1
149,110,356,67,67,1
150,111,84,228,228,1
151,111,309,228,228,1
152,111,330,228,228,1
153,111,383,228,228,1
154,111,630,228,228,1
155,111,795,228,228,1
156,112,529,57,57,1
157,113,377,656,656,1
158,115,195,26,26,1
