,source_1_rowkeys,source_2_rowkeys,source_1_rec_ids,source_2_rec_ids,is_match
0,7,66,326,326,1
1,11,292,702,702,1
2,18,112,381,381,1
3,19,67,168,168,1
4,27,54,344,344,1
5,28,312,372,372,1
6,36,229,45,45,1
7,67,487,188,188,1
8,68,508,367,367,1
9,70,291,733,733,1
10,71,484,393,393,1
11,72,31,576,576,1
12,75,50,189,189,1
13,91,54,344,344,1
14,96,465,736,736,1
15,110,122,143,143,1
16,112,218,436,436,1
17,114,298,195,195,1
18,118,320,590,590,1
19,128,513,200,200,1
20,130,494,115,115,1
21,148,448,177,177,1
22,159,126,669,669,1
23,163,394,213,213,1
