,source_1_rowkeys,source_2_rowkeys,source_1_rec_ids,source_2_rec_ids,is_match
0,6,32,658,658,1
1,6,61,658,658,1
2,15,27,98,98,1
3,15,41,98,98,1
4,15,44,98,98,1
5,15,48,98,98,1
6,22,32,658,658,1
7,22,61,658,658,1
8,27,93,124,124,1
9,27,96,124,124,1
10,30,51,141,141,1
11,30,66,141,141,1
12,34,7,196,196,1
13,48,55,668,668,1
14,57,16,158,158,1
15,57,40,158,158,1
16,57,42,158,158,1
17,57,88,158,158,1
18,61,16,158,158,1
19,61,40,158,158,1
20,61,42,158,158,1
21,61,88,158,158,1
22,62,27,98,98,1
23,62,41,98,98,1
24,62,44,98,98,1
25,62,48,98,98,1
26,67,93,124,124,1
27,67,96,124,124,1
28,72,51,141,141,1
29,72,66,141,141,1
30,73,51,141,141,1
31,73,66,141,141,1
32,75,7,196,196,1
33,78,16,158,158,1
34,78,40,158,158,1
35,78,42,158,158,1
36,78,88,158,158,1
37,79,17,88,88,1
38,79,35,88,88,1
39,79,65,88,88,1
40,79,67,88,88,1
41,79,111,88,88,1
42,79,112,88,88,1
43,84,17,88,88,1
44,84,35,88,88,1
45,84,65,88,88,1
46,84,67,88,88,1
47,84,111,88,88,1
48,84,112,88,88,1
49,97,120,177,177,1
50,100,30,54,54,1
