,source_1_rowkeys,source_2_rowkeys,source_1_rec_ids,source_2_rec_ids,is_match
0,1,1,132,132,1
1,2,2,204,204,1
2,3,3,76,76,1
3,3,124,76,76,1
4,3,126,76,76,1
5,4,4,363,363,1
6,5,5,1587,1587,1
7,6,6,37,37,1
8,7,7,269,269,1
9,7,168,269,269,1
10,8,8,1173,1173,1
11,9,9,1603,1603,1
12,10,10,www.pricedekho.com//1100,www.pricedekho.com//1100,1
13,11,11,587,587,1
14,12,12,1182,1182,1
15,13,13,672,672,1
16,14,14,1736,1736,1
17,15,15,13,13,1
18,16,16,21,21,1
19,16,240,21,21,1
20,16,271,21,21,1
21,17,17,54,54,1
22,18,18,16,16,1
23,18,365,16,16,1
24,19,19,1686,1686,1
25,20,20,151,151,1
26,20,147,151,151,1
27,21,21,904,904,1
28,21,225,904,904,1
29,22,22,545,545,1
30,23,23,387,387,1
31,24,24,273,273,1
32,25,25,85,85,1
33,25,57,85,85,1
34,25,348,85,85,1
35,26,26,98,98,1
36,27,27,257,257,1
37,27,321,257,257,1
38,28,28,419,419,1
39,29,29,5,5,1
40,30,30,344,344,1
41,31,31,436,436,1
42,32,32,135,135,1
43,33,33,178,178,1
44,34,34,www.pricedekho.com//1270,www.pricedekho.com//1270,1
45,35,35,675,675,1
46,36,36,317,317,1
47,36,140,317,317,1
48,37,37,15,15,1
49,37,232,15,15,1
50,38,38,1546,1546,1
51,39,39,203,203,1
52,40,40,83,83,1
53,40,120,83,83,1
54,41,41,278,278,1
55,41,46,278,278,1
56,41,242,278,278,1
57,42,42,56,56,1
58,43,43,643,643,1
59,44,44,702,702,1
60,45,45,1009,1009,1
61,45,97,1009,1009,1
62,45,336,1009,1009,1
63,46,41,278,278,1
64,46,46,278,278,1
65,46,242,278,278,1
66,47,47,156,156,1
67,47,156,156,156,1
68,48,48,1737,1737,1
69,49,49,1646,1646,1
70,50,50,426,426,1
71,51,51,1717,1717,1
72,52,52,1012,1012,1
73,53,53,35,35,1
74,54,54,609,609,1
75,55,55,197,197,1
76,56,56,31,31,1
77,57,25,85,85,1
78,57,57,85,85,1
79,57,348,85,85,1
80,58,58,1660,1660,1
81,59,59,559,559,1
82,59,317,559,559,1
83,60,60,653,653,1
84,61,61,326,326,1
85,62,62,1264,1264,1
86,63,63,208,208,1
87,64,64,1474,1474,1
88,65,65,1740,1740,1
89,66,66,201,201,1
90,66,93,201,201,1
91,67,67,464,464,1
92,68,68,950,950,1
93,69,69,177,177,1
94,70,70,58,58,1
95,71,71,22,22,1
96,72,72,373,373,1
97,73,73,634,634,1
98,74,74,571,571,1
99,75,75,154,154,1
100,76,76,125,125,1
101,76,138,125,125,1
102,76,170,125,125,1
103,77,77,1282,1282,1
104,78,78,433,433,1
105,79,79,1739,1739,1
106,80,80,1735,1735,1
107,81,81,112,112,1
108,82,82,www.pricedekho.com//1116,www.pricedekho.com//1116,1
109,83,83,272,272,1
110,84,84,57,57,1
111,85,85,473,473,1
112,86,86,682,682,1
113,86,234,682,682,1
114,87,87,172,172,1
115,87,276,172,172,1
116,87,305,172,172,1
117,88,88,108,108,1
118,89,89,1370,1370,1
119,90,90,555,555,1
120,91,91,650,650,1
121,92,92,www.pricedekho.com//1055,www.pricedekho.com//1055,1
122,93,66,201,201,1
123,93,93,201,201,1
124,94,94,166,166,1
125,95,95,928,928,1
126,96,96,354,354,1
127,97,45,1009,1009,1
128,97,97,1009,1009,1
129,97,336,1009,1009,1
130,98,98,1517,1517,1
131,99,99,1750,1750,1
132,100,100,1743,1743,1
133,101,101,892,892,1
134,102,102,1734,1734,1
135,102,296,1734,1734,1
136,103,103,265,265,1
137,104,104,238,238,1
138,105,105,383,383,1
139,106,106,547,547,1
140,107,107,106,106,1
141,108,108,829,829,1
142,109,109,1630,1630,1
143,110,110,1408,1408,1
144,111,111,726,726,1
145,112,112,939,939,1
146,113,113,84,84,1
147,113,325,84,84,1
148,114,114,196,196,1
149,114,258,196,196,1
150,115,115,www.pricedekho.com//1024,www.pricedekho.com//1024,1
151,116,116,255,255,1
152,117,117,621,621,1
153,118,118,445,445,1
154,119,119,121,121,1
155,120,40,83,83,1
156,120,120,83,83,1
157,121,121,392,392,1
158,122,122,118,118,1
159,123,123,1360,1360,1
160,124,3,76,76,1
161,124,124,76,76,1
162,124,126,76,76,1
163,125,125,59,59,1
164,126,3,76,76,1
165,126,124,76,76,1
166,126,126,76,76,1
167,127,127,307,307,1
168,128,128,171,171,1
169,129,129,206,206,1
170,130,130,632,632,1
171,131,131,360,360,1
172,131,216,360,360,1
173,132,132,336,336,1
174,133,133,115,115,1
175,134,134,617,617,1
176,135,135,674,674,1
177,136,136,271,271,1
178,137,137,925,925,1
179,138,76,125,125,1
180,138,138,125,125,1
181,138,170,125,125,1
182,139,139,11,11,1
183,140,36,317,317,1
184,140,140,317,317,1
185,141,141,1721,1721,1
186,142,142,12,12,1
187,142,150,12,12,1
188,143,143,www.pricedekho.com//1114,www.pricedekho.com//1114,1
189,144,144,45,45,1
190,145,145,1697,1697,1
191,146,146,1741,1741,1
192,147,20,151,151,1
193,147,147,151,151,1
194,148,148,1389,1389,1
195,149,149,1702,1702,1
196,150,142,12,12,1
197,150,150,12,12,1
198,151,151,1217,1217,1
199,152,152,1545,1545,1
200,153,153,777,777,1
201,154,154,1544,1544,1
202,155,155,586,586,1
203,156,47,156,156,1
204,156,156,156,156,1
205,157,157,1746,1746,1
206,158,158,372,372,1
207,159,159,562,562,1
208,160,160,422,422,1
209,161,161,263,263,1
210,162,162,315,315,1
211,163,163,659,659,1
212,164,164,607,607,1
213,164,237,607,607,1
214,164,294,607,607,1
215,165,165,536,536,1
216,166,166,1334,1334,1
217,167,167,333,333,1
218,168,7,269,269,1
219,168,168,269,269,1
220,169,169,1052,1052,1
221,170,76,125,125,1
222,170,138,125,125,1
223,170,170,125,125,1
224,171,171,199,199,1
225,172,172,872,872,1
226,173,173,581,581,1
227,174,174,1655,1655,1
228,175,175,209,209,1
229,176,176,432,432,1
230,177,177,448,448,1
231,178,178,513,513,1
232,179,179,72,72,1
233,179,210,72,72,1
234,180,180,859,859,1
235,180,194,859,859,1
236,181,181,110,110,1
237,182,182,1698,1698,1
238,182,207,1698,1698,1
239,183,183,1354,1354,1
240,184,184,455,455,1
241,185,185,152,152,1
242,186,186,924,924,1
243,187,187,1178,1178,1
244,187,362,1178,1178,1
245,188,188,1663,1663,1
246,189,189,1676,1676,1
247,190,190,362,362,1
248,191,191,908,908,1
249,192,192,984,984,1
250,193,193,399,399,1
251,194,180,859,859,1
252,194,194,859,859,1
253,195,195,647,647,1
254,196,196,1730,1730,1
255,197,197,1728,1728,1
256,198,198,1745,1745,1
257,199,199,200,200,1
258,200,200,165,165,1
259,201,201,1699,1699,1
260,202,202,948,948,1
261,203,203,160,160,1
262,204,204,309,309,1
263,205,205,1749,1749,1
264,206,206,1374,1374,1
265,207,182,1698,1698,1
266,207,207,1698,1698,1
267,208,208,553,553,1
268,209,209,460,460,1
269,210,179,72,72,1
270,210,210,72,72,1
271,211,211,615,615,1
272,212,212,697,697,1
273,213,213,1212,1212,1
274,214,214,185,185,1
275,215,215,652,652,1
276,216,131,360,360,1
277,216,216,360,360,1
278,217,217,613,613,1
279,218,218,43,43,1
280,219,219,1134,1134,1
281,220,220,450,450,1
282,221,221,368,368,1
283,222,222,228,228,1
284,223,223,1703,1703,1
285,224,224,1364,1364,1
286,225,21,904,904,1
287,225,225,904,904,1
288,226,226,390,390,1
289,227,227,552,552,1
290,228,228,338,338,1
291,229,229,1226,1226,1
292,229,353,1226,1226,1
293,230,230,74,74,1
294,231,231,www.pricedekho.com//1027,www.pricedekho.com//1027,1
295,232,37,15,15,1
296,232,232,15,15,1
297,233,233,512,512,1
298,234,86,682,682,1
299,234,234,682,682,1
300,235,235,938,938,1
301,236,236,1491,1491,1
302,237,164,607,607,1
303,237,237,607,607,1
304,237,294,607,607,1
305,238,238,1410,1410,1
306,239,239,684,684,1
307,240,16,21,21,1
308,240,240,21,21,1
309,240,271,21,21,1
310,241,241,249,249,1
311,242,41,278,278,1
312,242,46,278,278,1
313,242,242,278,278,1
314,243,243,499,499,1
315,244,244,1143,1143,1
316,245,245,1670,1670,1
317,245,364,1670,1670,1
318,246,246,150,150,1
319,247,247,www.pricedekho.com//1003,www.pricedekho.com//1003,1
320,248,248,1654,1654,1
321,249,249,267,267,1
322,250,250,97,97,1
323,251,251,1716,1716,1
324,252,252,575,575,1
325,253,253,1402,1402,1
326,254,254,595,595,1
327,255,255,91,91,1
328,255,265,91,91,1
329,256,256,www.pricedekho.com//1128,www.pricedekho.com//1128,1
330,257,257,66,66,1
331,258,114,196,196,1
332,258,258,196,196,1
333,259,259,1398,1398,1
334,260,260,280,280,1
335,261,261,1406,1406,1
336,262,262,620,620,1
337,263,263,1349,1349,1
338,264,264,1738,1738,1
339,265,255,91,91,1
340,265,265,91,91,1
341,266,266,510,510,1
342,267,267,111,111,1
343,268,268,1681,1681,1
344,269,269,580,580,1
345,270,270,887,887,1
346,271,16,21,21,1
347,271,240,21,21,1
348,271,271,21,21,1
349,272,272,1405,1405,1
350,273,273,894,894,1
351,274,274,331,331,1
352,275,275,www.pricedekho.com//753,www.pricedekho.com//753,1
353,276,87,172,172,1
354,276,276,172,172,1
355,276,305,172,172,1
356,277,277,485,485,1
357,278,278,361,361,1
358,279,279,503,503,1
359,280,280,313,313,1
360,281,281,696,696,1
361,282,282,67,67,1
362,283,283,1151,1151,1
363,284,284,www.pricedekho.com//1149,www.pricedekho.com//1149,1
364,285,285,259,259,1
365,286,286,1701,1701,1
366,287,287,270,270,1
367,288,288,535,535,1
368,289,289,1711,1711,1
369,290,290,1744,1744,1
370,291,291,1726,1726,1
371,292,292,138,138,1
372,293,293,834,834,1
373,294,164,607,607,1
374,294,237,607,607,1
375,294,294,607,607,1
376,295,295,1727,1727,1
377,296,102,1734,1734,1
378,296,296,1734,1734,1
379,297,297,153,153,1
380,298,298,795,795,1
381,299,299,668,668,1
382,300,300,60,60,1
383,301,301,469,469,1
384,302,302,841,841,1
385,303,303,520,520,1
386,304,304,410,410,1
387,305,87,172,172,1
388,305,276,172,172,1
389,305,305,172,172,1
390,306,306,910,910,1
391,307,307,214,214,1
392,308,308,233,233,1
393,309,309,1550,1550,1
394,310,310,1722,1722,1
395,311,311,1121,1121,1
396,312,312,www.pricedekho.com//757,www.pricedekho.com//757,1
397,313,313,149,149,1
398,314,314,65,65,1
399,315,315,195,195,1
400,316,316,71,71,1
401,317,59,559,559,1
402,317,317,559,559,1
403,318,318,644,644,1
404,319,319,415,415,1
405,320,320,655,655,1
406,321,27,257,257,1
407,321,321,257,257,1
408,322,322,560,560,1
409,323,323,261,261,1
410,324,324,29,29,1
411,325,113,84,84,1
412,325,325,84,84,1
413,326,326,319,319,1
414,327,327,78,78,1
415,328,328,591,591,1
416,329,329,1460,1460,1
417,330,330,241,241,1
418,331,331,1083,1083,1
419,332,332,188,188,1
420,333,333,9,9,1
421,334,334,1748,1748,1
422,335,335,1352,1352,1
423,336,45,1009,1009,1
424,336,97,1009,1009,1
425,336,336,1009,1009,1
426,337,337,657,657,1
427,338,338,388,388,1
428,339,339,17,17,1
429,340,340,40,40,1
430,341,341,528,528,1
431,342,342,63,63,1
432,343,343,670,670,1
433,344,344,www.pricedekho.com//1106,www.pricedekho.com//1106,1
434,345,345,364,364,1
435,346,346,660,660,1
436,347,347,1747,1747,1
437,348,25,85,85,1
438,348,57,85,85,1
439,348,348,85,85,1
440,349,349,www.pricedekho.com//1113,www.pricedekho.com//1113,1
441,350,350,435,435,1
442,351,351,654,654,1
443,352,352,424,424,1
444,353,229,1226,1226,1
445,353,353,1226,1226,1
446,354,354,912,912,1
447,355,355,700,700,1
448,356,356,1401,1401,1
449,357,357,126,126,1
450,358,358,602,602,1
451,359,359,88,88,1
452,359,360,88,88,1
453,360,359,88,88,1
454,360,360,88,88,1
455,361,361,1742,1742,1
456,362,187,1178,1178,1
457,362,362,1178,1178,1
458,363,363,210,210,1
459,364,245,1670,1670,1
460,364,364,1670,1670,1
461,365,18,16,16,1
462,365,365,16,16,1
463,366,366,14,14,1
