,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,is_match,pred,probabilties_0,probabilties_1,AbsDiff,signifikant_diff
0,2,2,1.0,1.0,2,2,0,0,2,2.0,1.0,1,0.0076313615,0.99236864,0.9847373,1
1,2,2,1.0,1.0,2,2,0,0,2,2.0,1.0,1,0.0076313615,0.99236864,0.9847373,1
2,2,2,0.7619047619047619,1.0,2,2,2,2,2,2.0,1.0,1,0.15965354,0.84034646,0.6806929,0
3,2,2,0.6,0.0,2,2,0,0,2,1.0,0.0,0,0.9971429,0.002857061,0.9942858,1
4,2,2,0.6,0.0,2,2,0,0,2,1.0,0.0,0,0.9971429,0.002857061,0.9942858,1
5,2,2,1.0,1.0,2,2,0,0,2,2.0,1.0,1,0.0076313615,0.99236864,0.9847373,1
6,2,2,0.5531914893617021,0.1428571428571428,2,2,0,0,2,2.0,0.0,0,0.99688154,0.00311845,0.9937631,1
7,2,2,1.0,1.0,2,2,0,0,2,2.0,1.0,1,0.0076313615,0.99236864,0.9847373,1
8,2,2,1.0,1.0,2,2,0,0,2,2.0,1.0,1,0.0076313615,0.99236864,0.9847373,1
9,2,2,1.0,1.0,2,2,0,0,2,1.0,1.0,1,0.0076313615,0.99236864,0.9847373,1
10,2,2,1.0,1.0,2,2,0,0,2,2.0,1.0,1,0.0076313615,0.99236864,0.9847373,1
11,2,2,0.3846153846153846,0.0,2,2,0,0,2,2.0,0.0,0,0.99592125,0.004078725,0.9918425,1
12,2,2,0.303030303030303,0.0,2,2,2,2,2,2.0,0.0,0,0.994053,0.005946972,0.988106,1
13,2,2,0.4242424242424242,0.5,2,2,2,2,2,2.0,1.0,1,0.47327816,0.52672184,0.05344367,0
14,2,2,0.6285714285714286,1.0,2,2,0,0,2,2.0,1.0,1,0.009445608,0.9905544,0.9811088,1
15,2,2,0.7692307692307693,0.25,2,2,0,0,2,2.0,0.0,0,0.95107067,0.04892931,0.90214133,0
16,2,2,0.3428571428571428,0.0625,2,2,0,0,0,2.0,0.0,0,0.99592125,0.004078725,0.9918425,1
17,2,2,0.48,0.3333333333333333,2,2,0,0,0,2.0,1.0,0,0.9597794,0.040220633,0.91955876,0
18,2,2,0.6486486486486487,1.0,2,2,0,0,2,2.0,1.0,1,0.011118472,0.9888815,0.97776306,1
19,2,2,0.5,0.375,2,2,0,0,2,2.0,0.0,0,0.9259634,0.07403658,0.8519268,0
20,2,2,0.5925925925925926,0.0,2,2,0,0,0,0.25,0.0,0,0.9971429,0.002857061,0.9942858,1
21,2,2,1.0,1.0,2,2,0,0,0,0.5833333333333334,1.0,1,0.0076313615,0.99236864,0.9847373,1
22,2,2,1.0,1.0,2,2,2,2,2,2.0,1.0,1,0.0075561404,0.99244386,0.9848877,1
23,2,2,0.4242424242424242,0.5,2,2,0,0,2,2.0,1.0,1,0.23085254,0.76914746,0.5382949,0
24,2,2,0.5,0.0,2,2,0,0,2,1.0,0.0,0,0.99169236,0.008307623,0.9833847,1
25,2,2,0.631578947368421,0.0,2,2,0,0,2,1.0,0.0,0,0.9737483,0.026251651,0.94749665,1
26,2,2,1.0,1.0,2,2,0,0,2,1.0,1.0,1,0.0076313615,0.99236864,0.9847373,1
27,2,2,0.6206896551724138,0.0,2,2,0,0,2,2.0,0.0,0,0.99675125,0.0032487449,0.9935025,1
28,2,2,0.5714285714285714,0.0,2,2,0,0,2,2.0,0.0,0,0.9973518,0.0026482013,0.99470365,1
29,2,2,0.4666666666666667,0.0,2,2,2,2,2,2.0,0.0,0,0.9702212,0.029778777,0.94044244,1
30,2,2,0.5925925925925926,0.0,2,2,0,0,2,2.0,0.0,0,0.9971429,0.002857061,0.9942858,1
31,2,2,0.8,1.0,2,2,0,0,2,2.0,1.0,1,0.03337872,0.9666213,0.93324256,0
32,2,2,0.5517241379310345,0.0,2,2,0,0,2,2.0,0.0,0,0.9973518,0.0026482013,0.99470365,1
33,2,2,0.4242424242424242,0.5,2,2,0,0,2,2.0,1.0,1,0.23085254,0.76914746,0.5382949,0
34,2,2,1.0,1.0,2,2,0,0,2,1.0,1.0,1,0.0076313615,0.99236864,0.9847373,1
35,2,2,1.0,1.0,2,2,0,0,2,2.0,1.0,1,0.0076313615,0.99236864,0.9847373,1
36,2,2,0.2777777777777778,0.0,2,2,0,0,2,2.0,0.0,0,0.99592125,0.004078725,0.9918425,1
37,2,2,0.3333333333333333,0.0,2,2,0,0,2,2.0,0.0,0,0.99592125,0.004078725,0.9918425,1
38,2,2,0.4,0.25,2,2,0,0,0,1.0,0.0,0,0.99357104,0.0064289705,0.9871421,1
39,2,2,1.0,1.0,2,2,0,0,2,2.0,1.0,1,0.0076313615,0.99236864,0.9847373,1
40,2,2,0.3428571428571428,0.25,2,2,0,0,2,2.0,0.0,0,0.99519825,0.004801773,0.9903965,1
41,2,2,0.4444444444444444,0.5,2,2,0,0,2,2.0,1.0,1,0.23085254,0.76914746,0.5382949,0
42,2,2,0.8292682926829268,0.4,2,2,0,0,2,2.0,1.0,0,0.8289781,0.17102188,0.65795624,0
43,2,2,0.3529411764705882,0.1666666666666666,2,2,0,0,2,2.0,0.0,0,0.99519825,0.004801773,0.9903965,1
44,2,2,0.5517241379310345,1.0,2,2,0,0,2,2.0,1.0,1,0.044000506,0.9559995,0.911999,0
45,2,2,1.0,1.0,2,2,0,0,2,2.0,1.0,1,0.0076313615,0.99236864,0.9847373,1
46,2,2,1.0,1.0,2,2,0,0,2,2.0,1.0,1,0.0076313615,0.99236864,0.9847373,1
47,2,2,1.0,1.0,2,2,0,0,2,2.0,1.0,1,0.0076313615,0.99236864,0.9847373,1
48,2,2,0.5,0.8333333333333334,2,2,0,0,2,2.0,1.0,1,0.09960735,0.90039265,0.8007853,0
49,2,2,1.0,1.0,2,2,0,0,2,2.0,1.0,1,0.0076313615,0.99236864,0.9847373,1
50,2,2,0.4545454545454545,0.0,2,2,0,0,2,2.0,0.0,0,0.9945378,0.005462245,0.98907554,1
51,2,2,1.0,1.0,2,2,0,0,2,2.0,1.0,1,0.0076313615,0.99236864,0.9847373,1
52,2,2,0.8648648648648649,1.0,2,2,0,0,2,2.0,1.0,1,0.03455621,0.9654438,0.9308876,0
