,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,is_match,pred,probabilties_0,probabilties_1,AbsDiff,signifikant_diff
0,2,2,1.0,1.0,2,1.0,1.0,0.942528735632184,1.0,1.0,1.0,1,0.02205044,0.97794956,0.9558991,1
1,2,2,0.8292682926829268,1.0,2,1.0,1.0,1.0,2.0,1.0,1.0,1,0.07087231,0.9291277,0.8582554,0
2,2,2,0.4571428571428571,0.1428571428571428,2,0.0,0.3910256410256409,0.2270531400966181,0.0,1.0,0.0,0,0.99892616,0.0010738295,0.9978523,1
3,2,2,1.0,1.0,2,1.0,1.0,1.0,2.0,1.0,1.0,1,0.018526614,0.9814734,0.9629468,1
4,2,2,1.0,1.0,2,2.0,1.0,1.0,1.0,1.0,1.0,1,0.0075561404,0.99244386,0.9848877,1
5,2,2,0.3448275862068966,0.0,2,2.0,0.0,0.0,0.0,2.0,0.0,0,0.99592125,0.004078725,0.9918425,1
6,2,2,0.8695652173913043,0.1666666666666666,2,0.0,0.8412698412698414,0.7286821705426358,1.0,1.0,0.0,0,0.9828428,0.017157184,0.9656856,1
7,2,2,0.5,0.0,2,2.0,0.4615384615384615,0.0,0.0,0.25,0.0,0,0.9985466,0.0014533728,0.9970932,1
8,2,2,0.5517241379310345,0.0,2,0.0,0.9696969696969698,0.9479166666666664,0.9515151515151516,0.0,0.0,0,0.999494,0.00050601043,0.99898803,1
9,2,2,0.8275862068965517,1.0,2,1.0,0.0,0.0,1.0,0.3333333333333333,1.0,1,0.07886082,0.9211392,0.84227836,0
10,2,2,0.8484848484848485,0.0,2,0.0,0.7988505747126439,0.0804597701149426,0.0,0.3333333333333333,0.0,0,0.98375964,0.016240334,0.9675193,1
11,2,2,0.5161290322580645,0.0,2,2.0,0.641025641025641,0.7849462365591393,0.3628437290409122,0.25,0.0,0,0.9985466,0.0014533728,0.9970932,1
12,2,2,0.5714285714285714,0.0,2,0.0,0.8275862068965518,0.1187739463601535,0.0,0.0,0.0,0,0.999494,0.00050601043,0.99898803,1
13,2,2,0.6428571428571429,0.0,2,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0,0.9795274,0.020472562,0.9590548,1
14,2,2,1.0,1.0,2,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1,0.018526614,0.9814734,0.9629468,1
15,2,2,0.4375,0.3333333333333333,2,0.4333333333333335,0.0,0.0,0.0,0.25,0.0,0,0.9869771,0.013022911,0.9739542,1
16,2,2,0.5,1.0,2,1.0,0.0,0.0,1.0,0.3333333333333333,1.0,1,0.029480338,0.97051966,0.9410393,1
17,2,2,0.5,1.0,2,1.0,1.0,1.0,1.0,0.2,1.0,1,0.033437908,0.9665621,0.9331242,0
18,2,2,0.4375,0.3333333333333333,2,0.4333333333333335,0.0,0.0,0.0,0.25,0.0,0,0.9869771,0.013022911,0.9739542,1
19,2,2,0.65,0.0,2,0.0,0.0,0.0,0.0,0.1,0.0,0,0.97487384,0.025126176,0.9497477,1
20,2,2,0.65,0.0,2,0.0,0.0,0.0,0.0,0.1,0.0,0,0.97487384,0.025126176,0.9497477,1
21,2,2,0.7692307692307693,0.0,2,0.0,0.0,0.0,0.0,0.1,0.0,0,0.9819332,0.018066837,0.96386635,1
22,2,2,0.7692307692307693,0.0,2,0.0,0.0,0.0,0.0,0.1,0.0,0,0.9819332,0.018066837,0.96386635,1
23,2,2,0.7142857142857143,0.6666666666666666,2,1.0,1.0,1.0,1.0,0.25,1.0,0,0.52550614,0.4744939,0.051012248,0
24,2,2,0.5,0.0,2,0.0,0.3483709273182954,0.0,0.0,0.3333333333333333,0.0,0,0.9984053,0.0015947167,0.99681056,1
25,2,2,0.4827586206896552,0.0,2,1.0,0.781931464174455,0.8360655737704918,0.7185185185185186,0.3333333333333333,0.0,0,0.9984053,0.0015947167,0.99681056,1
26,2,2,0.303030303030303,0.2,2,0.0,0.3121693121693122,0.144144144144144,0.0,0.1,0.0,0,0.99904346,0.00095652585,0.9980869,1
27,2,2,0.375,0.6666666666666666,2,0.0,1.0,1.0,0.6629213483146068,1.0,0.0,1,0.45473027,0.5452697,0.090539455,0
28,2,2,0.6,0.2,2,0.0,0.2913385826771655,0.144144144144144,0.0,0.1,0.0,0,0.99945396,0.00054601126,0.9989079,1
