,key,source,famer_model_list,famer_model_no_list,famer_mpn_list,famer_ean_list,famer_product_name,famer_digital_zoom,famer_optical_zoom,famer_width,famer_height,famer_weight,famer_sensor,famer_brand_list,famer_resolution_from,famer_resolution_to,famer_megapixel
237,5f3ba61f3fd5b671b2200b41,www.cambuy.com.au,dmctz60,/,/,/,panasoniclumixdmctz60,4,30.0,,,214,/,panasonic,/,/,/
238,5f3ba61f3fd5b671b2200b48,www.cambuy.com.au,sx520,/,/,/,canonpowershotsx520,,,12.0,8.17,441,/,canon,/,/,/
239,5f3ba61f3fd5b671b2200b50,www.cambuy.com.au,df,/,/,/,nikondfdslr,,,14.35,11.0,765,/,nikon,/,/,/
240,5f3ba61f3fd5b671b2200b54,www.cambuy.com.au,s2800,/,/,/,nikoncoolpixs2800,,,9.379999999999999,5.84,120,/,nikon,/,/,/
241,5f3ba61f3fd5b671b2200b56,www.cambuy.com.au,l830,/,/,/,nikoncoolpixl830,,,11.1,7.58,508,/,nikon,/,/,/
242,5f3ba61f3fd5b671b2200b6b,www.cambuy.com.au,s3600,/,/,/,nikoncoolpixs3600,,,9.709999999999999,5.79,125,/,nikon,/,/,/
243,5f3ba61f3fd5b671b2200b6d,www.cambuy.com.au,sp100ee,/,/,/,olympusstylustravellersp100ee,2,,12.120000000000001,9.129999999999999,,/,olympus,/,/,/
244,5f3ba61f3fd5b671b2200b8f,www.cambuy.com.au,d7100,/,/,/,nikond7100,,,13.55,10.65,765,/,nikon,/,/,/
245,5f3ba61f3fd5b671b2200bb0,www.cambuy.com.au,s9600,/,/,/,nikoncoolpixs9600,,,10.86,6.1,206,/,nikon,/,/,/
246,5f3ba61f3fd5b671b2200bb1,www.cambuy.com.au,d5300,/,/,/,nikond5300,,,12.5,9.8,530,/,nikon,/,/,/
247,5f3ba61f3fd5b671b2200bb3,www.cambuy.com.au,700d,/,/,/,canoneos700d,,,13.309999999999999,9.98,,/,canon,/,/,/
1977,5f3ba61f3fd5b671b2200b42,www.cambuy.com.au,wg4,/,/,/,ricohwg4,7.2,4.0,,,,/,ricoh,/,/,/
1978,5f3ba61f3fd5b671b2200b5d,www.cambuy.com.au,em1,/,/,/,olympusomdem1,,,,,,/,olympus,/,/,/
1979,5f3ba61f3fd5b671b2200b73,www.cambuy.com.au,a6000,/,/,/,sonya6000,,,12.0,6.69,,/,sony,/,/,/
1980,5f3ba61f3fd5b671b2200b78,www.cambuy.com.au,100d,/,/,/,canoneos100d,,,11.68,9.07,,/,canon,/,/,/
1981,5f3ba61f3fd5b671b2200b87,www.cambuy.com.au,tg3,/,/,/,olympusstylustoughtg3,4,,11.15,6.590000000000001,,/,olympus,/,/,/
1982,5f3ba61f3fd5b671b2200b89,www.cambuy.com.au,dmcgx7,/,/,/,panasoniclumixdmcgx7,2,,12.26,7.07,402,/,panasonic,/,/,/
1983,5f3ba61f3fd5b671b2200b8b,www.cambuy.com.au,hs30,/,/,/,fujifilmfinepixhs30,2,,,,687,/,fujifilm,/,/,/
1984,5f3ba61f3fd5b671b2200b90,www.cambuy.com.au,700d,/,/,/,canoneos700d,,,13.309999999999999,9.98,,/,canon,/,/,/
1985,5f3ba61f3fd5b671b2200bb2,www.cambuy.com.au,dmclx100,/,/,/,panasoniclumixdmclx100,4,3.1,,,351,/,panasonic,/,/,/
3773,5f3ba61f3fd5b671b2200b3f,www.cambuy.com.au,dscrx10,/,/,/,sonycybershotdscrx10,,8.3,12.9,8.809999999999999,,/,sony,/,/,/
3774,5f3ba61f3fd5b671b2200b43,www.cambuy.com.au,sx400,/,/,/,canonpowershotsx400,,,10.440000000000001,6.909999999999999,313,/,canon,/,/,/
3775,5f3ba61f3fd5b671b2200b4a,www.cambuy.com.au,stylus1,/,/,/,olympusstylus1,4,,11.620000000000001,8.7,346,/,olympus,/,/,/
3776,5f3ba61f3fd5b671b2200b52,www.cambuy.com.au,d3300,/,/,/,nikond3300,,,12.4,9.8,460,/,nikon,/,/,/
3777,5f3ba61f3fd5b671b2200b6c,www.cambuy.com.au,s32,/,/,/,nikoncoolpixs32,,,10.76,6.609999999999999,175,/,nikon,/,/,/
3778,5f3ba61f3fd5b671b2200b6e,www.cambuy.com.au,ixus150,/,/,/,canonixus150,,,9.52,5.43,130,/,canon,/,/,/
3779,5f3ba61f3fd5b671b2200b7d,www.cambuy.com.au,700d,/,/,/,canoneos700d,,,13.309999999999999,9.98,,/,canon,/,/,/
3780,5f3ba61f3fd5b671b2200b80,www.cambuy.com.au,d5300,/,/,/,nikond5300,,,12.5,9.8,530,/,nikon,/,/,/
3781,5f3ba61f3fd5b671b2200b8d,www.cambuy.com.au,dscrx100,/,/,/,sonycybershotdscrx100,,3.6,10.16,5.8100000000000005,,/,sony,/,/,/
3782,5f3ba61f3fd5b671b2200ba2,www.cambuy.com.au,d7100,/,/,/,nikond7100,,,13.55,10.65,765,/,nikon,/,/,/
3783,5f3ba61f3fd5b671b2200ba5,www.cambuy.com.au,d3300,/,/,/,nikond3300,,,12.4,9.8,460,/,nikon,/,/,/
3784,5f3ba61f3fd5b671b2200ba8,www.cambuy.com.au,tg850,/,/,/,olympusstylustoughtg850,4,,10.99,6.409999999999999,,/,olympus,/,/,/
3785,5f3ba61f3fd5b671b2200ba9,www.cambuy.com.au,dmcgx7,/,/,/,panasoniclumixdmcgx7,2,,12.26,7.07,402,/,panasonic,/,/,/
5538,5f3ba61f3fd5b671b2200b59,www.cambuy.com.au,p600,/,/,/,nikoncoolpixp600,,,12.5,8.5,565,/,nikon,/,/,/
5539,5f3ba61f3fd5b671b2200b5f,www.cambuy.com.au,d5300,/,/,/,nikond5300,,,12.5,9.8,530,/,nikon,/,/,/
5540,5f3ba61f3fd5b671b2200b81,www.cambuy.com.au,dscw830,/,/,/,sonycybershotdscw830,,8.0,9.309999999999999,5.25,,/,sony,/,/,/
5541,5f3ba61f3fd5b671b2200b83,www.cambuy.com.au,s6800,/,/,/,nikoncoolpixs6800,,,9.68,5.75,145,/,nikon,/,/,/
5542,5f3ba61f3fd5b671b2200b84,www.cambuy.com.au,d3300,/,/,/,nikond3300,,,12.4,9.8,460,/,nikon,/,/,/
5543,5f3ba61f3fd5b671b2200ba6,www.cambuy.com.au,ixus145,/,/,/,canonixus145,,,9.52,5.43,127,/,canon,/,/,/
5544,5f3ba61f3fd5b671b2200bac,www.cambuy.com.au,s3600,/,/,/,nikoncoolpixs3600,,,9.709999999999999,5.79,125,/,nikon,/,/,/
5545,5f3ba61f3fd5b671b2200baf,www.cambuy.com.au,ixus155,/,/,/,canonixus155,,,9.53,5.68,142,/,canon,/,/,/
7258,5f3ba61f3fd5b671b2200b4d,www.cambuy.com.au,s6800,/,/,/,nikoncoolpixs6800,,,9.68,5.75,145,/,nikon,/,/,/
7259,5f3ba61f3fd5b671b2200b58,www.cambuy.com.au,sx60,/,/,/,canonpowershotsx60,,,,,650,/,canon,/,/,/
7260,5f3ba61f3fd5b671b2200b5a,www.cambuy.com.au,df,/,/,/,nikondfdslr,,,14.35,11.0,765,/,nikon,/,/,/
7261,5f3ba61f3fd5b671b2200b74,www.cambuy.com.au,em1,/,/,/,olympusomdem1,,,,,,/,olympus,/,/,/
7262,5f3ba61f3fd5b671b2200b82,www.cambuy.com.au,s2800,/,/,/,nikoncoolpixs2800,,,9.379999999999999,5.84,120,/,nikon,/,/,/
