,key,source,famer_model_list,famer_model_no_list,famer_mpn_list,famer_ean_list,famer_product_name,famer_digital_zoom,famer_optical_zoom,famer_width,famer_height,famer_weight,famer_sensor,famer_brand_list,famer_resolution_from,famer_resolution_to,famer_megapixel
137,5f3ba61e3fd5b671b22006c2,cammarkt.com,kr,,/,27075158412,pentaxkr,,,12.2,9.144,517.09488,CMOS,pentax,/,/,/
138,5f3ba61e3fd5b671b22006d0,cammarkt.com,k5ii,5-2,/,27075176546,pentaxk5ii,,,13.208,9.7,662.24432,CMOS,pentax,/,/,/
139,5f3ba61e3fd5b671b22006da,cammarkt.com,t4i,4,/,,canoneosrebelt4i,,80.0,,,530.70264,CMOS,canon,/,/,/
140,5f3ba61e3fd5b671b22006dd,cammarkt.com,d5200,5200,/,,nikond5200,,,,,360.78 ,CMOS,nikon,/,/,/
141,5f3ba61e3fd5b671b22006e8,cammarkt.com,d600,600,/,18208131877,nikond600,,80.0,,,762.0345599999999,CMOS,nikon,/,/,/
142,5f3ba61e3fd5b671b22006e9,cammarkt.com,"rebel xt\,rebelxt",,/,013803049626,canonrebelxt,,,12.6492,9.4234,680.3879999999999,CMOS,canon,/,/,/
143,5f3ba61e3fd5b671b22006f6,cammarkt.com,evnx300zbsvus,300,/,887276855400,samsungnxevnx300zbsvus,2,3.0,,,281.22704,,samsung,/,/,/
144,5f3ba61e3fd5b671b22006f7,cammarkt.com,k30,30,/,,pentaxk30,,,12.953999999999999,9.7,2195.38528,CMOS,pentax,/,/,/
145,5f3ba61e3fd5b671b2200701,cammarkt.com,d3100,3100,/,18208097982,nikond3100,,,12.446000000000002,9.652,453.592,CCD,nikon,/,/,/
146,5f3ba61e3fd5b671b220071d,cammarkt.com,kr,,/,,pentaxkr,,3.0,12.4,9.7,544.31 ,CMOS,pentax,/,/,/
147,5f3ba61e3fd5b671b2200731,cammarkt.com,e620,620,/,4046628147808,olympusevolte620,,,13,9.398000000000001,476.27 ,Live MOS,olympus,/,/,/
148,5f3ba61e3fd5b671b2200736,cammarkt.com,d200,200,/,018208099955,nikond200,,,14.7,11.176000000000002,821.00152,CCD,nikon,/,/,/
149,5f3ba61e3fd5b671b2200746,cammarkt.com,d5000,5000,/,18208254781,nikond5000,,3.1,12.7,9.7,562.45 ,CMOS,nikon,/,/,/
150,5f3ba61e3fd5b671b220074d,cammarkt.com,dmcl1,1,/,5025232404179,panasonicdmcl1,,,14.579600000000001,8.6868,907.184,CMOS,panasonic,/,/,/
151,5f3ba61e3fd5b671b220074e,cammarkt.com,k30,30,/,,pentaxk30,,,,,589.67 ,CMOS,pentax,/,/,/
1883,5f3ba61e3fd5b671b22006a4,cammarkt.com,e420,420,/,050332163935,olympusevolte420,,,12.953999999999999,9.144,566.99,Live MOS,olympus,/,/,/
1884,5f3ba61e3fd5b671b22006a9,cammarkt.com,slta37k,37,/,,sonyalphaslta37k,,,,,662.24432,CMOS,sony,/,/,/
1885,5f3ba61e3fd5b671b22006b6,cammarkt.com,d70s,70,/,999999003908,nikond70s,,,14,11.43,594.21 ,CCD,nikon,/,/,/
1886,5f3ba61e3fd5b671b22006b9,cammarkt.com,d5200,5200,/,,nikond5200,,,,,2381.3579999999997,CMOS,nikon,/,/,/
1887,5f3ba61e3fd5b671b22006c6,cammarkt.com,v2,2,/,,nikon1v2,,80.0,,,276.69112,CMOS,nikon,/,/,/
1888,5f3ba61e3fd5b671b22006cf,cammarkt.com,k30,30,/,,pentaxk30,,,,,589.67 ,CMOS,pentax,/,/,/
1889,5f3ba61e3fd5b671b22006d3,cammarkt.com,st200f,200,/,,samsungst200f,,10.0,9.9568,5.8166,335.65808,CCD,samsung,/,/,/
1890,5f3ba61e3fd5b671b22006f3,cammarkt.com,k3,3,/,,pentaxk3,,,13.208,9.906,1995.8048000000001,,pentax,/,/,/
1891,5f3ba61e3fd5b671b22006f9,cammarkt.com,30d,30,/,013803065114,canoneos30d,,,14.5,10.7,680.3879999999999,CMOS,canon,/,/,/
1892,5f3ba61e3fd5b671b220071b,cammarkt.com,d3100,3100,/,18208097982,nikond3100,,,12.446000000000002,9.652,453.592,CCD,nikon,/,/,/
1893,5f3ba61e3fd5b671b2200722,cammarkt.com,d300s,300,/,018208097401,nikond300s,,,14.732,11.4,852.7529599999999,CMOS,nikon,/,/,/
1894,5f3ba61e3fd5b671b2200728,cammarkt.com,t3i,3,/,845251029512,canoneosrebelt3i,,,,,517.09488,CMOS,canon,/,/,/
1895,5f3ba61e3fd5b671b220072e,cammarkt.com,ep1,1,/,050332169821,olympuspenep1,,,12.1,7,349.27 ,Live MOS,olympus,/,/,/
1896,5f3ba61e3fd5b671b2200737,cammarkt.com,"ist ds\,istds",,/,027075086722,pentaxistds,,,12.446000000000002,9.144,684.92392,CCD,pentax,/,/,/
1897,5f3ba61e3fd5b671b2200743,cammarkt.com,d3200,3200,/,18208925179,nikond3200,,,,,453.592,CMOS,nikon,/,/,/
1898,5f3ba61e3fd5b671b2200748,cammarkt.com,d5100,5100,/,018208885121,nikond5100,,3.0,12.7,9.652,1360.7759999999998,,nikon,/,/,/
1899,5f3ba61e3fd5b671b2200756,cammarkt.com,d5100,5100,/,18208919758,nikond5100,,3.0,12.7,9.652,1383.4555999999998,CMOS,nikon,/,/,/
3677,5f3ba61e3fd5b671b22006a6,cammarkt.com,k110d,110,/,0027075121430,pentaxk110d,,,12.953999999999999,9.2,557.91816,CCD,pentax,/,/,/
3678,5f3ba61e3fd5b671b22006a8,cammarkt.com,d3000,3000,/,0018208916603,nikond3000,,3.0,12.7,9.652,458.12791999999996,CCD,nikon,/,/,/
3679,5f3ba61e3fd5b671b22006af,cammarkt.com,e10,10,/,050332131354,olympuse10,,,12.7,10.414,1133.98,,olympus,/,/,/
3680,5f3ba61e3fd5b671b22006b5,cammarkt.com,j2,2,/,,nikon1j2,,,10.6,6.1,281.22704,CMOS,nikon,/,/,/
3681,5f3ba61e3fd5b671b22006b8,cammarkt.com,d7100,7100,/,,nikond7100,,,13.462,10.668000000000001,2902.9888,CMOS,nikon,/,/,/
3682,5f3ba61e3fd5b671b22006c7,cammarkt.com,d600,600,/,18208924936,nikond600,,,,,2290.6396,CMOS,nikon,/,/,/
3683,5f3ba61e3fd5b671b22006d5,cammarkt.com,ep1,1,/,050332169821,olympuspenep1,,,12.1,6.985,349.27 ,Live MOS,olympus,/,/,/
3684,5f3ba61e3fd5b671b22006de,cammarkt.com,d750,750,/,,nikond750,,,,,0.0,,nikon,/,/,/
3685,5f3ba61e3fd5b671b22006df,cammarkt.com,645d,645,/,,pentax645d,,,,,1587.572,CCD,pentax,/,/,/
3686,5f3ba61e3fd5b671b22006eb,cammarkt.com,d3200,3200,/,018208925063,nikond3200,,,,,0.0,,nikon,/,/,/
3687,5f3ba61e3fd5b671b22006ef,cammarkt.com,d7100,7100,/,018208015139,nikond7100,,,13.462,10.668000000000001,766.57048,,nikon,/,/,/
3688,5f3ba61e3fd5b671b22006f0,cammarkt.com,d40x,40,/,018208094219,nikond40x,,80.0,12.5984,9.398000000000001,498.95120000000003,CCD,nikon,/,/,/
3689,5f3ba61e3fd5b671b2200712,cammarkt.com,kx,,/,846840008963,pentaxkx,,3.0,12.192,9.144,589.6696,,pentax,/,/,/
3690,5f3ba61e3fd5b671b2200716,cammarkt.com,"rebel xt\,rebelxt",,/,013803049626,canonrebelxt,,,12.6,9.4,680.3879999999999,CMOS,canon,/,/,/
3691,5f3ba61e3fd5b671b220071e,cammarkt.com,k5,5-2,/,27075176676,pentaxk5,,3.0,13.2,9.7,739.3549599999999,CMOS,pentax,/,/,/
3692,5f3ba61e3fd5b671b220072d,cammarkt.com,k30,30,/,,pentaxk30,,,13,9.7,635.0287999999999,CMOS,pentax,/,/,/
3693,5f3ba61e3fd5b671b220073f,cammarkt.com,istdl,,/,0027075115736,pentaxistdl,,,12.4,9.144,471.73568,CCD,pentax,/,/,/
3694,5f3ba61e3fd5b671b2200749,cammarkt.com,k30,30,/,,pentaxk30,,,,,907.184,CMOS,pentax,/,/,/
3695,5f3ba61e3fd5b671b220074b,cammarkt.com,d5100,5100,/,18208919758,nikond5100,,3.0,12.7,9.7,8,CMOS,nikon,/,/,/
3696,5f3ba61e3fd5b671b2200751,cammarkt.com,d3000,3000,/,0018208916566,nikond3000,,,12.5984,9.7,485.34344,CCD,nikon,/,/,/
3697,5f3ba61e3fd5b671b2200755,cammarkt.com,60d,60,/,13803129113,canoneos60d,,,,,675.85208,CMOS,canon,/,/,/
5444,5f3ba61e3fd5b671b220069f,cammarkt.com,"rebel xti\,rebelxti",,/,013803066104,canonrebelxti,,,12.6492,9.4,508.02 ,CMOS,canon,/,/,/
5445,5f3ba61e3fd5b671b22006ab,cammarkt.com,dmcgh3k,3,/,"5025232701612\nhigher-end cameras may allow you to separate the camera body from the lens\,allowing you to interchange lenses for different types of photography.",panasoniclumixdmcgh3k,,,,,589.6696,MOS,panasonic,/,/,/
5446,5f3ba61e3fd5b671b22006be,cammarkt.com,v2,2,/,18208276028,nikon1v2,,,,,335.66 ,CCD,nikon,/,/,/
5447,5f3ba61e3fd5b671b22006cd,cammarkt.com,d3300,3300,/,018208015337,nikond3300,,3.0,,,0.0,,nikon,/,/,/
5448,5f3ba61e3fd5b671b22006d7,cammarkt.com,60da,60,/,8714574584652,canoneos60da,,,10.6,7.848599999999999,675.85 ,,canon,/,/,/
5449,5f3ba61e3fd5b671b22006e6,cammarkt.com,k30,30,/,,pentaxk30,,,,,589.6696,CMOS,pentax,/,/,/
5450,5f3ba61e3fd5b671b22006fa,cammarkt.com,kr,,/,27075175563,pentaxkr,,,,,544.3104,CMOS,pentax,/,/,/
5451,5f3ba61e3fd5b671b220070d,cammarkt.com,7d,7,/,8714574542577,canoneos7d,,,14.732,11.2,821 ,CMOS,canon,/,/,/
5452,5f3ba61e3fd5b671b2200710,cammarkt.com,d5200,5200,/,,nikond5200,,,,,360.78 ,CMOS,nikon,/,/,/
5453,5f3ba61e3fd5b671b220071a,cammarkt.com,k5,5-2,/,27075176676,pentaxk5,,3.0,13.208,9.7,0.0,CMOS,pentax,/,/,/
5454,5f3ba61e3fd5b671b2200726,cammarkt.com,60d,60,/,,canoneos60d,,11.0,14.4526,10.6,680.3879999999999,CMOS,canon,/,/,/
5455,5f3ba61e3fd5b671b2200727,cammarkt.com,k30,30,/,,pentaxk30,,,,,589.6696,CMOS,pentax,/,/,/
5456,5f3ba61e3fd5b671b220072f,cammarkt.com,k30,30,/,,pentaxk30,,,13,9.7,635.0287999999999,CMOS,pentax,/,/,/
5457,5f3ba61e3fd5b671b2200741,cammarkt.com,7d,7,/,8714574542638,canoneos7d,,,,,816.4656,CMOS,canon,/,/,/
5458,5f3ba61e3fd5b671b2200747,cammarkt.com,7d,7,/,8714574542690,canoneos7d,,,14.732,11.176000000000002,821.00152,CMOS,canon,/,/,/
5459,5f3ba61e3fd5b671b220075d,cammarkt.com,t3,3,/,,canoneosrebelt3,,3.0,,,494.42 ,CMOS,canon,/,/,/
7155,5f3ba61e3fd5b671b22006aa,cammarkt.com,60d,60,/,845251021325.0,canoneos60d,,7.5,14.4526,10.5918,1315.4168,CMOS,canon,/,/,/
7156,5f3ba61e3fd5b671b22006ad,cammarkt.com,30d,30,/,13803083958.0,canoneos30d,,,14.5,10.668000000000001,698.5316799999999,CMOS,canon,/,/,/
7157,5f3ba61e3fd5b671b22006b1,cammarkt.com,kx,,/,,pentaxkx,,,,,589.6696,,pentax,/,/,/
7158,5f3ba61e3fd5b671b22006c3,cammarkt.com,d40x,40,/,18208853533.0,nikond40x,,,12.6,9.398000000000001,494.41528,CCD,nikon,/,/,/
7159,5f3ba61e3fd5b671b22006ca,cammarkt.com,e5,5,/,4545350032401.0,olympuse5,,,14.2,11.7,893.58 ,MOS,olympus,/,/,/
7160,5f3ba61e3fd5b671b22006d6,cammarkt.com,k5,5,/,27075176546.0,pentaxk5,,,13.208,9.7,662.24 ,CMOS,pentax,/,/,/
7161,5f3ba61e3fd5b671b22006db,cammarkt.com,t4i,4,/,,canoneosrebelt4i,,,,,2267.96,CMOS,canon,/,/,/
7162,5f3ba61e3fd5b671b22006f4,cammarkt.com,k7,7,/,27075150270.0,pentaxk7,,,,9.7,226.796,CMOS,pentax,/,/,/
7163,5f3ba61e3fd5b671b22006fd,cammarkt.com,d5200,5200,/,,nikond5200,,,,,1564.8924,CMOS,nikon,/,/,/
7164,5f3ba61e3fd5b671b2200709,cammarkt.com,a3000,3000,/,27242870789.0,sonya3000,4,3.0,,,1056.86936,,sony,/,/,/
7165,5f3ba61e3fd5b671b220070a,cammarkt.com,d3100,3100,/,18208097982.0,nikond3100,,,,9.7,453.592,CCD,nikon,/,/,/
7166,5f3ba61e3fd5b671b220070f,cammarkt.com,"rebel xti\,rebelxti",,/,660685001770.0,canonrebelxti,,5.0,12.6492,9.4234,2413.10944,,canon,/,/,/
7167,5f3ba61e3fd5b671b2200718,cammarkt.com,k30,30,/,,pentaxk30,,,13,9.652,635.0287999999999,CMOS,pentax,/,/,/
7168,5f3ba61e3fd5b671b2200729,cammarkt.com,k30,30,/,,pentaxk30,,,13,9.652,635.0287999999999,CMOS,pentax,/,/,/
7169,5f3ba61e3fd5b671b220072b,cammarkt.com,d610,610,/,,nikond610,,3.5,14.223999999999998,11.176000000000002,3175.144,,nikon,/,/,/
7170,5f3ba61e3fd5b671b220072c,cammarkt.com,d3100,3100,/,18208097982,nikond3100,,,,9.7,453.59 ,CCD,nikon,/,/,/
7171,5f3ba61e3fd5b671b2200730,cammarkt.com,t5i,5,/,,canoneosrebelt5i,,,,,526.1667199999999,CMOS,canon,/,/,/
7172,5f3ba61e3fd5b671b2200758,cammarkt.com,e500,500,/,050332156555,olympusevolte500,,,12.7,6.6,435.45 ,CCD,olympus,/,/,/
7173,5f3ba61e3fd5b671b220075c,cammarkt.com,kr,,/,27075175709,pentaxkr,,,12.446000000000002,9.652,544.3104,CMOS,pentax,/,/,/
8887,5f3ba61e3fd5b671b22006a0,cammarkt.com,d7100,7100,/,018208929740,nikond7100,,,13.462,10.668000000000001,766.57048,,nikon,/,/,/
8888,5f3ba61e3fd5b671b22006ae,cammarkt.com,t5i,5,/,,canoneosrebelt5i,,,,,580.59776,CMOS,canon,/,/,/
8889,5f3ba61e3fd5b671b22006b7,cammarkt.com,x5,5,/,689466595680,pentax12761pentax12761x5,2,,11.938,8.636,1360.7759999999998,,pentax,/,/,/
8890,5f3ba61e3fd5b671b22006bf,cammarkt.com,5d,5-3,/,8714574583242,canoneos5d,2,,15.24,11.684,858.98985,,canon,/,/,/
8891,5f3ba61e3fd5b671b22006c9,cammarkt.com,k20d,20,/,27075130814,pentaxk20d,,,14.1,10.1,716.67536,CMOS,pentax,/,/,/
8892,5f3ba61e3fd5b671b22006e4,cammarkt.com,k30,30,/,,pentaxk30,,,12.953999999999999,9.7,635.0287999999999,CMOS,pentax,/,/,/
8893,5f3ba61e3fd5b671b22006e5,cammarkt.com,20d,20,/,13803044454,canoneos20d,,,14.5,10.7,684.92392,CMOS,canon,/,/,/
8894,5f3ba61e3fd5b671b22006f8,cammarkt.com,v2,2,/,,nikon1v2,,,,8.1,276.69112,CMOS,nikon,/,/,/
8895,5f3ba61e3fd5b671b2200719,cammarkt.com,e500,500,/,050332156555,olympusevolte500,,,12.7,6.6,435.44831999999997,CCD,olympus,/,/,/
8896,5f3ba61e3fd5b671b2200720,cammarkt.com,550d,550,/,833779830024,canoneos550d,,,12.953999999999999,9.652,476.2716,,canon,/,/,/
8897,5f3ba61e3fd5b671b220073b,cammarkt.com,a77vm,77,/,,sonya77vm,,,,,453.592,CMOS,sony,/,/,/
8898,5f3ba61e3fd5b671b220075b,cammarkt.com,d5200,5200,/,,nikond5200,,,,,1360.7759999999998,CMOS,nikon,/,/,/
10642,5f3ba61e3fd5b671b22006b2,cammarkt.com,50d,50,/,915436789750,canoneos50d,,,14.478000000000002,10.668000000000001,728.58215,,canon,/,/,/
10643,5f3ba61e3fd5b671b22006ba,cammarkt.com,k5,5-2,/,27075176546,pentaxk5,,,,9.7,662.24432,CMOS,pentax,/,/,/
10644,5f3ba61e3fd5b671b22006bc,cammarkt.com,t3,3,/,8714574570051,canoneosrebelt3,,3.0,,,494.41528,CMOS,canon,/,/,/
10645,5f3ba61e3fd5b671b22006c5,cammarkt.com,5d,5-3,/,8714574583273,canoneos5d,2,,15.24,11.684,1900.55048,,canon,/,/,/
10646,5f3ba61e3fd5b671b22006cb,cammarkt.com,q,,/,027075207967,pentaxq,,,9.906,5.842,907.184,,pentax,/,/,/
10647,5f3ba61e3fd5b671b22006ed,cammarkt.com,d2xs,2,/,0018208911806,nikond2xs,,,15.748000000000001,14.986,1088.6208,CMOS,nikon,/,/,/
10648,5f3ba61e3fd5b671b220070e,cammarkt.com,40d,40,/,681066659496,canoneos40d,,,14.5,10.668000000000001,739.3549599999999,CMOS,canon,/,/,/
10649,5f3ba61e3fd5b671b2200717,cammarkt.com,d200,200,/,410000215760,nikond200,,,14.732,11.176000000000002,821 ,CCD,nikon,/,/,/
10650,5f3ba61e3fd5b671b220071c,cammarkt.com,k5,5-2,/,27075176546,pentaxk5,,,13.208,9.7,662.24432,CMOS,pentax,/,/,/
10651,5f3ba61e3fd5b671b2200721,cammarkt.com,t3i,3,/,845251029512,canoneosrebelt3i,,,,,517.09488,CMOS,canon,/,/,/
10652,5f3ba61e3fd5b671b2200725,cammarkt.com,k30,30,/,,pentaxk30,,,,,589.6696,CMOS,pentax,/,/,/
10653,5f3ba61e3fd5b671b2200735,cammarkt.com,slta99v,99,/,27242847569,sonyalphaslta99v,4,,,,453.592,CMOS,sony,/,/,/
10654,5f3ba61e3fd5b671b220073c,cammarkt.com,slta57k,57,/,27242847545,sonyalphaslta57k,,3.0,,,2222.6008,CMOS,sony,/,/,/
10655,5f3ba61e3fd5b671b220074a,cammarkt.com,v2,2,/,,nikon1v2,,80.0,,,975.2227999999999,CMOS,nikon,/,/,/
10656,5f3ba61e3fd5b671b2200757,cammarkt.com,e420,420,/,4545350015978,olympusevolte420,,,12.953999999999999,9.0932,381.02 ,Live MOS,olympus,/,/,/
10657,5f3ba61e3fd5b671b2200759,cammarkt.com,a55,55,/,4905524686357,sonya55,,3.0,12.4,9.1948,439.98424,CMOS,sony,/,/,/
12415,5f3ba61e3fd5b671b22006a2,cammarkt.com,kr,,/,,pentaxkr,,3.0,12.446000000000002,9.7028,598.74144,CMOS,pentax,/,/,/
12416,5f3ba61e3fd5b671b22006ac,cammarkt.com,d40x,40,/,018208094219,nikond40x,,80.0,12.5984,9.398000000000001,498.95120000000003,CCD,nikon,/,/,/
12417,5f3ba61e3fd5b671b22006ce,cammarkt.com,kr,,/,27075175709,pentaxkr,,,12.446000000000002,9.7,544.3104,CMOS,pentax,/,/,/
12418,5f3ba61e3fd5b671b22006d9,cammarkt.com,sd15,15,/,85126927165,sigmasd15,,,14.478000000000002,10.668000000000001,680.3879999999999,CMOS,sigma,/,/,/
12419,5f3ba61e3fd5b671b22006e3,cammarkt.com,"high definition telephoto\,highdefinitiontelephoto",,/,0084438999457,optekahighdefinition,,,,,0.0,,opteka,/,/,/
12420,5f3ba61e3fd5b671b22006ec,cammarkt.com,ep1,1,/,050332169869,olympuspenep1,,3.0,12.1,7,349.26583999999997,Live MOS,olympus,/,/,/
12421,5f3ba61e3fd5b671b2200707,cammarkt.com,j3,3,/,,nikon1j3,,10.0,,,539.7744799999999,CMOS,nikon,/,/,/
12422,5f3ba61e3fd5b671b2200713,cammarkt.com,m,,/,,canoneosm,,,,,263.08335999999997,CMOS,canon,/,/,/
