,key,source,famer_model_list,famer_model_no_list,famer_mpn_list,famer_ean_list,famer_product_name,famer_digital_zoom,famer_optical_zoom,famer_width,famer_height,famer_weight,famer_sensor,famer_brand_list,famer_resolution_from,famer_resolution_to,famer_megapixel
0,5f3ba61f3fd5b671b22014fa,www.ebay.com,nx300m,300,,,samsungnx300m,/,,,,,,samsung,,,
1,5f3ba61f3fd5b671b22014ff,www.ebay.com,l26,26,26299,018208262991,nikoncoolpixl26,/,5.0,,,,,nikon,,,
2,5f3ba61f3fd5b671b220150a,www.ebay.com,30d,30,1234b002,,canoneos30d,/,,,,,,canon,,,
3,5f3ba61f3fd5b671b220150b,www.ebay.com,p71,71,dsc-p71,027242603301,sonycybershotdscp71,/,3.0,,,,,sony,,,
4,5f3ba61f3fd5b671b220151d,www.ebay.com,50d,50,2807b006,013803104684,canon50d,/,,,,,,canon,,,
5,5f3ba61f3fd5b671b220151f,www.ebay.com,l620,620,26425,018208264254,nikoncoolpixl620,/,14.0,10.83,6.87,,,nikon,,,
6,5f3ba61f3fd5b671b2201521,www.ebay.com,vg160,160,v106050ou000,050332182578,olympusvg160,/,5.0,,,,,olympus,,,
7,5f3ba61f3fd5b671b2201539,www.ebay.com,"db15007\,851244006354",15007,db15007bp,851244006354,digitalbluesnapdigitalcamera851244006354,/,,,,,,digital ,,,
8,5f3ba61f3fd5b671b2201543,www.ebay.com,tz60,60,,,panasoniclumixdmctz60,/,30.0,,,,,panasonic lumix,,,
9,5f3ba61f3fd5b671b2201581,www.ebay.com,30d,30,eos30dbody,,canoneos30d,/,,,,,,canon,,,
10,5f3ba61f3fd5b671b2201582,www.ebay.com,s3600,3600,26452,018208264520,nikoncoolpixs3600,/,8.0,,,,,nikon,,,
11,5f3ba61f3fd5b671b220158a,www.ebay.com,nx10,10,samsungnx1014.6mpdigitalslrcameranobleblack(bodyonly),,samsungnx10,/,,,,,,samsung,,,
12,5f3ba61f3fd5b671b22015a6,www.ebay.com,z10fd,10,1574777098,74101445107,fujifilmfinepixz10fd,/,3.0,,,,,fujifilm,,,
13,5f3ba61f3fd5b671b22015b5,www.ebay.com,d7100,7100,1513,017856441659,nikond7100,/,,13.55,10.65,,,nikon,,,
14,5f3ba61f3fd5b671b22015cb,www.ebay.com,s2940,2940,600008009,074101008982,fujifilmfinepixs2940,/,18.0,,,,,fujifilm,,,
15,5f3ba61f3fd5b671b22015da,www.ebay.com,"sd10 i\,sd10i\,sd10",10,8984a004,,canonpowershotdigitalelphsd10,/,,,,,,canon,,,
16,5f3ba61f3fd5b671b22015f4,www.ebay.com,6d,6,8035b002,8714574593609,canoneos6d,/,,,,,,canon,,,
17,5f3ba61f3fd5b671b2201617,www.ebay.com,r607,607,l1829a#aba,829160935065,hpr607,/,3.0,,,,,hp,,,
18,5f3ba61f3fd5b671b2201623,www.ebay.com,e520,520,n3126792,050332163997,olympusevolte520,/,,,,,,olympus,,,
19,5f3ba61f3fd5b671b220164f,www.ebay.com,"x e1\,xe1\,e1",1,16272394,074101017168,fujifilmxe1,/,,,,,,fujifilm,,,
20,5f3ba61f3fd5b671b2201651,www.ebay.com,pc1102,1102,,,usedcanonpc1102,/,,,,,,canon,,,
21,5f3ba61f3fd5b671b220167a,www.ebay.com,5d,5,eos-5d/24105,,canoneos5d,/,,15.24,11.68,,,canon,,,
22,5f3ba61f3fd5b671b220167c,www.ebay.com,40d,40,1901b004,,canoneos40d,/,,,,,,canon,,,
23,5f3ba61f3fd5b671b22016a2,www.ebay.com,c195,195,8721664,0041778721667,kodakeasysharec195,/,5.0,,,,,kodak,,,
24,5f3ba61f3fd5b671b22016c0,www.ebay.com,s500,500,dscs500,,sonycybershotcameradscs500,/,3.0,,,,,sony,,,
25,5f3ba61f3fd5b671b22016c2,www.ebay.com,c4040,4040,,,olympuscamediac4040,/,,,,,,olympus,,,
26,5f3ba61f3fd5b671b22016ce,www.ebay.com,"sd780 ixus100\,sd780ixus100\,sd780",780,3590b001,8714574533865,canonpowershotdigitalelphsd780,/,,,,,,canon,,,
27,5f3ba61f3fd5b671b22016d6,www.ebay.com,100ee,100,,,olympusstylussp100ee,/,,,,,,olympus,,,
28,5f3ba61f3fd5b671b22016d7,www.ebay.com,v5118,5118,vivitarv5118black,681066531211,vivitarvivicam51185digitalcamerav5118,/,,,,,,vivitar,,,
29,5f3ba61f3fd5b671b22016e1,www.ebay.com,w620,620,,027242843615,sonycybershotcameraw620,/,5.0,,,,,sony,,,
30,5f3ba61f3fd5b671b22016f9,www.ebay.com,nightvision,,,,mininightvisionsecurity,/,,,,,,mini,,,
31,5f3ba61f3fd5b671b2201705,www.ebay.com,"t3i 600d\,t3i600d\,t3i",3,5169b003,,canoneosrebelt3i,/,3.0,,,,,canon,,,
32,5f3ba61f3fd5b671b2201710,www.ebay.com,z1285,1285,z1285,718122208623,kodakeasysharez1285,/,5.0,,,,,kodak,,,
33,5f3ba61f3fd5b671b2201717,www.ebay.com,s8200,8200,26287,662425804757,nikoncoolpixs8200,/,14.0,,,,,nikon,,,
34,5f3ba61f3fd5b671b2201721,www.ebay.com,t1i,1,,,canoneosrebelt1i,/,,,,,,canon,,,
35,5f3ba61f3fd5b671b2201725,www.ebay.com,fz10,10,dmc-fz10k (black),037988977529,panasoniclumixjapandmcfz10,/,12.0,,,,,panasonic,,,
36,5f3ba61f3fd5b671b2201733,www.ebay.com,"sd500 ixus700\,sd500ixus700\,sd500",500,pssd500,,canonsd500,/,3.0,,,,,canon,,,
37,5f3ba61f3fd5b671b220174c,www.ebay.com,s1,1,27631,018208276318,nikon1s1,/,3.7,,,,,nikon,,,
38,5f3ba61f3fd5b671b220174d,www.ebay.com,w830,830,dsc-w830/s,,sonycybershotdscdscw830,/,8.0,,,,,sony,,,
39,5f3ba61f3fd5b671b2201760,www.ebay.com,"315\,c8452a",315,,,photosmartdigitalcamerahp315,/,,,,,,hp,,,
40,5f3ba61f3fd5b671b220176d,www.ebay.com,ep1,1,,,olympuspenep1,/,,,,,,olympus,,,
41,5f3ba61f3fd5b671b220176e,www.ebay.com,d800,800,25480,018208254804,lightlyusedamazingnikond800,/,,,,,,nikon,,,
42,5f3ba61f3fd5b671b220178c,www.ebay.com,"t2i 550d\,t2i550d\,t2i",2,4463b088aa,,canoneosrebelt2i,/,,,,,,canon,,,
43,5f3ba61f3fd5b671b2201791,www.ebay.com,fz200,200,dmc-fz200k,885170087804,panasoniclumixdmcfz200,/,24.0,12.52,8.66,,,panasonic,,,
44,5f3ba61f3fd5b671b220179a,www.ebay.com,300w,300,does not apply,793276011084,alpinespr68300w,/,,,,,,alpine,,,
45,5f3ba61f3fd5b671b22017a3,www.ebay.com,z85,85,,,casioexilimzoomexz85,/,,,,,,casio,,,
46,5f3ba61f3fd5b671b22017c0,www.ebay.com,"4\,lux4",4,18191,4022243181915,leica18191,/,24.0,,,590,CMOS,leica,,,
47,5f3ba61f3fd5b671b22017c1,www.ebay.com,g5,5,dmc-g5kk,885170098879,panasoniclumixdmcg5,/,,,,,,panasonic,,,
48,5f3ba61f3fd5b671b22017c5,www.ebay.com,s8200,8200,12848,4547410233605,fujifilmfinepixs8200,/,40.0,,,,,fujifilm,,,
49,5f3ba61f3fd5b671b22017e3,www.ebay.com,lx5,5,dmc-lx5k,0885170016194,panasoniclumixdmclx5,/,3.8,,,,,panasonic,,,
