,key,source,famer_model_list,famer_model_no_list,famer_mpn_list,famer_ean_list,famer_product_name,famer_digital_zoom,famer_optical_zoom,famer_width,famer_height,famer_weight,famer_sensor,famer_brand_list
274,5f3ba61f3fd5b671b2200d22,www.gosale.com,dscs750,750,dscs750,"0027242724945\,00027242724945\,027242724945",sonycybershotdscs750,/,,/,/,453.592,/,sony
275,5f3ba61f3fd5b671b2200d24,www.gosale.com,d7100,7100,,"0018208015139\,018208015139",nikond7100,/,,/,/,,/,nikon
276,5f3ba61f3fd5b671b2200d5a,www.gosale.com,xe2,2,fujifilm x-e2 b,"0074101023442\,074101023442",fujifilmxe2,/,,/,/,,/,fujifilm
277,5f3ba61f3fd5b671b2200d5c,www.gosale.com,d70s,70,25218,"0018208252183\,00018208252183\,018208252183",nikond70s,/,,/,/,1814.368,/,nikon
278,5f3ba61f3fd5b671b2200d76,www.gosale.com,m583,583,,"0041778287477\,041778287477",kodakm583,/,,/,/,,/,kodak
279,5f3ba61f3fd5b671b2200d78,www.gosale.com,dscw150,150,dscw150/r,"0027242726727\,027242726727",sonycybershotdscw150,/,,/,/,453.592,/,sony
280,5f3ba61f3fd5b671b2200d7e,www.gosale.com,dschx300,300,,"0175825127109\,175825127109",sonycybershotdschx300,/,,/,/,,/,sony
281,5f3ba61f3fd5b671b2200d8c,www.gosale.com,a720is,720,2092b001,"0013803084092\,00013803084092\,013803084092",canonpowershota720is,/,,/,/,907.184,/,canon
282,5f3ba61f3fd5b671b2200d96,www.gosale.com,dmcgf2,2,dmc-gf2kk,"0885170033603\,885170033603",panasoniclumixdmcgf2,/,,/,/,,/,panasonic
283,5f3ba61f3fd5b671b2200da9,www.gosale.com,s6400,6400,,"0018208263530\,018208263530",nikoncoolpixs6400,/,,/,/,,/,nikon
284,5f3ba61f3fd5b671b2200dd8,www.gosale.com,xz1,1,xz-1 black 2280,"0662425800773\,662425800773",olympusxz1,/,,/,/,,/,olympus
285,5f3ba61f3fd5b671b2200dd9,www.gosale.com,s3300,3300,,"0018208263103\,018208263103",nikoncoolpixs3300,/,,/,/,,/,nikon
286,5f3ba61f3fd5b671b2200ddd,www.gosale.com,d80,80,,"0018208094059\,00018208094059\,018208094059",nikond80,/,,/,/,2721.5519999999997,/,nikon
287,5f3ba61f3fd5b671b2200ded,www.gosale.com,dmcfs3a,3,b0011z6cws,"0037988987283\,00037988987283\,037988987283",panasoniclumixdmcfs3a,/,,/,/,453.592,/,panasonic
288,5f3ba61f3fd5b671b2200df5,www.gosale.com,g15,15,6350b001,"0013803156805\,013803156805",canonpowershotg15,/,,/,/,,/,canon
289,5f3ba61f3fd5b671b2200dfe,www.gosale.com,k01,01,k-01 lens kit w,"0027075214590\,027075214590",pentaxk01,/,,/,/,,/,pentax
290,5f3ba61f3fd5b671b2200e20,www.gosale.com,d10,10,,"0013803107807\,00013803107807\,013803107807",canonpowershotd10,/,,/,/,,/,canon
291,5f3ba61f3fd5b671b2200e25,www.gosale.com,sd870is,870,2340b001,"0013803085136\,00013803085136\,013803085136",canonpowershotsd870is,/,,/,/,907.184,/,canon
292,5f3ba61f3fd5b671b2200e42,www.gosale.com,nex7,7,,"0662425821433\,662425821433",sonyalphanex7,/,,/,/,,/,sony
