,key,source,famer_model_list,famer_model_no_list,famer_mpn_list,famer_ean_list,famer_product_name,famer_digital_zoom,famer_optical_zoom,famer_width,famer_height,famer_weight,famer_sensor,famer_brand_list
1729,5f3ba6213fd5b671b22054a9,www.mypriceindia.com,d610,610,/,/,nikond610,,,,,,CMOS,nikon
1730,5f3ba6213fd5b671b22054b3,www.mypriceindia.com,f3,3,/,/,samsungnxmininxmf3,,,,,,,samsung
1731,5f3ba6213fd5b671b22054b8,www.mypriceindia.com,x100s,100,/,/,fujifilmx100s,,,,,,X-Trans CMOS II,fujifilm
1732,5f3ba6213fd5b671b22054bd,www.mypriceindia.com,mc1500p,1500,/,/,sonyhxrmc1500p,160,12,,,,Exmor R CMOS with ClearVid Pixel Array,sony
1733,5f3ba6213fd5b671b22054be,www.mypriceindia.com,d5200,5200,/,/,nikond5200,,3,,,,CMOS,nikon
1734,5f3ba6213fd5b671b22054c3,www.mypriceindia.com,d3x,3,/,/,nikond3x,,,,,,CMOS,nikon
1735,5f3ba6213fd5b671b22054c6,www.mypriceindia.com,a99v,99,/,/,sonyslta99v,,,,,,Exmor CMOS Image Sensor,sony
1736,5f3ba6213fd5b671b22054e8,www.mypriceindia.com,d600,600,/,/,nikond600,,,14.1,11.3,850,CMOS,nikon
1737,5f3ba6213fd5b671b22054f2,www.mypriceindia.com,5t,5,/,/,sonynex5t,4,,,,,Exmor APS HD CMOS,sony
1738,5f3ba6213fd5b671b22054fd,www.mypriceindia.com,a35k,35,/,/,sonyalphaslta35k,,,,,,Exmor APS HD CMOS Image Sensor,sony
1739,5f3ba6213fd5b671b2205500,www.mypriceindia.com,q7,7,/,/,pentaxq7,,,,,,BSI CMOS,pentax
1740,5f3ba6213fd5b671b220550a,www.mypriceindia.com,tm900,900,/,/,panasonichdctm900,700,12,,,,,panasonic
1741,5f3ba6213fd5b671b2205516,www.mypriceindia.com,tg3,3,/,/,olympusstylustg3,4,4,,,,BSI CMOS,olympus
1742,5f3ba6213fd5b671b220551b,www.mypriceindia.com,nex6,6,/,/,sonyalphanex6,,,,,,Exmor APS HD CMOS,sony
1743,5f3ba6213fd5b671b2205523,www.mypriceindia.com,d5100,5100,/,/,nikond5100,,,,,,CMOS,nikon
1744,5f3ba6213fd5b671b2205529,www.mypriceindia.com,60d,60,/,/,canoneos60d,1.5,,,,,CMOS,canon
1745,5f3ba6213fd5b671b220553f,www.mypriceindia.com,d5300,5300,/,/,nikond5300,,,,,,CMOS,nikon
1746,5f3ba6213fd5b671b220555d,www.mypriceindia.com,jz100,100,/,/,fujifilmfinepixjz100,6.7,8,10.03,5.59,129,,fujifilm
1747,5f3ba6223fd5b671b220556c,www.mypriceindia.com,d3300,3300,/,/,nikond3300,,,,,,CMOS,nikon
