key,source,famer_model_list,famer_model_no_list,famer_mpn_list,famer_ean_list,famer_product_name,famer_digital_zoom,famer_optical_zoom,famer_width,famer_height,famer_weight,famer_sensor,famer_brand_list
5f3ba6213fd5b671b2204cae,www.priceme.co.nz,d7000,7000,/,/,nikond7000,/,/,/,/,/,/,nikon
5f3ba6213fd5b671b2204ce6,www.priceme.co.nz,ixus1000,1000,/,/,canonixus1000,/,/,/,/,/,/,canon
5f3ba6213fd5b671b2204d06,www.priceme.co.nz,dsctx1,1,/,/,sonycybershotdsctx1,/,/,/,/,/,/,sony
5f3ba6213fd5b671b2204d1d,www.priceme.co.nz,dmcgh3,3,/,/,panasoniclumixdmcgh3,/,/,/,/,/,/,panasonic
5f3ba6213fd5b671b2204d1f,www.priceme.co.nz,dmclz30,30,/,/,panasoniclumixdmclz30,/,/,/,/,/,/,panasonic
5f3ba6213fd5b671b2204d25,www.priceme.co.nz,epl6,6,/,/,olympuspenepl6,/,/,/,/,/,/,olympus
5f3ba6213fd5b671b2204d30,www.priceme.co.nz,dmcft4,4,/,/,panasoniclumixdmcft4,/,/,/,/,/,/,panasonic
5f3ba6213fd5b671b2204d32,www.priceme.co.nz,7d,7,/,/,canoneos7d,/,/,/,/,/,/,canon
5f3ba6213fd5b671b2204d57,www.priceme.co.nz,6d,6,/,/,canoneos6d,/,/,/,/,/,/,canon
5f3ba6213fd5b671b2204d5d,www.priceme.co.nz,sh100,100,/,/,samsungsh100,/,/,/,/,/,/,samsung
5f3ba6213fd5b671b2204d67,www.priceme.co.nz,p340,340,/,/,nikoncoolpixp340,/,/,/,/,/,/,nikon
5f3ba6213fd5b671b2204d74,www.priceme.co.nz,f850,850,/,/,fujifilmfinepixf850,/,/,/,/,/,/,fujifilm
5f3ba6213fd5b671b2204d7e,www.priceme.co.nz,70d,70,/,/,canoneos70d,/,/,/,/,/,/,canon
5f3ba6213fd5b671b2204d8c,www.priceme.co.nz,d610,610,/,/,nikond610,/,/,/,/,/,/,nikon
5f3ba6213fd5b671b2204d9f,www.priceme.co.nz,5d,5-3,/,/,canoneos5d,/,/,/,/,/,/,canon
5f3ba6213fd5b671b2204da2,www.priceme.co.nz,ixus240,240,/,/,canonixus240,/,/,/,/,/,/,canon
5f3ba6213fd5b671b2204dba,www.priceme.co.nz,epm2,2,/,/,olympuspenepm2,/,/,/,/,/,/,olympus
5f3ba6213fd5b671b2204dbe,www.priceme.co.nz,epl5,5,/,/,olympuspenepl5,/,/,/,/,/,/,olympus
5f3ba6213fd5b671b2204dc7,www.priceme.co.nz,wg4,4,/,/,ricohwg4,/,/,/,/,/,/,ricoh
5f3ba6213fd5b671b2204dd1,www.priceme.co.nz,vh520,520,/,/,olympusvh520,/,/,/,/,/,/,olympus
5f3ba6213fd5b671b2204dea,www.priceme.co.nz,ep3,3,/,/,olympuspenep3,/,/,/,/,/,/,olympus
5f3ba6213fd5b671b2204dec,www.priceme.co.nz,dslra290,290,/,/,sonyalphadslra290,/,/,/,/,/,/,sony
5f3ba6213fd5b671b2204dee,www.priceme.co.nz,em5,5,/,/,olympusomdem5,/,/,/,/,/,/,olympus
5f3ba6213fd5b671b2204e0d,www.priceme.co.nz,j25,25,/,/,fujifilmfinepixj25,/,/,/,/,/,/,fujifilm
5f3ba6213fd5b671b2204e22,www.priceme.co.nz,xe1,1,/,/,fujifilmxe1,/,/,/,/,/,/,fujifilm
5f3ba6213fd5b671b2204e24,www.priceme.co.nz,dmcgh4,4,/,/,panasoniclumixdmcgh4,/,/,/,/,/,/,panasonic
5f3ba6213fd5b671b2204e3e,www.priceme.co.nz,jz500,500,/,/,fujifilmfinepixjz500,/,/,/,/,/,/,fujifilm
5f3ba6213fd5b671b2204e4a,www.priceme.co.nz,ax660,660,/,/,fujifilmfinepixax660,/,/,/,/,/,/,fujifilm
5f3ba6213fd5b671b2204e77,www.priceme.co.nz,xz1,1,/,/,olympusxz1,/,/,/,/,/,/,olympus
5f3ba6213fd5b671b2204e9d,www.priceme.co.nz,ekgc200,200,/,/,samsunggalaxy2ekgc200,/,/,/,/,/,/,samsung
5f3ba6213fd5b671b2204eac,www.priceme.co.nz,650d,650,/,/,canoneos650d,/,/,/,/,/,/,canon
5f3ba6213fd5b671b2204ec3,www.priceme.co.nz,xq1,1,/,/,fujifilmxq1,/,/,/,/,/,/,fujifilm
5f3ba6213fd5b671b2204ec5,www.priceme.co.nz,d90,90,/,/,nikond90,/,/,/,/,/,/,nikon
5f3ba6213fd5b671b2204ec8,www.priceme.co.nz,mv800,800,/,/,samsungmultiviewmv800,/,/,/,/,/,/,samsung
5f3ba6213fd5b671b2204ed9,www.priceme.co.nz,dscqx100,100,/,/,sonycybershotdscqx100,/,/,/,/,/,/,sony
5f3ba6213fd5b671b2204eda,www.priceme.co.nz,dsctx5,5,/,/,sonycybershotdsctx5,/,/,/,/,/,/,sony
5f3ba6213fd5b671b2204eeb,www.priceme.co.nz,600d,600,/,/,canoneos600d,/,/,/,/,/,/,canon
5f3ba6213fd5b671b2204ef3,www.priceme.co.nz,1d,1,/,/,canoneos1d,/,/,/,/,/,/,canon
5f3ba6213fd5b671b2204ef7,www.priceme.co.nz,s2000hd,2000,/,/,fujifilmfinepixs2000hd,/,/,/,/,/,/,fujifilm
5f3ba6213fd5b671b2204f0d,www.priceme.co.nz,dscw610,610,/,/,sonycybershotdscw610,/,/,/,/,/,/,sony
5f3ba6213fd5b671b2204f1c,www.priceme.co.nz,xp10,10,/,/,fujifilmfinepixxp10,/,/,/,/,/,/,fujifilm
5f3ba6213fd5b671b2204f35,www.priceme.co.nz,k30,30,/,/,pentaxk30,/,/,/,/,/,/,pentax
5f3ba6213fd5b671b2204f38,www.priceme.co.nz,a7s,7,/,/,sonyalphaa7s,/,/,/,/,/,/,sony
5f3ba6213fd5b671b2204f3e,www.priceme.co.nz,d7100,7100,/,/,nikond7100,/,/,/,/,/,/,nikon
5f3ba6213fd5b671b2204f52,www.priceme.co.nz,a5000,5000,/,/,sonya5000,/,/,/,/,/,/,sony
5f3ba6213fd5b671b2204f59,www.priceme.co.nz,k5,5,/,/,pentaxk5,/,/,/,/,/,/,pentax
5f3ba6213fd5b671b2204f5b,www.priceme.co.nz,100d,100,/,/,canoneos100d,/,/,/,/,/,/,canon
5f3ba6213fd5b671b2204f78,www.priceme.co.nz,dscwx200,200,/,/,sonycybershotdscwx200,/,/,/,/,/,/,sony
5f3ba6213fd5b671b2204f7c,www.priceme.co.nz,dslra330,330,/,/,sonyalphadslra330,/,/,/,/,/,/,sony
5f3ba6213fd5b671b2204cc9,www.priceme.co.nz,xa1,1,/,/,fujifilmxa1,/,/,/,/,/,/,fujifilm
5f3ba6213fd5b671b2204ccc,www.priceme.co.nz,d3200,3200,/,/,nikond3200,/,/,/,/,/,/,nikon
5f3ba6213fd5b671b2204ce1,www.priceme.co.nz,nex3n,3,/,/,sonyalphanex3n,/,/,/,/,/,/,sony
5f3ba6213fd5b671b2204cec,www.priceme.co.nz,dscw830,830,/,/,sonycybershotdscw830,/,/,/,/,/,/,sony
5f3ba6213fd5b671b2204cf3,www.priceme.co.nz,wb210,210,/,/,samsungwb210,/,/,/,/,/,/,samsung
5f3ba6213fd5b671b2204cfa,www.priceme.co.nz,epl3,3,/,/,olympuspenepl3,/,/,/,/,/,/,olympus
5f3ba6213fd5b671b2204d02,www.priceme.co.nz,q,,/,/,pentaxq,/,/,/,/,/,/,pentax
5f3ba6213fd5b671b2204d11,www.priceme.co.nz,s1,1,/,/,fujifilmfinepixs1,/,/,/,/,/,/,fujifilm
5f3ba6213fd5b671b2204d12,www.priceme.co.nz,d800e,800,/,/,nikond800e,/,/,/,/,/,/,nikon
5f3ba6213fd5b671b2204d22,www.priceme.co.nz,a6000,6000,/,/,sonya6000,/,/,/,/,/,/,sony
5f3ba6213fd5b671b2204d2f,www.priceme.co.nz,xm1,1,/,/,fujifilmxm1,/,/,/,/,/,/,fujifilm
5f3ba6213fd5b671b2204d43,www.priceme.co.nz,st5500,5500,/,/,samsungst5500,/,/,/,/,/,/,samsung
5f3ba6213fd5b671b2204d4b,www.priceme.co.nz,f70,70,/,/,fujifilmfinepixf70,/,/,/,/,/,/,fujifilm
5f3ba6213fd5b671b2204d5a,www.priceme.co.nz,stylus1,1,/,/,olympusstylus1,/,/,/,/,/,/,olympus
5f3ba6213fd5b671b2204d6c,www.priceme.co.nz,dscw810,810,/,/,sonycybershotdscw810,/,/,/,/,/,/,sony
5f3ba6213fd5b671b2204d71,www.priceme.co.nz,eos,,/,/,canoneosm,/,/,/,/,/,/,canon
5f3ba6213fd5b671b2204d92,www.priceme.co.nz,slta57,57,/,/,sonyalphaslta57,/,/,/,/,/,/,sony
5f3ba6213fd5b671b2204d99,www.priceme.co.nz,1100d,1100,/,/,canoneos1100d,/,/,/,/,/,/,canon
5f3ba6213fd5b671b2204db3,www.priceme.co.nz,s3400,3400,/,/,fujifilmfinepixs3400,/,/,/,/,/,/,fujifilm
5f3ba6213fd5b671b2204dc3,www.priceme.co.nz,dmcft5,5,/,/,panasoniclumixdmcft5,/,/,/,/,/,/,panasonic
5f3ba6213fd5b671b2204e02,www.priceme.co.nz,aw120,120,/,/,nikoncoolpixaw120,/,/,/,/,/,/,nikon
5f3ba6213fd5b671b2204e03,www.priceme.co.nz,sz16,16,/,/,olympusstylussz16,/,/,/,/,/,/,olympus
5f3ba6213fd5b671b2204e08,www.priceme.co.nz,d5300,5300,/,/,nikond5300,/,/,/,/,/,/,nikon
5f3ba6213fd5b671b2204e11,www.priceme.co.nz,exzr1200,1200,/,/,casioexilimexzr1200,/,/,/,/,/,/,casio
5f3ba6213fd5b671b2204e13,www.priceme.co.nz,hs30,30,/,/,fujifilmfinepixhs30,/,/,/,/,/,/,fujifilm
5f3ba6213fd5b671b2204e1a,www.priceme.co.nz,sx700,700,/,/,canonpowershotsx700,/,/,/,/,/,/,canon
5f3ba6213fd5b671b2204e26,www.priceme.co.nz,a5100,5100,/,/,sonya5100,/,/,/,/,/,/,sony
5f3ba6213fd5b671b2204e4c,www.priceme.co.nz,jx280,280,/,/,fujifilmfinepixjx280,/,/,/,/,/,/,fujifilm
5f3ba6213fd5b671b2204e4e,www.priceme.co.nz,dscw510,510,/,/,sonycybershotdscw510,/,/,/,/,/,/,sony
5f3ba6213fd5b671b2204e55,www.priceme.co.nz,dmcgf6,6,/,/,panasoniclumixdmcgf6,/,/,/,/,/,/,panasonic
5f3ba6213fd5b671b2204e57,www.priceme.co.nz,dsch55,55,/,/,sonycybershotdsch55,/,/,/,/,/,/,sony
5f3ba6213fd5b671b2204e69,www.priceme.co.nz,slta58,58,/,/,sonyalphaslta58,/,/,/,/,/,/,sony
5f3ba6213fd5b671b2204e7a,www.priceme.co.nz,k01,01,/,/,pentaxk01,/,/,/,/,/,/,pentax
5f3ba6213fd5b671b2204e85,www.priceme.co.nz,x1,1,/,/,leicax1,/,/,/,/,/,/,leica
5f3ba6213fd5b671b2204e8e,www.priceme.co.nz,nx20,20,/,/,samsungnx20,/,/,/,/,/,/,samsung
5f3ba6213fd5b671b2204e92,www.priceme.co.nz,a2200,2200,/,/,canonpowershota2200,/,/,/,/,/,/,canon
5f3ba6213fd5b671b2204e93,www.priceme.co.nz,nex5t,5,/,/,sonynex5t,/,/,/,/,/,/,sony
5f3ba6213fd5b671b2204e95,www.priceme.co.nz,p6000,6000,/,/,nikoncoolpixp6000,/,/,/,/,/,/,nikon
5f3ba6213fd5b671b2204eb5,www.priceme.co.nz,700d,700,/,/,canoneos700d,/,/,/,/,/,/,canon
5f3ba6213fd5b671b2204ec4,www.priceme.co.nz,dsctx20,20,/,/,sonycybershotdsctx20,/,/,/,/,/,/,sony
5f3ba6213fd5b671b2204ee6,www.priceme.co.nz,nex5r,5,/,/,sonyalphanex5r,/,/,/,/,/,/,sony
