,key,source,famer_model_list,famer_model_no_list,famer_mpn_list,famer_ean_list,famer_product_name,famer_digital_zoom,famer_optical_zoom,famer_width,famer_height,famer_weight,famer_sensor,famer_brand_list
82,5f3ba61e3fd5b671b220045d,www.ukdigitalcameras.co.uk,dscrx100,/,dscrx100m3.ceh,/,sonycybershotdscrx100,/,3.6,/,/,/,/,sony
83,5f3ba61e3fd5b671b2200472,www.ukdigitalcameras.co.uk,s9700,/,vna650e1,/,nikoncoolpixs9700,/,30.0,/,/,/,/,nikon
84,5f3ba61e3fd5b671b220047e,www.ukdigitalcameras.co.uk,xp70,/,p10nc12630a,/,fujifinepixxp70,/,5.0,/,/,/,/,fuji
85,5f3ba61e3fd5b671b220047f,www.ukdigitalcameras.co.uk,d3200,/,vba330k001,/,nikond3200,/,,/,/,/,/,nikon
86,5f3ba61e3fd5b671b2200487,www.ukdigitalcameras.co.uk,tz55,/,dmc-tz55eb-w,/,panasoniclumixtz55,/,20.0,/,/,/,/,panasonic
87,5f3ba61e3fd5b671b2200496,www.ukdigitalcameras.co.uk,ixus265,/,9354b007aa,/,canonixus265,/,12.0,/,/,/,/,canon
88,5f3ba61e3fd5b671b220049d,www.ukdigitalcameras.co.uk,s6400,/,vna190e1,/,nikoncoolpixs6400,/,12.0,/,/,/,/,nikon
89,5f3ba61e3fd5b671b220049e,www.ukdigitalcameras.co.uk,dscwx350,/,dscwx350b.ceh,/,sonycybershotdscwx350,/,20.0,/,/,/,/,sony
90,5f3ba61e3fd5b671b22004aa,www.ukdigitalcameras.co.uk,tg3,/,v104120re000,/,olympusstylustoughtg3,/,4.0,/,/,/,/,olympus
91,5f3ba61e3fd5b671b22004ac,www.ukdigitalcameras.co.uk,sh1,/,v107080we000,/,olympussh1,/,24.0,/,/,/,/,olympus
92,5f3ba61e3fd5b671b22004c0,www.ukdigitalcameras.co.uk,tx30,/,dsctx30l.ce3,/,sonycybershottx30,/,5.0,/,/,/,/,sony
1838,5f3ba61e3fd5b671b2200460,www.ukdigitalcameras.co.uk,ft5,/,dmc-ft5eb-s,/,panasoniclumixft5,/,4.6,/,/,/,/,panasonic
1839,5f3ba61e3fd5b671b2200465,www.ukdigitalcameras.co.uk,tg850,/,v104150se00,/,olympustg850,/,5.0,/,/,/,/,olympus
1840,5f3ba61e3fd5b671b220046e,www.ukdigitalcameras.co.uk,gc100,/,ek-gc100zkabtu,/,samsunggalaxygc100,/,21.0,/,/,/,/,samsung
1841,5f3ba61e3fd5b671b220046f,www.ukdigitalcameras.co.uk,s3600,/,vna551e1,/,nikoncoolpixs3600,/,8.0,/,/,/,/,nikon
1842,5f3ba61e3fd5b671b2200479,www.ukdigitalcameras.co.uk,x100t,/,p10nc13250a,/,fujix100t,/,,/,/,/,/,fuji
1843,5f3ba61e3fd5b671b2200484,www.ukdigitalcameras.co.uk,s9200,/,p10nc12610a,/,fujifinepixs9200,/,50.0,/,/,/,/,fuji
1844,5f3ba61e3fd5b671b220048c,www.ukdigitalcameras.co.uk,wb350f,/,ec-wb350fbpwe1,/,samsungwb350f,/,21.0,/,/,/,/,samsung
1847,5f3ba61e3fd5b671b22004b6,www.ukdigitalcameras.co.uk,s6800,/,vna520e1,/,nikoncoolpixs6800,/,23.0,/,/,/,/,nikon
1848,5f3ba61e3fd5b671b22004da,www.ukdigitalcameras.co.uk,s5300,/,vna291e1,/,nikoncoolpixs5300,/,8.0,/,/,/,/,nikon
3624,5f3ba61e3fd5b671b2200461,www.ukdigitalcameras.co.uk,g7,/,9546b009aa,/,canonpowershotg7,/,4.0,/,/,/,/,canon
3626,5f3ba61e3fd5b671b2200470,www.ukdigitalcameras.co.uk,ixus150,/,9145b006,/,canonixus150,/,8.0,/,/,/,/,canon
3627,5f3ba61e3fd5b671b2200480,www.ukdigitalcameras.co.uk,s1,/,p10nc12730a,/,fujifinepixs1,/,50.0,/,/,/,/,fuji
3628,5f3ba61e3fd5b671b2200486,www.ukdigitalcameras.co.uk,tz60,/,dmc-tz60eb-k,/,panasoniclumixtz60,/,30.0,/,/,/,/,panasonic
3629,5f3ba61e3fd5b671b220048b,www.ukdigitalcameras.co.uk,dscrx100,/,dscrx100m2cdn.yg,/,sonycybershotdscrx100,/,3.6,/,/,/,/,sony
3630,5f3ba61e3fd5b671b2200494,www.ukdigitalcameras.co.uk,fz200,/,dmc-fz200ebk,/,panasoniclumixfz200,/,24.0,/,/,/,/,panasonic
3631,5f3ba61e3fd5b671b22004a6,www.ukdigitalcameras.co.uk,g1x,/,9167b012aa,/,canonpowershotg1x,/,5.0,/,/,/,/,canon
3632,5f3ba61e3fd5b671b22004a9,www.ukdigitalcameras.co.uk,x30,/,p10nc13280a,/,fujifinepixx30,/,,/,/,/,/,fuji
3633,5f3ba61e3fd5b671b22004af,www.ukdigitalcameras.co.uk,aw120,/,vna311e1,/,nikoncoolpixaw120,/,5.0,/,/,/,/,nikon
3634,5f3ba61e3fd5b671b22004be,www.ukdigitalcameras.co.uk,s02,/,vna453e1,/,nikoncoolpixs02,/,3.0,/,/,/,/,nikon
3637,5f3ba61e3fd5b671b22004d2,www.ukdigitalcameras.co.uk,lx100,/,dmc-lx100ebk,/,panasoniclumixlx100,/,3.1,/,/,/,/,panasonic
5402,5f3ba61e3fd5b671b220045e,www.ukdigitalcameras.co.uk,d30,/,9337b012aa,/,canonpowershotd30,/,5.0,/,/,/,/,canon
5405,5f3ba61e3fd5b671b2200473,www.ukdigitalcameras.co.uk,xg1,/,07987,/,pentaxxg1,/,52.0,/,/,/,/,pentax
5406,5f3ba61e3fd5b671b2200478,www.ukdigitalcameras.co.uk,p600,/,vna480e1,/,nikoncoolpixp600,/,60.0,/,/,/,/,nikon
5407,5f3ba61e3fd5b671b220048e,www.ukdigitalcameras.co.uk,fz72,/,,/,panasoniclumixfz72,/,60.0,/,/,/,/,panasonic
7107,5f3ba61e3fd5b671b220045c,www.ukdigitalcameras.co.uk,s6700,/,vna661e1,/,nikoncoolpixs6700,/,8.0,/,/,/,/,nikon
7108,5f3ba61e3fd5b671b2200467,www.ukdigitalcameras.co.uk,x5,/,12762,/,pentaxoptiox5,/,26.0,/,/,/,/,pentax
7109,5f3ba61e3fd5b671b220047b,www.ukdigitalcameras.co.uk,rx100,/,dscrx100.ceh,/,sonycybershotrx100,/,3.6,/,/,/,/,sony
7110,5f3ba61e3fd5b671b220047c,www.ukdigitalcameras.co.uk,x100s,/,p10nc09330a,/,fujix100s,/,,/,/,/,/,fuji
7111,5f3ba61e3fd5b671b220047d,www.ukdigitalcameras.co.uk,sx600,/,9340b011,/,canonpowershotsx600,/,18.0,/,/,/,/,canon
7112,5f3ba61e3fd5b671b2200483,www.ukdigitalcameras.co.uk,s9600,/,vna500e1,/,nikoncoolpixs9600,/,22.0,/,/,/,/,nikon
7113,5f3ba61e3fd5b671b2200489,www.ukdigitalcameras.co.uk,p530,/,vna640e1,/,nikoncoolpixp530,/,42.0,/,/,/,/,nikon
7117,5f3ba61e3fd5b671b22004bd,www.ukdigitalcameras.co.uk,sx50,/,6352b012aa,/,canonpowershotsx50,/,50.0,/,/,/,/,canon
7120,5f3ba61e3fd5b671b22004cf,www.ukdigitalcameras.co.uk,lz40,/,dmc-lz40eb-k,/,panasoniclumixlz40,/,42.0,/,/,/,/,panasonic
8841,5f3ba61e3fd5b671b220046d,www.ukdigitalcameras.co.uk,fz1000,/,dmc-fz1000eb,/,panasoniclumixfz1000,/,16.0,/,/,/,/,panasonic
