,record_compared_1,record_compared_2,recId,recId,is_match
0,5f3ba61e3fd5b671b2200395,5f3ba61f3fd5b671b220117b,188,188,1
1,5f3ba61e3fd5b671b220034e,5f3ba61f3fd5b671b22011a7,213,213,1
2,5f3ba61e3fd5b671b22002f8,5f3ba61f3fd5b671b22011a6,195,195,1
3,5f3ba61e3fd5b671b22002fe,5f3ba61f3fd5b671b2201149,24,24,1
4,5f3ba61e3fd5b671b220029c,5f3ba61f3fd5b671b2201186,45,45,1
5,5f3ba61e3fd5b671b22002d3,5f3ba61f3fd5b671b220118e,143,143,1
6,5f3ba61e3fd5b671b2200314,5f3ba61f3fd5b671b220118e,143,143,1
7,5f3ba61e3fd5b671b22003a3,5f3ba61f3fd5b671b22011a1,168,168,1
8,5f3ba61e3fd5b671b22002b8,5f3ba61f3fd5b671b22011a5,115,115,1
9,5f3ba61e3fd5b671b22002be,5f3ba61f3fd5b671b220116c,177,177,1
10,5f3ba61e3fd5b671b2200320,5f3ba61f3fd5b671b220112a,210,210,1
11,5f3ba61e3fd5b671b220036c,5f3ba61f3fd5b671b2201133,131,131,1
12,5f3ba61e3fd5b671b220038f,5f3ba61f3fd5b671b2201133,131,131,1
13,5f3ba61e3fd5b671b220026c,5f3ba61f3fd5b671b2201129,189,189,1
14,5f3ba61e3fd5b671b22002aa,5f3ba61f3fd5b671b2201165,40,40,1
15,5f3ba61e3fd5b671b2200358,5f3ba61f3fd5b671b2201165,40,40,1
16,5f3ba61e3fd5b671b2200343,5f3ba61f3fd5b671b2201154,20,20,1
17,5f3ba61e3fd5b671b2200399,5f3ba61f3fd5b671b2201190,2,2,1
18,5f3ba61e3fd5b671b2200398,5f3ba61f3fd5b671b220119a,200,200,1
