,record_compared_1,record_compared_2,recId,recId,is_match
0,5f3ba61e3fd5b671b220024a,5f3ba6213fd5b671b220536c,174,174,1
1,5f3ba61e3fd5b671b220025e,5f3ba6213fd5b671b2205481,122,122,1
2,5f3ba61e3fd5b671b2200338,5f3ba6213fd5b671b2205481,122,122,1
3,5f3ba61e3fd5b671b2200297,5f3ba6213fd5b671b22052fe,187,187,1
4,5f3ba61e3fd5b671b220029d,5f3ba6213fd5b671b2205472,22,22,1
5,5f3ba61e3fd5b671b2200282,5f3ba6213fd5b671b2205472,22,22,1
6,5f3ba61e3fd5b671b22002a7,5f3ba6213fd5b671b220534d,41,41,1
7,5f3ba61e3fd5b671b22002a7,5f3ba6213fd5b671b220543a,41,41,1
8,5f3ba61e3fd5b671b2200373,5f3ba6213fd5b671b220534d,41,41,1
9,5f3ba61e3fd5b671b2200373,5f3ba6213fd5b671b220543a,41,41,1
10,5f3ba61e3fd5b671b22002a6,5f3ba6213fd5b671b220534d,41,41,1
11,5f3ba61e3fd5b671b22002a6,5f3ba6213fd5b671b220543a,41,41,1
12,5f3ba61e3fd5b671b22002ab,5f3ba6213fd5b671b2205386,171,171,1
13,5f3ba61e3fd5b671b22002e8,5f3ba6213fd5b671b22053e7,77,77,1
14,5f3ba61e3fd5b671b22002fa,5f3ba6213fd5b671b22052ec,118,118,1
15,5f3ba61e3fd5b671b2200273,5f3ba6213fd5b671b22052ec,118,118,1
16,5f3ba61e3fd5b671b2200331,5f3ba6213fd5b671b22052ec,118,118,1
17,5f3ba61e3fd5b671b2200305,5f3ba6213fd5b671b220537a,203,203,1
18,5f3ba61e3fd5b671b2200316,5f3ba6213fd5b671b220534a,85,85,1
19,5f3ba61e3fd5b671b2200316,5f3ba6213fd5b671b2205364,85,85,1
20,5f3ba61e3fd5b671b2200316,5f3ba6213fd5b671b22052f4,85,85,1
21,5f3ba61e3fd5b671b2200316,5f3ba6213fd5b671b2205429,85,85,1
22,5f3ba61e3fd5b671b2200316,5f3ba6213fd5b671b2205333,85,85,1
23,5f3ba61e3fd5b671b2200316,5f3ba6213fd5b671b22052d1,85,85,1
24,5f3ba61e3fd5b671b2200316,5f3ba6213fd5b671b2205489,85,85,1
25,5f3ba61e3fd5b671b2200322,5f3ba6213fd5b671b22053b1,52,52,1
26,5f3ba61e3fd5b671b220034a,5f3ba6213fd5b671b22053b1,52,52,1
27,5f3ba61e3fd5b671b2200333,5f3ba6213fd5b671b2205401,149,149,1
28,5f3ba61e3fd5b671b2200333,5f3ba6213fd5b671b2205349,149,149,1
29,5f3ba61e3fd5b671b2200394,5f3ba6213fd5b671b2205401,149,149,1
30,5f3ba61e3fd5b671b2200394,5f3ba6213fd5b671b2205349,149,149,1
31,5f3ba61e3fd5b671b2200339,5f3ba6213fd5b671b2205401,149,149,1
32,5f3ba61e3fd5b671b2200339,5f3ba6213fd5b671b2205349,149,149,1
33,5f3ba61e3fd5b671b2200340,5f3ba6213fd5b671b22053c0,9,9,1
34,5f3ba61e3fd5b671b2200313,5f3ba6213fd5b671b22053c0,9,9,1
35,5f3ba61e3fd5b671b2200346,5f3ba6213fd5b671b22053f3,135,135,1
36,5f3ba61e3fd5b671b220034f,5f3ba6213fd5b671b220540c,94,94,1
37,5f3ba61e3fd5b671b220034f,5f3ba6213fd5b671b2205412,94,94,1
38,5f3ba61e3fd5b671b2200345,5f3ba6213fd5b671b220540c,94,94,1
39,5f3ba61e3fd5b671b2200345,5f3ba6213fd5b671b2205412,94,94,1
40,5f3ba61e3fd5b671b220025f,5f3ba6213fd5b671b220540c,94,94,1
41,5f3ba61e3fd5b671b220025f,5f3ba6213fd5b671b2205412,94,94,1
42,5f3ba61e3fd5b671b22002f2,5f3ba6213fd5b671b220540c,94,94,1
43,5f3ba61e3fd5b671b22002f2,5f3ba6213fd5b671b2205412,94,94,1
44,5f3ba61e3fd5b671b220037c,5f3ba6213fd5b671b22052c8,35,35,1
45,5f3ba61e3fd5b671b220037c,5f3ba6213fd5b671b220531c,35,35,1
