,record_compared_1,record_compared_2,recId,recId,is_match
0,58c007cf9184900a77a2609c,58c007cf9184900a77a284c6,14,14,1
1,58c007cf9184900a77a2609e,58c007cf9184900a77a270bc,2151,2151,1
2,58c007cf9184900a77a260b7,58c007d09184900a77a29b2a,5969,5969,1
3,58c007cf9184900a77a260cb,58c007d09184900a77a299d0,7586,7586,1
4,58c007cf9184900a77a260ce,58c007cf9184900a77a279ce,3371,3371,1
5,58c007cf9184900a77a260da,58c007d09184900a77a2aa29,5576,5576,1
6,58c007cf9184900a77a260ec,58c007cf9184900a77a27361,905,905,1
7,58c007cf9184900a77a260f0,58c007cf9184900a77a28c85,7769,7769,1
8,58c007cf9184900a77a260f8,58c007cf9184900a77a26f1c,3341,3341,1
9,58c007cf9184900a77a260fc,58c007cf9184900a77a27cd0,2978,2978,1
10,58c007cf9184900a77a26108,58c007d09184900a77a29bd2,7847,7847,1
11,58c007cf9184900a77a2611c,58c007cf9184900a77a28877,333,333,1
12,58c007cf9184900a77a2612a,58c007cf9184900a77a26095,9,9,1
13,58c007cf9184900a77a2613f,58c007cf9184900a77a279e1,3379,3379,1
14,58c007cf9184900a77a26159,58c007cf9184900a77a28a1a,9275,9275,1
15,58c007cf9184900a77a26186,58c007d09184900a77a2aabd,7145,7145,1
16,58c007cf9184900a77a2618e,58c007cf9184900a77a28e42,138,138,1
17,58c007cf9184900a77a26199,58c007d09184900a77a2a798,9383,9383,1
18,58c007cf9184900a77a2619b,58c007cf9184900a77a28878,5309,5309,1
19,58c007cf9184900a77a2619e,58c007d09184900a77a2a861,146,146,1
20,58c007cf9184900a77a261b6,58c007cf9184900a77a271cb,2293,2293,1
21,58c007cf9184900a77a261d8,58c007cf9184900a77a28155,4344,4344,1
22,58c007cf9184900a77a26201,58c007d09184900a77a29c9d,199,199,1
23,58c007cf9184900a77a2621d,58c007d09184900a77a2aa07,9706,9706,1
24,58c007cf9184900a77a2622c,58c007cf9184900a77a26101,223,223,1
25,58c007cf9184900a77a2622f,58c007cf9184900a77a26469,3132,3132,1
26,58c007cf9184900a77a2623d,58c007d09184900a77a2927b,9482,9482,1
27,58c007cf9184900a77a2624b,58c007cf9184900a77a27528,3207,3207,1
28,58c007cf9184900a77a2628d,58c007cf9184900a77a28145,280,280,1
29,58c007cf9184900a77a26290,58c007cf9184900a77a263ed,463,463,1
30,58c007cf9184900a77a26298,58c007cf9184900a77a28ccd,8154,8154,1
31,58c007cf9184900a77a262b8,58c007d09184900a77a299a4,297,297,1
32,58c007cf9184900a77a262cc,58c007cf9184900a77a2768e,6826,6826,1
33,58c007cf9184900a77a262d0,58c007d09184900a77a2982e,308,308,1
34,58c007cf9184900a77a262eb,58c007d09184900a77a2980e,7356,7356,1
35,58c007cf9184900a77a2630a,58c007cf9184900a77a283f6,2980,2980,1
36,58c007cf9184900a77a26319,58c007cf9184900a77a2682f,9956,9956,1
37,58c007cf9184900a77a26331,58c007cf9184900a77a28052,7195,7195,1
38,58c007cf9184900a77a26338,58c007cf9184900a77a28a50,5565,5565,1
39,58c007cf9184900a77a2634a,58c007cf9184900a77a2785b,1504,1504,1
40,58c007cf9184900a77a26353,58c007cf9184900a77a26373,877,877,1
41,58c007cf9184900a77a26366,58c007cf9184900a77a28c52,8925,8925,1
42,58c007cf9184900a77a2636a,58c007cf9184900a77a27fe7,4164,4164,1
43,58c007cf9184900a77a26376,58c007cf9184900a77a28231,400,400,1
44,58c007cf9184900a77a2637d,58c007cf9184900a77a283f9,404,404,1
45,58c007cf9184900a77a2638e,58c007cf9184900a77a26cb1,3981,3981,1
46,58c007cf9184900a77a263dd,58c007cf9184900a77a2680b,5025,5025,1
47,58c007cf9184900a77a26402,58c007d09184900a77a29386,4651,4651,1
48,58c007cf9184900a77a26408,58c007cf9184900a77a27e4b,8629,8629,1
49,58c007cf9184900a77a2641d,58c007d09184900a77a29f00,8243,8243,1
50,58c007cf9184900a77a26436,58c007cf9184900a77a264a5,558,558,1
51,58c007cf9184900a77a2643e,58c007cf9184900a77a27384,503,503,1
52,58c007cf9184900a77a26452,58c007cf9184900a77a27724,5603,5603,1
53,58c007cf9184900a77a26453,58c007cf9184900a77a266eb,515,515,1
54,58c007cf9184900a77a26456,58c007cf9184900a77a27e67,2367,2367,1
55,58c007cf9184900a77a2646d,58c007d09184900a77a2927c,527,527,1
56,58c007cf9184900a77a26472,58c007d09184900a77a2a72e,9320,9320,1
57,58c007cf9184900a77a2648e,58c007d09184900a77a29ce7,7981,7981,1
58,58c007cf9184900a77a26493,58c007cf9184900a77a2867b,5026,5026,1
59,58c007cf9184900a77a26499,58c007d09184900a77a2a2ec,8740,8740,1
60,58c007cf9184900a77a2649c,58c007cf9184900a77a28ae3,3905,3905,1
61,58c007cf9184900a77a264aa,58c007d09184900a77a29677,7157,7157,1
62,58c007cf9184900a77a264ae,58c007cf9184900a77a28762,3682,3682,1
63,58c007cf9184900a77a264b6,58c007d09184900a77a2985c,7398,7398,1
64,58c007cf9184900a77a264b9,58c007d09184900a77a29915,7486,7486,1
65,58c007cf9184900a77a264cb,58c007cf9184900a77a28909,2600,2600,1
66,58c007cf9184900a77a264d1,58c007cf9184900a77a273fe,5598,5598,1
67,58c007cf9184900a77a264d6,58c007cf9184900a77a2799f,7776,7776,1
68,58c007cf9184900a77a264e3,58c007cf9184900a77a28150,7825,7825,1
69,58c007cf9184900a77a264e4,58c007d09184900a77a2a4d9,9010,9010,1
70,58c007cf9184900a77a264e7,58c007d09184900a77a2a313,592,592,1
71,58c007cf9184900a77a264ff,58c007cf9184900a77a2862d,4979,4979,1
72,58c007cf9184900a77a26501,58c007cf9184900a77a26321,355,355,1
73,58c007cf9184900a77a2650a,58c007cf9184900a77a26640,770,770,1
74,58c007cf9184900a77a2651d,58c007cf9184900a77a2628a,278,278,1
75,58c007cf9184900a77a26523,58c007cf9184900a77a276c5,9230,9230,1
76,58c007cf9184900a77a26531,58c007d09184900a77a29fb3,7912,7912,1
77,58c007cf9184900a77a26543,58c007d09184900a77a2a325,8774,8774,1
78,58c007cf9184900a77a2654f,58c007d09184900a77a2a95d,9622,9622,1
79,58c007cf9184900a77a26564,58c007cf9184900a77a26830,1042,1042,1
80,58c007cf9184900a77a2657b,58c007cf9184900a77a28ab0,5618,5618,1
81,58c007cf9184900a77a26596,58c007d09184900a77a29c15,9165,9165,1
82,58c007cf9184900a77a265b0,58c007cf9184900a77a285d8,4936,4936,1
83,58c007cf9184900a77a265b1,58c007cf9184900a77a287b3,5286,5286,1
84,58c007cf9184900a77a265b3,58c007d09184900a77a2aaad,9795,9795,1
85,58c007cf9184900a77a265b4,58c007d09184900a77a29370,6763,6763,1
86,58c007cf9184900a77a265b8,58c007cf9184900a77a282fb,4563,4563,1
87,58c007cf9184900a77a265c4,58c007cf9184900a77a2615a,105,105,1
88,58c007cf9184900a77a265dc,58c007d09184900a77a29799,7298,7298,1
89,58c007cf9184900a77a26609,58c007cf9184900a77a265d9,714,714,1
90,58c007cf9184900a77a26624,58c007d09184900a77a29193,7497,7497,1
91,58c007cf9184900a77a26661,58c007d09184900a77a292e4,6698,6698,1
92,58c007cf9184900a77a26663,58c007cf9184900a77a27051,2092,2092,1
93,58c007cf9184900a77a26678,58c007cf9184900a77a2641a,484,484,1
94,58c007cf9184900a77a26690,58c007cf9184900a77a27f36,4071,4071,1
95,58c007cf9184900a77a266ac,58c007d09184900a77a2a610,7873,7873,1
96,58c007cf9184900a77a266b7,58c007cf9184900a77a276dc,836,836,1
97,58c007cf9184900a77a266bc,58c007cf9184900a77a279d0,8411,8411,1
98,58c007cf9184900a77a266db,58c007cf9184900a77a26722,854,854,1
99,58c007cf9184900a77a266ff,58c007d09184900a77a2a0bc,406,406,1
100,58c007cf9184900a77a2670a,58c007cf9184900a77a27a79,884,884,1
101,58c007cf9184900a77a26724,58c007d09184900a77a2a2a3,901,901,1
102,58c007cf9184900a77a26725,58c007cf9184900a77a28ef8,7851,7851,1
103,58c007cf9184900a77a26727,58c007d09184900a77a2a5a0,4513,4513,1
104,58c007cf9184900a77a2672c,58c007cf9184900a77a26413,4131,4131,1
105,58c007cf9184900a77a2673a,58c007cf9184900a77a29017,6333,6333,1
106,58c007cf9184900a77a2676f,58c007cf9184900a77a260e7,48,48,1
107,58c007cf9184900a77a26778,58c007cf9184900a77a264f3,596,596,1
108,58c007cf9184900a77a26785,58c007cf9184900a77a26e7f,5488,5488,1
109,58c007cf9184900a77a2678c,58c007d09184900a77a2910b,955,955,1
110,58c007cf9184900a77a267ad,58c007cf9184900a77a26c4a,6666,6666,1
111,58c007cf9184900a77a267b7,58c007cf9184900a77a264c3,573,573,1
112,58c007cf9184900a77a267c9,58c007d09184900a77a2a823,9280,9280,1
113,58c007cf9184900a77a267d6,58c007cf9184900a77a2765b,2908,2908,1
114,58c007cf9184900a77a267e1,58c007cf9184900a77a26bd6,591,591,1
115,58c007cf9184900a77a267ed,58c007cf9184900a77a28de8,1202,1202,1
116,58c007cf9184900a77a267f0,58c007cf9184900a77a28875,5307,5307,1
117,58c007cf9184900a77a26809,58c007cf9184900a77a27012,2059,2059,1
118,58c007cf9184900a77a26820,58c007d09184900a77a29ca9,6357,6357,1
119,58c007cf9184900a77a26821,58c007d09184900a77a29628,7111,7111,1
120,58c007cf9184900a77a26826,58c007cf9184900a77a2660e,1035,1035,1
121,58c007cf9184900a77a26847,58c007cf9184900a77a26c65,1580,1580,1
122,58c007cf9184900a77a2685e,58c007cf9184900a77a26a33,8686,8686,1
123,58c007cf9184900a77a26866,58c007cf9184900a77a283ec,4688,4688,1
124,58c007cf9184900a77a2686c,58c007cf9184900a77a2708d,2126,2126,1
125,58c007cf9184900a77a2687c,58c007cf9184900a77a27d3d,1077,1077,1
126,58c007cf9184900a77a26883,58c007cf9184900a77a28b49,5693,5693,1
127,58c007cf9184900a77a26892,58c007d09184900a77a299fe,1085,1085,1
128,58c007cf9184900a77a268a3,58c007d09184900a77a292d7,6692,6692,1
