,record_compared_1,record_compared_2,recId,recId,is_match
0,5f3ba61f3fd5b671b2201196,5f3ba6213fd5b671b220538e,326,326,1
1,5f3ba61f3fd5b671b220112f,5f3ba6213fd5b671b22053f5,702,702,1
2,5f3ba61f3fd5b671b2201162,5f3ba6213fd5b671b2205417,381,381,1
3,5f3ba61f3fd5b671b22011a1,5f3ba6213fd5b671b22053a3,168,168,1
4,5f3ba61f3fd5b671b220112b,5f3ba6213fd5b671b22052cc,344,344,1
5,5f3ba61f3fd5b671b2201146,5f3ba6213fd5b671b22052cc,344,344,1
6,5f3ba61f3fd5b671b2201142,5f3ba6213fd5b671b22052fc,372,372,1
7,5f3ba61f3fd5b671b2201186,5f3ba6213fd5b671b2205357,45,45,1
8,5f3ba61f3fd5b671b220117b,5f3ba6213fd5b671b2205336,188,188,1
9,5f3ba61f3fd5b671b2201184,5f3ba6213fd5b671b2205437,367,367,1
10,5f3ba61f3fd5b671b2201198,5f3ba6213fd5b671b22053f1,733,733,1
11,5f3ba61f3fd5b671b22011aa,5f3ba6213fd5b671b22052f1,393,393,1
12,5f3ba61f3fd5b671b22011ad,5f3ba6213fd5b671b2205406,576,576,1
13,5f3ba61f3fd5b671b2201129,5f3ba6213fd5b671b220529f,189,189,1
14,5f3ba61f3fd5b671b2201182,5f3ba6213fd5b671b22053ed,736,736,1
15,5f3ba61f3fd5b671b220118e,5f3ba6213fd5b671b220548f,143,143,1
16,5f3ba61f3fd5b671b2201197,5f3ba6213fd5b671b22052d5,436,436,1
17,5f3ba61f3fd5b671b22011a6,5f3ba6213fd5b671b2205452,195,195,1
18,5f3ba61f3fd5b671b2201128,5f3ba6213fd5b671b220533c,590,590,1
19,5f3ba61f3fd5b671b220119a,5f3ba6213fd5b671b220546a,200,200,1
20,5f3ba61f3fd5b671b22011a5,5f3ba6213fd5b671b220539d,115,115,1
21,5f3ba61f3fd5b671b220116c,5f3ba6213fd5b671b2205306,177,177,1
22,5f3ba61f3fd5b671b220117c,5f3ba6213fd5b671b22052be,669,669,1
23,5f3ba61f3fd5b671b22011a7,5f3ba6213fd5b671b2205465,213,213,1
