,record_compared_1,record_compared_2,recId,recId,is_match
0,5f3ba61e3fd5b671b22001a8,5f3ba61e3fd5b671b22001f3,11,11,1
1,5f3ba61e3fd5b671b220016d,5f3ba61e3fd5b671b22001f3,11,11,1
2,5f3ba61e3fd5b671b2200174,5f3ba61e3fd5b671b22001f3,11,11,1
3,5f3ba61e3fd5b671b22001b4,5f3ba61e3fd5b671b22001f3,11,11,1
4,5f3ba61e3fd5b671b22001cb,5f3ba61e3fd5b671b22001f3,11,11,1
5,5f3ba61e3fd5b671b2200161,5f3ba61e3fd5b671b2200216,506,506,1
6,5f3ba61e3fd5b671b22001aa,5f3ba61e3fd5b671b2200201,177,177,1
7,5f3ba61e3fd5b671b22001ba,5f3ba61e3fd5b671b22001f7,149,149,1
8,5f3ba61e3fd5b671b220019d,5f3ba61e3fd5b671b22001f7,149,149,1
9,5f3ba61e3fd5b671b2200162,5f3ba61e3fd5b671b22001e6,88,88,1
10,5f3ba61e3fd5b671b2200162,5f3ba61e3fd5b671b2200214,88,88,1
11,5f3ba61e3fd5b671b22001c3,5f3ba61e3fd5b671b22001de,85,85,1
12,5f3ba61e3fd5b671b22001c3,5f3ba61e3fd5b671b2200218,85,85,1
13,5f3ba61e3fd5b671b22001c3,5f3ba61e3fd5b671b2200221,85,85,1
14,5f3ba61e3fd5b671b22001cd,5f3ba61e3fd5b671b22001de,85,85,1
15,5f3ba61e3fd5b671b22001cd,5f3ba61e3fd5b671b2200218,85,85,1
16,5f3ba61e3fd5b671b22001cd,5f3ba61e3fd5b671b2200221,85,85,1
17,5f3ba61e3fd5b671b22001c8,5f3ba61e3fd5b671b22001de,85,85,1
18,5f3ba61e3fd5b671b22001c8,5f3ba61e3fd5b671b2200218,85,85,1
19,5f3ba61e3fd5b671b22001c8,5f3ba61e3fd5b671b2200221,85,85,1
20,5f3ba61e3fd5b671b2200160,5f3ba61e3fd5b671b22001de,85,85,1
21,5f3ba61e3fd5b671b2200160,5f3ba61e3fd5b671b2200218,85,85,1
22,5f3ba61e3fd5b671b2200160,5f3ba61e3fd5b671b2200221,85,85,1
23,5f3ba61e3fd5b671b220015a,5f3ba61e3fd5b671b2200202,228,228,1
24,5f3ba61e3fd5b671b220015a,5f3ba61e3fd5b671b22001e4,228,228,1
25,5f3ba61e3fd5b671b220015a,5f3ba61e3fd5b671b220021b,228,228,1
26,5f3ba61e3fd5b671b2200164,5f3ba61e3fd5b671b2200202,228,228,1
27,5f3ba61e3fd5b671b2200164,5f3ba61e3fd5b671b22001e4,228,228,1
28,5f3ba61e3fd5b671b2200164,5f3ba61e3fd5b671b220021b,228,228,1
29,5f3ba61e3fd5b671b2200167,5f3ba61e3fd5b671b2200202,228,228,1
30,5f3ba61e3fd5b671b2200167,5f3ba61e3fd5b671b22001e4,228,228,1
31,5f3ba61e3fd5b671b2200167,5f3ba61e3fd5b671b220021b,228,228,1
32,5f3ba61e3fd5b671b220016e,5f3ba61e3fd5b671b2200223,83,83,1
33,5f3ba61e3fd5b671b2200196,5f3ba61e3fd5b671b2200223,83,83,1
34,5f3ba61e3fd5b671b220015d,5f3ba61e3fd5b671b2200223,83,83,1
35,5f3ba61e3fd5b671b2200165,5f3ba61e3fd5b671b2200223,83,83,1
36,5f3ba61e3fd5b671b2200192,5f3ba61e3fd5b671b2200223,83,83,1
37,5f3ba61e3fd5b671b220016f,5f3ba61e3fd5b671b220021f,878,878,1
38,5f3ba61e3fd5b671b22001c0,5f3ba61e3fd5b671b2200205,196,196,1
39,5f3ba61e3fd5b671b22001c0,5f3ba61e3fd5b671b2200228,196,196,1
40,5f3ba61e3fd5b671b2200190,5f3ba61e3fd5b671b2200205,196,196,1
41,5f3ba61e3fd5b671b2200190,5f3ba61e3fd5b671b2200228,196,196,1
42,5f3ba61e3fd5b671b220015e,5f3ba61e3fd5b671b2200205,196,196,1
43,5f3ba61e3fd5b671b220015e,5f3ba61e3fd5b671b2200228,196,196,1
44,5f3ba61e3fd5b671b22001cc,5f3ba61e3fd5b671b22001ff,72,72,1
45,5f3ba61e3fd5b671b22001cc,5f3ba61e3fd5b671b2200229,72,72,1
46,5f3ba61e3fd5b671b220018e,5f3ba61e3fd5b671b22001ff,72,72,1
47,5f3ba61e3fd5b671b220018e,5f3ba61e3fd5b671b2200229,72,72,1
48,5f3ba61e3fd5b671b2200193,5f3ba61e3fd5b671b22001ff,72,72,1
49,5f3ba61e3fd5b671b2200193,5f3ba61e3fd5b671b2200229,72,72,1
50,5f3ba61e3fd5b671b2200199,5f3ba61e3fd5b671b2200222,215,215,1
51,5f3ba61e3fd5b671b22001b8,5f3ba61e3fd5b671b220022d,54,54,1
52,5f3ba61e3fd5b671b220017e,5f3ba61e3fd5b671b220023b,991,991,1
53,5f3ba61e3fd5b671b220017e,5f3ba61e3fd5b671b22001db,991,991,1
54,5f3ba61e3fd5b671b220016a,5f3ba61e3fd5b671b220022a,136,136,1
55,5f3ba61e3fd5b671b220016a,5f3ba61e3fd5b671b22001f2,136,136,1
56,5f3ba61e3fd5b671b220016a,5f3ba61e3fd5b671b220023c,136,136,1
57,5f3ba61e3fd5b671b2200159,5f3ba61e3fd5b671b2200236,98,98,1
58,5f3ba61e3fd5b671b2200159,5f3ba61e3fd5b671b22001fe,98,98,1
