,record_compared_1,record_compared_2,recId,recId,is_match
0,5f3ba61f3fd5b671b2200d24,5f3ba61f3fd5b671b2200c98,84,84,1
1,5f3ba61f3fd5b671b2200d24,5f3ba61f3fd5b671b2200ce2,84,84,1
2,5f3ba61f3fd5b671b2200dca,5f3ba61f3fd5b671b2200c98,84,84,1
3,5f3ba61f3fd5b671b2200dca,5f3ba61f3fd5b671b2200ce2,84,84,1
4,5f3ba61f3fd5b671b2200d7e,5f3ba61f3fd5b671b2200cae,54,54,1
5,5f3ba61f3fd5b671b2201039,5f3ba61f3fd5b671b2200cae,54,54,1
6,5f3ba61f3fd5b671b2200e53,5f3ba61f3fd5b671b2200cae,54,54,1
7,5f3ba61f3fd5b671b2200d77,5f3ba61f3fd5b671b2200cae,54,54,1
8,5f3ba61f3fd5b671b2200f38,5f3ba61f3fd5b671b2200cae,54,54,1
9,5f3ba61f3fd5b671b2200d96,5f3ba61f3fd5b671b2200ca0,513,513,1
10,5f3ba61f3fd5b671b2200da9,5f3ba61f3fd5b671b2200be5,1334,1334,1
11,5f3ba61f3fd5b671b2200ffb,5f3ba61f3fd5b671b2200be5,1334,1334,1
12,5f3ba61f3fd5b671b2201028,5f3ba61f3fd5b671b2200be5,1334,1334,1
13,5f3ba61f3fd5b671b2200dd8,5f3ba61f3fd5b671b2200c99,435,435,1
14,5f3ba61f3fd5b671b2200e13,5f3ba61f3fd5b671b2200c99,435,435,1
15,5f3ba61f3fd5b671b2200f4d,5f3ba61f3fd5b671b2200c99,435,435,1
16,5f3ba61f3fd5b671b2200d4b,5f3ba61f3fd5b671b2200c99,435,435,1
17,5f3ba61f3fd5b671b2200eef,5f3ba61f3fd5b671b2200c99,435,435,1
18,5f3ba61f3fd5b671b2200f9b,5f3ba61f3fd5b671b2200c99,435,435,1
19,5f3ba61f3fd5b671b22010a1,5f3ba61f3fd5b671b2200c99,435,435,1
20,5f3ba61f3fd5b671b2200f73,5f3ba61f3fd5b671b2200c99,435,435,1
21,5f3ba61f3fd5b671b2200d3a,5f3ba61f3fd5b671b2200c99,435,435,1
22,5f3ba61f3fd5b671b2200dd9,5f3ba61f3fd5b671b2200c47,278,278,1
23,5f3ba61f3fd5b671b2200dd9,5f3ba61f3fd5b671b2200c70,278,278,1
24,5f3ba61f3fd5b671b2200dd9,5f3ba61f3fd5b671b2200c7a,278,278,1
25,5f3ba61f3fd5b671b2200e7a,5f3ba61f3fd5b671b2200d17,98,98,1
26,5f3ba61f3fd5b671b2200ddb,5f3ba61f3fd5b671b2200d17,98,98,1
27,5f3ba61f3fd5b671b2200d31,5f3ba61f3fd5b671b2200d17,98,98,1
28,5f3ba61f3fd5b671b2200e9f,5f3ba61f3fd5b671b2200c48,12,12,1
29,5f3ba61f3fd5b671b2200e9f,5f3ba61f3fd5b671b2200c89,12,12,1
30,5f3ba61f3fd5b671b2200ff1,5f3ba61f3fd5b671b2200c48,12,12,1
31,5f3ba61f3fd5b671b2200ff1,5f3ba61f3fd5b671b2200c89,12,12,1
32,5f3ba61f3fd5b671b2200d4c,5f3ba61f3fd5b671b2200c48,12,12,1
33,5f3ba61f3fd5b671b2200d4c,5f3ba61f3fd5b671b2200c89,12,12,1
34,5f3ba61f3fd5b671b220101b,5f3ba61f3fd5b671b2200c48,12,12,1
35,5f3ba61f3fd5b671b220101b,5f3ba61f3fd5b671b2200c89,12,12,1
36,5f3ba61f3fd5b671b2200f60,5f3ba61f3fd5b671b2200c48,12,12,1
37,5f3ba61f3fd5b671b2200f60,5f3ba61f3fd5b671b2200c89,12,12,1
38,5f3ba61f3fd5b671b2200d7a,5f3ba61f3fd5b671b2200c48,12,12,1
39,5f3ba61f3fd5b671b2200d7a,5f3ba61f3fd5b671b2200c89,12,12,1
40,5f3ba61f3fd5b671b2200df9,5f3ba61f3fd5b671b2200c48,12,12,1
41,5f3ba61f3fd5b671b2200df9,5f3ba61f3fd5b671b2200c89,12,12,1
42,5f3ba61f3fd5b671b2200fb6,5f3ba61f3fd5b671b2200c48,12,12,1
43,5f3ba61f3fd5b671b2200fb6,5f3ba61f3fd5b671b2200c89,12,12,1
44,5f3ba61f3fd5b671b2200f2e,5f3ba61f3fd5b671b2200d0c,60,60,1
45,5f3ba61f3fd5b671b2200f2f,5f3ba61f3fd5b671b2200d1c,1676,1676,1
46,5f3ba61f3fd5b671b2200f77,5f3ba61f3fd5b671b2200c2b,149,149,1
47,5f3ba61f3fd5b671b2200d99,5f3ba61f3fd5b671b2200c2b,149,149,1
48,5f3ba61f3fd5b671b2200e0a,5f3ba61f3fd5b671b2200c2b,149,149,1
49,5f3ba61f3fd5b671b2200fe2,5f3ba61f3fd5b671b2200c35,195,195,1
50,5f3ba61f3fd5b671b2200ef7,5f3ba61f3fd5b671b2200c35,195,195,1
51,5f3ba61f3fd5b671b2200ff2,5f3ba61f3fd5b671b2200ca1,72,72,1
52,5f3ba61f3fd5b671b2200ff2,5f3ba61f3fd5b671b2200ced,72,72,1
53,5f3ba61f3fd5b671b2200f99,5f3ba61f3fd5b671b2200ca1,72,72,1
54,5f3ba61f3fd5b671b2200f99,5f3ba61f3fd5b671b2200ced,72,72,1
55,5f3ba61f3fd5b671b2200e0c,5f3ba61f3fd5b671b2200ca1,72,72,1
56,5f3ba61f3fd5b671b2200e0c,5f3ba61f3fd5b671b2200ced,72,72,1
57,5f3ba61f3fd5b671b2200f39,5f3ba61f3fd5b671b2200ca1,72,72,1
58,5f3ba61f3fd5b671b2200f39,5f3ba61f3fd5b671b2200ced,72,72,1
59,5f3ba61f3fd5b671b2201042,5f3ba61f3fd5b671b2200c24,269,269,1
60,5f3ba61f3fd5b671b2201042,5f3ba61f3fd5b671b2200bed,269,269,1
61,5f3ba61f3fd5b671b2200fda,5f3ba61f3fd5b671b2200c24,269,269,1
62,5f3ba61f3fd5b671b2200fda,5f3ba61f3fd5b671b2200bed,269,269,1
63,5f3ba61f3fd5b671b2201031,5f3ba61f3fd5b671b2200c24,269,269,1
64,5f3ba61f3fd5b671b2201031,5f3ba61f3fd5b671b2200bed,269,269,1
65,5f3ba61f3fd5b671b2200f4e,5f3ba61f3fd5b671b2200c24,269,269,1
66,5f3ba61f3fd5b671b2200f4e,5f3ba61f3fd5b671b2200bed,269,269,1
67,5f3ba61f3fd5b671b2201075,5f3ba61f3fd5b671b2200c24,269,269,1
68,5f3ba61f3fd5b671b2201075,5f3ba61f3fd5b671b2200bed,269,269,1
69,5f3ba61f3fd5b671b2201054,5f3ba61f3fd5b671b2200c24,269,269,1
70,5f3ba61f3fd5b671b2201054,5f3ba61f3fd5b671b2200bed,269,269,1
71,5f3ba61f3fd5b671b2200dd6,5f3ba61f3fd5b671b2200c24,269,269,1
72,5f3ba61f3fd5b671b2200dd6,5f3ba61f3fd5b671b2200bed,269,269,1
73,5f3ba61f3fd5b671b22010cc,5f3ba61f3fd5b671b2200c24,269,269,1
74,5f3ba61f3fd5b671b22010cc,5f3ba61f3fd5b671b2200bed,269,269,1
75,5f3ba61f3fd5b671b2201048,5f3ba61f3fd5b671b2200c38,238,238,1
76,5f3ba61f3fd5b671b2201090,5f3ba61f3fd5b671b2200c38,238,238,1
77,5f3ba61f3fd5b671b2200e71,5f3ba61f3fd5b671b2200c38,238,238,1
78,5f3ba61f3fd5b671b220105e,5f3ba61f3fd5b671b2200bdb,344,344,1
79,5f3ba61f3fd5b671b2200e6d,5f3ba61f3fd5b671b2200bdb,344,344,1
80,5f3ba61f3fd5b671b22010f5,5f3ba61f3fd5b671b2200c4d,547,547,1
81,5f3ba61f3fd5b671b2200e15,5f3ba61f3fd5b671b2200c4d,547,547,1
82,5f3ba61f3fd5b671b22010f6,5f3ba61f3fd5b671b2200bf9,135,135,1
83,5f3ba61f3fd5b671b2200ef0,5f3ba61f3fd5b671b2200bf9,135,135,1
84,5f3ba61f3fd5b671b2200f01,5f3ba61f3fd5b671b2200bf9,135,135,1
85,5f3ba61f3fd5b671b2200d29,5f3ba61f3fd5b671b2200d16,559,559,1
86,5f3ba61f3fd5b671b2200d29,5f3ba61f3fd5b671b2200c5c,559,559,1
87,5f3ba61f3fd5b671b2200df7,5f3ba61f3fd5b671b2200d16,559,559,1
88,5f3ba61f3fd5b671b2200df7,5f3ba61f3fd5b671b2200c5c,559,559,1
89,5f3ba61f3fd5b671b2200d51,5f3ba61f3fd5b671b2200d16,559,559,1
90,5f3ba61f3fd5b671b2200d51,5f3ba61f3fd5b671b2200c5c,559,559,1
91,5f3ba61f3fd5b671b220108a,5f3ba61f3fd5b671b2200d16,559,559,1
92,5f3ba61f3fd5b671b220108a,5f3ba61f3fd5b671b2200c5c,559,559,1
93,5f3ba61f3fd5b671b2200d35,5f3ba61f3fd5b671b2200c22,938,938,1
94,5f3ba61f3fd5b671b2200daa,5f3ba61f3fd5b671b2200cff,595,595,1
95,5f3ba61f3fd5b671b2200dac,5f3ba61f3fd5b671b2200c04,280,280,1
96,5f3ba61f3fd5b671b2200d8f,5f3ba61f3fd5b671b2200c04,280,280,1
97,5f3ba61f3fd5b671b2200dc1,5f3ba61f3fd5b671b2200c06,58,58,1
98,5f3ba61f3fd5b671b220102b,5f3ba61f3fd5b671b2200c06,58,58,1
99,5f3ba61f3fd5b671b2200de9,5f3ba61f3fd5b671b2200cac,21,21,1
100,5f3ba61f3fd5b671b2200de9,5f3ba61f3fd5b671b2200c6b,21,21,1
101,5f3ba61f3fd5b671b2200de9,5f3ba61f3fd5b671b2200c8d,21,21,1
102,5f3ba61f3fd5b671b2200ff5,5f3ba61f3fd5b671b2200cac,21,21,1
103,5f3ba61f3fd5b671b2200ff5,5f3ba61f3fd5b671b2200c6b,21,21,1
104,5f3ba61f3fd5b671b2200ff5,5f3ba61f3fd5b671b2200c8d,21,21,1
105,5f3ba61f3fd5b671b2200eee,5f3ba61f3fd5b671b2200cac,21,21,1
106,5f3ba61f3fd5b671b2200eee,5f3ba61f3fd5b671b2200c6b,21,21,1
107,5f3ba61f3fd5b671b2200eee,5f3ba61f3fd5b671b2200c8d,21,21,1
108,5f3ba61f3fd5b671b2200f65,5f3ba61f3fd5b671b2200cac,21,21,1
109,5f3ba61f3fd5b671b2200f65,5f3ba61f3fd5b671b2200c6b,21,21,1
110,5f3ba61f3fd5b671b2200f65,5f3ba61f3fd5b671b2200c8d,21,21,1
111,5f3ba61f3fd5b671b2200d44,5f3ba61f3fd5b671b2200cac,21,21,1
112,5f3ba61f3fd5b671b2200d44,5f3ba61f3fd5b671b2200c6b,21,21,1
113,5f3ba61f3fd5b671b2200d44,5f3ba61f3fd5b671b2200c8d,21,21,1
114,5f3ba61f3fd5b671b2200f80,5f3ba61f3fd5b671b2200cac,21,21,1
115,5f3ba61f3fd5b671b2200f80,5f3ba61f3fd5b671b2200c6b,21,21,1
116,5f3ba61f3fd5b671b2200f80,5f3ba61f3fd5b671b2200c8d,21,21,1
117,5f3ba61f3fd5b671b2200e3b,5f3ba61f3fd5b671b2200cac,21,21,1
118,5f3ba61f3fd5b671b2200e3b,5f3ba61f3fd5b671b2200c6b,21,21,1
119,5f3ba61f3fd5b671b2200e3b,5f3ba61f3fd5b671b2200c8d,21,21,1
120,5f3ba61f3fd5b671b2201070,5f3ba61f3fd5b671b2200cac,21,21,1
121,5f3ba61f3fd5b671b2201070,5f3ba61f3fd5b671b2200c6b,21,21,1
122,5f3ba61f3fd5b671b2201070,5f3ba61f3fd5b671b2200c8d,21,21,1
123,5f3ba61f3fd5b671b22010d4,5f3ba61f3fd5b671b2200cac,21,21,1
124,5f3ba61f3fd5b671b22010d4,5f3ba61f3fd5b671b2200c6b,21,21,1
125,5f3ba61f3fd5b671b22010d4,5f3ba61f3fd5b671b2200c8d,21,21,1
126,5f3ba61f3fd5b671b2200fe4,5f3ba61f3fd5b671b2200cac,21,21,1
127,5f3ba61f3fd5b671b2200fe4,5f3ba61f3fd5b671b2200c6b,21,21,1
128,5f3ba61f3fd5b671b2200fe4,5f3ba61f3fd5b671b2200c8d,21,21,1
129,5f3ba61f3fd5b671b2200e0b,5f3ba61f3fd5b671b2200bb7,228,228,1
130,5f3ba61f3fd5b671b2200ef9,5f3ba61f3fd5b671b2200bb7,228,228,1
131,5f3ba61f3fd5b671b220104e,5f3ba61f3fd5b671b2200bb7,228,228,1
132,5f3ba61f3fd5b671b2200ef6,5f3ba61f3fd5b671b2200bb7,228,228,1
