,record_compared_1,record_compared_2,recId,recId,is_match
0,5f3ba61e3fd5b671b22003cd,5f3ba61f3fd5b671b2200c31,1173,1173,1
1,5f3ba61e3fd5b671b220040b,5f3ba61f3fd5b671b2200c0e,925,925,1
2,5f3ba61e3fd5b671b2200441,5f3ba61f3fd5b671b2200c0e,925,925,1
3,5f3ba61e3fd5b671b2200429,5f3ba61f3fd5b671b2200bd1,204,204,1
4,5f3ba61e3fd5b671b2200442,5f3ba61f3fd5b671b2200bd1,204,204,1
5,5f3ba61e3fd5b671b220043b,5f3ba61f3fd5b671b2200c65,660,660,1
6,5f3ba61e3fd5b671b2200421,5f3ba61f3fd5b671b2200c65,660,660,1
7,5f3ba61e3fd5b671b2200443,5f3ba61f3fd5b671b2200d1e,66,66,1
8,5f3ba61e3fd5b671b22003ef,5f3ba61f3fd5b671b2200d1e,66,66,1
9,5f3ba61e3fd5b671b22003a6,5f3ba61f3fd5b671b2200bb9,313,313,1
10,5f3ba61e3fd5b671b2200423,5f3ba61f3fd5b671b2200bcc,5,5,1
11,5f3ba61e3fd5b671b2200447,5f3ba61f3fd5b671b2200ce7,97,97,1
12,5f3ba61e3fd5b671b220041c,5f3ba61f3fd5b671b2200ce7,97,97,1
13,5f3ba61e3fd5b671b2200459,5f3ba61f3fd5b671b2200cca,153,153,1
14,5f3ba61e3fd5b671b22003b1,5f3ba61f3fd5b671b2200bb8,653,653,1
15,5f3ba61e3fd5b671b22003ae,5f3ba61f3fd5b671b2200bb8,653,653,1
16,5f3ba61e3fd5b671b22003c0,5f3ba61f3fd5b671b2200c0c,634,634,1
17,5f3ba61e3fd5b671b22003d2,5f3ba61f3fd5b671b2200bbe,9,9,1
18,5f3ba61e3fd5b671b22003dc,5f3ba61f3fd5b671b2200bbe,9,9,1
19,5f3ba61e3fd5b671b22003ed,5f3ba61f3fd5b671b2200c68,1009,1009,1
20,5f3ba61e3fd5b671b22003ed,5f3ba61f3fd5b671b2200bd2,1009,1009,1
21,5f3ba61e3fd5b671b22003ed,5f3ba61f3fd5b671b2200bea,1009,1009,1
22,5f3ba61e3fd5b671b22003f1,5f3ba61f3fd5b671b2200bd3,659,659,1
23,5f3ba61e3fd5b671b22003f9,5f3ba61f3fd5b671b2200bd3,659,659,1
24,5f3ba61e3fd5b671b22003f6,5f3ba61f3fd5b671b2200c08,22,22,1
25,5f3ba61e3fd5b671b22003e9,5f3ba61f3fd5b671b2200c08,22,22,1
26,5f3ba61e3fd5b671b22003fd,5f3ba61f3fd5b671b2200d0c,60,60,1
27,5f3ba61e3fd5b671b2200420,5f3ba61f3fd5b671b2200cd0,29,29,1
28,5f3ba61e3fd5b671b2200428,5f3ba61f3fd5b671b2200c22,938,938,1
29,5f3ba61e3fd5b671b22003b2,5f3ba61f3fd5b671b2200bfd,910,910,1
30,5f3ba61e3fd5b671b2200405,5f3ba61f3fd5b671b2200bfd,910,910,1
31,5f3ba61e3fd5b671b22003c2,5f3ba61f3fd5b671b2200c4c,56,56,1
32,5f3ba61e3fd5b671b22003e5,5f3ba61f3fd5b671b2200c4c,56,56,1
33,5f3ba61e3fd5b671b22003c8,5f3ba61f3fd5b671b2200c05,17,17,1
34,5f3ba61e3fd5b671b220042c,5f3ba61f3fd5b671b2200c05,17,17,1
35,5f3ba61e3fd5b671b220040c,5f3ba61f3fd5b671b2200cb6,108,108,1
36,5f3ba61e3fd5b671b22003d8,5f3ba61f3fd5b671b2200cb6,108,108,1
37,5f3ba61e3fd5b671b220044b,5f3ba61f3fd5b671b2200c9a,654,654,1
38,5f3ba61e3fd5b671b2200430,5f3ba61f3fd5b671b2200c66,111,111,1
39,5f3ba61e3fd5b671b220044e,5f3ba61f3fd5b671b2200c6c,1681,1681,1
