,record_compared_1,record_compared_2,recId,recId,is_match
0,5f3ba6213fd5b671b22054a9,5f3ba61e3fd5b671b22005fd,165,165,1
1,5f3ba6223fd5b671b22055a7,5f3ba61e3fd5b671b22005fd,165,165,1
2,5f3ba6213fd5b671b22054c6,5f3ba61e3fd5b671b2200682,263,263,1
3,5f3ba6223fd5b671b22055a4,5f3ba61e3fd5b671b2200682,263,263,1
4,5f3ba6213fd5b671b22054e8,5f3ba61e3fd5b671b2200684,258,258,1
5,5f3ba6223fd5b671b22055ba,5f3ba61e3fd5b671b2200684,258,258,1
6,5f3ba6213fd5b671b22054f2,5f3ba61e3fd5b671b22005bb,61,61,1
7,5f3ba6213fd5b671b22054f2,5f3ba61e3fd5b671b2200671,61,61,1
8,5f3ba6213fd5b671b22054f2,5f3ba61e3fd5b671b220057e,61,61,1
9,5f3ba6213fd5b671b22054fd,5f3ba61e3fd5b671b22005ad,340,340,1
10,5f3ba6213fd5b671b220550a,5f3ba61e3fd5b671b220067f,1694,1694,1
11,5f3ba6213fd5b671b2205516,5f3ba61e3fd5b671b2200624,174,174,1
12,5f3ba6213fd5b671b2205529,5f3ba61e3fd5b671b22005fe,125,125,1
13,5f3ba6213fd5b671b22054b1,5f3ba61e3fd5b671b22005fe,125,125,1
14,5f3ba6213fd5b671b2205503,5f3ba61e3fd5b671b22005fe,125,125,1
15,5f3ba6213fd5b671b220551f,5f3ba61e3fd5b671b22005fe,125,125,1
16,5f3ba6213fd5b671b220553f,5f3ba61e3fd5b671b22005a3,11,11,1
17,5f3ba6213fd5b671b22054f4,5f3ba61e3fd5b671b22005a3,11,11,1
18,5f3ba6223fd5b671b22055c3,5f3ba61e3fd5b671b22005a3,11,11,1
19,5f3ba6213fd5b671b22054aa,5f3ba61e3fd5b671b22005a3,11,11,1
20,5f3ba6213fd5b671b220555d,5f3ba61e3fd5b671b22005c2,1491,1491,1
21,5f3ba6223fd5b671b220558b,5f3ba61e3fd5b671b2200649,24,24,1
22,5f3ba6223fd5b671b220559b,5f3ba61e3fd5b671b220059a,136,136,1
23,5f3ba6213fd5b671b22054a3,5f3ba61e3fd5b671b2200642,21,21,1
24,5f3ba6223fd5b671b2205577,5f3ba61e3fd5b671b2200642,21,21,1
25,5f3ba6223fd5b671b2205586,5f3ba61e3fd5b671b2200642,21,21,1
26,5f3ba6213fd5b671b2205525,5f3ba61e3fd5b671b2200642,21,21,1
27,5f3ba6213fd5b671b2205552,5f3ba61e3fd5b671b2200642,21,21,1
28,5f3ba6213fd5b671b22054fc,5f3ba61e3fd5b671b2200561,1659,1659,1
29,5f3ba6213fd5b671b22054fc,5f3ba61e3fd5b671b220066b,1659,1659,1
30,5f3ba6213fd5b671b2205505,5f3ba61e3fd5b671b22005c4,1692,1692,1
31,5f3ba6213fd5b671b220550c,5f3ba61e3fd5b671b220059e,84,84,1
32,5f3ba6223fd5b671b22055e2,5f3ba61e3fd5b671b220059e,84,84,1
33,5f3ba6213fd5b671b220554e,5f3ba61e3fd5b671b220059e,84,84,1
34,5f3ba6213fd5b671b22054fe,5f3ba61e3fd5b671b220059e,84,84,1
35,5f3ba6213fd5b671b2205524,5f3ba61e3fd5b671b2200576,152,152,1
36,5f3ba6213fd5b671b2205531,5f3ba61e3fd5b671b220058d,31,31,1
37,5f3ba6213fd5b671b2205531,5f3ba61e3fd5b671b22005a7,31,31,1
38,5f3ba6223fd5b671b22055dd,5f3ba61e3fd5b671b220058d,31,31,1
39,5f3ba6223fd5b671b22055dd,5f3ba61e3fd5b671b22005a7,31,31,1
40,5f3ba6223fd5b671b220557c,5f3ba61e3fd5b671b2200640,1603,1603,1
41,5f3ba6223fd5b671b220558c,5f3ba61e3fd5b671b2200577,200,200,1
42,5f3ba6223fd5b671b220558e,5f3ba61e3fd5b671b220066a,1696,1696,1
43,5f3ba6223fd5b671b22055aa,5f3ba61e3fd5b671b22005ae,1009,1009,1
44,5f3ba6223fd5b671b22055e5,5f3ba61e3fd5b671b2200604,1406,1406,1
45,5f3ba6213fd5b671b22054bc,5f3ba61e3fd5b671b22005d9,421,421,1
46,5f3ba6213fd5b671b22054e3,5f3ba61e3fd5b671b22005f9,1691,1691,1
47,5f3ba6213fd5b671b2205526,5f3ba61e3fd5b671b2200578,72,72,1
48,5f3ba6213fd5b671b2205550,5f3ba61e3fd5b671b2200578,72,72,1
49,5f3ba6213fd5b671b22054d9,5f3ba61e3fd5b671b2200578,72,72,1
50,5f3ba6223fd5b671b22055d6,5f3ba61e3fd5b671b2200578,72,72,1
51,5f3ba6213fd5b671b2205512,5f3ba61e3fd5b671b2200578,72,72,1
52,5f3ba6223fd5b671b22055d4,5f3ba61e3fd5b671b2200578,72,72,1
53,5f3ba6223fd5b671b22055b4,5f3ba61e3fd5b671b2200578,72,72,1
54,5f3ba6213fd5b671b2205535,5f3ba61e3fd5b671b2200569,415,415,1
55,5f3ba6213fd5b671b2205538,5f3ba61e3fd5b671b22005f7,199,199,1
56,5f3ba6213fd5b671b2205538,5f3ba61e3fd5b671b220057f,199,199,1
57,5f3ba6213fd5b671b2205538,5f3ba61e3fd5b671b220063b,199,199,1
58,5f3ba6213fd5b671b2205538,5f3ba61e3fd5b671b220061e,199,199,1
59,5f3ba6223fd5b671b22055c0,5f3ba61e3fd5b671b22005f7,199,199,1
60,5f3ba6223fd5b671b22055c0,5f3ba61e3fd5b671b220057f,199,199,1
61,5f3ba6223fd5b671b22055c0,5f3ba61e3fd5b671b220063b,199,199,1
62,5f3ba6223fd5b671b22055c0,5f3ba61e3fd5b671b220061e,199,199,1
63,5f3ba6213fd5b671b2205511,5f3ba61e3fd5b671b22005f7,199,199,1
64,5f3ba6213fd5b671b2205511,5f3ba61e3fd5b671b220057f,199,199,1
65,5f3ba6213fd5b671b2205511,5f3ba61e3fd5b671b220063b,199,199,1
66,5f3ba6213fd5b671b2205511,5f3ba61e3fd5b671b220061e,199,199,1
67,5f3ba6223fd5b671b2205585,5f3ba61e3fd5b671b22005f7,199,199,1
68,5f3ba6223fd5b671b2205585,5f3ba61e3fd5b671b220057f,199,199,1
69,5f3ba6223fd5b671b2205585,5f3ba61e3fd5b671b220063b,199,199,1
70,5f3ba6223fd5b671b2205585,5f3ba61e3fd5b671b220061e,199,199,1
71,5f3ba6223fd5b671b22055a8,5f3ba61e3fd5b671b22005f7,199,199,1
72,5f3ba6223fd5b671b22055a8,5f3ba61e3fd5b671b220057f,199,199,1
73,5f3ba6223fd5b671b22055a8,5f3ba61e3fd5b671b220063b,199,199,1
74,5f3ba6223fd5b671b22055a8,5f3ba61e3fd5b671b220061e,199,199,1
