,record_compared_1,record_compared_2,recId,recId,is_match
0,5f3ba6213fd5b671b22052cb,5f3ba61e3fd5b671b22003fd,60,60,1
1,5f3ba6213fd5b671b22052f7,5f3ba61e3fd5b671b2200451,1680,1680,1
2,5f3ba6213fd5b671b220532a,5f3ba61e3fd5b671b220044b,654,654,1
3,5f3ba6213fd5b671b220533f,5f3ba61e3fd5b671b22003bc,668,668,1
4,5f3ba6213fd5b671b2205353,5f3ba61e3fd5b671b2200445,164,164,1
5,5f3ba6213fd5b671b2205353,5f3ba61e3fd5b671b22003c1,164,164,1
6,5f3ba6213fd5b671b2205446,5f3ba61e3fd5b671b2200453,1064,1064,1
7,5f3ba6213fd5b671b2205463,5f3ba61e3fd5b671b2200409,667,667,1
8,5f3ba6213fd5b671b220529f,5f3ba61e3fd5b671b22003eb,189,189,1
9,5f3ba6213fd5b671b220538e,5f3ba61e3fd5b671b220043a,326,326,1
10,5f3ba6213fd5b671b22053a3,5f3ba61e3fd5b671b22003e3,168,168,1
11,5f3ba6213fd5b671b22053d9,5f3ba61e3fd5b671b22003db,57,57,1
12,5f3ba6213fd5b671b22053dc,5f3ba61e3fd5b671b2200407,154,154,1
13,5f3ba6213fd5b671b22053e8,5f3ba61e3fd5b671b22003ee,141,141,1
14,5f3ba6213fd5b671b22053e8,5f3ba61e3fd5b671b22003f3,141,141,1
15,5f3ba6213fd5b671b220530b,5f3ba61e3fd5b671b22003cf,1605,1605,1
16,5f3ba6213fd5b671b2205328,5f3ba61e3fd5b671b22003ba,624,624,1
17,5f3ba6213fd5b671b22053af,5f3ba61e3fd5b671b22003c3,182,182,1
18,5f3ba6213fd5b671b22053af,5f3ba61e3fd5b671b22003b3,182,182,1
19,5f3ba6213fd5b671b220540a,5f3ba61e3fd5b671b22003bf,69,69,1
20,5f3ba6213fd5b671b220547e,5f3ba61e3fd5b671b220044f,979,979,1
21,5f3ba6213fd5b671b220548f,5f3ba61e3fd5b671b2200446,143,143,1
22,5f3ba6213fd5b671b22052be,5f3ba61e3fd5b671b220040f,669,669,1
23,5f3ba6213fd5b671b22052d0,5f3ba61e3fd5b671b2200427,3,3,1
24,5f3ba6213fd5b671b22052a7,5f3ba61e3fd5b671b2200427,3,3,1
25,5f3ba6213fd5b671b2205464,5f3ba61e3fd5b671b2200427,3,3,1
26,5f3ba6213fd5b671b2205310,5f3ba61e3fd5b671b22003d6,1619,1619,1
27,5f3ba6213fd5b671b2205310,5f3ba61e3fd5b671b2200404,1619,1619,1
28,5f3ba6213fd5b671b2205332,5f3ba61e3fd5b671b2200449,104,104,1
29,5f3ba6213fd5b671b22052a2,5f3ba61e3fd5b671b2200449,104,104,1
30,5f3ba6213fd5b671b2205455,5f3ba61e3fd5b671b2200400,54,54,1
31,5f3ba6213fd5b671b22052da,5f3ba61e3fd5b671b2200455,142,142,1
32,5f3ba6213fd5b671b22052e2,5f3ba61e3fd5b671b22003c8,17,17,1
33,5f3ba6213fd5b671b22052e2,5f3ba61e3fd5b671b220042c,17,17,1
34,5f3ba6213fd5b671b22052e9,5f3ba61e3fd5b671b2200406,198,198,1
