,record_compared_1,record_compared_2,recId,recId,is_match
0,5f3ba61e3fd5b671b220045d,5f3ba6223fd5b671b2205583,656,656,1
1,5f3ba61e3fd5b671b2200472,5f3ba6223fd5b671b22055db,97,97,1
2,5f3ba61e3fd5b671b22004b4,5f3ba6223fd5b671b22055db,97,97,1
3,5f3ba61e3fd5b671b22004d6,5f3ba6223fd5b671b22055db,97,97,1
4,5f3ba61e3fd5b671b220047f,5f3ba6213fd5b671b2205526,72,72,1
5,5f3ba61e3fd5b671b220047f,5f3ba6213fd5b671b2205550,72,72,1
6,5f3ba61e3fd5b671b220047f,5f3ba6213fd5b671b22054d9,72,72,1
7,5f3ba61e3fd5b671b220047f,5f3ba6223fd5b671b22055d6,72,72,1
8,5f3ba61e3fd5b671b220047f,5f3ba6213fd5b671b2205512,72,72,1
9,5f3ba61e3fd5b671b220047f,5f3ba6223fd5b671b22055d4,72,72,1
10,5f3ba61e3fd5b671b220047f,5f3ba6223fd5b671b22055b4,72,72,1
11,5f3ba61e3fd5b671b2200496,5f3ba6223fd5b671b2205570,66,66,1
12,5f3ba61e3fd5b671b22004d1,5f3ba6223fd5b671b2205570,66,66,1
13,5f3ba61e3fd5b671b22004a2,5f3ba6223fd5b671b2205570,66,66,1
14,5f3ba61e3fd5b671b22004cb,5f3ba6223fd5b671b2205570,66,66,1
15,5f3ba61e3fd5b671b220049d,5f3ba6223fd5b671b22055ab,1334,1334,1
16,5f3ba61e3fd5b671b2200468,5f3ba6223fd5b671b22055ab,1334,1334,1
17,5f3ba61e3fd5b671b220049e,5f3ba6223fd5b671b22055f0,17,17,1
18,5f3ba61e3fd5b671b22004aa,5f3ba6213fd5b671b2205516,174,174,1
19,5f3ba61e3fd5b671b22004c7,5f3ba6213fd5b671b2205516,174,174,1
20,5f3ba61e3fd5b671b2200465,5f3ba6223fd5b671b220559b,136,136,1
21,5f3ba61e3fd5b671b220048a,5f3ba6223fd5b671b220559b,136,136,1
22,5f3ba61e3fd5b671b2200488,5f3ba6223fd5b671b220559b,136,136,1
23,5f3ba61e3fd5b671b220046e,5f3ba6223fd5b671b22055e5,1406,1406,1
