,record_compared_1,record_compared_2,recId,recId,is_match
0,5f3ba61e3fd5b671b22000ce,5f3ba61f3fd5b671b2200c08,22,22,1
1,5f3ba61e3fd5b671b22000e7,5f3ba61f3fd5b671b2200c08,22,22,1
2,5f3ba61e3fd5b671b22000d4,5f3ba61f3fd5b671b2200c08,22,22,1
3,5f3ba61e3fd5b671b2200136,5f3ba61f3fd5b671b2200c08,22,22,1
4,5f3ba61e3fd5b671b22000c5,5f3ba61f3fd5b671b2200c08,22,22,1
5,5f3ba61e3fd5b671b22000d2,5f3ba61f3fd5b671b2200cb5,110,110,1
6,5f3ba61e3fd5b671b22000d6,5f3ba61f3fd5b671b2200d1e,66,66,1
7,5f3ba61e3fd5b671b22000f2,5f3ba61f3fd5b671b2200d1e,66,66,1
8,5f3ba61e3fd5b671b2200118,5f3ba61f3fd5b671b2200d1e,66,66,1
9,5f3ba61e3fd5b671b2200137,5f3ba61f3fd5b671b2200d1e,66,66,1
10,5f3ba61e3fd5b671b22000d9,5f3ba61f3fd5b671b2200bfd,910,910,1
11,5f3ba61e3fd5b671b2200134,5f3ba61f3fd5b671b2200bfd,910,910,1
12,5f3ba61e3fd5b671b22000f7,5f3ba61f3fd5b671b2200cb6,108,108,1
13,5f3ba61e3fd5b671b220014c,5f3ba61f3fd5b671b2200cb6,108,108,1
14,5f3ba61e3fd5b671b220010f,5f3ba61f3fd5b671b2200cfd,668,668,1
15,5f3ba61e3fd5b671b2200148,5f3ba61f3fd5b671b2200bb9,313,313,1
16,5f3ba61e3fd5b671b2200149,5f3ba61f3fd5b671b2200ce7,97,97,1
17,5f3ba61e3fd5b671b22000dc,5f3ba61f3fd5b671b2200ce7,97,97,1
18,5f3ba61e3fd5b671b22000da,5f3ba61f3fd5b671b2200ce7,97,97,1
19,5f3ba61e3fd5b671b22000db,5f3ba61f3fd5b671b2200c6f,415,415,1
20,5f3ba61e3fd5b671b2200123,5f3ba61f3fd5b671b2200c6f,415,415,1
21,5f3ba61e3fd5b671b2200110,5f3ba61f3fd5b671b2200c52,829,829,1
22,5f3ba61e3fd5b671b2200117,5f3ba61f3fd5b671b2200cf6,485,485,1
23,5f3ba61e3fd5b671b2200140,5f3ba61f3fd5b671b2200d0c,60,60,1
24,5f3ba61e3fd5b671b220014f,5f3ba61f3fd5b671b2200cd0,29,29,1
25,5f3ba61e3fd5b671b22000f8,5f3ba61f3fd5b671b2200c8f,1217,1217,1
26,5f3ba61e3fd5b671b22000fb,5f3ba61f3fd5b671b2200c73,1655,1655,1
27,5f3ba61e3fd5b671b22000e4,5f3ba61f3fd5b671b2200c73,1655,1655,1
28,5f3ba61e3fd5b671b2200115,5f3ba61f3fd5b671b2200bbe,9,9,1
29,5f3ba61e3fd5b671b22000c9,5f3ba61f3fd5b671b2200bbe,9,9,1
30,5f3ba61e3fd5b671b2200127,5f3ba61f3fd5b671b2200bbe,9,9,1
31,5f3ba61e3fd5b671b2200133,5f3ba61f3fd5b671b2200bbe,9,9,1
32,5f3ba61e3fd5b671b220011c,5f3ba61f3fd5b671b2200c05,17,17,1
33,5f3ba61e3fd5b671b22000fa,5f3ba61f3fd5b671b2200c05,17,17,1
34,5f3ba61e3fd5b671b2200147,5f3ba61f3fd5b671b2200c85,57,57,1
35,5f3ba61e3fd5b671b22000ed,5f3ba61f3fd5b671b2200c85,57,57,1
36,5f3ba61e3fd5b671b2200152,5f3ba61f3fd5b671b2200c6c,1681,1681,1
37,5f3ba61e3fd5b671b2200143,5f3ba61f3fd5b671b2200c6c,1681,1681,1
38,5f3ba61e3fd5b671b2200120,5f3ba61f3fd5b671b2200cd5,904,904,1
39,5f3ba61e3fd5b671b2200120,5f3ba61f3fd5b671b2200bc4,904,904,1
40,5f3ba61e3fd5b671b220013e,5f3ba61f3fd5b671b2200cd5,904,904,1
41,5f3ba61e3fd5b671b220013e,5f3ba61f3fd5b671b2200bc4,904,904,1
42,5f3ba61e3fd5b671b2200121,5f3ba61f3fd5b671b2200c43,203,203,1
43,5f3ba61e3fd5b671b2200146,5f3ba61f3fd5b671b2200bf7,259,259,1
44,5f3ba61e3fd5b671b22000dd,5f3ba61f3fd5b671b2200cd3,118,118,1
45,5f3ba61e3fd5b671b22000cc,5f3ba61f3fd5b671b2200cd3,118,118,1
46,5f3ba61e3fd5b671b2200109,5f3ba61f3fd5b671b2200cd3,118,118,1
47,5f3ba61e3fd5b671b2200102,5f3ba61f3fd5b671b2200cf9,185,185,1
48,5f3ba61e3fd5b671b2200104,5f3ba61f3fd5b671b2200cf9,185,185,1
49,5f3ba61e3fd5b671b2200103,5f3ba61f3fd5b671b2200c77,138,138,1
50,5f3ba61e3fd5b671b220014a,5f3ba61f3fd5b671b2200bdd,76,76,1
51,5f3ba61e3fd5b671b220014a,5f3ba61f3fd5b671b2200cdf,76,76,1
52,5f3ba61e3fd5b671b220014a,5f3ba61f3fd5b671b2200cec,76,76,1
53,5f3ba61e3fd5b671b22000e0,5f3ba61f3fd5b671b2200bdd,76,76,1
54,5f3ba61e3fd5b671b22000e0,5f3ba61f3fd5b671b2200cdf,76,76,1
55,5f3ba61e3fd5b671b22000e0,5f3ba61f3fd5b671b2200cec,76,76,1
56,5f3ba61e3fd5b671b22000f6,5f3ba61f3fd5b671b2200bdd,76,76,1
57,5f3ba61e3fd5b671b22000f6,5f3ba61f3fd5b671b2200cdf,76,76,1
58,5f3ba61e3fd5b671b22000f6,5f3ba61f3fd5b671b2200cec,76,76,1
59,5f3ba61e3fd5b671b22000d5,5f3ba61f3fd5b671b2200c76,156,156,1
60,5f3ba61e3fd5b671b22000d5,5f3ba61f3fd5b671b2200cd7,156,156,1
61,5f3ba61e3fd5b671b220012f,5f3ba61f3fd5b671b2200c76,156,156,1
62,5f3ba61e3fd5b671b220012f,5f3ba61f3fd5b671b2200cd7,156,156,1
63,5f3ba61e3fd5b671b220010d,5f3ba61f3fd5b671b2200c9a,654,654,1
64,5f3ba61e3fd5b671b2200130,5f3ba61f3fd5b671b2200c7e,160,160,1
65,5f3ba61e3fd5b671b2200155,5f3ba61f3fd5b671b2200cae,54,54,1
66,5f3ba61e3fd5b671b220013c,5f3ba61f3fd5b671b2200bd1,204,204,1
67,5f3ba61e3fd5b671b22000cb,5f3ba61f3fd5b671b2200d08,1663,1663,1
