,record_compared_1,record_compared_2,recId,recId,is_match
0,5f3ba61e3fd5b671b22000ce,5f3ba61f3fd5b671b22012fc,22,22,1
1,5f3ba61e3fd5b671b22000e7,5f3ba61f3fd5b671b22012fc,22,22,1
2,5f3ba61e3fd5b671b22000d4,5f3ba61f3fd5b671b22012fc,22,22,1
3,5f3ba61e3fd5b671b2200136,5f3ba61f3fd5b671b22012fc,22,22,1
4,5f3ba61e3fd5b671b22000c5,5f3ba61f3fd5b671b22012fc,22,22,1
5,5f3ba61e3fd5b671b22000d1,5f3ba61f3fd5b671b22012fa,80,80,1
6,5f3ba61e3fd5b671b22000f5,5f3ba61f3fd5b671b22012fa,80,80,1
7,5f3ba61e3fd5b671b22000df,5f3ba61f3fd5b671b22012fa,80,80,1
8,5f3ba61e3fd5b671b22000fd,5f3ba61f3fd5b671b22012fa,80,80,1
9,5f3ba61e3fd5b671b22000d2,5f3ba61f3fd5b671b2201371,110,110,1
10,5f3ba61e3fd5b671b22000d6,5f3ba61f3fd5b671b2201486,66,66,1
11,5f3ba61e3fd5b671b22000f2,5f3ba61f3fd5b671b2201486,66,66,1
12,5f3ba61e3fd5b671b2200118,5f3ba61f3fd5b671b2201486,66,66,1
13,5f3ba61e3fd5b671b2200137,5f3ba61f3fd5b671b2201486,66,66,1
14,5f3ba61e3fd5b671b22000e8,5f3ba61f3fd5b671b220128e,184,184,1
15,5f3ba61e3fd5b671b22000f7,5f3ba61f3fd5b671b22013b7,108,108,1
16,5f3ba61e3fd5b671b220014c,5f3ba61f3fd5b671b22013b7,108,108,1
17,5f3ba61e3fd5b671b220010f,5f3ba61f3fd5b671b22012ca,668,668,1
18,5f3ba61e3fd5b671b2200148,5f3ba61f3fd5b671b2201280,313,313,1
19,5f3ba61e3fd5b671b2200149,5f3ba61f3fd5b671b220142e,97,97,1
20,5f3ba61e3fd5b671b22000dc,5f3ba61f3fd5b671b220142e,97,97,1
21,5f3ba61e3fd5b671b22000da,5f3ba61f3fd5b671b220142e,97,97,1
22,5f3ba61e3fd5b671b2200150,5f3ba61f3fd5b671b22014ba,164,164,1
23,5f3ba61e3fd5b671b220012c,5f3ba61f3fd5b671b22014ba,164,164,1
24,5f3ba61e3fd5b671b22000e3,5f3ba61f3fd5b671b22014ba,164,164,1
25,5f3ba61e3fd5b671b2200153,5f3ba61f3fd5b671b2201419,168,168,1
26,5f3ba61e3fd5b671b2200138,5f3ba61f3fd5b671b2201419,168,168,1
27,5f3ba61e3fd5b671b22000d0,5f3ba61f3fd5b671b2201394,141,141,1
28,5f3ba61e3fd5b671b220010a,5f3ba61f3fd5b671b2201394,141,141,1
29,5f3ba61e3fd5b671b22000e1,5f3ba61f3fd5b671b2201394,141,141,1
30,5f3ba61e3fd5b671b22000db,5f3ba61f3fd5b671b22012dd,415,415,1
31,5f3ba61e3fd5b671b2200123,5f3ba61f3fd5b671b22012dd,415,415,1
32,5f3ba61e3fd5b671b2200110,5f3ba61f3fd5b671b2201372,829,829,1
33,5f3ba61e3fd5b671b2200117,5f3ba61f3fd5b671b22012d8,485,485,1
34,5f3ba61e3fd5b671b2200140,5f3ba61f3fd5b671b22014d7,60,60,1
35,5f3ba61e3fd5b671b220014f,5f3ba61f3fd5b671b220135e,29,29,1
36,5f3ba61e3fd5b671b22000d8,5f3ba61f3fd5b671b2201294,856,856,1
37,5f3ba61e3fd5b671b22000f8,5f3ba61f3fd5b671b22013d7,1217,1217,1
38,5f3ba61e3fd5b671b22000fb,5f3ba61f3fd5b671b2201425,1655,1655,1
39,5f3ba61e3fd5b671b22000e4,5f3ba61f3fd5b671b2201425,1655,1655,1
40,5f3ba61e3fd5b671b2200115,5f3ba61f3fd5b671b22012bf,9,9,1
41,5f3ba61e3fd5b671b22000c9,5f3ba61f3fd5b671b22012bf,9,9,1
42,5f3ba61e3fd5b671b2200127,5f3ba61f3fd5b671b22012bf,9,9,1
43,5f3ba61e3fd5b671b2200133,5f3ba61f3fd5b671b22012bf,9,9,1
44,5f3ba61e3fd5b671b220011c,5f3ba61f3fd5b671b22013ec,17,17,1
45,5f3ba61e3fd5b671b22000fa,5f3ba61f3fd5b671b22013ec,17,17,1
46,5f3ba61e3fd5b671b2200147,5f3ba61f3fd5b671b22013fa,57,57,1
47,5f3ba61e3fd5b671b22000ed,5f3ba61f3fd5b671b22013fa,57,57,1
48,5f3ba61e3fd5b671b2200152,5f3ba61f3fd5b671b2201407,1681,1681,1
49,5f3ba61e3fd5b671b2200143,5f3ba61f3fd5b671b2201407,1681,1681,1
50,5f3ba61e3fd5b671b2200156,5f3ba61f3fd5b671b2201381,117,117,1
51,5f3ba61e3fd5b671b22000ca,5f3ba61f3fd5b671b22013fc,189,189,1
52,5f3ba61e3fd5b671b22000cd,5f3ba61f3fd5b671b22013ae,81,81,1
53,5f3ba61e3fd5b671b2200142,5f3ba61f3fd5b671b22013ae,81,81,1
54,5f3ba61e3fd5b671b22000ec,5f3ba61f3fd5b671b220132a,656,656,1
55,5f3ba61e3fd5b671b2200100,5f3ba61f3fd5b671b220127d,122,122,1
56,5f3ba61e3fd5b671b2200101,5f3ba61f3fd5b671b220127d,122,122,1
57,5f3ba61e3fd5b671b2200121,5f3ba61f3fd5b671b22012a8,203,203,1
