,id,title,album,artist,srcId,recId
0,58c007cf9184900a77a26089,Daniel Balavoine - L'enfant aux yeux d'Italie,De vous à elle en passant par moi,,2,1
1,58c007cf9184900a77a2608a,007,Cantigas de roda (unknown),[unknown],4,2512/Users/abdulnaser/Desktop/Masterarbeit/metadatatransferlearning-main/meta_tl/data/sim_dataframes/music
2,58c007cf9184900a77a2608b,Action PAINTING! - Mustard Gas,There and Back Again Lane,,2,2
3,58c007cf9184900a77a2608c,Your Grace,Comfort,Kathy Troccoli,5,3
4,58c007cf9184900a77a2608d,Well You Needn't,First Down,Ernie Stadler Jazz Quintet,5,4
5,58c007cf9184900a77a2608e,"Try (acoustic) - 2008-02-15: Le Grand Rex, Paris, France",,Neil Young,3,5
6,58c007cf9184900a77a2608f,Bruce Maginnis - Sttreet Hype,Groove City,,2,2136
7,58c007cf9184900a77a26090,Luce Dufault - Ballade à donner,Luce Dufault,,2,6
8,58c007cf9184900a77a26091,Just Like Tom Thumb's Blues (live),"Blues Women Anthology, Volume 7",Wendy Saddington,5,7
9,58c007cf9184900a77a26092,Στα καμένα,"Συλλογή Δίφωνο, 22: Μουσικοί βιότοποι",Λαυρέντης Μαχαιρίίτσας,5,6842
10,58c007cf9184900a77a26093,,Alternative 4,Anathema,5,5568
11,58c007cf9184900a77a26094,El Vaquero Chido (The Cool Cowboy),Mexico,Byron Brizuela & Enrique Carbajal,5,8
12,58c007cf9184900a77a26095,002-Particle/Wave,Evolver (2002),Lunchbox,4,9
13,58c007cf9184900a77a26096,001-Deja Vu,Nice (2000),Blanket,4,10
14,58c007cf9184900a77a26097,019-Feeling Good,Andy Bey and the Bey Sisters (2000),Andy Bey and the Bey Sisters,4,4209
15,58c007cf9184900a77a26098,"Scottish Fantasy: Adagio cantabile (The Classical Album, Volume 1)","The Classical Album, Volume 1",Max Bruch,1,5371
16,58c007cf9184900a77a26099,Marlene Dietrich - Wo ist der Mann?,Die frühen Aufnahmen,,2,11
17,58c007cf9184900a77a2609a,00-1, (2010),,4,12
18,58c007cf9184900a77a2609b,Gimme Dat (remix),RYEot powRR,Rye Rye,5,13
19,58c007cf9184900a77a2609c,AmnerisIntro:EveryStoryIsaLoveStory/HeatherHeadley/It'sCheesy:EasyasLife(ForbiddenBroadway2001:ASpoofOdyssey(2001originaloffBroadwaycast)),Forbidden Broadway 2001: A Spoof Odyssey (2001 original off-Broadway cast),Gerard Alessandrini,1,14
20,58c007cf9184900a77a2609d,Cállate - Los vaqueros: el regreso: Deluxe Edition,,Wisin & Yandel,3,3118
21,58c007cf9184900a77a2609e,Outro (Working Title),Working Title,FeSo,1,2151
22,58c007cf9184900a77a2609f,10cm,10cm,Anemone,1,15
23,58c007cf9184900a77a260a0,Al Hirt - Tansy,Greatest Hits,,2,2142
24,58c007cf9184900a77a260a1,Fish Tail Blues - The King & Mister Jelly Lord,,Jelly Roll Morton,3,5893
25,58c007cf9184900a77a260a2,Clouseau - Anne,"De Pre Historie 1989, Volume 3",,2,16
26,58c007cf9184900a77a260a3,Tony Rice - Urge for Going,Night Flyer,,2,5498
27,58c007cf9184900a77a260a4,"Placebo Persuasion (More Specific, Less Pacific)","More Specific, Less Pacific",Caesura,1,17
28,58c007cf9184900a77a260a5,En dless Love,"Motown 50: Yesterday, Today, Forever (Japan Edition)",Diana Ross & Lionel Richie,5,3385
29,58c007cf9184900a77a260a6,011- ,  (1973),   ,4,8950
30,58c007cf9184900a77a260a7,"Tabu Recz - Du Ikk' Sej, Din Pik Er Ikk' Lang, Vi Skyder Dig",Tabu Recz,,2,18
31,58c007cf9184900a77a260a8,Tuning,Live in Vancouver 1970,The Doros,5,7301
32,58c007cf9184900a77a260a9,016-Action (interlude),Teufelswerk (2009),Hell,4,1396
33,58c007cf9184900a77a260aa,Lass Mich Nie Wieder Weinen (Denn Sie Fahren Hinaus Auf Das Meer),Denn Sie Fahren Hinaus Auf Das Meer,Peggy Brown,1,19
34,58c007cf9184900a77a260ab,Thunder Underground,Ozzmosis,Ozzy Osbourne,5,4960
35,58c007cf9184900a77a260ac,Wayanay - Andes Cosmos,Treasures Of The Incas (Andes Cosmos),,2,20
36,58c007cf9184900a77a260ad,Special Feature Including A Hybrid Documentary,Morning_Sci-Fi,Hybrid,2,21
37,58c007cf9184900a77a260ae,I could easily fall in love with you (Cuore matto),Cuore mattoo,LittleTony,1,22
38,58c007cf9184900a77a260af,Mu sõber tuul - Uus Laine,,Laine,3,519
39,58c007cf9184900a77a260b0,Still in love with you (With This Ring… Forever I Do),With This Ring… Forever I Do,Chris Willis,1,23
40,58c007cf9184900a77a260b1,007-A Tout A L'Heure,Ministry of Sound: Chillout Sessions XVI (2013),Bibio,4,24
