,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,is_match
0,2,2,0.5517241379310345,0.25,0.0,0.0,2,2,2,2.0,0.0
1,0,0,0.2040816326530612,0.0,2.0,2.0,2,2,2,2.0,0.0
2,0,0,0.2040816326530612,0.0,2.0,2.0,2,2,2,2.0,0.0
3,2,2,1.0,1.0,2.0,2.0,2,2,2,1.0,1.0
4,2,2,1.0,1.0,2.0,2.0,2,2,2,1.0,1.0
5,2,2,1.0,1.0,2.0,2.0,2,2,2,2.0,1.0
6,2,2,1.0,1.0,2.0,2.0,2,2,2,2.0,1.0
7,0,0,0.1917808219178082,0.1666666666666666,2.0,2.0,2,2,2,2.0,0.0
8,0,0,0.1917808219178082,0.1666666666666666,2.0,2.0,2,2,2,2.0,0.0
9,0,0,0.1917808219178082,0.1666666666666666,2.0,2.0,2,2,2,2.0,0.0
10,0,0,0.3333333333333333,0.3333333333333333,2.0,2.0,2,2,2,1.0,0.0
11,0,0,0.3333333333333333,0.3333333333333333,2.0,2.0,2,2,2,1.0,0.0
12,0,0,0.3333333333333333,0.3333333333333333,2.0,2.0,2,2,2,1.0,0.0
13,0,0,0.1917808219178082,0.1666666666666666,2.0,2.0,2,2,2,2.0,0.0
14,0,0,0.1917808219178082,0.1666666666666666,2.0,2.0,2,2,2,2.0,0.0
15,0,0,0.1917808219178082,0.1666666666666666,2.0,2.0,2,2,2,2.0,0.0
16,2,2,0.3333333333333333,0.0,2.0,2.0,2,2,2,1.0,0.0
17,0,0,0.217391304347826,0.0,2.0,2.0,2,2,2,0.1,0.0
18,0,0,0.1785714285714285,0.0,2.0,2.0,2,2,2,0.1,0.0
19,0,0,0.3018867924528302,0.1666666666666666,2.0,2.0,2,2,2,2.0,0.0
20,0,0,0.1785714285714285,0.0,2.0,2.0,2,2,2,0.1,0.0
21,0,0,0.4657534246575342,0.1428571428571428,2.0,2.0,2,2,2,2.0,1.0
22,0,0,0.4657534246575342,0.1428571428571428,2.0,2.0,2,2,2,2.0,1.0
23,2,2,0.8636363636363636,0.3333333333333333,2.0,2.0,2,2,2,2.0,0.0
24,2,2,0.8636363636363636,0.3333333333333333,2.0,2.0,2,2,2,2.0,0.0
25,0,0,0.4657534246575342,0.1428571428571428,2.0,2.0,2,2,2,2.0,1.0
26,0,0,0.4657534246575342,0.1428571428571428,2.0,2.0,2,2,2,2.0,1.0
27,2,2,0.8260869565217391,0.3333333333333333,2.0,2.0,2,2,2,2.0,0.0
28,2,2,0.8260869565217391,0.3333333333333333,2.0,2.0,2,2,2,2.0,0.0
29,2,2,0.8636363636363636,0.3333333333333333,2.0,2.0,2,2,2,2.0,0.0
30,2,2,0.8636363636363636,0.3333333333333333,2.0,2.0,2,2,2,2.0,0.0
31,0,0,0.6086956521739131,0.0,2.0,2.0,2,2,2,2.0,0.0
32,0,0,0.6086956521739131,0.0,2.0,2.0,2,2,2,2.0,0.0
33,2,2,0.8181818181818182,0.1428571428571428,2.0,2.0,2,2,2,2.0,0.0
34,2,2,0.8181818181818182,0.1428571428571428,2.0,2.0,2,2,2,2.0,0.0
35,2,2,0.8636363636363636,0.3333333333333333,2.0,2.0,2,2,2,2.0,0.0
36,2,2,0.8636363636363636,0.3333333333333333,2.0,2.0,2,2,2,2.0,0.0
37,2,2,0.4081632653061224,0.1111111111111111,0.0,0.0,2,2,2,2.0,0.0
38,2,2,0.4081632653061224,0.1111111111111111,0.0,0.0,2,2,2,2.0,0.0
39,2,2,0.4081632653061224,0.1111111111111111,0.0,0.0,2,2,2,2.0,0.0
40,0,0,0.6818181818181818,0.1111111111111111,2.0,2.0,2,2,2,2.0,0.0
41,0,0,0.6818181818181818,0.1111111111111111,2.0,2.0,2,2,2,2.0,0.0
42,0,2,0.5185185185185185,0.0,2.0,2.0,2,2,2,2.0,0.0
43,2,2,0.64,0.0,2.0,0.0,2,2,2,2.0,0.0
44,2,2,0.64,0.0,2.0,0.0,2,2,2,2.0,0.0
45,2,2,0.64,0.0,2.0,0.0,2,2,2,2.0,0.0
46,2,2,0.5714285714285714,0.0,2.0,0.0,2,2,2,2.0,0.0
47,2,2,0.5714285714285714,0.0,2.0,0.0,2,2,2,2.0,0.0
48,2,2,0.5714285714285714,0.0,2.0,0.0,2,2,2,2.0,0.0
49,2,2,0.5714285714285714,0.0,2.0,0.0,2,2,2,2.0,0.0
50,2,2,0.5714285714285714,0.0,2.0,0.0,2,2,2,2.0,0.0
51,2,2,0.5714285714285714,0.0,2.0,0.0,2,2,2,2.0,0.0
52,2,2,0.64,0.0,2.0,0.0,2,2,2,1.0,0.0
53,2,2,0.64,0.0,2.0,0.0,2,2,2,1.0,0.0
54,2,2,0.64,0.0,2.0,0.0,2,2,2,1.0,0.0
55,2,2,0.64,0.0,2.0,2.0,2,2,2,2.0,0.0
56,2,2,0.64,0.0,2.0,2.0,2,2,2,2.0,0.0
57,2,2,0.64,0.0,2.0,2.0,2,2,2,2.0,0.0
58,0,0,0.6511627906976745,0.0,1.0,0.0,2,2,2,2.0,0.0
59,2,2,0.2702702702702703,0.0,2.0,2.0,2,2,2,2.0,0.0
60,2,2,0.3225806451612903,0.0,2.0,2.0,2,2,2,1.0,0.0
61,0,0,0.2222222222222222,0.0,2.0,0.1666666666666666,2,2,2,2.0,0.0
62,0,0,0.6086956521739131,0.0,0.0,0.0,2,2,2,2.0,0.0
63,0,0,0.2040816326530612,0.0,2.0,0.1666666666666666,2,2,2,1.0,0.0
64,2,2,0.2702702702702703,0.0,2.0,2.0,2,2,2,2.0,0.0
65,2,2,0.2666666666666666,0.0,2.0,2.0,2,2,2,2.0,0.0
66,2,2,0.3478260869565217,0.0,2.0,2.0,2,2,2,1.0,0.0
67,2,2,0.2666666666666666,0.0,2.0,2.0,2,2,2,2.0,0.0
68,2,2,0.2666666666666666,0.0,2.0,2.0,2,2,2,2.0,0.0
69,2,2,0.2666666666666666,0.0,2.0,2.0,2,2,2,2.0,0.0
70,0,0,0.2641509433962264,0.4,2.0,2.0,2,2,2,2.0,0.0
71,0,0,0.2641509433962264,0.4,2.0,2.0,2,2,2,2.0,0.0
72,0,0,0.4,0.5,2.0,2.0,2,2,2,0.1,0.0
73,0,0,0.4,0.5,2.0,2.0,2,2,2,0.1,0.0
74,2,2,0.5714285714285714,0.1111111111111111,2.0,2.0,2,2,2,2.0,0.0
75,2,2,0.5333333333333333,0.1111111111111111,2.0,2.0,2,2,2,2.0,0.0
76,0,0,0.6521739130434783,0.1111111111111111,2.0,2.0,2,2,2,2.0,0.0
77,2,2,0.7692307692307693,0.0,0.0,0.0,2,2,2,1.0,0.0
78,2,2,0.7692307692307693,0.0,2.0,2.0,2,2,2,1.0,0.0
79,2,2,0.2702702702702703,0.25,2.0,0.0,2,2,2,1.0,0.0
80,2,2,1.0,1.0,2.0,2.0,2,2,2,2.0,1.0
81,2,2,1.0,1.0,2.0,2.0,2,2,2,2.0,1.0
82,2,2,1.0,1.0,2.0,2.0,2,2,2,2.0,1.0
83,2,2,1.0,1.0,2.0,2.0,2,2,2,2.0,1.0
84,2,2,0.5454545454545454,0.5,2.0,2.0,2,2,2,2.0,0.0
85,2,2,0.5454545454545454,0.5,2.0,2.0,2,2,2,2.0,0.0
86,2,2,0.5555555555555556,0.1428571428571428,2.0,0.0,2,2,2,0.1,0.0
87,2,2,0.5882352941176471,0.2,2.0,0.0,2,2,2,0.1,0.0
88,2,2,0.5555555555555556,0.1428571428571428,2.0,0.0,2,2,2,0.1,0.0
89,2,2,0.5882352941176471,0.2,2.0,0.0,2,2,2,0.1,0.0
90,2,2,0.5555555555555556,0.1428571428571428,2.0,0.0,2,2,2,0.1,0.0
91,2,2,0.5882352941176471,0.2,2.0,0.0,2,2,2,0.1,0.0
92,2,2,0.782608695652174,0.6666666666666666,2.0,2.0,2,2,2,2.0,1.0
