,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,is_match
0,2,2,0.631578947368421,0.0,2,2,2,2,2.0,1.0,0.0
1,2,2,0.631578947368421,0.0,2,2,2,2,2.0,1.0,0.0
2,2,2,0.631578947368421,0.0,2,2,2,2,2.0,1.0,0.0
3,2,2,0.631578947368421,0.0,2,2,2,2,2.0,1.0,0.0
4,2,2,0.631578947368421,0.0,2,2,2,2,2.0,1.0,0.0
5,2,2,0.631578947368421,0.0,2,2,2,2,2.0,1.0,0.0
6,2,2,0.631578947368421,0.0,2,2,2,2,2.0,1.0,0.0
7,2,2,0.631578947368421,0.0,2,2,2,2,2.0,1.0,0.0
8,2,2,0.631578947368421,0.0,2,2,2,2,2.0,1.0,0.0
9,2,2,0.631578947368421,0.0,2,2,2,2,2.0,1.0,0.0
10,2,2,1.0,1.0,2,2,2,2,2.0,2.0,1.0
11,2,2,1.0,1.0,2,2,2,2,2.0,2.0,1.0
12,2,2,1.0,1.0,2,2,2,2,2.0,2.0,1.0
13,2,2,1.0,1.0,2,2,2,2,1.0,1.0,1.0
14,2,2,0.782608695652174,0.6666666666666666,2,2,2,2,1.0,1.0,0.0
15,2,2,1.0,1.0,2,2,2,2,2.0,2.0,1.0
16,2,2,1.0,1.0,2,2,2,2,2.0,2.0,1.0
17,2,2,1.0,1.0,2,2,2,2,2.0,2.0,1.0
18,2,2,0.4545454545454545,0.0,2,2,2,2,2.0,2.0,0.0
19,2,2,0.4545454545454545,0.0,2,2,2,2,2.0,2.0,0.0
20,2,2,0.4545454545454545,0.0,2,2,2,2,2.0,2.0,0.0
21,2,2,1.0,1.0,2,2,2,2,2.0,1.0,1.0
22,2,2,1.0,1.0,2,2,2,2,2.0,1.0,1.0
23,2,2,1.0,1.0,2,2,2,2,2.0,2.0,1.0
24,2,2,1.0,1.0,2,2,2,2,2.0,2.0,1.0
25,2,2,1.0,1.0,2,2,2,2,2.0,2.0,1.0
26,2,2,1.0,1.0,2,2,2,2,2.0,2.0,1.0
27,2,2,1.0,1.0,2,2,2,2,2.0,2.0,1.0
28,2,2,1.0,1.0,2,2,2,2,2.0,2.0,1.0
29,2,2,1.0,1.0,2,2,2,2,2.0,2.0,1.0
30,2,2,1.0,1.0,2,2,2,2,2.0,2.0,1.0
31,2,2,1.0,1.0,2,2,2,2,2.0,2.0,1.0
32,2,2,1.0,1.0,2,2,2,2,2.0,2.0,1.0
33,2,2,1.0,1.0,2,2,2,2,2.0,2.0,1.0
34,2,2,1.0,1.0,2,2,2,2,2.0,2.0,1.0
35,2,2,1.0,1.0,2,2,2,2,2.0,2.0,1.0
36,2,2,1.0,1.0,2,2,2,2,2.0,2.0,1.0
37,2,2,1.0,1.0,2,2,2,2,2.0,2.0,1.0
38,2,2,1.0,1.0,2,2,2,2,2.0,2.0,1.0
39,2,2,0.48,0.3333333333333333,2,2,2,2,2.0,2.0,1.0
40,2,2,0.48,0.3333333333333333,2,2,2,2,2.0,2.0,1.0
41,2,2,0.48,0.3333333333333333,2,2,2,2,2.0,2.0,1.0
42,2,2,0.48,0.3333333333333333,2,2,2,2,2.0,2.0,1.0
43,2,2,1.0,1.0,2,2,2,2,2.0,2.0,1.0
44,2,2,1.0,1.0,2,2,2,2,2.0,2.0,1.0
45,2,2,1.0,1.0,2,2,2,2,2.0,2.0,1.0
46,2,2,1.0,1.0,2,2,2,2,2.0,2.0,1.0
47,2,2,1.0,1.0,2,2,2,2,2.0,2.0,1.0
48,2,2,1.0,1.0,2,2,2,2,2.0,2.0,1.0
49,2,2,1.0,1.0,2,2,2,2,2.0,2.0,1.0
50,2,2,1.0,1.0,2,2,2,2,2.0,2.0,1.0
51,2,2,0.4615384615384615,0.25,2,2,2,2,2.0,2.0,1.0
52,2,2,0.4615384615384615,0.25,2,2,2,2,2.0,2.0,1.0
53,2,2,0.4615384615384615,0.25,2,2,2,2,2.0,2.0,1.0
54,2,2,0.4615384615384615,0.25,2,2,2,2,2.0,2.0,1.0
55,2,2,0.4864864864864865,0.3333333333333333,2,2,2,2,2.0,2.0,0.0
56,2,2,1.0,1.0,2,2,2,2,2.0,2.0,1.0
57,2,2,1.0,1.0,2,2,2,2,2.0,2.0,1.0
58,2,2,1.0,1.0,2,2,2,2,2.0,2.0,1.0
59,2,2,1.0,1.0,2,2,2,2,2.0,2.0,1.0
60,2,2,1.0,1.0,2,2,2,2,2.0,2.0,1.0
61,2,2,1.0,1.0,2,2,2,2,2.0,2.0,1.0
62,2,2,1.0,1.0,2,2,2,2,2.0,2.0,1.0
63,2,2,0.4137931034482758,0.1428571428571428,2,2,2,2,2.0,2.0,0.0
64,2,2,0.4137931034482758,0.1428571428571428,2,2,2,2,2.0,2.0,0.0
65,2,2,0.4137931034482758,0.1428571428571428,2,2,2,2,2.0,2.0,0.0
66,2,2,0.4,0.125,2,2,2,2,2.0,2.0,0.0
67,2,2,0.4,0.125,2,2,2,2,2.0,2.0,0.0
68,2,2,0.4,0.125,2,2,2,2,2.0,2.0,0.0
69,2,2,1.0,1.0,2,2,2,2,2.0,2.0,1.0
70,2,2,1.0,1.0,2,2,2,2,2.0,2.0,1.0
71,2,2,1.0,1.0,2,2,2,2,2.0,2.0,1.0
72,2,2,1.0,1.0,2,2,2,2,2.0,2.0,1.0
73,2,2,0.5714285714285714,0.0,2,2,2,2,2.0,2.0,0.0
74,2,2,0.5714285714285714,0.0,2,2,2,2,2.0,2.0,0.0
75,2,2,0.3428571428571428,0.25,2,2,2,2,2.0,2.0,0.0
76,2,2,0.3428571428571428,0.25,2,2,2,2,2.0,2.0,0.0
77,2,2,0.3428571428571428,0.25,2,2,2,2,2.0,2.0,0.0
78,2,2,0.3428571428571428,0.25,2,2,2,2,2.0,2.0,0.0
79,2,2,0.6206896551724138,0.0,2,2,2,2,2.0,2.0,0.0
80,2,2,0.6206896551724138,0.0,2,2,2,2,2.0,2.0,0.0
81,2,2,1.0,1.0,2,2,2,2,2.0,2.0,1.0
82,2,2,0.6206896551724138,0.0,2,2,2,2,2.0,2.0,0.0
83,2,2,0.6206896551724138,0.0,2,2,2,2,2.0,2.0,0.0
84,2,2,0.6206896551724138,0.0,2,2,2,2,2.0,2.0,0.0
85,2,2,0.6206896551724138,0.0,2,2,2,2,2.0,2.0,0.0
86,2,2,1.0,1.0,2,2,2,2,2.0,0.25,1.0
87,2,2,0.5333333333333333,0.0,2,2,2,2,2.0,0.25,0.0
88,2,2,0.5333333333333333,0.0,2,2,2,2,2.0,0.25,0.0
89,2,2,1.0,1.0,2,2,2,2,2.0,0.25,1.0
90,2,2,0.5161290322580645,0.0,2,2,2,2,2.0,0.25,0.0
91,2,2,0.5333333333333333,0.0,2,2,2,2,2.0,0.25,0.0
92,2,2,0.5161290322580645,0.0,2,2,2,2,2.0,0.25,0.0
93,2,2,0.5161290322580645,0.0,2,2,2,2,2.0,0.25,0.0
94,2,2,1.0,1.0,2,2,2,2,2.0,0.25,1.0
95,2,2,1.0,1.0,2,2,2,2,2.0,0.25,1.0
96,2,2,1.0,1.0,2,2,2,2,2.0,0.25,1.0
97,2,2,0.5333333333333333,0.0,2,2,2,2,2.0,0.25,0.0
98,2,2,1.0,1.0,2,2,2,2,2.0,0.25,1.0
99,2,2,1.0,1.0,2,2,2,2,2.0,0.25,1.0
100,2,2,0.5333333333333333,0.0,2,2,2,2,2.0,0.25,0.0
101,2,2,0.5333333333333333,0.0,2,2,2,2,2.0,0.25,0.0
102,2,2,1.0,1.0,2,2,2,2,2.0,2.0,1.0
103,2,2,0.4242424242424242,0.5,2,2,2,2,2.0,2.0,1.0
104,2,2,0.8648648648648649,0.0,2,2,2,2,2.0,2.0,1.0
105,2,2,0.3225806451612903,0.0,2,2,2,2,2.0,2.0,0.0
