,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,is_match
0,2,2,0.4444444444444444,0.0,2,2,2.0,2.0,2.0,1.0,0.0
1,2,2,0.4444444444444444,0.0,2,2,2.0,2.0,2.0,1.0,0.0
2,2,2,0.4444444444444444,0.0,2,2,2.0,2.0,2.0,1.0,0.0
3,2,2,0.4444444444444444,0.0,2,2,2.0,2.0,2.0,1.0,0.0
4,2,2,0.4444444444444444,0.0,2,2,2.0,2.0,2.0,1.0,0.0
5,2,2,0.3684210526315789,0.0,2,2,2.0,2.0,2.0,2.0,0.0
6,2,2,1.0,1.0,2,2,2.0,2.0,2.0,2.0,1.0
7,2,2,0.3684210526315789,0.0,2,2,2.0,2.0,2.0,2.0,0.0
8,2,2,0.7659574468085106,0.0,2,2,2.0,2.0,2.0,2.0,1.0
9,2,2,0.4,0.0,2,2,2.0,2.0,2.0,2.0,0.0
10,2,2,0.7659574468085106,0.0,2,2,2.0,2.0,2.0,2.0,1.0
11,2,2,1.0,1.0,2,2,2.0,2.0,2.0,2.0,1.0
12,2,2,1.0,1.0,2,2,2.0,2.0,2.0,2.0,1.0
13,2,2,1.0,1.0,2,2,2.0,2.0,2.0,2.0,1.0
14,2,2,0.5263157894736842,0.8333333333333334,2,2,2.0,2.0,2.0,2.0,1.0
15,2,2,0.5128205128205128,0.7142857142857143,2,2,2.0,2.0,2.0,2.0,1.0
16,2,2,0.4,0.25,2,2,2.0,2.0,2.0,1.0,0.0
17,2,2,0.6486486486486487,1.0,2,2,2.0,2.0,2.0,2.0,1.0
18,2,2,0.3225806451612903,0.0,2,2,2.0,2.0,2.0,2.0,0.0
19,2,2,0.5517241379310345,1.0,2,2,2.0,2.0,2.0,2.0,1.0
20,2,2,0.4242424242424242,0.5,2,2,2.0,2.0,2.0,2.0,1.0
21,2,2,1.0,1.0,2,2,2.0,2.0,2.0,2.0,1.0
22,2,2,1.0,1.0,2,2,2.0,2.0,2.0,2.0,1.0
23,2,2,1.0,1.0,2,2,2.0,2.0,2.0,2.0,1.0
24,2,2,1.0,1.0,2,2,2.0,2.0,2.0,2.0,1.0
25,2,2,1.0,1.0,2,2,2.0,2.0,2.0,2.0,1.0
26,2,2,1.0,1.0,2,2,2.0,2.0,2.0,2.0,1.0
27,2,2,1.0,1.0,2,2,2.0,2.0,2.0,2.0,1.0
28,2,2,1.0,1.0,2,2,2.0,2.0,2.0,2.0,1.0
29,2,2,1.0,1.0,2,2,2.0,2.0,2.0,2.0,1.0
30,2,2,1.0,1.0,2,2,2.0,2.0,2.0,2.0,1.0
31,2,2,1.0,1.0,2,2,2.0,2.0,2.0,2.0,1.0
32,2,2,1.0,1.0,2,2,2.0,2.0,2.0,2.0,1.0
33,2,2,0.5517241379310345,1.0,2,2,2.0,2.0,2.0,2.0,1.0
34,2,2,0.5925925925925926,0.2222222222222222,2,2,2.0,2.0,2.0,2.0,0.0
35,2,2,1.0,1.0,2,2,2.0,2.0,2.0,2.0,1.0
36,2,2,1.0,1.0,2,2,2.0,2.0,2.0,2.0,1.0
