,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,is_match
423,2,2,1.0,1.0,2,2,2,2,2,2,1.0
548,2,2,1.0,1.0,2,2,2,2,2,2,1.0
959,2,2,0.7692307692307693,0.0,2,2,2,2,2,2,0.0
587,2,2,0.7142857142857143,0.0,2,2,2,2,2,2,0.0
827,2,2,1.0,1.0,2,2,2,2,2,2,1.0
615,2,2,0.6956521739130435,1.0,2,2,2,2,2,2,1.0
986,2,2,0.5454545454545454,0.0,2,2,2,2,2,2,0.0
988,2,2,0.7692307692307693,0.0,2,2,2,2,2,2,0.0
585,2,2,0.7142857142857143,0.0,2,2,2,2,2,2,0.0
918,2,2,1.0,1.0,2,2,2,2,2,2,1.0
954,2,2,0.7692307692307693,0.0,2,2,2,2,2,2,0.0
614,2,2,1.0,1.0,2,2,2,2,2,2,1.0
633,2,2,0.3888888888888889,0.5,2,2,2,2,2,2,0.0
158,2,2,1.0,1.0,2,2,2,2,2,2,1.0
365,2,2,1.0,1.0,2,2,2,2,2,2,1.0
448,2,2,1.0,1.0,2,2,2,2,2,2,1.0
333,2,2,0.7741935483870968,0.25,2,2,2,2,2,2,1.0
495,2,2,1.0,1.0,2,2,2,2,2,2,1.0
679,2,2,1.0,1.0,2,2,2,2,2,2,1.0
888,2,2,0.4,0.0,2,2,2,2,2,2,0.0
56,2,2,1.0,1.0,2,2,2,2,2,2,1.0
70,2,2,1.0,1.0,2,2,2,2,2,2,1.0
485,2,2,1.0,1.0,2,2,2,2,2,2,1.0
388,2,2,1.0,1.0,2,2,2,2,2,2,1.0
528,2,2,1.0,1.0,2,2,2,2,2,2,1.0
982,2,2,0.7692307692307693,0.0,2,2,2,2,2,2,0.0
832,2,2,1.0,1.0,2,2,2,2,2,2,1.0
371,2,2,1.0,1.0,2,2,2,2,2,2,1.0
849,2,2,1.0,1.0,2,2,2,2,2,2,1.0
756,2,2,1.0,1.0,2,2,2,2,2,2,1.0
919,2,2,1.0,1.0,2,2,2,2,2,2,1.0
677,2,2,0.8181818181818182,0.1428571428571428,2,2,2,2,2,2,0.0
51,2,2,1.0,1.0,2,2,2,2,2,2,1.0
277,2,2,0.5517241379310345,0.0,2,2,2,2,2,2,0.0
174,2,2,0.4210526315789473,0.0,2,2,2,2,2,2,0.0
616,2,2,0.2285714285714285,0.0,2,2,2,2,2,2,0.0
757,2,2,1.0,1.0,2,2,2,2,2,2,1.0
86,2,2,1.0,1.0,2,2,2,2,2,2,1.0
309,2,2,1.0,1.0,2,2,2,2,2,2,1.0
1073,2,2,0.5641025641025641,0.0,2,2,2,2,2,2,0.0
389,2,2,1.0,1.0,2,2,2,2,2,2,1.0
1026,2,2,0.7407407407407407,1.0,2,2,2,2,2,2,1.0
675,2,2,0.8181818181818182,0.1428571428571428,2,2,2,2,2,2,0.0
949,2,2,0.7368421052631579,0.0,2,2,2,2,2,2,0.0
987,2,2,0.7142857142857143,0.0,2,2,2,2,2,2,0.0
109,2,2,1.0,1.0,2,2,2,2,2,2,1.0
88,2,2,1.0,1.0,2,2,2,2,2,2,1.0
31,2,2,1.0,1.0,2,2,2,2,2,2,1.0
783,2,2,1.0,1.0,2,2,2,2,2,2,1.0
543,2,2,1.0,1.0,2,2,2,2,2,2,1.0
192,2,2,0.3428571428571428,0.25,2,2,2,2,2,2,0.0
493,2,2,1.0,1.0,2,2,2,2,2,2,1.0
381,2,2,0.303030303030303,0.0,2,2,2,2,2,2,0.0
199,2,2,1.0,1.0,2,2,2,2,2,2,1.0
