,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,is_match
2574,2,2,0.238095238095238,0.0,2,2.0,2,2,2,2,0.0
1562,2,2,0.7222222222222222,0.0,2,2.0,2,2,2,2,0.0
6598,2,2,0.2702702702702703,0.0,2,0.0,2,2,2,2,0.0
2826,2,2,0.7027027027027027,0.0,2,0.0,2,2,2,2,0.0
3720,2,2,0.7894736842105263,0.0,2,0.0,2,2,2,2,0.0
2415,2,2,0.7222222222222222,0.0,2,0.1666666666666666,2,2,2,2,0.0
3463,2,2,0.6842105263157895,0.0,2,0.0,2,2,2,2,0.0
1512,2,2,0.3125,0.0,2,2.0,2,2,2,2,0.0
1891,2,2,0.4137931034482758,0.0,2,2.0,2,2,2,2,0.0
4335,2,2,0.5238095238095238,0.0,2,0.0,2,2,2,2,0.0
6044,2,2,0.7619047619047619,0.0,2,0.0,2,2,2,2,0.0
3405,2,2,0.3703703703703703,0.0,2,2.0,2,2,2,2,0.0
4600,2,2,0.6666666666666666,0.0,2,0.0,2,2,2,2,0.0
3544,2,2,0.7894736842105263,0.0,2,0.0,2,2,2,2,0.0
1498,2,2,0.6842105263157895,0.0,2,1.0,2,2,2,2,0.0
6656,2,2,0.8292682926829268,0.0,2,0.0,2,2,2,2,0.0
1740,2,2,0.3870967741935484,0.0,2,2.0,2,2,2,2,0.0
2208,2,2,0.7894736842105263,0.0,2,0.0,2,2,2,2,0.0
6078,2,2,0.3571428571428571,0.0,2,2.0,2,2,2,2,0.0
132,2,2,0.6666666666666666,0.0,2,0.0,2,2,2,2,0.0
2825,2,2,0.7027027027027027,0.0,2,2.0,2,2,2,2,0.0
1922,2,2,0.7027027027027027,0.0,2,0.0,2,2,2,2,0.0
877,2,2,0.7027027027027027,0.0,2,0.0,2,2,2,2,0.0
6131,2,2,0.2941176470588235,0.0,2,2.0,2,2,2,2,0.0
6007,2,2,0.2857142857142857,0.0,2,0.0,2,2,2,2,0.0
308,2,2,0.2352941176470588,0.0,2,2.0,2,2,2,2,0.0
1544,2,2,0.7222222222222222,0.0,2,0.0,2,2,2,2,0.0
6927,2,2,0.4375,0.0,2,0.0,2,2,2,2,0.0
4412,2,2,0.4864864864864865,0.0,2,2.0,2,2,2,2,0.0
2932,2,2,0.5333333333333333,0.25,2,2.0,2,2,2,2,0.0
5543,2,2,0.2941176470588235,0.0,2,2.0,2,2,2,2,0.0
4991,2,2,0.2857142857142857,0.0,2,0.0,2,2,2,2,0.0
5321,2,2,0.2857142857142857,0.0,2,0.0,2,2,2,2,0.0
3341,2,2,0.3571428571428571,0.0,2,2.0,2,2,2,2,0.0
3869,2,2,0.2424242424242424,0.0,2,2.0,2,2,2,2,0.0
5492,2,2,0.2857142857142857,0.0,2,0.3939393939393939,2,2,2,2,0.0
5255,2,2,0.303030303030303,0.0,2,2.0,2,2,2,2,0.0
1480,2,2,0.6842105263157895,0.0,2,0.0,2,2,2,2,0.0
5960,2,2,0.2857142857142857,0.0,2,0.0,2,2,2,2,0.0
6947,2,2,0.5161290322580645,0.0,2,0.0,2,2,2,2,0.0
3047,2,2,0.7222222222222222,0.0,2,0.0,2,2,2,2,0.0
2287,2,2,0.6486486486486487,0.0,2,0.0,2,2,2,2,0.0
733,2,2,0.4,0.0,2,2.0,2,2,2,2,0.0
5632,2,2,0.2857142857142857,0.0,2,0.0,2,2,2,2,0.0
251,2,2,0.6046511627906976,0.0,2,2.0,2,2,2,2,0.0
2118,2,2,0.7222222222222222,0.0,2,0.0,2,2,2,2,0.0
4614,2,2,0.6511627906976745,0.0,2,0.4444444444444445,2,2,2,2,0.0
61,2,2,0.7391304347826086,0.0909090909090909,2,0.0,2,2,2,2,0.0
1928,2,2,0.7222222222222222,0.0,2,0.0,2,2,2,2,0.0
4315,2,2,0.2580645161290322,0.0,2,0.0,2,2,2,2,0.0
1870,2,2,0.7567567567567568,0.0,2,0.0,2,2,2,2,0.0
5060,2,2,0.3571428571428571,0.0,2,0.0,2,2,2,2,0.0
4119,2,2,0.55,0.0,2,2.0,2,2,2,2,0.0
5815,2,2,0.3428571428571428,0.0,2,0.0,2,2,2,2,0.0
5022,2,2,0.7142857142857143,0.4285714285714285,2,0.0,2,2,2,2,0.0
3340,2,2,0.7027027027027027,0.0,2,0.4444444444444445,2,2,2,2,0.0
5498,2,2,0.7317073170731707,0.0,2,0.0,2,2,2,2,0.0
3552,2,2,0.5806451612903226,0.5,2,2.0,2,2,2,2,0.0
6144,2,2,0.3846153846153846,0.0,2,2.0,2,2,2,2,0.0
6991,2,2,0.5714285714285714,0.0,2,0.0,2,2,2,2,0.0
4610,2,2,0.4864864864864865,0.0,2,2.0,2,2,2,2,0.0
6435,2,2,0.3571428571428571,0.0,2,2.0,2,2,2,2,0.0
2155,2,2,0.8421052631578947,0.2,2,0.0,2,2,2,2,0.0
676,2,2,0.4,0.0,2,2.0,2,2,2,2,0.0
6621,2,2,0.7,0.0,2,1.0,2,2,2,2,0.0
576,2,2,0.7222222222222222,0.0,2,2.0,2,2,2,2,0.0
6341,2,2,0.2857142857142857,0.0,2,0.4444444444444445,2,2,2,2,0.0
3127,2,2,0.3333333333333333,0.0,2,2.0,2,2,2,2,0.0
