,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61e3fd5b671b220025e,5f3ba61e3fd5b671b22006e8,1,/,/,0.5517241379310345,0.3333333333333333,/,0.16666666666666663,/,/,/,1.0,,,0.0
1,5f3ba61e3fd5b671b220025e,5f3ba61e3fd5b671b22006c7,1,/,/,0.5517241379310345,0.3333333333333333,/,/,/,/,/,1.0,,,0.0
2,5f3ba61e3fd5b671b220025e,5f3ba61e3fd5b671b22006b4,1,/,/,0.5517241379310345,0.3333333333333333,/,/,/,/,/,1.0,,,0.0
3,5f3ba61e3fd5b671b2200338,5f3ba61e3fd5b671b22006e8,1,/,/,0.5333333333333333,0.3333333333333333,/,0.16666666666666663,/,/,/,1.0,,,0.0
4,5f3ba61e3fd5b671b2200338,5f3ba61e3fd5b671b22006c7,1,/,/,0.5333333333333333,0.3333333333333333,/,/,/,/,/,1.0,,,0.0
5,5f3ba61e3fd5b671b2200338,5f3ba61e3fd5b671b22006b4,1,/,/,0.5333333333333333,0.3333333333333333,/,/,/,/,/,1.0,,,0.0
6,5f3ba61e3fd5b671b220030d,5f3ba61e3fd5b671b22006e9,/,/,/,0.5517241379310345,0.0,/,/,0.986666666666667,0.9210526315789479,/,1.0,,,0.0
7,5f3ba61e3fd5b671b220030d,5f3ba61e3fd5b671b2200716,/,/,/,0.5517241379310345,0.0,/,/,0.9737532808398951,0.9129714048901786,/,1.0,,,0.0
8,5f3ba61e3fd5b671b220030d,5f3ba61e3fd5b671b220069f,/,/,/,0.5333333333333333,0.0,/,/,0.986666666666667,0.9129714048901786,/,1.0,,,0.0
9,5f3ba61e3fd5b671b220030d,5f3ba61e3fd5b671b220070f,/,/,/,0.5333333333333333,0.0,/,/,0.986666666666667,0.9210526315789479,/,/,,,0.0
10,5f3ba61e3fd5b671b220030d,5f3ba61e3fd5b671b2200713,/,/,/,0.6153846153846154,0.0,/,/,/,/,/,1.0,,,0.0
11,5f3ba61e3fd5b671b220030d,5f3ba61e3fd5b671b22006d1,/,/,/,0.6153846153846154,0.0,/,/,0.5200000000000001,0,/,/,,,0.0
12,5f3ba61e3fd5b671b220030d,5f3ba61e3fd5b671b22006e0,/,/,/,0.5517241379310345,0.0,/,/,0.986666666666667,0.9129714048901786,/,1.0,,,0.0
13,5f3ba61e3fd5b671b220030d,5f3ba61e3fd5b671b220073d,/,/,/,0.5517241379310345,0.0,/,/,0.9733333333333335,0.9652777777777773,/,1.0,197,197,1.0
14,5f3ba61e3fd5b671b220030d,5f3ba61e3fd5b671b22006b3,/,/,/,0.5333333333333333,0.0,/,/,0.9346405228758171,1.0,/,1.0,,,0.0
15,5f3ba61e3fd5b671b220030d,5f3ba61e3fd5b671b220074c,/,/,/,0.5517241379310345,0.0,/,/,0.986666666666667,0.9210526315789479,/,1.0,,,0.0
16,5f3ba61e3fd5b671b220030e,5f3ba61e3fd5b671b22006dd,1,/,/,0.5806451612903226,0.5,/,/,/,/,/,1.0,,,0.0
17,5f3ba61e3fd5b671b220030e,5f3ba61e3fd5b671b22006b9,1,/,/,0.5806451612903226,0.5,/,/,/,/,/,1.0,,,0.0
18,5f3ba61e3fd5b671b220030e,5f3ba61e3fd5b671b2200710,1,/,/,0.5806451612903226,0.5,/,/,/,/,/,1.0,,,0.0
19,5f3ba61e3fd5b671b220030e,5f3ba61e3fd5b671b22006fd,1,/,/,0.5806451612903226,0.5,/,/,/,/,/,1.0,,,0.0
20,5f3ba61e3fd5b671b220030e,5f3ba61e3fd5b671b220075b,1,/,/,0.5806451612903226,0.5,/,/,/,/,/,1.0,,,0.0
21,5f3ba61e3fd5b671b220030e,5f3ba61e3fd5b671b2200715,1,/,/,0.5806451612903226,0.5,/,/,/,/,/,/,,,0.0
22,5f3ba61e3fd5b671b220030e,5f3ba61e3fd5b671b22006b0,1,/,/,0.5806451612903226,0.5,/,/,/,/,/,/,,,0.0
23,5f3ba61e3fd5b671b220030e,5f3ba61e3fd5b671b22006fb,1,/,/,0.5806451612903226,0.5,/,/,/,/,/,1.0,,,0.0
24,5f3ba61e3fd5b671b22002a8,5f3ba61e3fd5b671b22006dd,1,/,/,0.5806451612903226,0.5,/,/,/,/,/,1.0,,,0.0
25,5f3ba61e3fd5b671b22002a8,5f3ba61e3fd5b671b22006b9,1,/,/,0.5806451612903226,0.5,/,/,/,/,/,1.0,,,0.0
26,5f3ba61e3fd5b671b22002a8,5f3ba61e3fd5b671b2200710,1,/,/,0.5806451612903226,0.5,/,/,/,/,/,1.0,,,0.0
27,5f3ba61e3fd5b671b22002a8,5f3ba61e3fd5b671b22006fd,1,/,/,0.5806451612903226,0.5,/,/,/,/,/,1.0,,,0.0
28,5f3ba61e3fd5b671b22002a8,5f3ba61e3fd5b671b220075b,1,/,/,0.5806451612903226,0.5,/,/,/,/,/,1.0,,,0.0
29,5f3ba61e3fd5b671b22002a8,5f3ba61e3fd5b671b2200715,1,/,/,0.5806451612903226,0.5,/,/,/,/,/,/,,,0.0
30,5f3ba61e3fd5b671b22002a8,5f3ba61e3fd5b671b22006b0,1,/,/,0.5806451612903226,0.5,/,/,/,/,/,/,,,0.0
31,5f3ba61e3fd5b671b22002a8,5f3ba61e3fd5b671b22006fb,1,/,/,0.5806451612903226,0.5,/,/,/,/,/,1.0,,,0.0
32,5f3ba61e3fd5b671b2200375,5f3ba61e3fd5b671b22006dd,1,/,/,1.0,1.0,/,/,/,/,/,1.0,83,83,1.0
33,5f3ba61e3fd5b671b2200375,5f3ba61e3fd5b671b22006b9,1,/,/,1.0,1.0,/,/,/,/,/,1.0,83,83,1.0
34,5f3ba61e3fd5b671b2200375,5f3ba61e3fd5b671b2200710,1,/,/,1.0,1.0,/,/,/,/,/,1.0,83,83,1.0
35,5f3ba61e3fd5b671b2200375,5f3ba61e3fd5b671b22006fd,1,/,/,1.0,1.0,/,/,/,/,/,1.0,83,83,1.0
36,5f3ba61e3fd5b671b2200375,5f3ba61e3fd5b671b220075b,1,/,/,1.0,1.0,/,/,/,/,/,1.0,83,83,1.0
37,5f3ba61e3fd5b671b2200375,5f3ba61e3fd5b671b2200715,1,/,/,1.0,1.0,/,/,/,/,/,/,83,83,1.0
38,5f3ba61e3fd5b671b2200375,5f3ba61e3fd5b671b22006b0,1,/,/,1.0,1.0,/,/,/,/,/,/,83,83,1.0
39,5f3ba61e3fd5b671b2200375,5f3ba61e3fd5b671b22006fb,1,/,/,1.0,1.0,/,/,/,/,/,1.0,83,83,1.0
40,5f3ba61e3fd5b671b2200316,5f3ba61e3fd5b671b2200730,1,/,/,1.0,1.0,/,/,/,/,/,1.0,85,85,1.0
41,5f3ba61e3fd5b671b2200316,5f3ba61e3fd5b671b22006ae,1,/,/,1.0,1.0,/,/,/,/,/,1.0,85,85,1.0
42,5f3ba61e3fd5b671b220039b,5f3ba61e3fd5b671b2200730,1,/,/,0.8571428571428571,0.0,/,/,/,/,/,1.0,,,0.0
43,5f3ba61e3fd5b671b220039b,5f3ba61e3fd5b671b22006ae,1,/,/,0.8571428571428571,0.0,/,/,/,/,/,1.0,,,0.0
44,5f3ba61e3fd5b671b220038c,5f3ba61e3fd5b671b220074d,1,/,/,0.5789473684210527,0.1666666666666666,/,/,0,0,/,0.1,,,0.0
45,5f3ba61e3fd5b671b220038c,5f3ba61e3fd5b671b220069c,1,/,/,0.8372093023255814,0.1666666666666666,1.0,/,0.19398907103825203,0,/,0.0,,,0.0
46,5f3ba61e3fd5b671b2200258,5f3ba61e3fd5b671b220074d,1,/,/,0.5789473684210527,0.1666666666666666,/,/,/,/,/,/,,,0.0
47,5f3ba61e3fd5b671b2200258,5f3ba61e3fd5b671b220069c,1,/,/,0.8837209302325582,0.4,/,/,/,/,/,/,,,0.0
48,5f3ba61e3fd5b671b220031a,5f3ba61e3fd5b671b220074d,1,/,/,0.5641025641025641,0.3333333333333333,/,/,0,0.005847953216374324,/,0.375,,,0.0
49,5f3ba61e3fd5b671b220031a,5f3ba61e3fd5b671b220069c,1,/,/,0.7727272727272727,0.1428571428571428,1.0,/,0.39890710382513683,0.08571428571428563,/,0.25,,,0.0
50,5f3ba61e3fd5b671b2200246,5f3ba61e3fd5b671b220074d,1,/,/,0.5789473684210527,0.1666666666666666,/,/,0,0,/,0.1,,,0.0
51,5f3ba61e3fd5b671b2200246,5f3ba61e3fd5b671b220069c,1,/,/,0.8372093023255814,0.1666666666666666,1.0,/,0.19398907103825203,0,/,0.0,,,0.0
52,5f3ba61e3fd5b671b22002a3,5f3ba61e3fd5b671b220074d,1,/,/,0.5,0.125,/,/,0,0,/,1.0,,,0.0
53,5f3ba61e3fd5b671b22002a3,5f3ba61e3fd5b671b220069c,1,/,/,0.8,0.2857142857142857,/,/,0.33060109289617523,0,/,0.23076923076923078,,,0.0
54,5f3ba61e3fd5b671b2200390,5f3ba61e3fd5b671b220074d,1,/,/,0.631578947368421,0.4,/,/,0,0.005847953216374324,/,0.375,,,0.0
55,5f3ba61e3fd5b671b2200390,5f3ba61e3fd5b671b220069c,1,/,/,0.8372093023255814,0.1666666666666666,1.0,/,0.39890710382513683,0.08571428571428563,/,0.25,,,0.0
56,5f3ba61e3fd5b671b22002e9,5f3ba61e3fd5b671b220074d,1,/,/,0.5,0.125,/,/,0,0,/,1.0,,,0.0
57,5f3ba61e3fd5b671b22002e9,5f3ba61e3fd5b671b220069c,1,/,/,0.8,0.2857142857142857,1.0,/,0.31693989071038275,0,/,0.23076923076923078,,,0.0
58,5f3ba61e3fd5b671b22003a5,5f3ba61e3fd5b671b22006c6,1,/,/,0.7,0.0,/,0,/,/,/,1.0,,,0.0
59,5f3ba61e3fd5b671b22003a5,5f3ba61e3fd5b671b22006b5,1,/,/,1.0,1.0,/,/,0.9787526559180099,0.9978142076502735,/,1.0,130,130,1.0
60,5f3ba61e3fd5b671b22003a5,5f3ba61e3fd5b671b22006be,1,/,/,0.7,0.0,/,/,/,/,/,0.1,,,0.0
61,5f3ba61e3fd5b671b22003a5,5f3ba61e3fd5b671b22006f8,1,/,/,0.7,0.0,/,/,/,0.17530864197530882,/,1.0,,,0.0
62,5f3ba61e3fd5b671b22003a5,5f3ba61e3fd5b671b22006ed,1,/,/,0.4761904761904761,0.0,/,/,0,0,/,1.0,,,0.0
63,5f3ba61e3fd5b671b22003a5,5f3ba61e3fd5b671b220074a,1,/,/,0.7,0.0,/,0,/,/,/,1.0,,,0.0
64,5f3ba61e3fd5b671b22003a5,5f3ba61e3fd5b671b22006fe,1,/,/,0.7,0.0,/,/,/,/,/,0.1,,,0.0
65,5f3ba61e3fd5b671b22003a5,5f3ba61e3fd5b671b22006ff,1,/,/,0.7,0.0,/,/,/,/,/,0.1,,,0.0
66,5f3ba61e3fd5b671b2200304,5f3ba61e3fd5b671b2200755,1,/,/,1.0,1.0,/,/,/,/,/,1.0,125,125,1.0
67,5f3ba61e3fd5b671b2200304,5f3ba61e3fd5b671b22006d7,1,/,/,0.8148148148148148,0.5,/,/,0.10715107979923533,0.11904761904761862,/,/,,,0.0
68,5f3ba61e3fd5b671b2200304,5f3ba61e3fd5b671b2200726,1,/,/,1.0,1.0,/,/,0.9941520467836255,0.9787526559180099,/,1.0,125,125,1.0
69,5f3ba61e3fd5b671b2200304,5f3ba61e3fd5b671b22006aa,1,/,/,1.0,1.0,/,/,0.9941520467836255,0.9761904761904756,/,1.0,125,125,1.0
70,5f3ba61e3fd5b671b220036e,5f3ba61e3fd5b671b2200755,1,/,/,0.303030303030303,0.0,/,/,/,/,/,/,,,0.0
71,5f3ba61e3fd5b671b220036e,5f3ba61e3fd5b671b22006d7,1,/,/,0.2941176470588235,0.0,/,/,/,/,/,/,,,0.0
72,5f3ba61e3fd5b671b220036e,5f3ba61e3fd5b671b2200726,1,/,/,0.303030303030303,0.0,/,/,/,/,/,/,,,0.0
73,5f3ba61e3fd5b671b220036e,5f3ba61e3fd5b671b22006aa,1,/,/,0.303030303030303,0.0,/,/,/,/,/,/,,,0.0
74,5f3ba61e3fd5b671b2200321,5f3ba61e3fd5b671b2200755,1,/,/,1.0,1.0,/,/,/,/,/,1.0,125,125,1.0
75,5f3ba61e3fd5b671b2200321,5f3ba61e3fd5b671b22006d7,1,/,/,0.8148148148148148,0.5,/,/,0.10715107979923533,0.11904761904761862,/,/,,,0.0
76,5f3ba61e3fd5b671b2200321,5f3ba61e3fd5b671b2200726,1,/,/,1.0,1.0,/,0,0.9941520467836255,0.9787526559180099,/,1.0,125,125,1.0
77,5f3ba61e3fd5b671b2200321,5f3ba61e3fd5b671b22006aa,1,/,/,1.0,1.0,/,0,0.9941520467836255,0.9761904761904756,/,1.0,125,125,1.0
78,5f3ba61e3fd5b671b220034e,5f3ba61e3fd5b671b22006f9,1,/,/,0.3125,0.0,/,/,0.18331034482758612,0,/,1.0,,,0.0
79,5f3ba61e3fd5b671b220034e,5f3ba61e3fd5b671b22006ad,1,/,/,0.3125,0.0,/,/,0.18331034482758612,0,/,1.0,,,0.0
80,5f3ba61e3fd5b671b2200377,5f3ba61e3fd5b671b2200722,1,/,/,0.782608695652174,0.6666666666666666,/,/,/,/,/,/,,,0.0
81,5f3ba61e3fd5b671b22003a4,5f3ba61e3fd5b671b22006bf,1,/,/,1.0,1.0,/,/,1.0,1.0,/,/,31,31,1.0
82,5f3ba61e3fd5b671b22003a4,5f3ba61e3fd5b671b22006c5,1,/,/,1.0,1.0,/,/,1.0,1.0,/,/,31,31,1.0
83,5f3ba61e3fd5b671b22003a4,5f3ba61e3fd5b671b220073a,1,/,/,1.0,1.0,/,/,/,/,/,1.0,31,31,1.0
84,5f3ba61e3fd5b671b2200254,5f3ba61e3fd5b671b22006bf,1,/,/,1.0,1.0,/,/,1.0,1.0,/,/,31,31,1.0
85,5f3ba61e3fd5b671b2200254,5f3ba61e3fd5b671b22006c5,1,/,/,1.0,1.0,/,/,1.0,1.0,/,/,31,31,1.0
86,5f3ba61e3fd5b671b2200254,5f3ba61e3fd5b671b220073a,1,/,/,1.0,1.0,/,/,/,/,/,1.0,31,31,1.0
87,5f3ba61e3fd5b671b220038e,5f3ba61e3fd5b671b22006bf,1,/,/,1.0,1.0,/,/,1.0,1.0,/,/,31,31,1.0
88,5f3ba61e3fd5b671b220038e,5f3ba61e3fd5b671b22006c5,1,/,/,1.0,1.0,/,/,1.0,1.0,/,/,31,31,1.0
89,5f3ba61e3fd5b671b220038e,5f3ba61e3fd5b671b220073a,1,/,/,1.0,1.0,/,/,/,/,/,1.0,31,31,1.0
90,5f3ba61e3fd5b671b2200251,5f3ba61e3fd5b671b22006ca,1,/,/,0.782608695652174,0.0,/,/,0.5346009389671362,0,/,0.375,,,0.0
91,5f3ba61e3fd5b671b220026b,5f3ba61e3fd5b671b22006ca,1,/,/,0.6153846153846154,0.0,/,/,0.5346009389671362,0,/,0.375,,,0.0
92,5f3ba61e3fd5b671b2200276,5f3ba61e3fd5b671b22006ca,1,/,/,0.6153846153846154,0.0,/,/,0.5346009389671362,0,/,0.375,,,0.0
93,5f3ba61e3fd5b671b220034b,5f3ba61e3fd5b671b22006ca,1,/,/,0.6153846153846154,0.0,/,/,0.5286384976525823,0.1994301994301998,/,0.25,,,0.0
94,5f3ba61e3fd5b671b2200264,5f3ba61e3fd5b671b22006ca,1,/,/,0.6153846153846154,0.0,/,/,0.5346009389671362,0,/,0.375,,,0.0
95,5f3ba61e3fd5b671b2200263,5f3ba61e3fd5b671b2200703,1,/,/,1.0,1.0,/,/,/,/,/,/,133,133,1.0
96,5f3ba61e3fd5b671b22002ec,5f3ba61e3fd5b671b2200703,1,/,/,1.0,1.0,/,/,/,/,/,/,133,133,1.0
97,5f3ba61e3fd5b671b2200284,5f3ba61e3fd5b671b220073b,1,/,/,0.6666666666666666,0.5,/,/,/,/,/,0.06666666666666667,12,12,1.0
