,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61e3fd5b671b220025e,5f3ba61e3fd5b671b22004f1,1,/,/,1.0,1.0,/,/,/,/,/,/,122,122,1.0
1,5f3ba61e3fd5b671b220029d,5f3ba61e3fd5b671b22004e9,1,/,/,1.0,1.0,/,/,/,/,/,/,22,22,1.0
2,5f3ba61e3fd5b671b220029e,5f3ba61e3fd5b671b22004e4,1,/,/,0.7619047619047619,1.0,/,/,/,/,/,/,8,8,1.0
3,5f3ba61e3fd5b671b220037c,5f3ba61e3fd5b671b22004e4,1,/,/,0.6,0.0,/,/,/,/,/,1.0,,,0.0
4,5f3ba61e3fd5b671b22002c4,5f3ba61e3fd5b671b22004e4,1,/,/,0.6,0.0,/,/,/,/,/,1.0,,,0.0
5,5f3ba61e3fd5b671b22002fa,5f3ba61e3fd5b671b2200542,1,/,/,1.0,1.0,/,/,/,/,/,/,118,118,1.0
6,5f3ba61e3fd5b671b2200327,5f3ba61e3fd5b671b22004ff,1,/,/,0.5531914893617021,0.1428571428571428,/,/,/,/,/,/,,,0.0
7,5f3ba61e3fd5b671b2200340,5f3ba61e3fd5b671b2200550,1,/,/,1.0,1.0,/,/,/,/,/,/,9,9,1.0
8,5f3ba61e3fd5b671b2200346,5f3ba61e3fd5b671b2200551,1,/,/,1.0,1.0,/,/,/,/,/,/,135,135,1.0
9,5f3ba61e3fd5b671b22003a5,5f3ba61e3fd5b671b22004fe,1,/,/,1.0,1.0,/,/,/,/,/,1.0,130,130,1.0
10,5f3ba61e3fd5b671b2200304,5f3ba61e3fd5b671b220054c,1,/,/,1.0,1.0,/,/,/,/,/,/,125,125,1.0
11,5f3ba61e3fd5b671b2200304,5f3ba61e3fd5b671b220050a,1,/,/,0.3846153846153846,0.0,/,/,/,/,/,/,,,0.0
12,5f3ba61e3fd5b671b220036e,5f3ba61e3fd5b671b220054c,1,/,/,0.303030303030303,0.0,/,/,/,/,/,/,,,0.0
13,5f3ba61e3fd5b671b220036e,5f3ba61e3fd5b671b220050a,1,/,/,0.4242424242424242,0.5,/,/,/,/,/,/,7,7,1.0
14,5f3ba61e3fd5b671b2200309,5f3ba61e3fd5b671b2200511,1,/,/,0.6285714285714286,1.0,/,/,/,/,/,/,204,204,1.0
15,5f3ba61e3fd5b671b22002d2,5f3ba61e3fd5b671b2200511,1,/,/,0.7692307692307693,0.25,/,/,/,/,/,/,,,0.0
16,5f3ba61e3fd5b671b220032f,5f3ba61e3fd5b671b2200509,1,/,/,0.3428571428571428,0.0625,/,/,0.9475065616797903,0.8878549272250056,/,/,,,0.0
17,5f3ba61e3fd5b671b2200334,5f3ba61e3fd5b671b2200513,1,/,/,0.48,0.3333333333333333,/,/,0.9832975423526604,0.9955188528263238,/,/,98,98,1.0
18,5f3ba61e3fd5b671b2200380,5f3ba61e3fd5b671b2200553,1,/,/,0.6486486486486487,1.0,/,/,/,/,/,/,54,54,1.0
19,5f3ba61e3fd5b671b22002ac,5f3ba61e3fd5b671b2200553,1,/,/,0.5,0.375,/,/,/,/,/,/,,,0.0
20,5f3ba61e3fd5b671b2200251,5f3ba61e3fd5b671b220053f,1,/,/,0.5925925925925926,0.0,/,/,0.9679691805676057,0.2447191011235953,/,0.25,,,0.0
21,5f3ba61e3fd5b671b220034b,5f3ba61e3fd5b671b220053f,1,/,/,1.0,1.0,/,/,0.9748468941382326,0.9962546816479402,/,0.5833333333333334,16,16,1.0
22,5f3ba61e3fd5b671b2200263,5f3ba61e3fd5b671b2200500,1,/,/,1.0,1.0,/,/,/,/,/,/,133,133,1.0
23,5f3ba61e3fd5b671b22002f8,5f3ba61e3fd5b671b2200502,1,/,/,0.4242424242424242,0.5,/,/,/,/,/,/,195,195,1.0
24,5f3ba61e3fd5b671b220031c,5f3ba61e3fd5b671b220050c,1,/,/,0.5,0.0,/,/,/,/,/,1.0,,,0.0
25,5f3ba61e3fd5b671b220025c,5f3ba61e3fd5b671b220050c,1,/,/,0.631578947368421,0.0,/,/,/,/,/,1.0,,,0.0
26,5f3ba61e3fd5b671b220039e,5f3ba61e3fd5b671b220050c,1,/,/,1.0,1.0,/,/,/,/,/,1.0,18,18,1.0
27,5f3ba61e3fd5b671b22002a4,5f3ba61e3fd5b671b22004ee,1,/,/,0.6206896551724138,0.0,/,/,/,/,/,/,,,0.0
28,5f3ba61e3fd5b671b22002b5,5f3ba61e3fd5b671b220054a,1,/,/,0.5714285714285714,0.0,/,/,/,/,/,/,,,0.0
29,5f3ba61e3fd5b671b220036a,5f3ba61e3fd5b671b220054a,1,/,/,0.4666666666666667,0.0,/,/,/,/,/,/,,,0.0
30,5f3ba61e3fd5b671b2200283,5f3ba61e3fd5b671b220054a,1,/,/,0.5925925925925926,0.0,/,/,/,/,/,/,,,0.0
31,5f3ba61e3fd5b671b220037f,5f3ba61e3fd5b671b220054a,1,/,/,0.8,1.0,/,/,/,/,/,/,126,126,1.0
32,5f3ba61e3fd5b671b2200269,5f3ba61e3fd5b671b220054a,1,/,/,0.5517241379310345,0.0,/,/,/,/,/,/,,,0.0
33,5f3ba61e3fd5b671b22002d3,5f3ba61e3fd5b671b2200538,1,/,/,0.4242424242424242,0.5,/,/,/,/,/,/,143,143,1.0
34,5f3ba61e3fd5b671b2200308,5f3ba61e3fd5b671b2200517,1,/,/,1.0,1.0,/,/,/,/,/,1.0,158,158,1.0
35,5f3ba61e3fd5b671b22002be,5f3ba61e3fd5b671b220053c,1,/,/,1.0,1.0,/,/,/,/,/,/,177,177,1.0
36,5f3ba61e3fd5b671b220037d,5f3ba61e3fd5b671b220053c,1,/,/,0.2777777777777778,0.0,/,/,/,/,/,/,,,0.0
37,5f3ba61e3fd5b671b22002d4,5f3ba61e3fd5b671b220053c,1,/,/,0.3333333333333333,0.0,/,/,/,/,/,/,,,0.0
