,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61e3fd5b671b220030d,5f3ba61f3fd5b671b220117e,/,/,/,0.303030303030303,0.0,/,/,0.2650918635170606,0,/,/,,,0.0
1,5f3ba61e3fd5b671b220030d,5f3ba61f3fd5b671b2201159,/,/,/,0.303030303030303,0.0,/,/,0,0,/,/,,,0.0
2,5f3ba61e3fd5b671b220030d,5f3ba61f3fd5b671b220114b,/,/,/,0.303030303030303,0.0,/,/,/,/,/,/,,,0.0
3,5f3ba61e3fd5b671b220030d,5f3ba61f3fd5b671b220115d,/,/,/,0.303030303030303,0.0,/,/,0.18635170603674545,0,/,/,,,0.0
4,5f3ba61e3fd5b671b2200316,5f3ba61f3fd5b671b22011a4,1,/,/,0.2777777777777778,0.0,/,0.2500000000000001,/,/,/,/,,,0.0
5,5f3ba61e3fd5b671b2200316,5f3ba61f3fd5b671b2201117,1,/,/,0.2777777777777778,0.0,/,0,/,/,/,/,,,0.0
6,5f3ba61e3fd5b671b2200316,5f3ba61f3fd5b671b220113c,1,/,/,0.2631578947368421,0.0,/,/,/,/,/,/,,,0.0
7,5f3ba61e3fd5b671b220039b,5f3ba61f3fd5b671b22011a4,1,/,/,0.3428571428571428,0.0,/,/,/,/,/,/,,,0.0
8,5f3ba61e3fd5b671b220039b,5f3ba61f3fd5b671b2201117,1,/,/,0.3428571428571428,0.0,/,/,/,/,/,/,,,0.0
9,5f3ba61e3fd5b671b220039b,5f3ba61f3fd5b671b220113c,1,/,/,0.3243243243243243,0.0,/,/,/,/,/,/,,,0.0
10,5f3ba61e3fd5b671b2200395,5f3ba61f3fd5b671b220117b,1,/,/,1.0,1.0,1.0,1.0,0.9787526559180099,0.9978142076502735,/,/,188,188,1.0
11,5f3ba61e3fd5b671b2200293,5f3ba61f3fd5b671b220119d,1,/,/,0.2777777777777778,0.0,/,0,/,/,/,/,,,0.0
12,5f3ba61e3fd5b671b2200304,5f3ba61f3fd5b671b220111b,1,/,/,0.375,0.0,/,/,/,/,/,/,,,0.0
13,5f3ba61e3fd5b671b2200304,5f3ba61f3fd5b671b220113e,1,/,/,0.3636363636363636,0.0,/,/,/,/,/,/,,,0.0
14,5f3ba61e3fd5b671b2200304,5f3ba61f3fd5b671b220114a,1,/,/,0.3125,0.0,/,/,0,0,/,/,,,0.0
15,5f3ba61e3fd5b671b220036e,5f3ba61f3fd5b671b220111b,1,/,/,0.8717948717948718,0.0,/,/,/,/,/,/,,,0.0
16,5f3ba61e3fd5b671b220036e,5f3ba61f3fd5b671b220113e,1,/,/,0.35,0.0,/,/,/,/,/,/,,,0.0
17,5f3ba61e3fd5b671b220036e,5f3ba61f3fd5b671b220114a,1,/,/,0.8205128205128205,0.0,/,/,/,/,/,/,,,0.0
18,5f3ba61e3fd5b671b2200321,5f3ba61f3fd5b671b220111b,1,/,/,0.375,0.0,/,0.537037037037037,/,/,/,/,,,0.0
19,5f3ba61e3fd5b671b2200321,5f3ba61f3fd5b671b220113e,1,/,/,0.3636363636363636,0.0,/,0.8924731182795698,/,/,/,/,,,0.0
20,5f3ba61e3fd5b671b2200321,5f3ba61f3fd5b671b220114a,1,/,/,0.3125,0.0,/,0.8924731182795698,0,0,/,/,,,0.0
21,5f3ba61e3fd5b671b220032f,5f3ba61f3fd5b671b220111a,1,/,/,0.85,0.0833333333333333,1.0,0.44444444444444453,0.5138643067846604,0.2182648401826489,/,/,,,0.0
22,5f3ba61e3fd5b671b22003a1,5f3ba61f3fd5b671b220111a,1,/,/,0.85,0.0833333333333333,1.0,0.44444444444444453,0.5138643067846604,0.2182648401826489,/,/,,,0.0
23,5f3ba61e3fd5b671b2200359,5f3ba61f3fd5b671b220111a,1,/,/,0.85,0.0833333333333333,1.0,0.44444444444444453,0.5138643067846604,0.2182648401826489,/,/,,,0.0
24,5f3ba61e3fd5b671b22002d8,5f3ba61f3fd5b671b220111a,1,/,/,0.85,0.0833333333333333,1.0,0.44444444444444453,0.5138643067846604,0.2182648401826489,/,/,,,0.0
25,5f3ba61e3fd5b671b2200334,5f3ba61f3fd5b671b2201114,1,/,/,0.3636363636363636,0.0,/,0,/,/,/,/,,,0.0
26,5f3ba61e3fd5b671b2200334,5f3ba61f3fd5b671b2201138,1,/,/,0.375,0.0,/,0,/,/,/,/,,,0.0
27,5f3ba61e3fd5b671b2200334,5f3ba61f3fd5b671b2201156,1,/,/,0.3125,0.0,/,0,0.07659269863994256,0,/,/,,,0.0
28,5f3ba61e3fd5b671b22002ad,5f3ba61f3fd5b671b2201114,1,/,/,0.3636363636363636,0.0,/,/,/,/,/,/,,,0.0
29,5f3ba61e3fd5b671b22002ad,5f3ba61f3fd5b671b2201138,1,/,/,0.375,0.0,/,/,/,/,/,/,,,0.0
30,5f3ba61e3fd5b671b22002ad,5f3ba61f3fd5b671b2201156,1,/,/,0.3125,0.0,/,/,0.07659269863994256,0,/,/,,,0.0
31,5f3ba61e3fd5b671b2200374,5f3ba61f3fd5b671b2201114,1,/,/,0.3636363636363636,0.0,/,0.8924731182795698,/,/,/,/,,,0.0
