,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61e3fd5b671b220024a,5f3ba61f3fd5b671b2200f8d,1,/,/,0.4210526315789473,0.0,/,/,/,/,/,/,,,0.0
1,5f3ba61e3fd5b671b220024a,5f3ba61f3fd5b671b2200f3f,1,/,/,0.6285714285714286,1.0,/,/,/,/,/,/,174,174,1.0
2,5f3ba61e3fd5b671b220035b,5f3ba61f3fd5b671b2200f8d,1,/,/,0.5714285714285714,0.0,/,/,/,/,/,/,,,0.0
3,5f3ba61e3fd5b671b220035b,5f3ba61f3fd5b671b2200f3f,1,/,/,0.64,0.0,/,/,/,/,/,/,,,0.0
4,5f3ba61e3fd5b671b220025e,5f3ba61f3fd5b671b2200d75,1,/,/,0.5517241379310345,0.3333333333333333,/,/,/,/,/,/,,,0.0
5,5f3ba61e3fd5b671b220025e,5f3ba61f3fd5b671b2200fb2,1,/,/,1.0,1.0,/,/,/,/,/,/,122,122,1.0
6,5f3ba61e3fd5b671b220025e,5f3ba61f3fd5b671b2200f24,1,/,/,0.8333333333333334,0.3333333333333333,/,/,/,/,/,/,,,0.0
7,5f3ba61e3fd5b671b2200297,5f3ba61f3fd5b671b2200f46,1,/,/,0.6666666666666666,1.0,/,/,/,/,/,/,187,187,1.0
8,5f3ba61e3fd5b671b220029e,5f3ba61f3fd5b671b2200f3e,1,/,/,0.4615384615384615,0.0,/,/,/,/,/,/,,,0.0
9,5f3ba61e3fd5b671b220029e,5f3ba61f3fd5b671b2200ed1,1,/,/,0.7619047619047619,1.0,/,/,/,/,/,/,8,8,1.0
10,5f3ba61e3fd5b671b220029e,5f3ba61f3fd5b671b2200efd,1,/,/,0.6,0.0,/,/,/,/,/,/,,,0.0
11,5f3ba61e3fd5b671b220029e,5f3ba61f3fd5b671b2200fa8,1,/,/,0.6,0.0,/,/,/,/,/,/,,,0.0
12,5f3ba61e3fd5b671b220037c,5f3ba61f3fd5b671b2200f3e,1,/,/,0.48,0.0,/,/,/,/,/,/,,,0.0
13,5f3ba61e3fd5b671b220037c,5f3ba61f3fd5b671b2200ed1,1,/,/,0.6,0.0,/,/,/,/,/,/,,,0.0
14,5f3ba61e3fd5b671b220037c,5f3ba61f3fd5b671b2200efd,1,/,/,0.7368421052631579,1.0,/,/,/,/,/,/,35,35,1.0
15,5f3ba61e3fd5b671b220037c,5f3ba61f3fd5b671b2200fa8,1,/,/,0.631578947368421,0.0,/,/,/,/,/,/,,,0.0
16,5f3ba61e3fd5b671b22002c4,5f3ba61f3fd5b671b2200f3e,1,/,/,0.48,0.0,/,/,/,/,/,/,,,0.0
17,5f3ba61e3fd5b671b22002c4,5f3ba61f3fd5b671b2200ed1,1,/,/,0.6,0.0,/,/,/,/,/,/,,,0.0
18,5f3ba61e3fd5b671b22002c4,5f3ba61f3fd5b671b2200efd,1,/,/,0.631578947368421,0.0,/,/,/,/,/,/,,,0.0
19,5f3ba61e3fd5b671b22002c4,5f3ba61f3fd5b671b2200fa8,1,/,/,0.7368421052631579,1.0,/,/,/,/,/,/,178,178,1.0
20,5f3ba61e3fd5b671b22002a7,5f3ba61f3fd5b671b2200d65,1,/,/,1.0,1.0,/,/,/,/,/,/,41,41,1.0
21,5f3ba61e3fd5b671b22002a7,5f3ba61f3fd5b671b2200f11,1,/,/,0.8260869565217391,0.1111111111111111,/,0.33333333333333337,/,/,/,/,,,0.0
22,5f3ba61e3fd5b671b220039f,5f3ba61f3fd5b671b2200d65,1,/,/,0.8260869565217391,0.1111111111111111,/,/,/,/,/,/,,,0.0
23,5f3ba61e3fd5b671b220039f,5f3ba61f3fd5b671b2200f11,1,/,/,0.8695652173913043,0.25,/,0,/,/,/,/,,,0.0
24,5f3ba61e3fd5b671b22002ab,5f3ba61f3fd5b671b22010c2,1,/,/,1.0,1.0,/,/,/,/,/,/,171,171,1.0
25,5f3ba61e3fd5b671b22002ab,5f3ba61f3fd5b671b220106a,1,/,/,0.7368421052631579,0.0,/,/,/,/,/,/,,,0.0
26,5f3ba61e3fd5b671b2200241,5f3ba61f3fd5b671b22010c2,1,/,/,0.7368421052631579,0.0,/,/,/,/,/,/,,,0.0
27,5f3ba61e3fd5b671b2200241,5f3ba61f3fd5b671b220106a,1,/,/,1.0,1.0,/,/,/,/,/,/,65,65,1.0
28,5f3ba61e3fd5b671b22002e8,5f3ba61f3fd5b671b2201006,1,/,/,1.0,1.0,/,/,/,/,/,/,77,77,1.0
29,5f3ba61e3fd5b671b22002fa,5f3ba61f3fd5b671b2200fba,1,/,/,1.0,1.0,/,/,/,/,/,/,118,118,1.0
30,5f3ba61e3fd5b671b22002fa,5f3ba61f3fd5b671b2200d79,1,/,/,0.8108108108108109,0.25,/,0,/,/,/,/,,,0.0
31,5f3ba61e3fd5b671b2200305,5f3ba61f3fd5b671b2200e4d,1,/,/,0.6486486486486487,1.0,/,/,/,/,/,/,203,203,1.0
32,5f3ba61e3fd5b671b22002f9,5f3ba61f3fd5b671b2200e4d,1,/,/,0.5,0.375,/,/,/,/,/,/,,,0.0
33,5f3ba61e3fd5b671b220030d,5f3ba61f3fd5b671b22010b8,/,/,/,0.5333333333333333,0.0,/,/,/,/,/,/,,,0.0
34,5f3ba61e3fd5b671b220030d,5f3ba61f3fd5b671b2200f66,/,/,/,0.5333333333333333,0.0,/,/,/,/,/,/,,,0.0
35,5f3ba61e3fd5b671b220030d,5f3ba61f3fd5b671b2200f50,/,/,/,1.0,0.125,/,/,/,/,/,/,,,0.0
36,5f3ba61e3fd5b671b220030d,5f3ba61f3fd5b671b22010c6,/,/,/,1.0,0.125,/,/,/,/,/,/,197,197,1.0
37,5f3ba61e3fd5b671b220030d,5f3ba61f3fd5b671b2200d36,/,/,/,0.6153846153846154,0.0,/,/,/,/,/,/,,,0.0
38,5f3ba61e3fd5b671b220030e,5f3ba61f3fd5b671b2200e8e,1,/,/,0.5806451612903226,0.5,/,/,/,/,/,/,,,0.0
39,5f3ba61e3fd5b671b2200375,5f3ba61f3fd5b671b2200e8e,1,/,/,1.0,1.0,/,/,/,/,/,/,83,83,1.0
40,5f3ba61e3fd5b671b220030f,5f3ba61f3fd5b671b2200f28,1,/,/,0.5555555555555556,0.1428571428571428,/,/,/,/,/,/,,,0.0
41,5f3ba61e3fd5b671b2200316,5f3ba61f3fd5b671b2200e8b,1,/,/,0.7878787878787878,1.0,/,/,/,/,/,/,85,85,1.0
42,5f3ba61e3fd5b671b2200316,5f3ba61f3fd5b671b2201002,1,/,/,0.5333333333333333,0.0,/,/,/,/,/,/,,,0.0
43,5f3ba61e3fd5b671b2200316,5f3ba61f3fd5b671b2200fe1,1,/,/,0.2222222222222222,0.0,/,/,/,/,/,/,,,0.0
44,5f3ba61e3fd5b671b220039b,5f3ba61f3fd5b671b2200e8b,1,/,/,0.625,0.0,/,/,/,/,/,/,,,0.0
45,5f3ba61e3fd5b671b220039b,5f3ba61f3fd5b671b2201002,1,/,/,0.5517241379310345,0.0,/,/,/,/,/,/,,,0.0
46,5f3ba61e3fd5b671b220039b,5f3ba61f3fd5b671b2200fe1,1,/,/,0.2727272727272727,0.0,/,/,/,/,/,/,,,0.0
47,5f3ba61e3fd5b671b2200333,5f3ba61f3fd5b671b2200f77,1,/,/,1.0,1.0,/,/,/,/,/,/,149,149,1.0
48,5f3ba61e3fd5b671b2200346,5f3ba61f3fd5b671b22010f6,1,/,/,1.0,1.0,/,/,/,/,/,/,135,135,1.0
49,5f3ba61e3fd5b671b220034f,5f3ba61f3fd5b671b2200e59,1,/,/,0.5625,0.0,/,/,/,/,/,/,,,0.0
50,5f3ba61e3fd5b671b220034f,5f3ba61f3fd5b671b2200de4,1,/,/,1.0,1.0,/,/,/,/,/,/,94,94,1.0
51,5f3ba61e3fd5b671b220034f,5f3ba61f3fd5b671b2201069,1,/,/,0.7692307692307693,0.0,/,/,/,/,/,/,,,0.0
52,5f3ba61e3fd5b671b220034f,5f3ba61f3fd5b671b22010a6,1,/,/,0.7692307692307693,0.0,/,/,/,/,/,/,,,0.0
53,5f3ba61e3fd5b671b220034f,5f3ba61f3fd5b671b2200e29,1,/,/,0.7692307692307693,0.0,/,/,/,/,/,/,,,0.0
54,5f3ba61e3fd5b671b220034f,5f3ba61f3fd5b671b2201056,1,/,/,0.7142857142857143,0.0,/,/,/,/,/,/,,,0.0
55,5f3ba61e3fd5b671b2200360,5f3ba61f3fd5b671b2200e59,1,/,/,0.5625,0.0,/,/,/,/,/,/,,,0.0
56,5f3ba61e3fd5b671b2200360,5f3ba61f3fd5b671b2200de4,1,/,/,0.7692307692307693,0.0,/,/,/,/,/,/,,,0.0
