,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61e3fd5b671b220024a,5f3ba61e3fd5b671b220022f,1,/,/,0.6285714285714286,1.0,/,1.0,0.9773323789071814,0.94750656167979,/,/,174,174,1.0
1,5f3ba61e3fd5b671b220024a,5f3ba61e3fd5b671b22001e0,1,/,/,0.6285714285714286,1.0,/,1.0,0.9773323789071814,0.94750656167979,/,/,174,174,1.0
2,5f3ba61e3fd5b671b220035b,5f3ba61e3fd5b671b220022f,1,/,/,0.64,0.0,/,0.16666666666666663,0.9465465465465462,0.9230769230769229,/,/,,,0.0
3,5f3ba61e3fd5b671b220035b,5f3ba61e3fd5b671b22001e0,1,/,/,0.64,0.0,/,0.16666666666666663,0.9465465465465462,0.9230769230769229,/,/,,,0.0
4,5f3ba61e3fd5b671b220025e,5f3ba61e3fd5b671b220020b,1,/,/,0.8571428571428571,0.1111111111111111,/,/,/,/,/,/,,,0.0
5,5f3ba61e3fd5b671b2200338,5f3ba61e3fd5b671b220020b,1,/,/,0.7222222222222222,0.1111111111111111,/,/,/,/,/,/,,,0.0
6,5f3ba61e3fd5b671b22002e8,5f3ba61e3fd5b671b22001fb,1,/,/,1.0,1.0,/,/,/,/,/,1.0,77,77,1.0
7,5f3ba61e3fd5b671b22002fa,5f3ba61e3fd5b671b22001f5,1,/,/,0.8333333333333334,0.1,/,/,/,/,/,/,,,0.0
8,5f3ba61e3fd5b671b22002fa,5f3ba61e3fd5b671b22001ee,1,/,/,0.8333333333333334,0.1,/,/,/,/,/,/,,,0.0
9,5f3ba61e3fd5b671b2200273,5f3ba61e3fd5b671b22001f5,1,/,/,0.8333333333333334,0.1,/,/,/,/,/,/,,,0.0
