,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61e3fd5b671b220024a,5f3ba6213fd5b671b2205493,1,/,/,0.4102564102564102,0.0,/,/,/,/,/,/,,,0.0
1,5f3ba61e3fd5b671b220024a,5f3ba6213fd5b671b220536c,1,/,/,0.85,1.0,/,/,/,/,/,/,174,174,1.0
2,5f3ba61e3fd5b671b220024a,5f3ba6213fd5b671b220534e,1,/,/,0.4210526315789473,0.0,/,/,0.7202185792349733,0.8570048309178743,/,/,,,0.0
3,5f3ba61e3fd5b671b220035b,5f3ba6213fd5b671b2205493,1,/,/,0.7586206896551724,1.0,/,/,/,/,/,/,214,214,1.0
4,5f3ba61e3fd5b671b220035b,5f3ba6213fd5b671b220536c,1,/,/,0.5333333333333333,0.0,/,/,/,/,/,/,,,0.0
5,5f3ba61e3fd5b671b220035b,5f3ba6213fd5b671b220534e,1,/,/,0.5714285714285714,0.0,/,/,0.6508196721311474,0.7342995169082123,/,/,,,0.0
6,5f3ba61e3fd5b671b220025e,5f3ba6213fd5b671b2205481,1,/,/,1.0,1.0,/,/,/,/,/,/,122,122,1.0
7,5f3ba61e3fd5b671b220025e,5f3ba6213fd5b671b22052ae,1,/,/,0.5517241379310345,0.3333333333333333,/,/,/,/,/,/,,,0.0
8,5f3ba61e3fd5b671b2200297,5f3ba6213fd5b671b22052fe,1,/,/,0.5263157894736842,0.8571428571428571,/,/,/,/,/,/,187,187,1.0
9,5f3ba61e3fd5b671b220029d,5f3ba6213fd5b671b2205472,1,/,/,1.0,1.0,/,/,/,/,/,/,22,22,1.0
10,5f3ba61e3fd5b671b220029e,5f3ba6213fd5b671b22052c8,1,/,/,0.6,0.0,/,/,/,/,/,/,,,0.0
11,5f3ba61e3fd5b671b220029e,5f3ba6213fd5b671b220549a,1,/,/,0.6,0.0,/,/,/,/,/,/,,,0.0
12,5f3ba61e3fd5b671b220037c,5f3ba6213fd5b671b22052c8,1,/,/,0.7368421052631579,1.0,/,/,0.9787526559180099,0.9978142076502735,/,/,35,35,1.0
13,5f3ba61e3fd5b671b220037c,5f3ba6213fd5b671b220549a,1,/,/,0.631578947368421,0.0,/,/,/,/,/,/,,,0.0
14,5f3ba61e3fd5b671b22002c4,5f3ba6213fd5b671b22052c8,1,/,/,0.631578947368421,0.0,/,/,0.8282032927702212,0.3350831146106735,/,/,,,0.0
15,5f3ba61e3fd5b671b22002c4,5f3ba6213fd5b671b220549a,1,/,/,0.7368421052631579,1.0,/,/,/,/,/,/,178,178,1.0
16,5f3ba61e3fd5b671b22002a7,5f3ba6213fd5b671b220534d,1,/,/,1.0,1.0,/,/,/,/,/,/,41,41,1.0
17,5f3ba61e3fd5b671b22002a7,5f3ba6213fd5b671b2205483,1,/,/,0.8260869565217391,0.1111111111111111,/,/,/,/,/,/,,,0.0
18,5f3ba61e3fd5b671b220039f,5f3ba6213fd5b671b220534d,1,/,/,0.8260869565217391,0.1111111111111111,/,/,/,/,/,/,,,0.0
19,5f3ba61e3fd5b671b220039f,5f3ba6213fd5b671b2205483,1,/,/,0.8695652173913043,0.25,/,/,/,/,/,/,,,0.0
20,5f3ba61e3fd5b671b22002ab,5f3ba6213fd5b671b22053a5,1,/,/,0.5,0.0,/,/,/,/,/,/,,,0.0
21,5f3ba61e3fd5b671b22002ab,5f3ba6213fd5b671b2205386,1,/,/,1.0,1.0,/,/,/,/,/,/,171,171,1.0
22,5f3ba61e3fd5b671b22002ab,5f3ba6213fd5b671b2205414,1,/,/,0.7368421052631579,0.0,/,/,0.9995833854101573,0.989839979679959,/,/,,,0.0
23,5f3ba61e3fd5b671b2200241,5f3ba6213fd5b671b22053a5,1,/,/,0.631578947368421,0.0,/,/,/,/,/,/,,,0.0
24,5f3ba61e3fd5b671b2200241,5f3ba6213fd5b671b2205386,1,/,/,0.7368421052631579,0.0,/,/,/,/,/,/,,,0.0
25,5f3ba61e3fd5b671b2200241,5f3ba6213fd5b671b2205414,1,/,/,1.0,1.0,/,/,0.9995833854101573,0.989839979679959,/,/,65,65,1.0
26,5f3ba61e3fd5b671b22002e8,5f3ba6213fd5b671b22053e7,1,/,/,1.0,1.0,/,/,/,/,/,/,77,77,1.0
27,5f3ba61e3fd5b671b22002fa,5f3ba6213fd5b671b22052ec,1,/,/,1.0,1.0,/,/,/,/,/,/,118,118,1.0
28,5f3ba61e3fd5b671b2200305,5f3ba6213fd5b671b220537a,1,/,/,0.8936170212765957,0.8571428571428571,/,/,/,/,/,/,203,203,1.0
29,5f3ba61e3fd5b671b22002f9,5f3ba6213fd5b671b220537a,1,/,/,0.782608695652174,0.3333333333333333,/,/,/,/,/,/,,,0.0
30,5f3ba61e3fd5b671b220030d,5f3ba6213fd5b671b22052bd,/,/,/,0.6153846153846154,1.0,/,/,/,/,/,/,,,0.0
31,5f3ba61e3fd5b671b220030e,5f3ba6213fd5b671b22052dd,1,/,/,0.5806451612903226,0.5,/,/,/,/,/,/,,,0.0
32,5f3ba61e3fd5b671b2200375,5f3ba6213fd5b671b22052dd,1,/,/,1.0,1.0,/,/,/,/,/,/,83,83,1.0
33,5f3ba61e3fd5b671b2200322,5f3ba6213fd5b671b22053b1,1,/,/,1.0,1.0,/,/,/,/,/,/,52,52,1.0
34,5f3ba61e3fd5b671b2200333,5f3ba6213fd5b671b2205401,1,/,/,1.0,1.0,/,/,/,/,/,/,149,149,1.0
35,5f3ba61e3fd5b671b2200340,5f3ba6213fd5b671b22053c0,1,/,/,1.0,1.0,/,/,/,/,/,/,9,9,1.0
36,5f3ba61e3fd5b671b2200346,5f3ba6213fd5b671b22053f3,1,/,/,1.0,1.0,/,/,/,/,/,/,135,135,1.0
37,5f3ba61e3fd5b671b220034f,5f3ba6213fd5b671b2205379,1,/,/,0.7692307692307693,0.0,/,/,/,/,/,/,,,0.0
38,5f3ba61e3fd5b671b220034f,5f3ba6213fd5b671b220545e,1,/,/,0.7692307692307693,0.0,/,/,/,/,/,/,,,0.0
39,5f3ba61e3fd5b671b220034f,5f3ba6213fd5b671b2205453,1,/,/,0.7142857142857143,0.0,/,/,0.4485714285714284,0.35121951219512226,/,/,,,0.0
40,5f3ba61e3fd5b671b220034f,5f3ba6213fd5b671b220540c,1,/,/,1.0,1.0,/,/,/,/,/,/,94,94,1.0
