,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61e3fd5b671b22006da,5f3ba6213fd5b671b2205292,1,/,/,1.0,1.0,/,/,/,/,/,1.0,208,208,1.0
1,5f3ba61e3fd5b671b22006dd,5f3ba6213fd5b671b2205285,1,/,/,1.0,1.0,/,/,/,/,/,1.0,83,83,1.0
2,5f3ba61e3fd5b671b220074d,5f3ba6213fd5b671b2205254,1,/,/,0.7058823529411765,0.1428571428571428,/,/,/,/,/,0.1,,,0.0
3,5f3ba61e3fd5b671b220069c,5f3ba6213fd5b671b2205254,1,/,/,0.5128205128205128,0.1428571428571428,/,/,/,/,/,0.0,,,0.0
4,5f3ba61e3fd5b671b22006c6,5f3ba6213fd5b671b2205252,1,/,/,0.9090909090909092,1.0,/,/,/,/,/,0.18181818181818182,217,217,1.0
5,5f3ba61e3fd5b671b22006b5,5f3ba6213fd5b671b2205252,1,/,/,0.6363636363636364,0.0,/,/,/,/,/,0.18181818181818182,,,0.0
6,5f3ba61e3fd5b671b22006ed,5f3ba6213fd5b671b2205252,1,/,/,0.4347826086956521,0.0,/,/,/,/,/,0.18181818181818182,,,0.0
7,5f3ba61e3fd5b671b22006f3,5f3ba6213fd5b671b22051eb,1,/,/,1.0,1.0,/,/,/,/,/,/,64,64,1.0
8,5f3ba61e3fd5b671b220072e,5f3ba6213fd5b671b22051ea,1,/,/,0.5161290322580645,0.0,/,/,/,/,/,0.17647058823529413,,,0.0
9,5f3ba61e3fd5b671b220072e,5f3ba6213fd5b671b2205200,1,/,/,0.5,0.0,/,/,/,/,/,0.17647058823529413,,,0.0
10,5f3ba61e3fd5b671b220072e,5f3ba6213fd5b671b2205226,1,/,/,0.5333333333333333,0.0,/,/,/,/,/,/,,,0.0
11,5f3ba61e3fd5b671b2200743,5f3ba6213fd5b671b220522f,1,/,/,1.0,1.0,/,/,/,/,/,1.0,72,72,1.0
