,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61e3fd5b671b220080f,5f3ba61e3fd5b671b22002bf,1,/,/,0.5454545454545454,0.25,/,0,/,/,/,0.1,,,0.0
1,5f3ba61e3fd5b671b220080f,5f3ba61e3fd5b671b22002ed,1,/,/,0.6363636363636364,1.0,/,1.0,/,/,/,0.375,186,186,1.0
2,5f3ba61f3fd5b671b2200b02,5f3ba61e3fd5b671b22002bf,1,/,/,0.631578947368421,0.25,0,0,/,/,/,/,,,0.0
3,5f3ba61f3fd5b671b2200b02,5f3ba61e3fd5b671b22002ed,1,/,/,0.631578947368421,0.25,0,0,/,/,/,/,,,0.0
4,5f3ba61e3fd5b671b2200917,5f3ba61e3fd5b671b22002bf,1,/,/,0.7659574468085106,0.2222222222222222,/,0,/,/,/,0.1,,,0.0
5,5f3ba61e3fd5b671b2200917,5f3ba61e3fd5b671b22002ed,1,/,/,0.8936170212765957,0.8333333333333334,/,1.0,/,/,/,0.375,,,0.0
6,5f3ba61e3fd5b671b2200817,5f3ba61e3fd5b671b2200271,1,/,/,0.4864864864864865,0.2,/,/,/,/,/,1.0,,,0.0
7,5f3ba61f3fd5b671b2200b26,5f3ba61e3fd5b671b2200271,1,/,/,0.5555555555555556,0.6666666666666666,/,/,/,/,/,/,,,0.0
8,5f3ba61f3fd5b671b2200a3b,5f3ba61e3fd5b671b2200271,1,/,/,0.3396226415094339,0.1666666666666666,/,/,/,/,/,/,,,0.0
9,5f3ba61f3fd5b671b2200a71,5f3ba61e3fd5b671b2200271,1,/,/,0.36,0.1666666666666666,/,/,/,/,/,/,,,0.0
10,5f3ba61f3fd5b671b2200a7f,5f3ba61e3fd5b671b2200271,1,/,/,0.4864864864864865,0.2,/,/,/,/,/,1.0,,,0.0
