,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61e3fd5b671b2200839,5f3ba61e3fd5b671b22004e7,1,/,/,0.5853658536585366,1.0,/,/,/,/,/,/,332,332,1.0
1,5f3ba61e3fd5b671b2200841,5f3ba61e3fd5b671b2200513,1,/,/,0.2083333333333333,0.0,/,/,/,/,/,/,,,0.0
2,5f3ba61f3fd5b671b22009eb,5f3ba61e3fd5b671b2200513,1,/,/,0.48,0.3333333333333333,/,/,/,/,/,/,98,98,1.0
3,5f3ba61e3fd5b671b22008f6,5f3ba61e3fd5b671b22004ff,1,/,/,0.4,0.1428571428571428,/,/,/,/,/,/,,,0.0
4,5f3ba61f3fd5b671b2200a69,5f3ba61e3fd5b671b220054a,1,/,/,0.5714285714285714,0.0,/,/,/,/,/,/,,,0.0
5,5f3ba61f3fd5b671b2200a92,5f3ba61e3fd5b671b220054a,1,/,/,0.6666666666666666,0.0,/,/,/,/,/,/,,,0.0
6,5f3ba61f3fd5b671b22009af,5f3ba61e3fd5b671b220054a,1,/,/,1.0,1.0,/,/,/,/,/,/,126,126,1.0
7,5f3ba61f3fd5b671b2200a96,5f3ba61e3fd5b671b220054a,1,/,/,0.5517241379310345,0.0,/,/,/,/,/,/,,,0.0
8,5f3ba61e3fd5b671b2200846,5f3ba61e3fd5b671b22004e4,1,/,/,0.6666666666666666,0.0,/,/,/,/,/,/,,,0.0
9,5f3ba61e3fd5b671b220086f,5f3ba61e3fd5b671b22004e4,1,/,/,0.6666666666666666,0.0,/,/,/,/,/,1.0,,,0.0
10,5f3ba61e3fd5b671b220085b,5f3ba61e3fd5b671b2200542,1,/,/,0.6521739130434783,0.25,/,/,/,/,/,/,,,0.0
11,5f3ba61f3fd5b671b2200a1e,5f3ba61e3fd5b671b220054c,1,/,/,0.8148148148148148,0.5,/,/,/,/,/,/,,,0.0
12,5f3ba61f3fd5b671b2200a1e,5f3ba61e3fd5b671b220050a,1,/,/,0.3703703703703703,0.0,/,/,/,/,/,/,,,0.0
13,5f3ba61e3fd5b671b220085d,5f3ba61e3fd5b671b220054c,1,/,/,1.0,1.0,/,/,/,/,/,/,125,125,1.0
14,5f3ba61e3fd5b671b220085d,5f3ba61e3fd5b671b220050a,1,/,/,0.3846153846153846,0.0,/,/,/,/,/,/,,,0.0
15,5f3ba61f3fd5b671b2200a3c,5f3ba61e3fd5b671b2200502,1,/,/,0.2413793103448276,0.125,/,/,/,/,/,/,,,0.0
16,5f3ba61e3fd5b671b22008bc,5f3ba61e3fd5b671b2200502,1,/,/,0.4242424242424242,0.5,/,/,/,/,/,/,195,195,1.0
