,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61e3fd5b671b2200805,5f3ba61f3fd5b671b2201ca7,1,0,0,0.4489795918367347,0.5,/,/,/,/,/,/,,,0.0
1,5f3ba61e3fd5b671b220080f,5f3ba6203fd5b671b22026fe,1,0,0,0.6363636363636364,0.4,/,1.0,/,/,/,/,186,186,1.0
2,5f3ba61e3fd5b671b220080f,5f3ba6203fd5b671b2202bee,1,0,0,0.3225806451612903,0,/,0,/,/,/,/,,,0.0
3,5f3ba61e3fd5b671b220080f,5f3ba6203fd5b671b2202f6f,1,0,0,0.5151515151515151,0,/,0,/,/,/,/,,,0.0
4,5f3ba61e3fd5b671b220080f,5f3ba6213fd5b671b220437e,1,/,0,0.4102564102564102,0.16666666666666666,/,0,/,/,/,/,,,0.0
5,5f3ba61e3fd5b671b220080f,5f3ba61f3fd5b671b2201594,1,0,0,0.5454545454545454,0.16666666666666666,/,0,/,/,/,/,,,0.0
6,5f3ba61f3fd5b671b2200b02,5f3ba6203fd5b671b22026fe,1,0,0,0.631578947368421,0.3333333333333333,/,0,/,/,/,/,,,0.0
7,5f3ba61f3fd5b671b2200b02,5f3ba6203fd5b671b2202bee,1,0,0,0.490566037735849,0,/,0,/,/,/,/,,,0.0
8,5f3ba61f3fd5b671b2200b02,5f3ba6203fd5b671b2202f6f,1,0,0,0.7017543859649122,0,/,0,/,/,/,/,,,0.0
9,5f3ba61f3fd5b671b2200b02,5f3ba6213fd5b671b220437e,1,/,0,0.463768115942029,0.3333333333333333,/,0,/,/,/,/,,,0.0
10,5f3ba61f3fd5b671b2200b02,5f3ba61f3fd5b671b2201594,1,0,0,0.7368421052631579,1.0,/,0,/,/,/,/,649,649,1.0
11,5f3ba61e3fd5b671b2200917,5f3ba6203fd5b671b22026fe,1,/,/,0.8936170212765957,0.3333333333333333,/,1.0,/,/,/,/,,,0.0
12,5f3ba61e3fd5b671b2200917,5f3ba6203fd5b671b2202bee,1,/,/,0.4651162790697674,0,/,0,/,/,/,/,,,0.0
13,5f3ba61e3fd5b671b2200917,5f3ba6203fd5b671b2202f6f,1,/,/,0.723404255319149,0,/,0,/,/,/,/,,,0.0
14,5f3ba61e3fd5b671b2200917,5f3ba6213fd5b671b220437e,1,/,/,0.5423728813559322,0.14285714285714285,/,0,/,/,/,/,,,0.0
15,5f3ba61e3fd5b671b2200917,5f3ba61f3fd5b671b2201594,1,/,/,0.7659574468085106,0.14285714285714285,/,0,/,/,/,/,,,0.0
16,5f3ba61e3fd5b671b2200817,5f3ba6203fd5b671b2202cb2,1,/,/,0.8837209302325582,0.25,/,0.33333333333333337,/,/,/,/,,,0.0
17,5f3ba61e3fd5b671b2200817,5f3ba61f3fd5b671b220162f,1,/,/,0.4090909090909091,0.2,/,/,/,/,/,/,,,0.0
18,5f3ba61e3fd5b671b2200817,5f3ba61f3fd5b671b2201680,1,/,/,1.0,1.0,/,1.0,/,/,/,/,375,375,1.0
19,5f3ba61e3fd5b671b2200817,5f3ba61f3fd5b671b2201a36,1,/,/,0.6530612244897959,0.25,/,1.0,/,/,/,/,,,0.0
20,5f3ba61e3fd5b671b2200817,5f3ba6203fd5b671b220269b,1,/,/,0.8181818181818182,0.2,/,0,/,/,/,/,,,0.0
21,5f3ba61e3fd5b671b2200817,5f3ba6203fd5b671b22033b0,1,/,/,0.8181818181818182,0.2,/,0,/,/,/,/,,,0.0
22,5f3ba61e3fd5b671b2200817,5f3ba6213fd5b671b220486b,1,/,/,0.8181818181818182,0.2,/,0,/,/,/,/,,,0.0
