,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61e3fd5b671b2200817,5f3ba6213fd5b671b2205098,1,/,/,0.7727272727272727,0.2,/,0,/,/,/,/,,,0.0
1,5f3ba61f3fd5b671b2200b26,5f3ba6213fd5b671b2205098,1,/,/,0.8837209302325582,0.6666666666666666,/,/,/,/,/,/,,,0.0
2,5f3ba61f3fd5b671b2200a3b,5f3ba6213fd5b671b2205098,1,/,/,0.3,0.16666666666666666,/,0,/,/,/,/,,,0.0
3,5f3ba61f3fd5b671b2200a71,5f3ba6213fd5b671b2205098,1,/,/,0.5614035087719298,0.16666666666666666,/,0,/,/,/,/,,,0.0
4,5f3ba61f3fd5b671b2200a35,5f3ba6213fd5b671b2205098,1,/,/,0.3673469387755102,0.2,/,0,/,/,/,/,,,0.0
5,5f3ba61e3fd5b671b2200825,5f3ba6213fd5b671b22050e2,1,/,/,1.0,1,/,/,/,/,/,/,65,65,1.0
6,5f3ba61e3fd5b671b2200825,5f3ba6213fd5b671b220501d,1,/,/,0.7368421052631579,0,/,/,/,/,/,/,,,0.0
7,5f3ba61e3fd5b671b2200833,5f3ba6213fd5b671b2205056,1,/,/,0.5517241379310345,0.16666666666666666,/,/,/,/,/,/,,,0.0
8,5f3ba61e3fd5b671b2200841,5f3ba6213fd5b671b2205044,1,/,/,0.2040816326530612,0,/,/,/,/,/,/,,,0.0
9,5f3ba61f3fd5b671b22009eb,5f3ba6213fd5b671b2205044,1,/,/,1.0,1.0,/,/,/,/,/,/,98,98,1.0
10,5f3ba61e3fd5b671b2200889,5f3ba6213fd5b671b22050ee,1,/,/,0.2666666666666666,0,/,/,/,/,/,/,,,0.0
11,5f3ba61f3fd5b671b2200a21,5f3ba6213fd5b671b22050ee,1,/,/,0.3703703703703703,0.2,/,/,/,/,/,/,263,263,1.0
12,5f3ba61e3fd5b671b22008b8,5f3ba6213fd5b671b22050af,1,/,/,0.1917808219178082,0.16666666666666666,/,/,/,/,/,/,,,0.0
13,5f3ba61e3fd5b671b220087b,5f3ba6213fd5b671b22050af,1,/,/,0.3333333333333333,0.3333333333333333,/,/,/,/,/,/,,,0.0
14,5f3ba61e3fd5b671b2200942,5f3ba6213fd5b671b2205077,1,/,/,0.723404255319149,0,/,/,/,/,/,/,,,0.0
15,5f3ba61e3fd5b671b2200942,5f3ba6213fd5b671b2205110,1,/,/,0.723404255319149,0.125,1.0,0,/,/,/,/,,,0.0
16,5f3ba61e3fd5b671b220080d,5f3ba6213fd5b671b2205077,1,/,/,0.8636363636363636,0,/,/,/,/,/,/,,,0.0
17,5f3ba61e3fd5b671b220080d,5f3ba6213fd5b671b2205110,1,/,/,0.8181818181818182,0.14285714285714285,1.0,0,/,/,/,/,,,0.0
18,5f3ba61e3fd5b671b220084d,5f3ba6213fd5b671b2205077,1,/,/,0.7346938775510204,0,/,/,/,/,/,/,,,0.0
19,5f3ba61e3fd5b671b220084d,5f3ba6213fd5b671b2205110,1,/,/,0.7346938775510204,0.125,0,0,/,/,/,/,,,0.0
20,5f3ba61e3fd5b671b2200922,5f3ba6213fd5b671b2205077,1,/,/,0.44,0,/,/,/,/,/,/,,,0.0
21,5f3ba61e3fd5b671b2200922,5f3ba6213fd5b671b2205110,1,/,/,0.44,0.125,/,0.014084507042253724,/,/,/,/,,,0.0
22,5f3ba61f3fd5b671b2200a6f,5f3ba6213fd5b671b2205077,1,/,/,0.6274509803921569,0,/,/,/,/,/,/,,,0.0
23,5f3ba61f3fd5b671b2200a6f,5f3ba6213fd5b671b2205110,1,/,/,0.7843137254901961,1.0,/,0.9530516431924885,/,/,/,/,69,69,1.0
24,5f3ba61f3fd5b671b2200b3b,5f3ba6213fd5b671b2205077,1,/,/,0.6071428571428571,0,/,/,/,/,/,/,,,0.0
25,5f3ba61f3fd5b671b2200b3b,5f3ba6213fd5b671b2205110,1,/,/,0.6071428571428571,0.14285714285714285,/,0.033333333333333215,/,/,/,/,,,0.0
26,5f3ba61f3fd5b671b2200a80,5f3ba6213fd5b671b2205077,1,/,/,0.723404255319149,0,/,/,/,/,/,/,,,0.0
27,5f3ba61f3fd5b671b2200a80,5f3ba6213fd5b671b2205110,1,/,/,0.723404255319149,0.14285714285714285,1.0,0,/,/,/,/,,,0.0
28,5f3ba61f3fd5b671b22009a7,5f3ba6213fd5b671b2204fa3,1,/,/,0.4615384615384615,0,/,0,/,/,/,/,,,0.0
29,5f3ba61f3fd5b671b2200971,5f3ba6213fd5b671b2204fa3,1,/,/,0.45,0,/,/,/,/,/,/,,,0.0
30,5f3ba61e3fd5b671b2200904,5f3ba6213fd5b671b2204fa3,1,/,/,0.45,0,0,0,/,/,/,/,,,0.0
