,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61e3fd5b671b220080f,5f3ba61f3fd5b671b2200f37,1,0,0,0.6363636363636364,1.0,/,/,/,/,/,/,186,186,1.0
1,5f3ba61e3fd5b671b220080f,5f3ba61f3fd5b671b2200f0a,1,0,0,0.6363636363636364,1.0,/,/,/,/,/,/,186,186,1.0
2,5f3ba61e3fd5b671b220080f,5f3ba61f3fd5b671b220101c,1,0,0,0.5151515151515151,0.1111111111111111,/,0,/,/,/,/,,,0.0
3,5f3ba61f3fd5b671b2200b02,5f3ba61f3fd5b671b2200f37,1,0,0,0.631578947368421,0.25,/,/,/,/,/,/,,,0.0
4,5f3ba61f3fd5b671b2200b02,5f3ba61f3fd5b671b2200f0a,1,0,0,0.631578947368421,0.25,/,/,/,/,/,/,,,0.0
5,5f3ba61f3fd5b671b2200b02,5f3ba61f3fd5b671b220101c,1,0,0,0.7017543859649122,0.25,/,0,/,/,/,/,,,0.0
6,5f3ba61e3fd5b671b2200917,5f3ba61f3fd5b671b2200f37,1,/,/,0.8936170212765957,0.8333333333333334,/,/,/,/,/,/,,,0.0
7,5f3ba61e3fd5b671b2200917,5f3ba61f3fd5b671b2200f0a,1,/,/,0.8936170212765957,0.8333333333333334,/,/,/,/,/,/,,,0.0
8,5f3ba61e3fd5b671b2200917,5f3ba61f3fd5b671b220101c,1,/,/,0.723404255319149,0.1,/,0,/,/,/,/,,,0.0
9,5f3ba61e3fd5b671b2200817,5f3ba61f3fd5b671b2200eff,1,/,/,0.4864864864864865,0.2,/,/,/,/,/,/,,,0.0
10,5f3ba61e3fd5b671b2200817,5f3ba61f3fd5b671b2200dcc,1,/,/,0.6111111111111112,0.25,/,/,/,/,/,/,,,0.0
11,5f3ba61e3fd5b671b2200817,5f3ba61f3fd5b671b2200f59,1,/,/,0.6111111111111112,0.25,/,/,/,/,/,/,,,0.0
12,5f3ba61e3fd5b671b2200817,5f3ba61f3fd5b671b2200e78,1,/,/,0.6111111111111112,0.25,/,/,/,/,/,/,,,0.0
13,5f3ba61e3fd5b671b2200817,5f3ba61f3fd5b671b2200f0d,1,/,/,0.6111111111111112,0.25,/,/,/,/,/,/,,,0.0
14,5f3ba61e3fd5b671b2200817,5f3ba61f3fd5b671b2201014,1,/,/,0.6111111111111112,0.25,/,/,/,/,/,/,,,0.0
15,5f3ba61f3fd5b671b2200b26,5f3ba61f3fd5b671b2200eff,1,/,/,0.5555555555555556,0.6666666666666666,/,/,/,/,/,/,,,0.0
16,5f3ba61f3fd5b671b2200b26,5f3ba61f3fd5b671b2200dcc,1,/,/,0.6857142857142857,1.0,/,/,/,/,/,/,330,330,1.0
17,5f3ba61f3fd5b671b2200b26,5f3ba61f3fd5b671b2200f59,1,/,/,0.6857142857142857,1.0,/,/,/,/,/,/,330,330,1.0
18,5f3ba61f3fd5b671b2200b26,5f3ba61f3fd5b671b2200e78,1,/,/,0.6857142857142857,1.0,/,/,/,/,/,/,330,330,1.0
19,5f3ba61f3fd5b671b2200b26,5f3ba61f3fd5b671b2200f0d,1,/,/,0.6857142857142857,1.0,/,/,/,/,/,/,330,330,1.0
20,5f3ba61f3fd5b671b2200b26,5f3ba61f3fd5b671b2201014,1,/,/,0.6857142857142857,1.0,/,/,/,/,/,/,330,330,1.0
21,5f3ba61f3fd5b671b2200a3b,5f3ba61f3fd5b671b2200eff,1,/,0,0.3396226415094339,0.16666666666666666,/,/,/,/,/,/,,,0.0
22,5f3ba61f3fd5b671b2200a3b,5f3ba61f3fd5b671b2200dcc,1,/,0,0.3461538461538461,0.2,/,/,/,/,/,/,,,0.0
