,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61e3fd5b671b220080f,5f3ba6223fd5b671b22055a3,1,/,/,0.5151515151515151,0.0,/,0.33333333333333337,/,/,/,/,,,0.0
1,5f3ba61e3fd5b671b220080f,5f3ba6223fd5b671b22055a9,1,/,/,0.5151515151515151,0.0,/,0,/,/,/,0.1,,,0.0
2,5f3ba61f3fd5b671b2200b02,5f3ba6223fd5b671b22055a3,1,/,/,0.5964912280701754,0.0,0,0,/,/,/,/,,,0.0
3,5f3ba61f3fd5b671b2200b02,5f3ba6223fd5b671b22055a9,1,/,/,0.7017543859649122,0.0,0,0,/,/,/,/,,,0.0
4,5f3ba61e3fd5b671b2200917,5f3ba6223fd5b671b22055a3,1,/,/,0.723404255319149,0.0,/,0.33333333333333337,/,/,/,/,,,0.0
5,5f3ba61e3fd5b671b2200917,5f3ba6223fd5b671b22055a9,1,/,/,0.723404255319149,0.0,/,0,/,/,/,0.1,,,0.0
6,5f3ba61e3fd5b671b2200817,5f3ba6213fd5b671b22054b8,1,/,/,0.4864864864864865,0.2,/,/,/,/,/,0.09523809523809523,,,0.0
7,5f3ba61e3fd5b671b2200817,5f3ba6213fd5b671b220555d,1,/,/,0.8181818181818182,0.2,/,0,/,/,/,/,,,0.0
8,5f3ba61e3fd5b671b2200817,5f3ba6223fd5b671b2205588,1,/,/,0.8837209302325582,0.25,/,0,/,/,/,1.0,,,0.0
9,5f3ba61f3fd5b671b2200b26,5f3ba6213fd5b671b22054b8,1,/,/,0.5555555555555556,0.6666666666666666,/,/,/,/,/,/,,,0.0
10,5f3ba61f3fd5b671b2200b26,5f3ba6213fd5b671b220555d,1,/,/,0.8372093023255814,0.25,/,/,/,/,/,/,,,0.0
11,5f3ba61f3fd5b671b2200b26,5f3ba6223fd5b671b2205588,1,/,/,1.0,1.0,/,/,/,/,/,/,330,330,1.0
12,5f3ba61f3fd5b671b2200a3b,5f3ba6213fd5b671b22054b8,1,/,/,0.3396226415094339,0.1666666666666666,/,/,/,/,/,/,,,0.0
13,5f3ba61f3fd5b671b2200a3b,5f3ba6213fd5b671b220555d,1,/,/,0.3333333333333333,0.4,/,0,/,/,/,/,,,0.0
14,5f3ba61f3fd5b671b2200a3b,5f3ba6223fd5b671b2205588,1,/,/,0.3050847457627119,0.2,/,0,/,/,/,/,,,0.0
15,5f3ba61f3fd5b671b2200a71,5f3ba6213fd5b671b22054b8,1,/,/,0.36,0.1666666666666666,/,/,/,/,/,/,,,0.0
16,5f3ba61f3fd5b671b2200a71,5f3ba6213fd5b671b220555d,1,/,/,0.5614035087719298,0.1666666666666666,0,0,/,/,/,/,,,0.0
17,5f3ba61f3fd5b671b2200a71,5f3ba6223fd5b671b2205588,1,/,/,0.5714285714285714,0.2,/,0,/,/,/,/,,,0.0
