,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61e3fd5b671b2200817,5f3ba61e3fd5b671b2200125,1,/,/,0.303030303030303,0.2,/,/,/,/,/,1.0,,,0.0
1,5f3ba61e3fd5b671b2200817,5f3ba61e3fd5b671b2200102,1,/,/,0.65,0.2,/,/,/,/,/,1.0,,,0.0
2,5f3ba61e3fd5b671b2200817,5f3ba61e3fd5b671b2200104,1,/,/,0.65,0.2,/,/,/,/,/,1.0,,,0.0
3,5f3ba61e3fd5b671b2200817,5f3ba61e3fd5b671b22000d3,1,/,/,0.303030303030303,0.2,/,/,/,/,/,1.0,,,0.0
4,5f3ba61f3fd5b671b2200b26,5f3ba61e3fd5b671b2200125,1,/,/,0.375,0.6666666666666666,/,/,/,/,/,/,,,0.0
5,5f3ba61f3fd5b671b2200b26,5f3ba61e3fd5b671b2200102,1,/,/,0.7692307692307693,0.6666666666666666,/,/,/,/,/,/,,,0.0
6,5f3ba61f3fd5b671b2200b26,5f3ba61e3fd5b671b2200104,1,/,/,0.7692307692307693,0.6666666666666666,/,/,/,/,/,/,,,0.0
7,5f3ba61f3fd5b671b2200b26,5f3ba61e3fd5b671b22000d3,1,/,/,0.375,0.6666666666666666,/,/,/,/,/,/,,,0.0
8,5f3ba61f3fd5b671b2200a3b,5f3ba61e3fd5b671b2200125,1,/,/,0.2040816326530612,0.1666666666666666,/,/,/,/,/,/,,,0.0
9,5f3ba61f3fd5b671b2200a3b,5f3ba61e3fd5b671b2200102,1,/,/,0.25,0.1666666666666666,/,/,/,/,/,/,,,0.0
10,5f3ba61f3fd5b671b2200a3b,5f3ba61e3fd5b671b2200104,1,/,/,0.25,0.1666666666666666,/,/,/,/,/,/,,,0.0
11,5f3ba61f3fd5b671b2200a3b,5f3ba61e3fd5b671b22000d3,1,/,/,0.2040816326530612,0.1666666666666666,/,/,/,/,/,/,,,0.0
12,5f3ba61f3fd5b671b2200a71,5f3ba61e3fd5b671b2200125,1,/,/,0.217391304347826,0.1666666666666666,/,/,/,/,/,/,,,0.0
13,5f3ba61f3fd5b671b2200a71,5f3ba61e3fd5b671b2200102,1,/,/,0.4528301886792453,0.1666666666666666,/,/,/,/,/,/,,,0.0
14,5f3ba61f3fd5b671b2200a71,5f3ba61e3fd5b671b2200104,1,/,/,0.4528301886792453,0.1666666666666666,/,/,/,/,/,/,,,0.0
15,5f3ba61f3fd5b671b2200a71,5f3ba61e3fd5b671b22000d3,1,/,/,0.217391304347826,0.1666666666666666,/,/,/,/,/,/,,,0.0
16,5f3ba61f3fd5b671b2200a7f,5f3ba61e3fd5b671b2200125,1,/,/,0.303030303030303,0.2,/,/,/,/,/,1.0,,,0.0
17,5f3ba61f3fd5b671b2200a7f,5f3ba61e3fd5b671b2200102,1,/,/,0.65,0.2,/,/,/,/,/,1.0,,,0.0
