,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61f3fd5b671b2200b41,5f3ba61e3fd5b671b2200487,/,/,/,0.6511627906976745,0.0,/,0,/,/,/,/,,,0.0
1,5f3ba61f3fd5b671b2200b41,5f3ba61e3fd5b671b2200460,/,/,/,0.6666666666666666,0.0,/,0,/,/,/,/,,,0.0
2,5f3ba61f3fd5b671b2200b41,5f3ba61e3fd5b671b2200486,/,/,/,0.8372093023255814,0.4,/,1.0,/,/,/,/,41,41,1.0
3,5f3ba61f3fd5b671b2200b41,5f3ba61e3fd5b671b2200494,/,/,/,0.6818181818181818,0.0,/,0.33333333333333337,/,/,/,/,,,0.0
4,5f3ba61f3fd5b671b2200b41,5f3ba61e3fd5b671b22004d2,/,/,/,0.6818181818181818,0.0,/,0,/,/,/,/,,,0.0
5,5f3ba61f3fd5b671b2200b41,5f3ba61e3fd5b671b220048e,/,/,/,0.6511627906976745,0.0,/,0,/,/,/,/,,,0.0
6,5f3ba61f3fd5b671b2200b41,5f3ba61e3fd5b671b22004a0,/,/,/,0.6511627906976745,0.0,/,0,/,/,/,/,,,0.0
7,5f3ba61f3fd5b671b2200b41,5f3ba61e3fd5b671b22004cf,/,/,/,0.6976744186046512,0.0,/,0.04761904761904767,/,/,/,/,,,0.0
8,5f3ba61f3fd5b671b2200b41,5f3ba61e3fd5b671b22004d4,/,/,/,0.6666666666666666,0.0,/,0,/,/,/,/,,,0.0
9,5f3ba61f3fd5b671b2200b41,5f3ba61e3fd5b671b220046d,/,/,/,0.6666666666666666,0.0,/,0,/,/,/,/,,,0.0
10,5f3ba61f3fd5b671b2200b41,5f3ba61e3fd5b671b22004ab,/,/,/,0.6666666666666666,0.0,/,0,/,/,/,/,,,0.0
11,5f3ba61f3fd5b671b2200b41,5f3ba61e3fd5b671b220049a,/,/,/,0.7555555555555555,0.125,/,0,/,/,/,/,,,0.0
12,5f3ba61f3fd5b671b2200b41,5f3ba61e3fd5b671b22004d9,/,/,/,0.6511627906976745,0.0,/,0,/,/,/,/,,,0.0
13,5f3ba61f3fd5b671b2200b41,5f3ba61e3fd5b671b22004db,/,/,/,0.6666666666666666,0.0,/,0,/,/,/,/,,,0.0
14,5f3ba61f3fd5b671b2200b41,5f3ba61e3fd5b671b220045b,/,/,/,0.6818181818181818,0.0,/,0,/,/,/,/,,,0.0
15,5f3ba61f3fd5b671b2200b41,5f3ba61e3fd5b671b22004bb,/,/,/,0.6511627906976745,0.0,/,0,/,/,/,/,,,0.0
16,5f3ba61f3fd5b671b2200b41,5f3ba61e3fd5b671b2200471,/,/,/,0.6666666666666666,0.0,/,0,/,/,/,/,,,0.0
17,5f3ba61f3fd5b671b2200b41,5f3ba61e3fd5b671b220047a,/,/,/,0.6511627906976745,0.0,/,0,/,/,/,/,,,0.0
18,5f3ba61f3fd5b671b2200b89,5f3ba61e3fd5b671b2200487,/,/,/,0.6666666666666666,0.0,/,/,/,/,/,/,,,0.0
19,5f3ba61f3fd5b671b2200b89,5f3ba61e3fd5b671b2200460,/,/,/,0.6829268292682927,0.0,/,/,/,/,/,/,,,0.0
20,5f3ba61f3fd5b671b2200b89,5f3ba61e3fd5b671b2200486,/,/,/,0.6666666666666666,0.0,/,/,/,/,/,/,,,0.0
21,5f3ba61f3fd5b671b2200b89,5f3ba61e3fd5b671b2200494,/,/,/,0.6511627906976745,0.0,/,/,/,/,/,/,,,0.0
22,5f3ba61f3fd5b671b2200b89,5f3ba61e3fd5b671b22004d2,/,/,/,0.6511627906976745,0.0,/,/,/,/,/,/,,,0.0
23,5f3ba61f3fd5b671b2200b89,5f3ba61e3fd5b671b220048e,/,/,/,0.6666666666666666,0.0,/,/,/,/,/,/,,,0.0
24,5f3ba61f3fd5b671b2200b89,5f3ba61e3fd5b671b22004a0,/,/,/,0.6666666666666666,0.0,/,/,/,/,/,/,,,0.0
25,5f3ba61f3fd5b671b2200b89,5f3ba61e3fd5b671b22004cf,/,/,/,0.6666666666666666,0.0,/,/,/,/,/,/,,,0.0
26,5f3ba61f3fd5b671b2200b89,5f3ba61e3fd5b671b22004d4,/,/,/,0.6829268292682927,0.0,/,/,/,/,/,/,,,0.0
27,5f3ba61f3fd5b671b2200b89,5f3ba61e3fd5b671b220046d,/,/,/,0.6363636363636364,0.0,/,/,/,/,/,/,,,0.0
28,5f3ba61f3fd5b671b2200b89,5f3ba61e3fd5b671b22004ab,/,/,/,0.7804878048780488,0.0,/,/,/,/,/,/,,,0.0
29,5f3ba61f3fd5b671b2200b89,5f3ba61e3fd5b671b220049a,/,/,/,0.7727272727272727,0.1428571428571428,/,/,/,/,/,/,,,0.0
30,5f3ba61f3fd5b671b2200b89,5f3ba61e3fd5b671b22004d9,/,/,/,0.6666666666666666,0.0,/,/,/,/,/,/,,,0.0
31,5f3ba61f3fd5b671b2200b89,5f3ba61e3fd5b671b22004db,/,/,/,0.6829268292682927,0.0,/,/,/,/,/,/,,,0.0
32,5f3ba61f3fd5b671b2200b89,5f3ba61e3fd5b671b220045b,/,/,/,0.6511627906976745,0.0,/,/,/,/,/,/,,,0.0
33,5f3ba61f3fd5b671b2200b89,5f3ba61e3fd5b671b22004bb,/,/,/,0.6666666666666666,0.0,/,/,/,/,/,/,,,0.0
34,5f3ba61f3fd5b671b2200b89,5f3ba61e3fd5b671b2200471,/,/,/,0.6829268292682927,0.0,/,/,/,/,/,/,,,0.0
35,5f3ba61f3fd5b671b2200b89,5f3ba61e3fd5b671b220047a,/,/,/,0.6666666666666666,0.0,/,/,/,/,/,/,,,0.0
36,5f3ba61f3fd5b671b2200bb2,5f3ba61e3fd5b671b2200487,/,/,/,0.6363636363636364,0.0,/,0,/,/,/,/,,,0.0
37,5f3ba61f3fd5b671b2200bb2,5f3ba61e3fd5b671b2200460,/,/,/,0.6511627906976745,0.0,/,0,/,/,/,/,,,0.0
38,5f3ba61f3fd5b671b2200bb2,5f3ba61e3fd5b671b2200486,/,/,/,0.6818181818181818,0.0,/,0,/,/,/,/,,,0.0
39,5f3ba61f3fd5b671b2200bb2,5f3ba61e3fd5b671b2200494,/,/,/,0.7111111111111111,0.0,/,0,/,/,/,/,,,0.0
40,5f3ba61f3fd5b671b2200bb2,5f3ba61e3fd5b671b22004d2,/,/,/,0.8444444444444444,0.5,/,1.0,/,/,/,/,665,665,1.0
41,5f3ba61f3fd5b671b2200bb2,5f3ba61e3fd5b671b220048e,/,/,/,0.6363636363636364,0.0,/,0,/,/,/,/,,,0.0
42,5f3ba61f3fd5b671b2200bb2,5f3ba61e3fd5b671b22004a0,/,/,/,0.6363636363636364,0.0,/,0,/,/,/,/,,,0.0
43,5f3ba61f3fd5b671b2200bb2,5f3ba61e3fd5b671b22004cf,/,/,/,0.6818181818181818,0.0,/,0,/,/,/,/,,,0.0
44,5f3ba61f3fd5b671b2200bb2,5f3ba61e3fd5b671b22004d4,/,/,/,0.6511627906976745,0.0,/,0,/,/,/,/,,,0.0
45,5f3ba61f3fd5b671b2200bb2,5f3ba61e3fd5b671b220046d,/,/,/,0.7391304347826086,0.1111111111111111,/,0,/,/,/,/,,,0.0
46,5f3ba61f3fd5b671b2200bb2,5f3ba61e3fd5b671b22004ab,/,/,/,0.6511627906976745,0.0,/,0.38596491228070196,/,/,/,/,,,0.0
47,5f3ba61f3fd5b671b2200bb2,5f3ba61e3fd5b671b220049a,/,/,/,0.782608695652174,0.25,/,0,/,/,/,/,,,0.0
48,5f3ba61f3fd5b671b2200bb2,5f3ba61e3fd5b671b22004d9,/,/,/,0.6363636363636364,0.0,/,0,/,/,/,/,,,0.0
49,5f3ba61f3fd5b671b2200bb2,5f3ba61e3fd5b671b22004db,/,/,/,0.6511627906976745,0.0,/,0,/,/,/,/,,,0.0
50,5f3ba61f3fd5b671b2200bb2,5f3ba61e3fd5b671b220045b,/,/,/,0.8444444444444444,0.5,/,1.0,/,/,/,/,665,665,1.0
51,5f3ba61f3fd5b671b2200bb2,5f3ba61e3fd5b671b22004bb,/,/,/,0.6363636363636364,0.0,/,0,/,/,/,/,,,0.0
52,5f3ba61f3fd5b671b2200bb2,5f3ba61e3fd5b671b2200471,/,/,/,0.6511627906976745,0.0,/,0,/,/,/,/,,,0.0
53,5f3ba61f3fd5b671b2200bb2,5f3ba61e3fd5b671b220047a,/,/,/,0.6363636363636364,0.0,/,0.2500000000000001,/,/,/,/,,,0.0
54,5f3ba61f3fd5b671b2200ba9,5f3ba61e3fd5b671b2200487,/,/,/,0.6666666666666666,0.0,/,/,/,/,/,/,,,0.0
55,5f3ba61f3fd5b671b2200ba9,5f3ba61e3fd5b671b2200460,/,/,/,0.6829268292682927,0.0,/,/,/,/,/,/,,,0.0
