,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61e3fd5b671b22004fe,5f3ba61e3fd5b671b22001a6,1,/,/,0.631578947368421,0.0,/,/,/,/,/,1.0,,,0.0
1,5f3ba61e3fd5b671b22004fe,5f3ba61e3fd5b671b22001d5,1,/,/,0.631578947368421,0.0,/,/,/,/,/,1.0,,,0.0
2,5f3ba61e3fd5b671b220053e,5f3ba61e3fd5b671b22001a6,1,/,/,0.631578947368421,0.0,/,/,/,/,/,1.0,,,0.0
3,5f3ba61e3fd5b671b220053e,5f3ba61e3fd5b671b22001d5,1,/,/,0.631578947368421,0.0,/,/,/,/,/,1.0,,,0.0
4,5f3ba61e3fd5b671b2200546,5f3ba61e3fd5b671b22001a6,1,/,/,0.631578947368421,0.0,/,/,/,/,/,1.0,,,0.0
5,5f3ba61e3fd5b671b2200546,5f3ba61e3fd5b671b22001d5,1,/,/,0.631578947368421,0.0,/,/,/,/,/,1.0,,,0.0
6,5f3ba61e3fd5b671b2200539,5f3ba61e3fd5b671b22001a6,1,/,/,0.631578947368421,0.0,/,/,/,/,/,1.0,,,0.0
7,5f3ba61e3fd5b671b2200539,5f3ba61e3fd5b671b22001d5,1,/,/,0.631578947368421,0.0,/,/,/,/,/,1.0,,,0.0
8,5f3ba61e3fd5b671b220051a,5f3ba61e3fd5b671b22001a6,1,/,/,0.631578947368421,0.0,/,/,/,/,/,1.0,,,0.0
9,5f3ba61e3fd5b671b220051a,5f3ba61e3fd5b671b22001d5,1,/,/,0.631578947368421,0.0,/,/,/,/,/,1.0,,,0.0
10,5f3ba61e3fd5b671b2200523,5f3ba61e3fd5b671b22001c2,1,/,/,1.0,1.0,/,/,/,/,/,/,662,662,1.0
11,5f3ba61e3fd5b671b22004ed,5f3ba61e3fd5b671b22001c2,1,/,/,1.0,1.0,/,/,/,/,/,/,662,662,1.0
12,5f3ba61e3fd5b671b2200522,5f3ba61e3fd5b671b22001c2,1,/,/,1.0,1.0,/,/,/,/,/,/,662,662,1.0
13,5f3ba61e3fd5b671b2200527,5f3ba61e3fd5b671b220015b,1,/,/,1.0,1.0,/,/,/,/,1.0,1.0,675,675,1.0
14,5f3ba61e3fd5b671b2200527,5f3ba61e3fd5b671b22001a3,1,/,/,0.782608695652174,0.6666666666666666,/,/,/,/,1.0,1.0,,,0.0
15,5f3ba61e3fd5b671b2200537,5f3ba61e3fd5b671b22001c0,1,/,/,1.0,1.0,/,/,/,/,/,/,196,196,1.0
16,5f3ba61e3fd5b671b2200537,5f3ba61e3fd5b671b2200190,1,/,/,1.0,1.0,/,/,/,/,/,/,196,196,1.0
17,5f3ba61e3fd5b671b2200537,5f3ba61e3fd5b671b220015e,1,/,/,1.0,1.0,/,/,/,/,/,/,196,196,1.0
18,5f3ba61e3fd5b671b220052a,5f3ba61e3fd5b671b22001c0,1,/,/,0.4545454545454545,0.0,/,/,/,/,/,/,,,0.0
19,5f3ba61e3fd5b671b220052a,5f3ba61e3fd5b671b2200190,1,/,/,0.4545454545454545,0.0,/,/,/,/,/,/,,,0.0
20,5f3ba61e3fd5b671b220052a,5f3ba61e3fd5b671b220015e,1,/,/,0.4545454545454545,0.0,/,/,/,/,/,/,,,0.0
21,5f3ba61e3fd5b671b22004e4,5f3ba61e3fd5b671b22001c5,1,/,/,1.0,1.0,/,/,/,/,/,1.0,8,8,1.0
22,5f3ba61e3fd5b671b2200541,5f3ba61e3fd5b671b22001c5,1,/,/,1.0,1.0,/,/,/,/,/,1.0,8,8,1.0
23,5f3ba61e3fd5b671b22004f1,5f3ba61e3fd5b671b2200188,1,/,/,1.0,1.0,/,/,/,/,/,/,122,122,1.0
24,5f3ba61e3fd5b671b22004e6,5f3ba61e3fd5b671b2200188,1,/,/,1.0,1.0,/,/,/,/,/,/,122,122,1.0
25,5f3ba61e3fd5b671b2200525,5f3ba61e3fd5b671b2200162,1,/,/,1.0,1.0,/,/,/,/,/,/,88,88,1.0
26,5f3ba61e3fd5b671b2200532,5f3ba61e3fd5b671b2200162,1,/,/,1.0,1.0,/,/,/,/,/,/,88,88,1.0
27,5f3ba61e3fd5b671b2200540,5f3ba61e3fd5b671b2200162,1,/,/,1.0,1.0,/,/,/,/,/,/,88,88,1.0
28,5f3ba61e3fd5b671b22004e5,5f3ba61e3fd5b671b2200162,1,/,/,1.0,1.0,/,/,/,/,/,/,88,88,1.0
29,5f3ba61e3fd5b671b22004e8,5f3ba61e3fd5b671b2200162,1,/,/,1.0,1.0,/,/,/,/,/,/,88,88,1.0
30,5f3ba61e3fd5b671b22004f5,5f3ba61e3fd5b671b2200162,1,/,/,1.0,1.0,/,/,/,/,/,/,88,88,1.0
31,5f3ba61e3fd5b671b22004e9,5f3ba61e3fd5b671b2200175,1,/,/,1.0,1.0,/,/,/,/,/,/,22,22,1.0
32,5f3ba61e3fd5b671b2200545,5f3ba61e3fd5b671b2200175,1,/,/,1.0,1.0,/,/,/,/,/,/,22,22,1.0
33,5f3ba61e3fd5b671b2200506,5f3ba61e3fd5b671b2200175,1,/,/,1.0,1.0,/,/,/,/,/,/,22,22,1.0
34,5f3ba61e3fd5b671b2200516,5f3ba61e3fd5b671b2200175,1,/,/,1.0,1.0,/,/,/,/,/,/,22,22,1.0
35,5f3ba61e3fd5b671b22004f6,5f3ba61e3fd5b671b2200170,1,/,/,1.0,1.0,/,/,/,/,/,/,653,653,1.0
36,5f3ba61e3fd5b671b22004f8,5f3ba61e3fd5b671b2200170,1,/,/,1.0,1.0,/,/,/,/,/,/,653,653,1.0
37,5f3ba61e3fd5b671b2200526,5f3ba61e3fd5b671b2200170,1,/,/,1.0,1.0,/,/,/,/,/,/,653,653,1.0
38,5f3ba61e3fd5b671b220051b,5f3ba61e3fd5b671b2200170,1,/,/,1.0,1.0,/,/,/,/,/,/,653,653,1.0
39,5f3ba61e3fd5b671b2200513,5f3ba61e3fd5b671b2200159,1,/,/,0.48,0.3333333333333333,/,/,/,/,/,/,98,98,1.0
40,5f3ba61e3fd5b671b2200513,5f3ba61e3fd5b671b22001be,1,/,/,0.48,0.3333333333333333,/,/,/,/,/,/,98,98,1.0
41,5f3ba61e3fd5b671b2200513,5f3ba61e3fd5b671b22001cf,1,/,/,0.48,0.3333333333333333,/,/,/,/,/,/,98,98,1.0
42,5f3ba61e3fd5b671b2200513,5f3ba61e3fd5b671b22001b1,1,/,/,0.48,0.3333333333333333,/,/,/,/,/,/,98,98,1.0
43,5f3ba61e3fd5b671b2200518,5f3ba61e3fd5b671b2200159,1,/,/,1.0,1.0,/,/,/,/,/,/,98,98,1.0
44,5f3ba61e3fd5b671b2200518,5f3ba61e3fd5b671b22001be,1,/,/,1.0,1.0,/,/,/,/,/,/,98,98,1.0
45,5f3ba61e3fd5b671b2200518,5f3ba61e3fd5b671b22001cf,1,/,/,1.0,1.0,/,/,/,/,/,/,98,98,1.0
46,5f3ba61e3fd5b671b2200518,5f3ba61e3fd5b671b22001b1,1,/,/,1.0,1.0,/,/,/,/,/,/,98,98,1.0
