,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61e3fd5b671b2200537,5f3ba61e3fd5b671b2200205,1,/,/,1.0,1.0,/,/,/,/,/,/,196,196,1.0
1,5f3ba61e3fd5b671b2200537,5f3ba61e3fd5b671b2200228,1,/,/,1.0,1.0,/,/,/,/,/,/,196,196,1.0
2,5f3ba61e3fd5b671b220052a,5f3ba61e3fd5b671b2200205,1,/,/,0.4545454545454545,0.0,/,/,/,/,/,/,,,0.0
3,5f3ba61e3fd5b671b220052a,5f3ba61e3fd5b671b2200228,1,/,/,0.4545454545454545,0.0,/,/,/,/,/,/,,,0.0
4,5f3ba61e3fd5b671b2200542,5f3ba61e3fd5b671b22001f5,1,/,/,0.8333333333333334,0.1,/,/,/,/,/,/,,,0.0
5,5f3ba61e3fd5b671b2200542,5f3ba61e3fd5b671b22001ee,1,/,/,0.8333333333333334,0.1,/,/,/,/,/,/,,,0.0
6,5f3ba61e3fd5b671b220054b,5f3ba61e3fd5b671b22001f5,1,/,/,0.8333333333333334,0.1,/,/,/,/,/,/,,,0.0
7,5f3ba61e3fd5b671b220054b,5f3ba61e3fd5b671b22001ee,1,/,/,0.8333333333333334,0.1,/,/,/,/,/,/,,,0.0
8,5f3ba61e3fd5b671b2200515,5f3ba61e3fd5b671b22001f5,1,/,/,0.8333333333333334,0.1,/,/,/,/,/,/,,,0.0
9,5f3ba61e3fd5b671b2200515,5f3ba61e3fd5b671b22001ee,1,/,/,0.8333333333333334,0.1,/,/,/,/,/,/,,,0.0
10,5f3ba61e3fd5b671b220052b,5f3ba61e3fd5b671b22001f5,1,/,/,0.8333333333333334,0.1,/,/,/,/,/,/,,,0.0
11,5f3ba61e3fd5b671b220052b,5f3ba61e3fd5b671b22001ee,1,/,/,0.8333333333333334,0.1,/,/,/,/,/,/,,,0.0
12,5f3ba61e3fd5b671b22004f1,5f3ba61e3fd5b671b220020b,1,/,/,0.8571428571428571,0.1111111111111111,/,/,/,/,/,/,,,0.0
13,5f3ba61e3fd5b671b22004e6,5f3ba61e3fd5b671b220020b,1,/,/,0.8571428571428571,0.1111111111111111,/,/,/,/,/,/,,,0.0
14,5f3ba61e3fd5b671b2200517,5f3ba61e3fd5b671b22001e3,1,/,/,1.0,1.0,/,/,/,/,/,1.0,158,158,1.0
15,5f3ba61e3fd5b671b2200517,5f3ba61e3fd5b671b22001f9,1,/,/,1.0,1.0,/,/,/,/,/,1.0,158,158,1.0
16,5f3ba61e3fd5b671b2200517,5f3ba61e3fd5b671b22001e5,1,/,/,1.0,1.0,/,/,/,/,/,1.0,158,158,1.0
17,5f3ba61e3fd5b671b220050b,5f3ba61e3fd5b671b22001e3,1,/,/,1.0,1.0,/,/,/,/,/,1.0,158,158,1.0
18,5f3ba61e3fd5b671b220050b,5f3ba61e3fd5b671b22001f9,1,/,/,1.0,1.0,/,/,/,/,/,1.0,158,158,1.0
19,5f3ba61e3fd5b671b220050b,5f3ba61e3fd5b671b22001e5,1,/,/,1.0,1.0,/,/,/,/,/,1.0,158,158,1.0
20,5f3ba61e3fd5b671b2200519,5f3ba61e3fd5b671b22001e3,1,/,/,1.0,1.0,/,/,/,/,/,1.0,158,158,1.0
21,5f3ba61e3fd5b671b2200519,5f3ba61e3fd5b671b22001f9,1,/,/,1.0,1.0,/,/,/,/,/,1.0,158,158,1.0
22,5f3ba61e3fd5b671b2200519,5f3ba61e3fd5b671b22001e5,1,/,/,1.0,1.0,/,/,/,/,/,1.0,158,158,1.0
23,5f3ba61e3fd5b671b220054e,5f3ba61e3fd5b671b22001e3,1,/,/,1.0,1.0,/,/,/,/,/,1.0,158,158,1.0
24,5f3ba61e3fd5b671b220054e,5f3ba61e3fd5b671b22001f9,1,/,/,1.0,1.0,/,/,/,/,/,1.0,158,158,1.0
25,5f3ba61e3fd5b671b220054e,5f3ba61e3fd5b671b22001e5,1,/,/,1.0,1.0,/,/,/,/,/,1.0,158,158,1.0
