,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61f3fd5b671b2201118,5f3ba6213fd5b671b220471c,1,/,/,0.8292682926829268,0.25,/,0,/,/,/,/,,,0.0
1,5f3ba61f3fd5b671b2201118,5f3ba6203fd5b671b2202ba0,1,/,/,0.6666666666666666,0.25,/,/,/,/,/,/,,,0.0
2,5f3ba61f3fd5b671b2201118,5f3ba6213fd5b671b22043fb,1,/,/,1.0,1.0,/,1.0,/,/,/,/,746,746,1.0
3,5f3ba61f3fd5b671b2201186,5f3ba6213fd5b671b220471c,1,/,/,0.4571428571428571,0.14285714285714285,/,0,/,/,/,/,,,0.0
4,5f3ba61f3fd5b671b2201186,5f3ba6203fd5b671b2202ba0,1,/,/,0.3076923076923077,0.14285714285714285,/,/,/,/,/,/,,,0.0
5,5f3ba61f3fd5b671b2201186,5f3ba6213fd5b671b22043fb,1,/,/,0.4705882352941176,0.16666666666666666,/,0,/,/,/,/,,,0.0
6,5f3ba61f3fd5b671b220111f,5f3ba6203fd5b671b2202e7d,1,/,/,0.5,0.2857142857142857,/,0,/,/,/,/,,,0.0
7,5f3ba61f3fd5b671b220111f,5f3ba6213fd5b671b2203a9b,1,/,/,0.4864864864864865,0.25,/,/,/,/,/,/,,,0.0
8,5f3ba61f3fd5b671b220111f,5f3ba6213fd5b671b2203d26,1,/,/,0.6666666666666666,0.2857142857142857,/,0,/,/,/,/,,,0.0
9,5f3ba61f3fd5b671b220111c,5f3ba6203fd5b671b2202e7d,1,/,/,1.0,1.0,/,1.0,/,/,/,/,305,305,1.0
10,5f3ba61f3fd5b671b220111c,5f3ba6213fd5b671b2203a9b,1,/,/,0.8372093023255814,0.4,/,/,/,/,/,/,,,0.0
11,5f3ba61f3fd5b671b220111c,5f3ba6213fd5b671b2203d26,1,/,/,0.6060606060606061,1.0,/,1.0,/,/,/,/,,,0.0
12,5f3ba61f3fd5b671b2201121,5f3ba6203fd5b671b22021d9,1,/,/,0.3902439024390244,0.16666666666666666,/,0,/,/,/,/,,,0.0
