,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61f3fd5b671b2201118,5f3ba61f3fd5b671b2200e1e,1,/,/,0.7906976744186046,0.1666666666666666,/,0,/,/,/,/,,,0.0
1,5f3ba61f3fd5b671b2201118,5f3ba61f3fd5b671b2200f6c,1,/,/,0.8292682926829268,0.25,/,/,/,/,/,/,,,0.0
2,5f3ba61f3fd5b671b2201186,5f3ba61f3fd5b671b2200e1e,1,/,/,0.4324324324324324,0.1111111111111111,/,1.0,/,/,/,/,,,0.0
3,5f3ba61f3fd5b671b2201186,5f3ba61f3fd5b671b2200f6c,1,/,/,0.4571428571428571,0.1428571428571428,/,/,/,/,/,/,,,0.0
4,5f3ba61f3fd5b671b220111f,5f3ba61f3fd5b671b2200ee9,1,/,/,0.358974358974359,0.2,/,/,/,/,0,/,,,0.0
5,5f3ba61f3fd5b671b220111c,5f3ba61f3fd5b671b2200ee9,1,/,/,0.7111111111111111,0.2857142857142857,/,/,/,/,/,/,,,0.0
6,5f3ba61f3fd5b671b2201121,5f3ba61f3fd5b671b22010a3,1,/,/,0.3809523809523809,0.1428571428571428,/,/,/,/,/,/,,,0.0
7,5f3ba61f3fd5b671b2201121,5f3ba61f3fd5b671b2200e66,1,/,/,0.3809523809523809,0.1428571428571428,/,/,/,/,0,/,,,0.0
8,5f3ba61f3fd5b671b220114f,5f3ba61f3fd5b671b22010a3,1,/,/,0.8292682926829268,0.25,/,/,/,/,/,/,,,0.0
9,5f3ba61f3fd5b671b220114f,5f3ba61f3fd5b671b2200e66,1,/,/,0.8292682926829268,0.25,/,/,/,/,/,/,,,0.0
10,5f3ba61f3fd5b671b2201163,5f3ba61f3fd5b671b2200eb0,1,/,/,0.8421052631578947,0.0,/,0.29824561403508787,/,/,/,/,,,0.0
11,5f3ba61f3fd5b671b220113b,5f3ba61f3fd5b671b2200eb0,1,/,/,1.0,1.0,/,1.0,/,/,/,/,333,333,1.0
12,5f3ba61f3fd5b671b2201196,5f3ba61f3fd5b671b2200f40,1,/,/,1.0,1.0,/,/,/,/,/,/,326,326,1.0
13,5f3ba61f3fd5b671b2201196,5f3ba61f3fd5b671b2200f51,1,/,/,0.303030303030303,0.0,/,/,/,/,0,/,,,0.0
14,5f3ba61f3fd5b671b2201111,5f3ba61f3fd5b671b2200f40,1,/,/,0.8717948717948718,0.0,/,/,/,/,/,/,,,0.0
15,5f3ba61f3fd5b671b2201111,5f3ba61f3fd5b671b2200f51,1,/,/,0.375,0.0,/,/,/,/,0,/,,,0.0
16,5f3ba61f3fd5b671b220115a,5f3ba61f3fd5b671b2200f40,1,/,/,0.35,0.0,/,/,/,/,/,/,,,0.0
17,5f3ba61f3fd5b671b220115a,5f3ba61f3fd5b671b2200f51,1,/,/,0.3636363636363636,0.0,/,/,/,/,/,/,,,0.0
18,5f3ba61f3fd5b671b220119f,5f3ba61f3fd5b671b2200fb1,1,/,/,0.3809523809523809,0.1428571428571428,/,/,/,/,0,/,,,0.0
19,5f3ba61f3fd5b671b22011a2,5f3ba61f3fd5b671b220104d,1,/,/,0.2727272727272727,0.1111111111111111,/,0,/,/,0,/,,,0.0
20,5f3ba61f3fd5b671b2201133,5f3ba61f3fd5b671b220104d,1,/,/,0.8636363636363636,0.6,/,1.0,/,/,0,/,131,131,1.0
21,5f3ba61f3fd5b671b220113a,5f3ba61f3fd5b671b2200e77,1,/,/,1.0,1.0,/,/,/,/,/,/,698,698,1.0
22,5f3ba61f3fd5b671b220113d,5f3ba61f3fd5b671b2200dc1,1,/,/,0.2702702702702703,0.0,/,/,/,/,/,/,,,0.0
23,5f3ba61f3fd5b671b220113d,5f3ba61f3fd5b671b2200e0b,1,/,/,0.3243243243243243,0.0,/,/,/,/,/,/,,,0.0
24,5f3ba61f3fd5b671b220113d,5f3ba61f3fd5b671b2200ea1,1,/,/,0.8421052631578947,0.0,/,/,/,/,/,/,,,0.0
25,5f3ba61f3fd5b671b220113d,5f3ba61f3fd5b671b2200e11,1,/,/,0.3225806451612903,0.0,/,/,/,/,/,/,,,0.0
26,5f3ba61f3fd5b671b220113d,5f3ba61f3fd5b671b2200d4d,1,/,/,1.0,1.0,/,1.0,/,/,/,/,524,524,1.0
