,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61f3fd5b671b2201118,5f3ba6213fd5b671b2204e79,1,/,/,0.4705882352941176,0.1666666666666666,/,/,/,/,/,/,,,0.0
1,5f3ba61f3fd5b671b2201118,5f3ba6213fd5b671b2204d8e,1,/,/,0.8292682926829268,0.25,/,/,/,/,/,/,,,0.0
2,5f3ba61f3fd5b671b2201186,5f3ba6213fd5b671b2204e79,1,/,/,1.0,1.0,/,/,/,/,/,/,45,45,1.0
3,5f3ba61f3fd5b671b2201186,5f3ba6213fd5b671b2204d8e,1,/,/,0.4571428571428571,0.1428571428571428,/,/,/,/,/,/,,,0.0
4,5f3ba61f3fd5b671b220111f,5f3ba6213fd5b671b2204d99,1,/,/,0.5333333333333333,0.2857142857142857,/,/,/,/,/,/,,,0.0
5,5f3ba61f3fd5b671b220111f,5f3ba6213fd5b671b2204f16,1,/,/,0.5333333333333333,0.2857142857142857,/,/,/,/,/,/,,,0.0
6,5f3ba61f3fd5b671b220111f,5f3ba6213fd5b671b2204da4,1,/,/,0.5333333333333333,0.2857142857142857,/,/,/,/,/,/,,,0.0
7,5f3ba61f3fd5b671b220111f,5f3ba6213fd5b671b2204e0f,1,/,/,0.5333333333333333,0.2857142857142857,/,/,/,/,/,/,,,0.0
8,5f3ba61f3fd5b671b220111f,5f3ba6213fd5b671b2204e6c,1,/,/,1.0,1.0,/,/,/,/,/,/,460,460,1.0
9,5f3ba61f3fd5b671b220111f,5f3ba6213fd5b671b2204e34,1,/,/,0.5333333333333333,0.2857142857142857,/,/,/,/,/,/,,,0.0
10,5f3ba61f3fd5b671b220111c,5f3ba6213fd5b671b2204d99,1,/,/,0.3888888888888889,0.5,/,/,/,/,/,/,,,0.0
11,5f3ba61f3fd5b671b220111c,5f3ba6213fd5b671b2204f16,1,/,/,0.3888888888888889,0.5,/,/,/,/,/,/,,,0.0
12,5f3ba61f3fd5b671b220111c,5f3ba6213fd5b671b2204da4,1,/,/,0.3888888888888889,0.5,/,/,/,/,/,/,,,0.0
13,5f3ba61f3fd5b671b220111c,5f3ba6213fd5b671b2204e0f,1,/,/,0.3888888888888889,0.5,/,/,/,/,/,/,,,0.0
14,5f3ba61f3fd5b671b220111c,5f3ba6213fd5b671b2204e6c,1,/,/,0.5,0.2857142857142857,/,/,/,/,/,/,,,0.0
15,5f3ba61f3fd5b671b220111c,5f3ba6213fd5b671b2204e34,1,/,/,0.3888888888888889,0.5,/,/,/,/,/,/,,,0.0
16,5f3ba61f3fd5b671b2201121,5f3ba6213fd5b671b2204e1a,1,/,/,0.3809523809523809,0.1428571428571428,/,/,/,/,/,/,,,0.0
17,5f3ba61f3fd5b671b2201121,5f3ba6213fd5b671b2204eb5,1,/,/,0.4,0.1666666666666666,/,/,/,/,/,/,,,0.0
18,5f3ba61f3fd5b671b2201121,5f3ba6213fd5b671b2204ec9,1,/,/,0.4,0.1666666666666666,/,/,/,/,/,/,,,0.0
19,5f3ba61f3fd5b671b2201121,5f3ba6213fd5b671b2204d9a,1,/,/,0.4,0.1666666666666666,/,/,/,/,/,/,,,0.0
20,5f3ba61f3fd5b671b2201121,5f3ba6213fd5b671b2204eef,1,/,/,0.4,0.1666666666666666,/,/,/,/,/,/,,,0.0
21,5f3ba61f3fd5b671b2201121,5f3ba6213fd5b671b2204d0d,1,/,/,0.4,0.1666666666666666,/,/,/,/,/,/,,,0.0
22,5f3ba61f3fd5b671b2201121,5f3ba6213fd5b671b2204f55,1,/,/,0.4,0.1666666666666666,/,/,/,/,/,/,,,0.0
23,5f3ba61f3fd5b671b2201121,5f3ba6213fd5b671b2204d7c,1,/,/,0.4,0.1666666666666666,/,/,/,/,/,/,,,0.0
24,5f3ba61f3fd5b671b220114f,5f3ba6213fd5b671b2204e1a,1,/,/,0.8292682926829268,0.25,/,/,/,/,/,/,,,0.0
25,5f3ba61f3fd5b671b220114f,5f3ba6213fd5b671b2204eb5,1,/,/,0.3529411764705882,0.3333333333333333,/,/,/,/,/,/,,,0.0
26,5f3ba61f3fd5b671b220114f,5f3ba6213fd5b671b2204ec9,1,/,/,0.3529411764705882,0.3333333333333333,/,/,/,/,/,/,,,0.0
27,5f3ba61f3fd5b671b220114f,5f3ba6213fd5b671b2204d9a,1,/,/,0.3529411764705882,0.3333333333333333,/,/,/,/,/,/,,,0.0
28,5f3ba61f3fd5b671b220114f,5f3ba6213fd5b671b2204eef,1,/,/,0.3529411764705882,0.3333333333333333,/,/,/,/,/,/,,,0.0
