,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61f3fd5b671b2201118,5f3ba6213fd5b671b2205357,1,/,/,0.4705882352941176,0.1666666666666666,/,0,/,/,/,/,,,0.0
1,5f3ba61f3fd5b671b2201118,5f3ba6213fd5b671b2205341,1,/,/,0.8292682926829268,0.25,/,/,/,/,/,/,,,0.0
2,5f3ba61f3fd5b671b2201186,5f3ba6213fd5b671b2205357,1,/,/,1.0,1.0,/,1.0,0.9612403100775195,0.9382716049382713,1.0,/,45,45,1.0
3,5f3ba61f3fd5b671b2201186,5f3ba6213fd5b671b2205341,1,/,/,0.4571428571428571,0.1428571428571428,/,/,/,/,/,/,,,0.0
4,5f3ba61f3fd5b671b220111f,5f3ba6213fd5b671b22052e8,1,/,/,0.5333333333333333,0.2857142857142857,/,/,0.20512820512820518,0,0,/,,,0.0
5,5f3ba61f3fd5b671b220111f,5f3ba6213fd5b671b2205371,1,/,/,0.5333333333333333,0.2857142857142857,/,/,0.20512820512820518,0,0,/,,,0.0
6,5f3ba61f3fd5b671b220111f,5f3ba6213fd5b671b2205376,1,/,/,0.5333333333333333,0.2857142857142857,/,/,/,/,/,/,,,0.0
7,5f3ba61f3fd5b671b220111c,5f3ba6213fd5b671b22052e8,1,/,/,0.3888888888888889,0.5,/,/,/,/,/,/,,,0.0
8,5f3ba61f3fd5b671b220111c,5f3ba6213fd5b671b2205371,1,/,/,0.3888888888888889,0.5,/,/,/,/,/,/,,,0.0
9,5f3ba61f3fd5b671b220111c,5f3ba6213fd5b671b2205376,1,/,/,0.3888888888888889,0.5,/,/,/,/,/,/,,,0.0
10,5f3ba61f3fd5b671b2201121,5f3ba6213fd5b671b220534a,1,/,/,0.4,0.1666666666666666,/,/,/,/,/,/,,,0.0
11,5f3ba61f3fd5b671b2201121,5f3ba6213fd5b671b2205364,1,/,/,0.4,0.1666666666666666,/,/,/,/,/,/,,,0.0
12,5f3ba61f3fd5b671b2201121,5f3ba6213fd5b671b22052f4,1,/,/,0.4,0.1666666666666666,/,/,/,/,/,/,,,0.0
13,5f3ba61f3fd5b671b2201121,5f3ba6213fd5b671b2205429,1,/,/,0.4,0.1666666666666666,/,/,/,/,/,/,,,0.0
14,5f3ba61f3fd5b671b2201121,5f3ba6213fd5b671b2205333,1,/,/,0.4,0.1666666666666666,/,/,/,/,/,/,,,0.0
15,5f3ba61f3fd5b671b2201121,5f3ba6213fd5b671b22053ea,1,/,/,0.3809523809523809,0.1428571428571428,/,/,/,/,/,/,,,0.0
16,5f3ba61f3fd5b671b2201121,5f3ba6213fd5b671b22052d1,1,/,/,0.4,0.1666666666666666,/,/,/,/,/,/,,,0.0
17,5f3ba61f3fd5b671b2201121,5f3ba6213fd5b671b2205489,1,/,/,0.4,0.1666666666666666,/,/,/,/,/,/,,,0.0
18,5f3ba61f3fd5b671b220114f,5f3ba6213fd5b671b220534a,1,/,/,0.3529411764705882,0.3333333333333333,/,/,/,/,/,/,,,0.0
19,5f3ba61f3fd5b671b220114f,5f3ba6213fd5b671b2205364,1,/,/,0.3529411764705882,0.3333333333333333,/,/,/,/,/,/,,,0.0
20,5f3ba61f3fd5b671b220114f,5f3ba6213fd5b671b22052f4,1,/,/,0.3529411764705882,0.3333333333333333,/,/,/,/,/,/,,,0.0
21,5f3ba61f3fd5b671b220114f,5f3ba6213fd5b671b2205429,1,/,/,0.3529411764705882,0.3333333333333333,/,/,/,/,/,/,,,0.0
22,5f3ba61f3fd5b671b220114f,5f3ba6213fd5b671b2205333,1,/,/,0.3529411764705882,0.3333333333333333,/,/,/,/,/,/,,,0.0
23,5f3ba61f3fd5b671b220114f,5f3ba6213fd5b671b22053ea,1,/,/,0.8292682926829268,0.25,/,/,/,/,/,/,,,0.0
24,5f3ba61f3fd5b671b220114f,5f3ba6213fd5b671b22052d1,1,/,/,0.3529411764705882,0.3333333333333333,/,/,/,/,/,/,,,0.0
25,5f3ba61f3fd5b671b220114f,5f3ba6213fd5b671b2205489,1,/,/,0.3529411764705882,0.3333333333333333,/,/,/,/,/,/,,,0.0
26,5f3ba61f3fd5b671b2201196,5f3ba6213fd5b671b220538e,1,/,/,1.0,1.0,/,/,/,/,/,/,326,326,1.0
27,5f3ba61f3fd5b671b2201111,5f3ba6213fd5b671b220538e,1,/,/,0.8717948717948718,0.0,/,/,/,/,/,/,,,0.0
28,5f3ba61f3fd5b671b220115a,5f3ba6213fd5b671b220538e,1,/,/,0.35,0.0,/,/,/,/,/,/,,,0.0
29,5f3ba61f3fd5b671b22011a2,5f3ba6213fd5b671b2205428,1,/,/,0.4390243902439024,0.4,/,/,/,/,/,/,,,0.0
30,5f3ba61f3fd5b671b2201133,5f3ba6213fd5b671b2205428,1,/,/,0.8780487804878049,0.25,/,/,/,/,/,/,,,0.0
31,5f3ba61f3fd5b671b220112f,5f3ba6213fd5b671b22053f5,1,/,/,1.0,1.0,/,/,/,/,/,/,702,702,1.0
32,5f3ba61f3fd5b671b220113d,5f3ba6213fd5b671b2205482,1,/,/,0.3225806451612903,0.0,/,/,/,/,/,/,,,0.0
33,5f3ba61f3fd5b671b220113d,5f3ba6213fd5b671b22052c7,1,/,/,0.3225806451612903,0.0,/,/,/,/,/,/,,,0.0
34,5f3ba61f3fd5b671b220113d,5f3ba6213fd5b671b22053b0,1,/,/,0.3225806451612903,0.0,/,/,/,/,/,/,,,0.0
35,5f3ba61f3fd5b671b220113d,5f3ba6213fd5b671b22053c8,1,/,/,0.3225806451612903,0.0,/,/,/,/,/,/,,,0.0
36,5f3ba61f3fd5b671b220113d,5f3ba6213fd5b671b2205397,1,/,/,0.3225806451612903,0.0,/,/,/,/,/,/,,,0.0
37,5f3ba61f3fd5b671b220113d,5f3ba6213fd5b671b2205306,1,/,/,0.8108108108108109,0.0,/,0,/,/,/,/,,,0.0
38,5f3ba61f3fd5b671b220113d,5f3ba6213fd5b671b22052c5,1,/,/,0.3225806451612903,0.0,/,/,/,/,/,/,,,0.0
39,5f3ba61f3fd5b671b2201145,5f3ba6213fd5b671b2205482,1,/,/,0.3333333333333333,0.0,/,/,/,/,/,/,,,0.0
40,5f3ba61f3fd5b671b2201145,5f3ba6213fd5b671b22052c7,1,/,/,0.3333333333333333,0.0,/,/,/,/,/,/,,,0.0
41,5f3ba61f3fd5b671b2201145,5f3ba6213fd5b671b22053b0,1,/,/,0.3333333333333333,0.0,/,/,/,/,/,/,,,0.0
42,5f3ba61f3fd5b671b2201145,5f3ba6213fd5b671b22053c8,1,/,/,0.3333333333333333,0.0,/,/,/,/,/,/,,,0.0
43,5f3ba61f3fd5b671b2201145,5f3ba6213fd5b671b2205397,1,/,/,0.3333333333333333,0.0,/,/,/,/,/,/,,,0.0
44,5f3ba61f3fd5b671b2201145,5f3ba6213fd5b671b2205306,1,/,/,0.8333333333333334,0.0,/,1.0,/,/,/,/,,,0.0
45,5f3ba61f3fd5b671b2201145,5f3ba6213fd5b671b22052c5,1,/,/,0.3333333333333333,0.0,/,/,/,/,/,/,,,0.0
46,5f3ba61f3fd5b671b220112c,5f3ba6213fd5b671b2205482,1,/,/,0.3125,0.0,/,/,/,/,/,/,,,0.0
47,5f3ba61f3fd5b671b220112c,5f3ba6213fd5b671b22052c7,1,/,/,0.3125,0.0,/,/,/,/,/,/,,,0.0
48,5f3ba61f3fd5b671b220112c,5f3ba6213fd5b671b22053b0,1,/,/,0.3125,0.0,/,/,/,/,/,/,,,0.0
49,5f3ba61f3fd5b671b220112c,5f3ba6213fd5b671b22053c8,1,/,/,0.3125,0.0,/,/,/,/,/,/,,,0.0
50,5f3ba61f3fd5b671b220112c,5f3ba6213fd5b671b2205397,1,/,/,0.3125,0.0,/,/,/,/,/,/,,,0.0
51,5f3ba61f3fd5b671b220112c,5f3ba6213fd5b671b2205306,1,/,/,0.7894736842105263,0.0,/,0,/,/,/,/,,,0.0
52,5f3ba61f3fd5b671b220112c,5f3ba6213fd5b671b22052c5,1,/,/,0.3125,0.0,/,/,/,/,/,/,,,0.0
53,5f3ba61f3fd5b671b220116c,5f3ba6213fd5b671b2205482,1,/,/,0.3333333333333333,0.0,/,/,0.11392405063291133,0,/,/,,,0.0
54,5f3ba61f3fd5b671b220116c,5f3ba6213fd5b671b22052c7,1,/,/,0.3333333333333333,0.0,/,/,0.11392405063291133,0,/,/,,,0.0
55,5f3ba61f3fd5b671b220116c,5f3ba6213fd5b671b22053b0,1,/,/,0.3333333333333333,0.0,/,/,0.11392405063291133,0,/,/,,,0.0
56,5f3ba61f3fd5b671b220116c,5f3ba6213fd5b671b22053c8,1,/,/,0.3333333333333333,0.0,/,/,0.11392405063291133,0,/,/,,,0.0
57,5f3ba61f3fd5b671b220116c,5f3ba6213fd5b671b2205397,1,/,/,0.3333333333333333,0.0,/,/,0.11392405063291133,0,/,/,,,0.0
58,5f3ba61f3fd5b671b220116c,5f3ba6213fd5b671b2205306,1,/,/,1.0,1.0,/,1.0,0.9715099715099716,0.9588477366255146,1.0,/,177,177,1.0
59,5f3ba61f3fd5b671b220116c,5f3ba6213fd5b671b22052c5,1,/,/,0.3333333333333333,0.0,/,/,0.11392405063291133,0,/,/,,,0.0
