,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61f3fd5b671b22014fa,5f3ba6213fd5b671b220529e,1,/,/,0.8275862068965517,0.75,/,/,/,/,/,/,,,0.0
1,5f3ba61f3fd5b671b2201ddc,5f3ba6213fd5b671b220529e,1,/,/,1.0,1.0,/,/,/,/,/,/,158,158,1.0
2,5f3ba6203fd5b671b2202d21,5f3ba6213fd5b671b220529e,1,/,/,0.5882352941176471,0.2,/,/,/,/,/,/,,,0.0
3,5f3ba61f3fd5b671b220150a,5f3ba6213fd5b671b2205465,1,/,/,0.3125,0,/,/,/,/,/,/,,,0.0
4,5f3ba6203fd5b671b22023a6,5f3ba6213fd5b671b2205465,1,/,/,1.0,1.0,/,/,/,/,/,/,213,213,1.0
5,5f3ba6213fd5b671b2203e31,5f3ba6213fd5b671b2205465,1,/,/,0.6829268292682927,0,/,/,/,/,/,/,,,0.0
6,5f3ba6203fd5b671b22032b9,5f3ba6213fd5b671b2205465,1,/,/,0.72,0.5,/,/,/,/,/,/,,,0.0
7,5f3ba61f3fd5b671b22019b4,5f3ba6213fd5b671b2205465,1,/,/,0.5,1.0,/,/,/,/,/,/,,,0.0
8,5f3ba61f3fd5b671b2201c3c,5f3ba6213fd5b671b2205465,1,/,/,0.7272727272727273,0,/,/,/,/,/,/,,,0.0
9,5f3ba61f3fd5b671b220151d,5f3ba6213fd5b671b220538e,1,/,/,0.3333333333333333,0,/,/,/,/,/,/,,,0.0
10,5f3ba61f3fd5b671b220190e,5f3ba6213fd5b671b220538e,1,/,/,1.0,1.0,/,/,/,/,/,/,326,326,1.0
11,5f3ba61f3fd5b671b2201afc,5f3ba6213fd5b671b220538e,1,/,/,0.8205128205128205,0,/,/,/,/,/,/,,,0.0
12,5f3ba61f3fd5b671b2201e57,5f3ba6213fd5b671b220538e,1,/,/,0.8717948717948718,0,/,/,/,/,/,/,,,0.0
13,5f3ba6203fd5b671b2202f66,5f3ba6213fd5b671b220538e,1,/,/,0.75,1.0,/,/,/,/,/,/,,,0.0
14,5f3ba61f3fd5b671b2201ac8,5f3ba6213fd5b671b220538e,1,/,/,0.3333333333333333,0,/,/,/,/,/,/,,,0.0
15,5f3ba61f3fd5b671b2201521,5f3ba6213fd5b671b22052eb,1,/,/,1.0,1.0,/,1.0,/,/,/,/,331,331,1.0
16,5f3ba61f3fd5b671b2201543,5f3ba6213fd5b671b22053c5,1,/,/,0.8695652173913043,0.16666666666666666,/,/,/,/,/,/,,,0.0
17,5f3ba6203fd5b671b22038c2,5f3ba6213fd5b671b22053c5,1,/,/,0.8333333333333334,0.16666666666666666,/,/,/,/,/,/,,,0.0
18,5f3ba6213fd5b671b2204103,5f3ba6213fd5b671b22053c5,1,/,/,0.5106382978723404,0.1111111111111111,/,/,/,/,/,/,,,0.0
19,5f3ba61f3fd5b671b2201582,5f3ba6213fd5b671b2205472,1,/,/,1.0,1.0,/,/,/,/,/,/,22,22,1.0
20,5f3ba61f3fd5b671b22015a6,5f3ba6213fd5b671b2205350,1,/,/,0.4571428571428571,0,/,0.16666666666666663,/,/,/,/,,,0.0
21,5f3ba61f3fd5b671b2202073,5f3ba6213fd5b671b2205350,1,/,/,0.5882352941176471,0,/,0,/,/,0,/,,,0.0
