,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba6213fd5b671b2204f93,5f3ba61e3fd5b671b22006e8,1,/,/,0.5517241379310345,0.3333333333333333,/,/,/,/,/,/,,,0.0
1,5f3ba6213fd5b671b2204fa4,5f3ba61e3fd5b671b22006cd,1,/,/,1.0,1.0,/,/,/,/,/,/,14,14,1.0
2,5f3ba6213fd5b671b2205039,5f3ba61e3fd5b671b22006dd,1,/,/,1.0,1.0,/,/,/,/,/,/,83,83,1.0
3,5f3ba6213fd5b671b22050ed,5f3ba61e3fd5b671b22006af,1,/,/,0.6428571428571429,0.0,/,/,0.7900262467191603,0.29133858267716517,/,/,,,0.0
4,5f3ba6213fd5b671b220510a,5f3ba61e3fd5b671b2200748,1,/,/,1.0,1.0,/,/,0.9739583333333329,0.9835051546391752,/,/,238,238,1.0
5,5f3ba6213fd5b671b2205116,5f3ba61e3fd5b671b220072e,1,/,/,0.5925925925925926,0.0,/,/,/,/,/,/,,,0.0
6,5f3ba6213fd5b671b220511f,5f3ba61e3fd5b671b220072e,1,/,/,0.5,0.0,/,/,/,/,/,/,,,0.0
7,5f3ba6213fd5b671b22050ad,5f3ba61e3fd5b671b220072e,1,/,/,0.5161290322580645,0.0,/,/,0.862258953168044,0.3486590038314179,/,/,,,0.0
8,5f3ba6213fd5b671b220515e,5f3ba61e3fd5b671b22006c4,1,/,/,0.782608695652174,0.6666666666666666,/,/,/,/,/,/,,,0.0
9,5f3ba6213fd5b671b22051b8,5f3ba61e3fd5b671b22006c4,1,/,/,1.0,1.0,/,/,/,/,/,/,270,270,1.0
10,5f3ba6213fd5b671b2204fd0,5f3ba61e3fd5b671b220072b,1,/,/,1.0,1.0,/,/,0.9709411323584555,0.9634218289085549,/,/,165,165,1.0
11,5f3ba6213fd5b671b2204ffb,5f3ba61e3fd5b671b22006b8,1,/,/,1.0,1.0,/,/,0.9906172839506172,0.9787526559180099,/,/,84,84,1.0
12,5f3ba6213fd5b671b2205043,5f3ba61e3fd5b671b2200755,1,/,/,1.0,1.0,/,/,/,/,/,/,125,125,1.0
13,5f3ba6213fd5b671b2205043,5f3ba61e3fd5b671b22006d7,1,/,/,0.8148148148148148,0.5,/,/,0.12037037037037013,0.15828571428571403,/,/,,,0.0
14,5f3ba6213fd5b671b220506c,5f3ba61e3fd5b671b2200755,1,/,/,0.303030303030303,0.0,/,/,/,/,/,/,,,0.0
15,5f3ba6213fd5b671b220506c,5f3ba61e3fd5b671b22006d7,1,/,/,0.2941176470588235,0.0,/,/,/,/,/,/,,,0.0
16,5f3ba6213fd5b671b220505c,5f3ba61e3fd5b671b220070d,1,/,/,1.0,1.0,/,/,0.9846846846846844,0.9404761904761907,/,/,196,196,1.0
17,5f3ba6213fd5b671b22050e5,5f3ba61e3fd5b671b2200743,1,/,/,1.0,1.0,/,/,/,/,/,/,72,72,1.0
18,5f3ba6213fd5b671b2204fcf,5f3ba61e3fd5b671b22006bf,1,/,/,1.0,1.0,/,/,0.9912510936132981,0.9760356042451216,/,/,31,31,1.0
19,5f3ba6213fd5b671b2205077,5f3ba61e3fd5b671b220074d,1,/,/,0.5789473684210527,0.0,/,/,0,0,/,/,,,0.0
20,5f3ba6213fd5b671b2205077,5f3ba61e3fd5b671b220069c,1,/,/,0.8837209302325582,0.0,/,/,0.32898756507895555,0,/,/,,,0.0
21,5f3ba6213fd5b671b2205110,5f3ba61e3fd5b671b220074d,1,/,/,0.631578947368421,0.4,/,/,0.021555232425215176,0.04575524550659238,/,/,,,0.0
22,5f3ba6213fd5b671b2205110,5f3ba61e3fd5b671b220069c,1,/,/,0.8372093023255814,0.1666666666666666,1.0,/,0.436556086226927,0.12698412698412687,/,/,,,0.0
23,5f3ba6213fd5b671b2205106,5f3ba61e3fd5b671b22006bb,1,/,/,1.0,1.0,/,/,0.9856000000000004,0.9643313816542164,/,/,11,11,1.0
24,5f3ba6213fd5b671b220504c,5f3ba61e3fd5b671b2200723,1,/,/,0.5333333333333333,0.0,/,/,0,0,/,/,,,0.0
25,5f3ba6213fd5b671b220504c,5f3ba61e3fd5b671b22006cc,1,/,/,1.0,1.0,/,/,/,/,/,/,209,209,1.0
26,5f3ba6213fd5b671b220504c,5f3ba61e3fd5b671b2200711,1,/,/,0.5333333333333333,0.0,/,/,0.3995780590717295,0,/,/,,,0.0
27,5f3ba6213fd5b671b2205029,5f3ba61e3fd5b671b22006c0,1,/,/,1.0,1.0,/,/,0.9992185740355133,0.9999399399399401,/,/,269,269,1.0
28,5f3ba6213fd5b671b220510c,5f3ba61e3fd5b671b22006b2,1,/,/,0.303030303030303,0.0,/,/,/,/,/,/,,,0.0
29,5f3ba6213fd5b671b22050ef,5f3ba61e3fd5b671b2200701,1,/,/,1.0,1.0,/,/,0.9876801114146443,0.982041718469402,/,/,92,92,1.0
30,5f3ba6213fd5b671b22050ee,5f3ba61e3fd5b671b2200735,1,/,/,0.625,0.2,/,/,/,/,/,/,263,263,1.0
