,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61e3fd5b671b220017a,5f3ba6213fd5b671b2205029,1,/,/,1.0,1.0,/,/,/,/,/,/,269,269,1.0
1,5f3ba61e3fd5b671b22001a8,5f3ba6213fd5b671b2205106,1,/,/,1.0,1.0,/,/,/,/,/,/,11,11,1.0
2,5f3ba61e3fd5b671b22001ad,5f3ba6213fd5b671b2205116,1,/,/,0.5714285714285714,0.0,/,/,/,/,/,/,,,0.0
3,5f3ba61e3fd5b671b22001ad,5f3ba6213fd5b671b220511f,1,/,/,0.8484848484848485,0.0,/,/,/,/,/,/,,,0.0
4,5f3ba61e3fd5b671b22001ad,5f3ba6213fd5b671b22050ad,1,/,/,1.0,1.0,/,/,/,/,/,/,624,624,1.0
5,5f3ba61e3fd5b671b22001ae,5f3ba6213fd5b671b2205116,1,/,/,0.7407407407407407,1.0,/,/,/,/,/,/,67,67,1.0
6,5f3ba61e3fd5b671b22001ae,5f3ba6213fd5b671b220511f,1,/,/,0.5,0.0,/,/,/,/,/,/,,,0.0
7,5f3ba61e3fd5b671b22001ae,5f3ba6213fd5b671b22050ad,1,/,/,0.5161290322580645,0.0,/,/,/,/,/,/,,,0.0
8,5f3ba61e3fd5b671b22001af,5f3ba6213fd5b671b22050ed,1,/,/,1.0,1.0,/,/,/,/,/,/,0,0,1.0
9,5f3ba61e3fd5b671b2200163,5f3ba6213fd5b671b22050ed,1,/,/,0.6206896551724138,0.0,/,/,/,/,/,/,,,0.0
10,5f3ba61e3fd5b671b220015b,5f3ba6213fd5b671b220515e,1,/,/,1.0,1.0,/,/,/,/,/,/,675,675,1.0
11,5f3ba61e3fd5b671b220015b,5f3ba6213fd5b671b22051b8,1,/,/,0.782608695652174,0.6666666666666666,/,/,/,/,/,/,,,0.0
12,5f3ba61e3fd5b671b22001a3,5f3ba6213fd5b671b220515e,1,/,/,0.782608695652174,0.6666666666666666,/,/,/,/,/,/,,,0.0
13,5f3ba61e3fd5b671b22001a3,5f3ba6213fd5b671b22051b8,1,/,/,1.0,1.0,/,/,/,/,/,/,270,270,1.0
14,5f3ba61e3fd5b671b2200173,5f3ba6213fd5b671b2204fcf,1,/,/,1.0,1.0,/,/,/,/,/,/,31,31,1.0
15,5f3ba61e3fd5b671b2200198,5f3ba6213fd5b671b220506b,1,/,/,1.0,1.0,/,/,/,/,/,/,21,21,1.0
16,5f3ba61e3fd5b671b22001aa,5f3ba6213fd5b671b220504c,1,/,/,0.3225806451612903,0.0,/,/,/,/,/,/,,,0.0
17,5f3ba61e3fd5b671b2200177,5f3ba6213fd5b671b220504c,1,/,/,0.8,0.0,/,/,/,/,/,/,209,209,1.0
18,5f3ba61e3fd5b671b22001ba,5f3ba6213fd5b671b2204fcb,1,/,/,1.0,1.0,/,/,/,/,/,/,149,149,1.0
19,5f3ba61e3fd5b671b22001c1,5f3ba6213fd5b671b220517a,1,/,/,0.8148148148148148,0.0,/,/,/,/,/,/,,,0.0
20,5f3ba61e3fd5b671b22001c1,5f3ba6213fd5b671b220504d,1,/,/,0.7857142857142857,0.0,/,/,/,/,/,/,,,0.0
21,5f3ba61e3fd5b671b22001c1,5f3ba6213fd5b671b22051a5,1,/,/,1.0,1.0,/,/,/,/,/,/,106,106,1.0
22,5f3ba61e3fd5b671b2200184,5f3ba6213fd5b671b220517a,1,/,/,1.0,1.0,/,/,/,/,/,/,37,37,1.0
23,5f3ba61e3fd5b671b2200184,5f3ba6213fd5b671b220504d,1,/,/,0.8148148148148148,0.0,/,/,/,/,/,/,,,0.0
24,5f3ba61e3fd5b671b2200184,5f3ba6213fd5b671b22051a5,1,/,/,0.8148148148148148,0.0,/,/,/,/,/,/,,,0.0
25,5f3ba61e3fd5b671b22001d7,5f3ba6213fd5b671b2204ffb,1,/,/,1.0,1.0,/,/,/,/,/,/,84,84,1.0
26,5f3ba61e3fd5b671b220015f,5f3ba6213fd5b671b2205077,1,/,/,0.5555555555555556,0.0,/,/,/,/,/,/,,,0.0
27,5f3ba61e3fd5b671b220015f,5f3ba6213fd5b671b2205110,1,/,/,0.5555555555555556,0.0,/,/,/,/,/,/,,,0.0
28,5f3ba61e3fd5b671b2200162,5f3ba6213fd5b671b22050f0,1,/,/,1.0,1.0,/,/,/,/,/,/,88,88,1.0
29,5f3ba61e3fd5b671b220016b,5f3ba6213fd5b671b2204fa4,1,/,/,1.0,1.0,/,/,/,/,/,/,14,14,1.0
30,5f3ba61e3fd5b671b22001c3,5f3ba6213fd5b671b22050c5,1,/,/,0.3428571428571428,0.25,/,/,/,/,/,/,,,0.0
31,5f3ba61e3fd5b671b22001c3,5f3ba6213fd5b671b2204fea,1,/,/,1.0,1.0,/,/,/,/,/,/,85,85,1.0
32,5f3ba61e3fd5b671b220015a,5f3ba6213fd5b671b22050af,1,/,/,1.0,1.0,/,/,/,/,/,/,228,228,1.0
33,5f3ba61e3fd5b671b220016e,5f3ba6213fd5b671b2205039,1,/,/,1.0,1.0,/,/,/,/,/,/,83,83,1.0
34,5f3ba61e3fd5b671b22001c0,5f3ba6213fd5b671b220505c,1,/,/,1.0,1.0,/,/,/,/,/,/,196,196,1.0
35,5f3ba61e3fd5b671b22001d9,5f3ba6213fd5b671b2205085,1,/,/,0.2580645161290322,0.0,/,/,/,/,/,/,,,0.0
36,5f3ba61e3fd5b671b22001cc,5f3ba6213fd5b671b22050e5,1,/,/,1.0,1.0,/,/,/,/,/,/,72,72,1.0
37,5f3ba61e3fd5b671b220016a,5f3ba6213fd5b671b22050a2,1,/,/,0.6666666666666666,1.0,/,/,/,/,/,/,136,136,1.0
38,5f3ba61e3fd5b671b2200159,5f3ba6213fd5b671b2205044,1,/,/,1.0,1.0,/,/,/,/,/,/,98,98,1.0
39,5f3ba61e3fd5b671b2200188,5f3ba6213fd5b671b2204f93,1,/,/,1.0,1.0,/,/,/,/,/,/,122,122,1.0
40,5f3ba61e3fd5b671b22001a2,5f3ba6213fd5b671b2205100,1,/,/,1.0,1.0,/,/,/,/,/,/,110,110,1.0
41,5f3ba61e3fd5b671b22001b2,5f3ba6213fd5b671b2204fa0,1,/,/,1.0,1.0,/,/,/,/,/,/,657,657,1.0
42,5f3ba61e3fd5b671b22001c4,5f3ba6213fd5b671b22050e2,1,/,/,0.7368421052631579,0.0,/,/,/,/,/,/,,,0.0
43,5f3ba61e3fd5b671b22001c4,5f3ba6213fd5b671b220501d,1,/,/,1.0,1.0,/,/,/,/,/,/,171,171,1.0
44,5f3ba61e3fd5b671b22001c7,5f3ba6213fd5b671b220502b,1,/,/,1.0,1.0,/,/,/,/,/,/,187,187,1.0
45,5f3ba61e3fd5b671b22001d0,5f3ba6213fd5b671b22050ee,1,/,/,0.6956521739130435,1.0,/,/,/,/,/,/,263,263,1.0
46,5f3ba61e3fd5b671b22001d6,5f3ba6213fd5b671b2204fd0,1,/,/,1.0,1.0,/,/,/,/,/,/,165,165,1.0
47,5f3ba61e3fd5b671b2200176,5f3ba6213fd5b671b22051c4,1,/,/,0.6956521739130435,1.0,/,/,/,/,/,/,360,360,1.0
48,5f3ba61e3fd5b671b2200180,5f3ba6213fd5b671b220510c,1,/,/,1.0,1.0,/,/,/,/,/,/,326,326,1.0
