,record_compared_1,record_compared_2,Modell_no_Liste_TruncateBegin20,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,recId,recId,is_match
0,5f3ba61e3fd5b671b220016c,5f3ba6213fd5b671b2204cef,/,/,/,0.6363636363636364,1.0,/,/,/,/,/,/,63,63,1.0
1,5f3ba61e3fd5b671b220016c,5f3ba6213fd5b671b2204cd0,/,/,/,0.3571428571428571,0.0,/,/,/,/,/,/,,,0.0
2,5f3ba61e3fd5b671b220019e,5f3ba6213fd5b671b2204cef,/,/,/,0.4166666666666667,0.0,/,/,/,/,/,/,,,0.0
3,5f3ba61e3fd5b671b220019e,5f3ba6213fd5b671b2204cd0,/,/,/,1.0,1.0,/,/,/,/,/,/,415,415,1.0
4,5f3ba61e3fd5b671b2200179,5f3ba6213fd5b671b2204dbe,1,/,/,0.5161290322580645,0.0,/,/,/,/,/,/,,,0.0
5,5f3ba61e3fd5b671b2200179,5f3ba6213fd5b671b2204dee,1,/,/,1.0,1.0,/,/,/,/,/,/,16,16,1.0
6,5f3ba61e3fd5b671b2200179,5f3ba6213fd5b671b2204d77,1,/,/,0.5333333333333333,0.0,/,/,/,/,/,/,,,0.0
7,5f3ba61e3fd5b671b2200179,5f3ba6213fd5b671b2204e1d,1,/,/,0.6153846153846154,0.0,/,/,/,/,/,/,,,0.0
8,5f3ba61e3fd5b671b22001a4,5f3ba6213fd5b671b2204dbe,1,/,/,0.8387096774193549,0.0,/,/,/,/,/,/,,,0.0
9,5f3ba61e3fd5b671b22001a4,5f3ba6213fd5b671b2204dee,1,/,/,0.5333333333333333,0.0,/,/,/,/,/,/,,,0.0
10,5f3ba61e3fd5b671b22001a4,5f3ba6213fd5b671b2204d77,1,/,/,1.0,1.0,/,/,/,/,/,/,86,86,1.0
11,5f3ba61e3fd5b671b22001a4,5f3ba6213fd5b671b2204e1d,1,/,/,0.6153846153846154,0.0,/,/,/,/,/,/,,,0.0
12,5f3ba61e3fd5b671b2200185,5f3ba6213fd5b671b2204dbe,1,/,/,1.0,1.0,/,/,/,/,/,/,766,766,1.0
13,5f3ba61e3fd5b671b2200185,5f3ba6213fd5b671b2204dee,1,/,/,0.5161290322580645,0.0,/,/,/,/,/,/,,,0.0
14,5f3ba61e3fd5b671b2200185,5f3ba6213fd5b671b2204d77,1,/,/,0.8387096774193549,0.0,/,/,/,/,/,/,,,0.0
15,5f3ba61e3fd5b671b2200185,5f3ba6213fd5b671b2204e1d,1,/,/,0.5925925925925926,0.0,/,/,/,/,/,/,,,0.0
16,5f3ba61e3fd5b671b220017a,5f3ba6213fd5b671b2204d57,1,/,/,1.0,1.0,/,/,/,/,/,/,269,269,1.0
17,5f3ba61e3fd5b671b22001a0,5f3ba6213fd5b671b2204e70,1,/,/,0.6153846153846154,0.25,/,/,/,/,/,/,12,12,1.0
18,5f3ba61e3fd5b671b22001a8,5f3ba6213fd5b671b2204e08,1,/,/,1.0,1.0,/,/,/,/,/,/,11,11,1.0
19,5f3ba61e3fd5b671b22001ad,5f3ba6213fd5b671b2204e77,1,/,/,0.5714285714285714,0.0,/,/,/,/,/,/,,,0.0
20,5f3ba61e3fd5b671b22001ad,5f3ba6213fd5b671b2204d5a,1,/,/,1.0,1.0,/,/,/,/,/,/,624,624,1.0
21,5f3ba61e3fd5b671b22001ad,5f3ba6213fd5b671b2204cd4,1,/,/,0.5,0.0,/,/,/,/,/,/,,,0.0
22,5f3ba61e3fd5b671b22001ad,5f3ba6213fd5b671b2204d3c,1,/,/,0.5,0.0,/,/,/,/,/,/,,,0.0
23,5f3ba61e3fd5b671b22001ad,5f3ba6213fd5b671b2204db0,1,/,/,0.5161290322580645,0.0,/,/,/,/,/,/,,,0.0
24,5f3ba61e3fd5b671b22001ad,5f3ba6213fd5b671b2204d84,1,/,/,0.6428571428571429,0.0,/,/,/,/,/,/,,,0.0
25,5f3ba61e3fd5b671b22001ad,5f3ba6213fd5b671b2204dae,1,/,/,0.4848484848484848,0.0,/,/,/,/,/,/,,,0.0
26,5f3ba61e3fd5b671b22001ae,5f3ba6213fd5b671b2204e77,1,/,/,0.5925925925925926,0.0,/,/,/,/,/,/,,,0.0
27,5f3ba61e3fd5b671b22001ae,5f3ba6213fd5b671b2204d5a,1,/,/,0.5161290322580645,0.0,/,/,/,/,/,/,,,0.0
28,5f3ba61e3fd5b671b22001ae,5f3ba6213fd5b671b2204cd4,1,/,/,0.5806451612903226,0.0,/,/,/,/,/,/,,,0.0
29,5f3ba61e3fd5b671b22001ae,5f3ba6213fd5b671b2204d3c,1,/,/,0.5161290322580645,0.0,/,/,/,/,/,/,,,0.0
30,5f3ba61e3fd5b671b22001ae,5f3ba6213fd5b671b2204db0,1,/,/,1.0,1.0,/,/,/,/,/,/,67,67,1.0
31,5f3ba61e3fd5b671b22001ae,5f3ba6213fd5b671b2204d84,1,/,/,0.5925925925925926,0.0,/,/,/,/,/,/,,,0.0
32,5f3ba61e3fd5b671b22001ae,5f3ba6213fd5b671b2204dae,1,/,/,0.5,0.0,/,/,/,/,/,/,,,0.0
33,5f3ba61e3fd5b671b22001af,5f3ba6213fd5b671b2204e86,1,/,/,0.6206896551724138,0.0,/,/,/,/,/,/,,,0.0
34,5f3ba61e3fd5b671b22001af,5f3ba6213fd5b671b2204cdf,1,/,/,1.0,1.0,/,/,/,/,/,/,0,0,1.0
35,5f3ba61e3fd5b671b2200163,5f3ba6213fd5b671b2204e86,1,/,/,1.0,1.0,/,/,/,/,/,/,672,672,1.0
36,5f3ba61e3fd5b671b2200163,5f3ba6213fd5b671b2204cdf,1,/,/,0.6206896551724138,0.0,/,/,/,/,/,/,,,0.0
37,5f3ba61e3fd5b671b22001ca,5f3ba6213fd5b671b2204ee3,1,/,/,0.6666666666666666,1.0,/,/,/,/,/,/,159,159,1.0
38,5f3ba61e3fd5b671b22001d1,5f3ba6213fd5b671b2204d34,1,/,/,1.0,1.0,/,/,/,/,/,/,160,160,1.0
39,5f3ba61e3fd5b671b22001d1,5f3ba6213fd5b671b2204f0e,1,/,/,0.8636363636363636,0.1428571428571428,/,/,/,/,/,/,,,0.0
40,5f3ba61e3fd5b671b220015b,5f3ba6213fd5b671b2204d12,1,/,/,0.782608695652174,0.6666666666666666,/,/,/,/,/,/,,,0.0
41,5f3ba61e3fd5b671b220015b,5f3ba6213fd5b671b2204efe,1,/,/,0.4,0.25,/,/,/,/,/,/,,,0.0
42,5f3ba61e3fd5b671b220015b,5f3ba6213fd5b671b2204f64,1,/,/,1.0,1.0,/,/,/,/,/,/,675,675,1.0
